,Concept_ID,it,no
0,Auge::N,occhio,øye
1,Ohr::N,orecchio,øre
2,Nase::N,naso,nese
3,Mund::N,bocca,munn
4,Zahn::N,dente,tann
5,Zunge::N,lingua,tunge
6,Lippe::N,labbro,leppe
7,Wange::N,guancia,kinn
8,Gesicht::N,viso,fjes
9,Gesicht::N,viso,ansikt
10,Gesicht::N,faccia,fjes
11,Gesicht::N,faccia,ansikt
12,Stirn::N,fronte,panne
13,Haar::N,capello,hår
14,Schnurrbart::N,baffi,bart
15,Schnurrbart::N,mustacchi,bart
16,Bart::N,barba,skjegg
17,Kinn::N,mento,hake
18,Kiefer[Anatomie]::N,mascella,kjeve
19,Kehle::N,gola,strupe
20,Hals::N,collo,hals
21,Genick::N,nuca,nakke
22,Kopf::N,capo,hode
23,Kopf::N,testa,hode
24,Rücken::N,dorso,rygg
25,Rücken::N,schiena,rygg
26,Bauch::N,ventre,buk
27,Bauch::N,ventre,mage
28,Nabel::N,ombelico,navle
29,Busen::N,seno,barm
30,Brust::N,petto,bryst
31,Schulter::N,spalla,skulder
32,Arm::N,braccio,arm
33,Ellenbogen::N,gomito,albue
34,Hand::N,mano,hånd
35,Handfläche::N,palma,håndflate
36,Finger::N,dito,finger
37,Fingernagel::N,unghia,fingernegl
38,Nagel[Anatomie]::N,unghia,negl
39,Zeh::N,dito del piede,tå
40,Fuß::N,piede,fot
41,Ferse::N,tallone,hæl
42,Ferse::N,calcagno,hæl
43,Knie::N,ginocchio,kne
44,Oberschenkel::N,fèmore,lår
45,Bein::N,gamba,bein
46,Körper::N,corpo,kropp
47,Körper::N,corpo,legeme
48,Haut::N,pelle,hud
49,Haut::N,pelle,skinn
50,Blut::N,sangue,blod
51,Ader::N,vena,åre
52,Sehne::N,tèndine,sene
53,Knochen::N,osso,bein
54,Knochen::N,osso,knokkel
55,Gehirn::N,cervello,hjerne
56,Herz::N,cuore,hjerte
57,Magen::N,stòmaco,mage
58,Leber::N,fegato,lever
59,Atem::N,fiato,pust
60,Atem::N,respiro,pust
61,Hunger::N,fame,sult
62,Träne::N,làcrima,tåre
63,Geschmack::N,gusto,smak
64,Geschmack::N,sapore,smak
65,Geruch::N,odore,lukt
66,Schlaf::N,sonno,søvn
67,Traum::N,sogno,drøm
68,Himmel::N,cielo,himmel
69,Sonne::N,sole,sol
70,Mond::N,luna,måne
71,Stern::N,stella,stjerne
72,Luft::N,aria,luft
73,Wind::N,vento,vind
74,Welle::N,onda,bølge
75,Wasser::N,acqua,vann
76,Stein::N,sasso,stein
77,Stein::N,pietra,stein
78,Boden::N,suolo,bakke
79,Boden::N,terreno,bakke
80,Erde::N,terra,jord
81,Staub::N,polvere,støv
82,Rauch::N,fumo,røyk
83,Funke::N,scintilla,gnist
84,Feuer::N,fuoco,ild
85,Licht::N,luce,lys
86,Schatten::N,ombra,skygge
87,Wetter::N,tempo,vær
88,Nebel::N,nebbia,tåke
89,Wolke::N,nube,sky
90,Wolke::N,nùvola,sky
91,Regen::N,pioggia,regn
92,Schnee::N,neve,snø
93,Eis::N,ghiaccio,is
94,Frost::N,gelo,frost
95,Kälte::N,freddo,kulde
96,Hitze::N,caldo,hete
97,Hitze::N,calura,hete
98,Raureif::N,brina,rimfrost
99,Regenbogen::N,arcobaleno,regnbue
100,Donner::N,tuono,torden
101,Strömung::N,corrente,strømning
102,Tropfen::N,goccia,dråpe
103,Schaum::N,spuma,skum
104,Schaum::N,schiuma,skum
105,Schmutz::N,sudiciume,søl
106,Schmutz::N,sudiciume,skitt
107,See::N,lago,sjø
108,Sumpf::N,palude,sump
109,Sumpf::N,palude,myrlende
110,Moor::N,torbiera,myr
111,Moor::N,torbiera,myrhei
112,Wiese::N,prato,eng
113,Wald::N,bosco,skog
114,Wald::N,foresta,skog
115,Hügel::N,colle,haug
116,Hügel::N,colle,bakke
117,Hügel::N,collina,haug
118,Hügel::N,collina,bakke
119,Anhöhe::N,altura,haug
120,Anhöhe::N,altura,bakke
121,Berg::N,monte,berg
122,Berg::N,monte,fjell
123,Berg::N,montagna,berg
124,Berg::N,montagna,fjell
125,Gipfel::N,cima,topp
126,Höhle::N,grotta,hule
127,Höhle::N,caverna,hule
128,Abhang::N,pendìo,li
129,Abhang::N,pendìo,skråning
130,Quelle::N,sorgente,kilde
131,Bach::N,ruscello,bekk
132,Fluss::N,fiume,elv
133,Ufer::N,riva,bredd
134,Küste::N,costa,kyst
135,Festland::N,terraferma,fastland
136,Meer::N,mare,hav
137,Bucht::N,cala,bukt
138,Insel::N,ìsola,øy
139,Blume::N,fiore,blomst
140,Gras::N,erba,gress
141,Wurzel::N,radice,rot
142,Baum::N,àlbero,tre
143,Stamm::N,tronco,stamme
144,Rinde::N,corteccia,bark
145,Ast::N,ramo,gren
146,Zweig::N,ramo,kvist
147,Blatt::N,foglia,blad
148,Birke::N,betulla,bjørk
149,Kiefer[Baum]::N,pino,furu
150,Weide[Baum]::N,sàlice,selje
151,Weide[Baum]::N,sàlice,piletre
152,Tanne::N,abete,gran
153,Horn::N,corno,horn
154,Feder::N,penna,fjær
155,Fell::N,manto,skinn
156,Fell::N,pelame,skinn
157,Flügel::N,ala,vinge
158,Klaue::N,grinfia,klauv
159,Kralle::N,unghia,klo
160,Kralle::N,artiglio,klo
161,Schwanz::N,coda,hale
162,Ei::N,uovo,egg
163,Nest::N,nido,rede
164,Bau::N,covo,hi
165,Tier::N,bestia,dyr
166,Tier::N,animale,dyr
167,Herde::N,gregge,flokk
168,Kuh::N,vacca,ku
169,Bulle::N,toro,tyr
170,Pferd::N,cavallo,hest
171,Schaf::N,pècora,får
