,Concept_ID,ro,es
0,Auge::N,ochi,ojo
1,Ohr::N,ureche,oreja
2,Nase::N,nas,nariz
3,Mund::N,gură,boca
4,Zahn::N,dinte,diente
5,Zunge::N,limbă,lengua
6,Lippe::N,buză,labio
7,Wange::N,bucă,mejilla
8,Wange::N,obraz,mejilla
9,Gesicht::N,față,cara
10,Gesicht::N,figură,cara
11,Stirn::N,frunte,frente
12,Haar::N,păr,cabello
13,Schnurrbart::N,mustață,bigote
14,Bart::N,barbă,barba
15,Kinn::N,bărbie,barbilla
16,Kiefer[Anatomie]::N,falcă,mandíbula
17,Kehle::N,beregată,garganta
18,Hals::N,gât,cuello
19,Genick::N,ceafă,nuca
20,Genick::N,ceafă,cerviz
21,Kopf::N,cap,cabeza
22,Rücken::N,dos,espalda
23,Rücken::N,spate,espalda
24,Rücken::N,spinare,espalda
25,Bauch::N,burtă,vientre
26,Bauch::N,pântece,vientre
27,Nabel::N,buric,ombligo
28,Busen::N,sân,pecho
29,Brust::N,piept,pecho
30,Schulter::N,umăr,hombro
31,Schulter::N,spate,hombro
32,Arm::N,braț,brazo
33,Ellenbogen::N,cot,codo
34,Hand::N,mână,mano
35,Handfläche::N,palmă,palma
36,Finger::N,deget,dedo
37,Fingernagel::N,unghie,uña
38,Nagel[Anatomie]::N,unghie,uña
39,Zeh::N,deget de la picior,dedo del pie
40,Fuß::N,picior,pie
41,Ferse::N,călcâi,talón
42,Knie::N,genunchi,rodilla
43,Oberschenkel::N,coapsă,muslo
44,Bein::N,picior,pierna
45,Körper::N,corp,cuerpo
46,Haut::N,piele,piel
47,Blut::N,sânge,sangre
48,Ader::N,vână,vena
49,Ader::N,arteră,vena
50,Sehne::N,tendon,tendón
51,Knochen::N,os,hueso
52,Gehirn::N,creier,cerebro
53,Gehirn::N,creier,encéfalo
54,Herz::N,inimă,corazón
55,Magen::N,stomac,estómago
56,Leber::N,ficat,hígado
57,Atem::N,răsuflare,aliento
58,Atem::N,respirație,aliento
59,Hunger::N,foame,hambre
60,Träne::N,lacrimă,lágrima
61,Geschmack::N,gust,gusto
62,Geruch::N,miros,olor
63,Schlaf::N,somn,sueño
64,Traum::N,vis,sueño
65,Traum::N,vis,ensueño
66,Himmel::N,cer,cielo
67,Sonne::N,soare,sol
68,Mond::N,lună,luna
69,Stern::N,stea,estrella
70,Luft::N,aer,aire
71,Wind::N,vânt,viento
72,Welle::N,val,ola
73,Welle::N,val,onda
74,Welle::N,undă,ola
75,Welle::N,undă,onda
76,Wasser::N,apă,agua
77,Stein::N,piatră,piedra
78,Boden::N,sol,suelo
79,Boden::N,pământ,suelo
80,Erde::N,pământ,tierra
81,Staub::N,praf,polvo
82,Rauch::N,fum,humo
83,Funke::N,scânteie,chispa
84,Feuer::N,foc,fuego
85,Licht::N,lumină,luz
86,Schatten::N,umbră,sombra
87,Wetter::N,timp,tiempo
88,Wetter::N,vreme,tiempo
89,Nebel::N,ceață,niebla
90,Nebel::N,negură,niebla
91,Wolke::N,nor,nube
92,Regen::N,ploaie,lluvia
93,Schnee::N,zăpadă,nieve
94,Eis::N,gheață,hielo
95,Frost::N,ger,helada
96,Kälte::N,frig,frío
97,Hitze::N,arșiță,calor
98,Hitze::N,căldură,calor
99,Raureif::N,chiciură,escarcha
100,Regenbogen::N,curcubeu,arco iris
101,Donner::N,tunet,trueno
102,Strömung::N,curent,corriente
103,Tropfen::N,picătură,gota
104,Schaum::N,spumă,espuma
105,Schmutz::N,murdărie,suciedad
106,See::N,lac,lago
107,Sumpf::N,mlaștină,pantano
108,Moor::N,bărăgan,turbera
109,Wiese::N,fânaț,prado
110,Wiese::N,fânaț,pradera
111,Wiese::N,livadă,prado
112,Wiese::N,livadă,pradera
113,Wald::N,codru,bosque
114,Wald::N,pădure,bosque
115,Hügel::N,deal,colina
116,Hügel::N,movilă,colina
117,Anhöhe::N,deal,cerro
118,Anhöhe::N,ridicătură,cerro
119,Berg::N,munte,monte
120,Berg::N,munte,montaña
121,Gipfel::N,pisc,cima
122,Gipfel::N,pisc,cumbre
123,Höhle::N,peșteră,cueva
124,Höhle::N,peșteră,caverna
125,Abhang::N,pantă,cuesta
126,Abhang::N,pantă,declive
127,Abhang::N,versant,cuesta
128,Abhang::N,versant,declive
129,Quelle::N,izvor,fuente
130,Quelle::N,izvor,manantial
131,Bach::N,gârlă,arroyo
132,Fluss::N,râu,río
133,Fluss::N,fluviu,río
134,Ufer::N,mal,orilla
135,Ufer::N,țărm,orilla
136,Küste::N,coastă,costa
137,Festland::N,uscat,tierra firme
138,Meer::N,mare,mar
139,Bucht::N,golf,cala
140,Bucht::N,golf,bahía
141,Insel::N,insulă,isla
142,Blume::N,floare,flor
143,Gras::N,iarbă,hierba
144,Wurzel::N,rădăcină,raíz
145,Baum::N,copac,árbol
146,Baum::N,arbore,árbol
147,Stamm::N,tulpină,tronco
148,Rinde::N,scoarță,corteza
149,Ast::N,cracă,rama
150,Ast::N,creangă,rama
151,Zweig::N,ramură,ramo
152,Zweig::N,creangă,ramo
153,Blatt::N,frunză,hoja
154,Birke::N,mesteacăn,abedul
155,Kiefer[Baum]::N,pin,pino
156,Weide[Baum]::N,salcie,sauce
157,Weide[Baum]::N,răchită,sauce
158,Tanne::N,brad,abeto
159,Horn::N,corn,asta
160,Horn::N,corn,cuerno
161,Feder::N,pană,pluma
162,Fell::N,piele,piel
163,Flügel::N,aripă,ala
164,Klaue::N,gheară,garra
165,Kralle::N,labă,uña
166,Kralle::N,labă,garra
167,Kralle::N,gheară,uña
168,Kralle::N,gheară,garra
169,Schwanz::N,coadă,cola
170,Ei::N,ou,huevo
171,Nest::N,cuib,nido
172,Bau::N,bârlog,madriguera
173,Bau::N,vizuină,madriguera
174,Tier::N,animal,animal
175,Herde::N,turmă,rebaño
176,Herde::N,cireadă,rebaño
177,Kuh::N,vacă,vaca
178,Bulle::N,taur,toro
179,Pferd::N,cal,caballo
180,Schaf::N,oaie,oveja
181,Schwein::N,porc,cerdo
182,Hund::N,câine,perro
183,Katze::N,pisică,gato
184,Bär::N,urs,oso
185,Eichhörnchen::N,veveriță,ardilla
186,Elch::N,elan,alce
187,Fuchs::N,vulpe,zorro
188,Hase::N,iepure,liebre
189,Maus::N,șoarece,ratón
190,Wolf::N,lup,lobo
191,Vogel::N,pasăre,ave
192,Vogel::N,pasăre,pájaro
193,Schwarm::N,cârd,bandada
194,Huhn::N,găină,gallina
195,Hahn::N,cocoș,gallo
196,Gans::N,gâscă,oca
197,Gans::N,gâscă,ganso
198,Adler::N,vultur,águila
199,Ente::N,rață,pato
200,Eule::N,bufniță,lechuza
201,Kranich::N,cocor,grulla
202,Krähe::N,cioară,corneja
203,Kuckuck::N,cuc,cuco
204,Schwan::N,lebădă,cisne
205,Fisch::N,pește,pez
206,Barsch::N,biban,perca
207,Hecht::N,știucă,lucio
208,Schlange[Tier]::N,șarpe,serpiente
209,Wurm::N,vierme,gusano
210,Spinne::N,păianjen,araña
211,Ameise::N,furnică,hormiga
212,Laus::N,păduche,piojo
213,Mücke::N,țânțar,mosquito
214,Fliege::N,muscă,mosca
215,Schmetterling::N,fluture,mariposa
216,Beere::N,boabă,baya
217,Apfel::N,măr,manzana
218,Pilz::N,burete,seta
219,Pilz::N,burete,hongo
220,Pilz::N,ciupercă,seta
221,Pilz::N,ciupercă,hongo
222,Zwiebel::N,ceapă,cebolla
223,Saat::N,semănătură,siembra
224,Korn::N,grâu,grano
225,Heu::N,fân,heno
226,Schale::N,coajă,cáscara
227,Grube::N,groapă,foso
228,Falle::N,cursă,trampa
229,Falle::N,capcană,trampa
230,Schlinge::N,laț,lazo
231,Spur::N,dâră,huella
232,Asche::N,cenușă,ceniza
233,Dreck::N,noroi,suciedad
234,Dreck::N,murdărie,suciedad
235,Eisen::N,fier,hierro
236,Gold::N,aur,oro
237,Silber::N,argint,plata
238,Kohle::N,cărbune,carbón
239,Glas::N,sticlă,vidrio
240,Glas::N,sticlă,cristal
241,Lehm::N,lut,barro
242,Lehm::N,humă,barro
243,Sand::N,nisip,arena
244,Mensch::N,om,hombre
245,Mensch::N,om,ser humano
246,Mensch::N,persoană,hombre
247,Mensch::N,persoană,ser humano
248,Mann::N,om,hombre
249,Mann::N,bărbat,hombre
250,Frau::N,femeie,mujer
251,Kind::N,copil,niño
252,Junge::N,băiat,chico
253,Junge::N,băiat,muchacho
254,Junge::N,flăcău,chico
255,Junge::N,flăcău,muchacho
256,Mädchen::N,fată,chica
257,Mädchen::N,fată,muchacha
258,Familie::N,familie,familia
259,Großvater::N,bunic,abuelo
260,Großvater::N,tată mare,abuelo
261,Großmutter::N,bunică,abuela
262,Großmutter::N,mamă mare,abuela
263,Eltern::N,părinți,padres
264,Vater::N,tată,padre
265,Vater::N,părinte,padre
266,Mutter::N,mamă,madre
267,Sohn::N,fiu,hijo
268,Sohn::N,fecior,hijo
269,Tochter::N,fiică,hija
270,Bruder::N,frate,hermano
271,Schwester::N,soră,hermana
272,Onkel::N,unchi,tío
273,Tante::N,mătușă,tía
274,Ehemann::N,soț,esposo
275,Ehemann::N,bărbat,esposo
276,Ehefrau::N,soție,esposa
277,Freude::N,bucurie,placer
278,Freude::N,bucurie,alegría
279,Gelächter::N,râset,risa
280,Gelächter::N,râset,carcajada
281,Glück::N,fericire,felicidad
282,Kummer::N,mâhnire,pena
283,Wunsch::N,dorință,deseo
284,Wunsch::N,deziderat,deseo
285,Lust::N,poftă,ganas
286,Lust::N,înclinare,ganas
287,Geist::N,duh,mente
288,Geist::N,duh,espíritu
289,Geist::N,minte,mente
290,Geist::N,minte,espíritu
291,Geist::N,suflet,mente
292,Geist::N,suflet,espíritu
293,Gedanke::N,gând,idea
294,Gedanke::N,gând,pensamiento
295,Gedanke::N,cuget,idea
296,Gedanke::N,cuget,pensamiento
297,Gedächtnis::N,memorie,memoria
298,Verstand::N,minte,razón
299,Verstand::N,minte,entendimiento
300,Verstand::N,intelect,razón
301,Verstand::N,intelect,entendimiento
302,Sinn::N,sens,sentido
303,Sinn::N,sens,significado
304,Sinn::N,înțeles,sentido
305,Sinn::N,înțeles,significado
306,Grund::N,cauză,causa
307,Grund::N,pricină,causa
308,Wahrheit::N,adevăr,verdad
309,Gespräch::N,convorbire,conversación
310,Gespräch::N,conversație,conversación
311,Märchen::N,basm,cuento
312,Märchen::N,poveste,cuento
313,Erzählung::N,poveste,cuento
314,Erzählung::N,poveste,narración
315,Nachricht::N,veste,mensaje
