,Concept_ID,bg,de
0,Auge::N,око,Auge
1,Ohr::N,ухо,Ohr
2,Nase::N,нос,Nase
3,Mund::N,уста,Mund
4,Zahn::N,зъб,Zahn
5,Zunge::N,език,Zunge
6,Lippe::N,устна,Lippe
7,Wange::N,буза,Wange
8,Gesicht::N,лице,Gesicht
9,Gesicht::N,образ,Gesicht
10,Stirn::N,чело,Stirn
11,Haar::N,коса,Haar
12,Haar::N,косъм,Haar
13,Schnurrbart::N,мустаци,Schnurrbart
14,Bart::N,брада,Bart
15,Kinn::N,брада,Kinn
16,Kinn::N,брадичка,Kinn
17,Kiefer[Anatomie]::N,челюст,Kiefer
18,Kehle::N,гърло,Kehle
19,Hals::N,врат,Hals
20,Genick::N,тил,Genick
21,Kopf::N,глава,Kopf
22,Rücken::N,гръб,Rücken
23,Bauch::N,корем,Bauch
24,Nabel::N,пъп,Nabel
25,Busen::N,бозка,Busen
26,Brust::N,гръд,Brust
27,Schulter::N,рамо,Schulter
28,Schulter::N,плещи,Schulter
29,Arm::N,ръка,Arm
30,Ellenbogen::N,лакът,Ellenbogen
31,Hand::N,ръка,Hand
32,Hand::N,китка,Hand
33,Handfläche::N,длан,Handfläche
34,Finger::N,пръст,Finger
35,Fingernagel::N,нокът,Fingernagel
36,Nagel[Anatomie]::N,нокът,Nagel
37,Zeh::N,пръст на крак,Zeh
38,Fuß::N,крак,Fuß
39,Fuß::N,нога,Fuß
40,Ferse::N,пета,Ferse
41,Knie::N,коляно,Knie
42,Oberschenkel::N,бедро,Oberschenkel
43,Bein::N,крак,Bein
44,Bein::N,нога,Bein
45,Körper::N,тяло,Körper
46,Haut::N,кожа,Haut
47,Blut::N,кръв,Blut
48,Ader::N,вена,Ader
49,Ader::N,артерия,Ader
50,Sehne::N,жила,Sehne
51,Sehne::N,сухожилие,Sehne
52,Knochen::N,кост,Knochen
53,Gehirn::N,мозък,Gehirn
54,Herz::N,сърце,Herz
55,Magen::N,стомах,Magen
56,Leber::N,черен дроб,Leber
57,Atem::N,дишане,Atem
58,Hunger::N,глад,Hunger
59,Träne::N,сълза,Träne
60,Geschmack::N,вкус,Geschmack
61,Geruch::N,миризма,Geruch
62,Schlaf::N,сън,Schlaf
63,Traum::N,сън,Traum
64,Himmel::N,небе,Himmel
65,Sonne::N,слънце,Sonne
66,Mond::N,луна,Mond
67,Mond::N,месец,Mond
68,Stern::N,звезда,Stern
69,Luft::N,въздух,Luft
70,Wind::N,вятър,Wind
71,Welle::N,вълна,Welle
72,Wasser::N,вода,Wasser
73,Stein::N,камък,Stein
74,Boden::N,земя,Boden
75,Boden::N,почва,Boden
76,Erde::N,земя,Erde
77,Erde::N,почва,Erde
78,Staub::N,прах,Staub
79,Rauch::N,дим,Rauch
80,Rauch::N,пушек,Rauch
81,Funke::N,искра,Funke
82,Feuer::N,огън,Feuer
83,Licht::N,светлина,Licht
84,Schatten::N,сянка,Schatten
85,Wetter::N,време,Wetter
86,Nebel::N,мъгла,Nebel
87,Wolke::N,облак,Wolke
88,Regen::N,дъжд,Regen
89,Schnee::N,сняг,Schnee
90,Eis::N,лед,Eis
91,Frost::N,мраз,Frost
92,Kälte::N,студ,Kälte
93,Hitze::N,жега,Hitze
94,Hitze::N,горещина,Hitze
95,Raureif::N,скреж,Raureif
96,Raureif::N,слана,Raureif
97,Regenbogen::N,дъга,Regenbogen
98,Donner::N,гръм,Donner
99,Strömung::N,течение,Strömung
100,Tropfen::N,капка,Tropfen
101,Schaum::N,пяна,Schaum
102,Schmutz::N,кал,Schmutz
103,Schmutz::N,мръсотия,Schmutz
104,See::N,езеро,See
105,Sumpf::N,блато,Sumpf
106,Moor::N,мочурище,Moor
107,Wiese::N,ливада,Wiese
108,Wald::N,гора,Wald
109,Hügel::N,рид,Hügel
110,Hügel::N,хълм,Hügel
111,Anhöhe::N,могила,Anhöhe
112,Anhöhe::N,възвишение,Anhöhe
113,Berg::N,планина,Berg
