,Concept_ID,pt,hr
0,Auge::N,olho,oko
1,Ohr::N,orelha,uho
2,Nase::N,nariz,nos
3,Mund::N,boca,usta
4,Zahn::N,dente,zub
5,Zunge::N,língua,jezik
6,Lippe::N,lábio,usna
7,Wange::N,face,obraz
8,Gesicht::N,cara,lice
9,Gesicht::N,rosto,lice
10,Stirn::N,testa,čelo
11,Haar::N,cabelo,kosa
12,Schnurrbart::N,bigode,brkovi
13,Bart::N,barba,brada
14,Kinn::N,queixo,brada
15,Kinn::N,queixo,podbradak
16,Kiefer[Anatomie]::N,maxila,čeljust
17,Kiefer[Anatomie]::N,mandíbula,čeljust
18,Kehle::N,garganta,grlo
19,Hals::N,colo,vrat
20,Hals::N,pescoço,vrat
21,Genick::N,nuca,zatiljak
22,Kopf::N,cabeça,glava
23,Rücken::N,dorso,leđa
24,Rücken::N,dorso,hrbat
25,Rücken::N,costas,leđa
26,Rücken::N,costas,hrbat
27,Bauch::N,ventre,trbuh
28,Bauch::N,barriga,trbuh
29,Nabel::N,umbigo,pupak
30,Busen::N,seio,sisa
31,Busen::N,seio,njedra
32,Brust::N,peito,prsa
33,Schulter::N,ombro,rame
34,Schulter::N,ombro,pleći
35,Arm::N,braço,ruka
36,Ellenbogen::N,cotovelo,lakat
37,Hand::N,mão,ruka
38,Handfläche::N,palma,dlan
39,Handfläche::N,palma da mão,dlan
40,Finger::N,dedo,prst
41,Fingernagel::N,unha,nokat
42,Nagel[Anatomie]::N,unha,nokat
43,Zeh::N,dedo do pé,nozni prst
44,Fuß::N,pé,noga
45,Fuß::N,pé,stopalo
46,Ferse::N,calcanhar,peta
47,Knie::N,joelho,koljeno
48,Oberschenkel::N,coxa,bedro
49,Bein::N,perna,noga
50,Körper::N,corpo,tijelo
51,Haut::N,pele,put
52,Haut::N,pele,koža
53,Blut::N,sangue,krv
54,Ader::N,veia,žila
55,Sehne::N,tendão,tetiva
56,Knochen::N,osso,kost
57,Gehirn::N,cérebro,
58,Herz::N,coração,srce
59,Magen::N,estômago,stomak
60,Magen::N,estômago,želudac
61,Leber::N,fígado,jetra
62,Atem::N,fôlego,dah
63,Hunger::N,fome,glad
64,Träne::N,lágrima,suza
65,Geschmack::N,gosto,ukus
66,Geruch::N,odor,njuh
67,Geruch::N,odor,miris
68,Geruch::N,cheiro,njuh
69,Geruch::N,cheiro,miris
70,Schlaf::N,sono,san
71,Traum::N,sonho,san
72,Himmel::N,céu,nebo
73,Sonne::N,sol,sunce
74,Mond::N,lua,mjesec
75,Stern::N,estrela,zvijezda
76,Luft::N,ar,zrak
77,Wind::N,vento,vjetar
78,Welle::N,onda,val
79,Welle::N,onda,talas
80,Wasser::N,água,voda
81,Stein::N,pedra,kamen
82,Boden::N,solo,tlo
83,Boden::N,solo,zemlja
84,Erde::N,terra,zemlja
85,Staub::N,pó,prah
86,Staub::N,pó,prašina
87,Rauch::N,fumo,dim
88,Funke::N,faísca,iskra
89,Funke::N,faísca,varnica
90,Funke::N,centelha,iskra
91,Funke::N,centelha,varnica
92,Feuer::N,fogo,vatra
93,Licht::N,luz,svjetlo
94,Schatten::N,sombra,hlad
95,Schatten::N,sombra,sjena
96,Wetter::N,tempo,vrijeme
97,Nebel::N,nevoeiro,magla
98,Wolke::N,nuvem,oblak
99,Regen::N,chuva,kiša
100,Schnee::N,neve,snijeg
101,Eis::N,gelo,led
102,Frost::N,gelo,mraz
103,Frost::N,geada,mraz
104,Kälte::N,frio,studen
105,Kälte::N,frio,hladnoća
106,Hitze::N,ardor,vrućina
107,Raureif::N,geada,inje
108,Regenbogen::N,arco-iris,duga
109,Donner::N,trovão,grom
110,Donner::N,trovão,grmljavina
111,Strömung::N,corrente,struja
112,Strömung::N,corrente,strujanje
113,Tropfen::N,gota,kap
114,Tropfen::N,gota,kaplja
115,Schaum::N,espuma,pjena
116,Schmutz::N,sujidade,nečistoća
117,Schmutz::N,sujidade,prljavština
118,Schmutz::N,imundície,nečistoća
119,Schmutz::N,imundície,prljavština
120,See::N,lago,jezero
121,Sumpf::N,charco,bara
122,Sumpf::N,pântano,bara
123,Moor::N,pântano,močvara
124,Wiese::N,prado,livada
125,Wald::N,bosque,šuma
126,Wald::N,floresta,šuma
127,Hügel::N,colina,brijeg
128,Hügel::N,colina,brežuljak
129,Anhöhe::N,alto,uzvišica
130,Anhöhe::N,outeiro,uzvišica
131,Berg::N,monte,brdo
132,Berg::N,montanha,brdo
133,Gipfel::N,pico,vrh
134,Höhle::N,caverna,pećina
135,Höhle::N,caverna,spilja
136,Abhang::N,encosta,obronak
137,Abhang::N,encosta,nizbrdica
138,Quelle::N,fonte,izvor
139,Quelle::N,fonte,vrelo
140,Bach::N,regato,potok
141,Bach::N,ribeiro,potok
142,Fluss::N,rio,rijeka
143,Ufer::N,beira,obala
144,Küste::N,costa,obala
145,Küste::N,costa,morska obala
146,Festland::N,terra firme,kopno
147,Meer::N,mar,more
148,Bucht::N,baía,zaliv
149,Insel::N,ilha,ada
150,Insel::N,ilha,otok
151,Blume::N,flor,cvijet
152,Gras::N,erva,trava
153,Wurzel::N,raiz,korijen
154,Baum::N,árvore,drvo
155,Baum::N,árvore,stablo
156,Stamm::N,tronco,deblo
157,Stamm::N,tronco,stablo
158,Rinde::N,casca,kora
159,Ast::N,ramo,grana
160,Zweig::N,galho,grana
161,Blatt::N,folha,list
162,Birke::N,bétula,breza
163,Kiefer[Baum]::N,pinheiro,bor
164,Weide[Baum]::N,salgueiro,iva
165,Weide[Baum]::N,salgueiro,vŕba
166,Tanne::N,abeto,jela
167,Horn::N,corno,rog
168,Horn::N,chifre,rog
169,Feder::N,pena,pero
170,Fell::N,pele,koža
171,Flügel::N,asa,krilo
172,Klaue::N,pata,papak
173,Kralle::N,unha,pandža
174,Kralle::N,garra,pandža
175,Schwanz::N,rabo,rep
176,Schwanz::N,cauda,rep
177,Ei::N,ovo,jaje
178,Nest::N,ninho,gnijezdo
179,Bau::N,toca,jazbina
180,Bau::N,covil,jazbina
181,Tier::N,animal,životinja
182,Herde::N,rebanho,krdo
183,Herde::N,rebanho,stado
184,Kuh::N,vaca,krava
185,Bulle::N,touro,bik
186,Pferd::N,cavalo,konj
187,Schaf::N,ovelha,ovca
188,Schwein::N,porco,svinja
189,Hund::N,cão,pas
190,Hund::N,cão,pseto
191,Katze::N,gata,mačka
192,Bär::N,urso,medvjed
193,Eichhörnchen::N,esquilo,vjeverica
194,Elch::N,alce,los
195,Fuchs::N,raposa,lisica
196,Hase::N,lebre,zec
197,Maus::N,rato,miš
198,Wolf::N,lobo,vuk
199,Wolf::N,lobo,kurjak
200,Vogel::N,ave,ptica
201,Vogel::N,pássaro,ptica
202,Schwarm::N,bando,roj
203,Schwarm::N,bando,jato
204,Schwarm::N,enxame,roj
205,Schwarm::N,enxame,jato
206,Huhn::N,galinha,kokoš
207,Hahn::N,galo,kokot
208,Hahn::N,galo,pijevac
209,Gans::N,ganso,guska
210,Adler::N,águia,orao
211,Ente::N,pata,patka
212,Eule::N,mocho,sova
213,Eule::N,coruja,sova
214,Kranich::N,grou,ždral
215,Krähe::N,gralha,vrana
216,Kuckuck::N,cuco,kukavica
217,Schwan::N,cisne,labud
218,Fisch::N,peixe,riba
219,Barsch::N,perca,grgeč
220,Hecht::N,lúcio,štuka
221,Schlange[Tier]::N,serpente,guja
222,Schlange[Tier]::N,serpente,zmija
223,Wurm::N,verme,crv
224,Spinne::N,aranha,pauk
225,Ameise::N,formiga,mrav
226,Laus::N,piolho,uš
227,Mücke::N,mosquito,komarac
228,Fliege::N,mosca,muha
229,Schmetterling::N,borboleta,leptir
230,Beere::N,bago,boba
231,Beere::N,bago,bobica
232,Apfel::N,maçã,jabuka
233,Pilz::N,fungo,pečurka
234,Pilz::N,cogumelo,pečurka
235,Zwiebel::N,cebola,luk
236,Zwiebel::N,cebola,kapula
237,Saat::N,sementeira,sjemenje
238,Korn::N,grão,zrno
239,Heu::N,feno,sijeno
240,Schale::N,casca,kora
241,Schale::N,casca,ljuska
242,Grube::N,cova,jama
243,Grube::N,fossa,jama
244,Falle::N,armadilha,zamka
245,Falle::N,armadilha,klopka
246,Schlinge::N,laço,uzao
247,Schlinge::N,laço,petlja
248,Spur::N,pista,trag
249,Spur::N,pista,slijed
250,Spur::N,vestígio,trag
251,Spur::N,vestígio,slijed
252,Asche::N,cinza,pepeo
253,Dreck::N,sujidade,blato
254,Eisen::N,ferro,željezo
255,Gold::N,ouro,zlato
256,Silber::N,prata,srebro
257,Kohle::N,carvão,ugalj
258,Kohle::N,carvão,ugljen
259,Glas::N,vidro,staklo
260,Lehm::N,barro,glina
261,Lehm::N,barro,ilovača
262,Lehm::N,argila,glina
263,Lehm::N,argila,ilovača
264,Sand::N,areia,pijesak
265,Mensch::N,homem,čovjek
266,Mensch::N,pessoa,čovjek
267,Mann::N,homem,muškarac
268,Frau::N,mulher,žena
269,Kind::N,filho,čedo
270,Kind::N,filho,dijete
271,Kind::N,criança,čedo
272,Kind::N,criança,dijete
273,Junge::N,rapaz,momče
274,Junge::N,rapaz,dječak
275,Junge::N,menino,momče
276,Junge::N,menino,dječak
277,Mädchen::N,menina,djevojka
278,Mädchen::N,menina,djevojčica
279,Mädchen::N,rapariga,djevojka
280,Mädchen::N,rapariga,djevojčica
281,Familie::N,família,obitelj
282,Familie::N,família,porodica
283,Großvater::N,avô,djed
284,Großmutter::N,avó,baka
285,Eltern::N,pais,roditelji
286,Vater::N,pai,otac
287,Mutter::N,mãe,majka
288,Sohn::N,filho,sin
289,Tochter::N,filha,kći
290,Tochter::N,filha,kćerka
291,Bruder::N,irmão,brat
292,Schwester::N,irmã,sestra
293,Onkel::N,tio,čika
294,Onkel::N,tio,ujak
295,Tante::N,tia,ujna
296,Tante::N,tia,tetka
297,Ehemann::N,esposo,muž
298,Ehemann::N,esposo,suprug
299,Ehefrau::N,esposa,žena
300,Ehefrau::N,esposa,supruga
301,Freude::N,prazer,radost
302,Freude::N,alegria,radost
303,Gelächter::N,risada,grohot
304,Gelächter::N,gargalhada,grohot
305,Glück::N,felicidade,sreća
306,Kummer::N,aflição,jad
307,Kummer::N,aflição,briga
308,Kummer::N,desgosto,jad
309,Kummer::N,desgosto,briga
310,Wunsch::N,desejo,želja
311,Lust::N,vontade,volja
312,Geist::N,mente,duh
313,Geist::N,espírito,duh
314,Gedanke::N,ideia,misao
315,Gedanke::N,pensamento,misao
316,Gedächtnis::N,memória,pamćenje
317,Verstand::N,razão,um
318,Verstand::N,razão,razum
319,Verstand::N,inteligência,um
320,Verstand::N,inteligência,razum
321,Sinn::N,sentido,smisao
322,Sinn::N,sentido,značenje
323,Sinn::N,significado,smisao
324,Sinn::N,significado,značenje
325,Grund::N,causa,razlog
326,Grund::N,motivo,razlog
327,Wahrheit::N,verdade,istina
328,Gespräch::N,conversa,razgovor
329,Gespräch::N,conversação,razgovor
330,Märchen::N,conto,bajka
331,Erzählung::N,conto,priča
332,Erzählung::N,conto,pripovijest
333,Erzählung::N,narrativa,priča
334,Erzählung::N,narrativa,pripovijest
335,Nachricht::N,mensagem,vijest
336,Neuigkeit::N,notícia,novost
337,Neuigkeit::N,novidade,novost
338,Name::N,nome,ime
339,Rätsel::N,adivinha,zagonetka
340,Rede::N,oração,govor
341,Rede::N,oração,besjeda
342,Rede::N,discurso,govor
343,Rede::N,discurso,besjeda
344,Sprache::N,língua,jezik
345,Stimme::N,voz,glas
346,Wort::N,palavra,riječ
347,Zeichen::N,marca,znak
348,Ruf::N,grito,povik
349,Ruf::N,grito,poklik
350,Ruf::N,chamada,povik
351,Ruf::N,chamada,poklik
352,Lärm::N,ruído,buka
353,Lärm::N,ruído,galama
354,Lärm::N,barulho,buka
355,Lärm::N,barulho,galama
356,Laut::N,som,zvuk
357,Ton::N,tom,ton
358,Lied::N,canção,pjesma
359,Ruhe::N,calma,tišina
360,Ruhe::N,calma,počinak
361,Ruhe::N,silêncio,tišina
362,Ruhe::N,silêncio,počinak
363,Leute::N,gente,ljudi
364,Leute::N,pessoas,ljudi
365,Volk::N,povo,puk
366,Volk::N,povo,narod
