,Concept_ID,lt,sv
0,Auge::N,akis,öga
1,Ohr::N,ausis,öra
2,Nase::N,nosis,näsa
3,Mund::N,burna,mun
4,Zahn::N,dantis,tand
5,Zunge::N,liežuvis,tunga
6,Lippe::N,lūpa,läpp
7,Wange::N,žandas,kind
8,Wange::N,skruostas,kind
9,Gesicht::N,veidas,syn
10,Gesicht::N,veidas,ansikte
11,Stirn::N,kakta,panna
12,Haar::N,plaukai,hår
13,Schnurrbart::N,ūsai,mustasch
14,Bart::N,barzda,skägg
15,Kinn::N,smakras,haka
16,Kiefer[Anatomie]::N,žandikaulis,käke
17,Kehle::N,gerklė,strupe
18,Hals::N,kaklas,hals
19,Genick::N,sprandas,nacke
20,Kopf::N,galva,huvud
21,Rücken::N,nugara,rygg
22,Bauch::N,pilvas,buk
23,Bauch::N,pilvas,mage
24,Nabel::N,bamba,navel
25,Busen::N,krūtinė,barm
26,Brust::N,krūtis,bröst
27,Schulter::N,petys,skuldra
28,Arm::N,ranka,arm
29,Ellenbogen::N,alkūnė,armbåge
30,Hand::N,ranka,hand
31,Hand::N,plaštaka,hand
32,Handfläche::N,delnas,handflata
33,Handfläche::N,plaštaka,handflata
34,Finger::N,pirštas,finger
35,Fingernagel::N,nagas,fingernagel
36,Nagel[Anatomie]::N,nagas,nagel
37,Zeh::N,pirštas,tå
38,Fuß::N,pėda,fot
39,Ferse::N,kulnas,häl
40,Knie::N,kelis,knä
41,Oberschenkel::N,kulšis,lår
42,Oberschenkel::N,šlaunis,lår
43,Bein::N,koja,ben
44,Körper::N,kūnas,kropp
45,Haut::N,oda,hud
46,Haut::N,oda,skinn
47,Blut::N,kraujas,blod
48,Ader::N,kraujagyslė,åder
49,Sehne::N,sausgyslė,sena
50,Knochen::N,kaulas,ben
51,Gehirn::N,smegenys,hjärna
52,Herz::N,širdis,hjärta
53,Magen::N,skrandis,mage
54,Leber::N,kepenys,lever
55,Atem::N,kvapas,anda
56,Atem::N,kvapas,andedräkt
57,Hunger::N,badas,svält
58,Hunger::N,badas,hunger
59,Hunger::N,alkis,svält
60,Hunger::N,alkis,hunger
61,Träne::N,ašara,tår
62,Geschmack::N,skonis,smak
63,Geruch::N,kvapas,lukt
64,Schlaf::N,miegas,sömn
65,Traum::N,sapnas,dröm
66,Himmel::N,dangus,himmel
67,Sonne::N,saulė,sol
68,Mond::N,mėnulis,måne
69,Stern::N,žvaigždė,stjärna
70,Luft::N,oras,luft
71,Wind::N,vėjas,vind
72,Welle::N,banga,våg
73,Welle::N,banga,bölja
74,Welle::N,vilnis,våg
75,Welle::N,vilnis,bölja
76,Wasser::N,vanduo,vatten
77,Stein::N,akmuo,sten
78,Boden::N,žemė,mark
79,Boden::N,dugnas,mark
80,Erde::N,žemė,jord
81,Staub::N,dulkės,damm
82,Rauch::N,dūmai,rök
83,Funke::N,kibirkštis,gnista
84,Feuer::N,ugnis,eld
85,Licht::N,šviesa,ljus
86,Schatten::N,paūksmė,skugga
87,Wetter::N,oras,väder
88,Nebel::N,migla,dimma
89,Nebel::N,migla,töcken
90,Nebel::N,rūkas,dimma
91,Nebel::N,rūkas,töcken
92,Wolke::N,debesis,sky
93,Wolke::N,debesis,moln
94,Regen::N,lietus,regn
95,Schnee::N,sniegas,snö
96,Eis::N,ledas,is
97,Frost::N,šalna,frost
98,Kälte::N,šaltis,köld
99,Hitze::N,karštis,hetta
100,Raureif::N,šerkšnas,rimfrost
101,Regenbogen::N,vaivorykštė,regnbåge
102,Donner::N,perkūnas,åska
103,Donner::N,perkūnas,dunder
104,Donner::N,griaustinis,åska
105,Donner::N,griaustinis,dunder
106,Strömung::N,tėkmė,strömning
107,Tropfen::N,lašas,dropper
108,Schaum::N,putos,skum
109,Schmutz::N,purvas,lort
110,Schmutz::N,purvas,smuts
111,See::N,ežeras,sjö
112,Sumpf::N,klampynė,träsk
113,Sumpf::N,liūnas,träsk
114,Moor::N,pelkė,myr
115,Moor::N,pelkė,mosse
116,Wiese::N,pieva,äng
117,Wald::N,miškas,skog
118,Hügel::N,kalva,höjd
119,Hügel::N,kalva,kulle
120,Anhöhe::N,kauburys,höjd
121,Anhöhe::N,kauburys,backe
122,Berg::N,kalnas,berg
123,Berg::N,kalnas,fjäll
124,Gipfel::N,viršūnė,topp
