,Concept_ID,sah,sk
0,Auge::N,харах,oko
1,Ohr::N,кулгаах,ucho
2,Nase::N,мурун,nos
3,Mund::N,айах,ústa
4,Zahn::N,тиис,zub
5,Zunge::N,тыл,jazyk
6,Lippe::N,уос,pera
7,Wange::N,иэдэс,líce
8,Gesicht::N,сирэй,tvár
9,Gesicht::N,сирэй,obličaj
10,Stirn::N,сүүс,čelo
11,Haar::N,баттах,vlas
12,Schnurrbart::N,уос бытыга,fúzy
13,Bart::N,сэҥийэ бытыга,brada
14,Kinn::N,сэҥийэ,brada
15,Kiefer[Anatomie]::N,сыҥаах,čeľusť
16,Kehle::N,тамах,hrdlo
17,Kehle::N,күөмэй,hrdlo
18,Hals::N,моой,krk
19,Genick::N,кэтэх,väzy
20,Kopf::N,бас,hlava
21,Rücken::N,көҕүс,chrbát
22,Bauch::N,ис,brucho
23,Nabel::N,киин,pupok
24,Busen::N,эмиий,prsia
25,Brust::N,түөс,hruď
26,Schulter::N,сарын,plece
27,Arm::N,илии,rameno
28,Ellenbogen::N,тоҕонох,lakeť
29,Hand::N,илии,ruka
30,Handfläche::N,ытыс,dlaň
31,Finger::N,тарбах,prst
32,Fingernagel::N,тыҥырах,necht
33,Nagel[Anatomie]::N,тыҥырах,necht
34,Zeh::N,тарбах,prst na nohe
35,Fuß::N,уллуҥах,noha
36,Ferse::N,тилэх,päta
37,Knie::N,тобук,koleno
38,Knie::N,дьилбэк,koleno
39,Oberschenkel::N,уллук,stehno
40,Oberschenkel::N,өттүк,stehno
41,Bein::N,атах,noha
42,Körper::N,бэйэ,telo
43,Haut::N,тирии,koža
44,Blut::N,хаан,krv
45,Ader::N,вена,žila
46,Ader::N,күөх_тымыр,žila
47,Sehne::N,иҥиир,šľacha
48,Knochen::N,уҥуох,kosť
49,Knochen::N,уҥгуох,kosť
50,Gehirn::N,мэйии,mozog
51,Herz::N,сүрэх,srdce
52,Magen::N,куртах,žalúdok
53,Leber::N,быар,pečeň
54,Atem::N,тыын,dych
55,Hunger::N,аас,hlad
56,Träne::N,харах уута,slza
57,Geschmack::N,амтан,chuť
58,Geruch::N,сыт,pach
59,Schlaf::N,утуйуу,spánok
60,Traum::N,түүл,sen
61,Himmel::N,халлаан,nebo
62,Sonne::N,күн,slnko
63,Mond::N,ый,mesiac
64,Stern::N,сулус,hviezda
65,Luft::N,салгын,vzduch
66,Wind::N,тыал,vietor
67,Welle::N,долгун,vlna
68,Welle::N,балхаан,vlna
69,Wasser::N,уу,voda
70,Stein::N,таас,kameň
71,Boden::N,сир,zem
72,Boden::N,сир,pôda
73,Erde::N,буор,zem
74,Staub::N,быыл,prach
75,Rauch::N,буруо,dym
76,Funke::N,кыым,iskra
77,Feuer::N,уот,oheň
78,Licht::N,уот,svetlo
79,Schatten::N,күлүк,tieň
80,Wetter::N,күн-дьыл,počasie
81,Nebel::N,туман,hmla
82,Wolke::N,былыт,oblak
83,Wolke::N,былыт,mračno
84,Regen::N,самыыр,dážď
85,Schnee::N,хаар,sneh
86,Eis::N,муус,ľad
87,Frost::N,тымныы,mráz
88,Kälte::N,тымныы,zima
89,Kälte::N,тымныы,chlad
90,Hitze::N,куйаас,horúčava
91,Raureif::N,кырыа,srieň
92,Raureif::N,кырыа,inovať
93,Regenbogen::N,кустук,dúha
94,Donner::N,этиҥ,hrom
95,Strömung::N,сүүрүк,prúdenie
96,Tropfen::N,таммах,kvapka
97,Tropfen::N,хааппыла,kvapka
98,Schaum::N,күүгэн,pena
99,Schmutz::N,кир,špina
100,Schmutz::N,кир,nečistota
101,See::N,күөл,jazero
102,Sumpf::N,бадараан,bahno
103,Moor::N,дьэбэрэ,močiar
104,Wiese::N,ходуһа,lúka
