,Concept_ID,fr,zh
0,Auge::N,œil,眼睛
1,Ohr::N,oreille,耳朵
2,Nase::N,nez,鼻子
3,Mund::N,bouche,嘴
4,Zahn::N,dent,牙齿
5,Zunge::N,langue,舌头
6,Lippe::N,lèvre,嘴唇
7,Wange::N,joue,面颊
8,Gesicht::N,face,脸
9,Gesicht::N,visage,脸
10,Stirn::N,front,额
11,Haar::N,cheveu,头发
12,Schnurrbart::N,moustache,髭须
13,Bart::N,barbe,胡子
14,Kinn::N,menton,下巴
15,Kiefer[Anatomie]::N,mâchoire,颌
16,Kehle::N,gorge,嗓子
17,Hals::N,cou,颈
18,Genick::N,nuque,后颈
19,Kopf::N,tête,头
20,Rücken::N,dos,背
21,Bauch::N,ventre,肚子
22,Nabel::N,nombril,肚脐
23,Busen::N,sein,胸脯
24,Brust::N,poitrine,胸
25,Schulter::N,épaule,肩膀
26,Arm::N,bras,臂膀
27,Ellenbogen::N,coude,肘
28,Hand::N,main,手
29,Handfläche::N,paume,手掌
30,Finger::N,doigt,手指
31,Fingernagel::N,ongle,指甲
32,Nagel[Anatomie]::N,ongle,指甲
33,Zeh::N,orteil,脚趾
34,Zeh::N,doigt de pied,脚趾
35,Fuß::N,pied,脚
36,Ferse::N,talon,后跟
37,Knie::N,genou,膝
38,Oberschenkel::N,cuisse,大腿
39,Bein::N,jambe,腿
40,Körper::N,corps,身体
41,Haut::N,peau,皮肤
42,Blut::N,sang,血
43,Ader::N,veine,血管
44,Sehne::N,tendon,腱
45,Knochen::N,os,骨
46,Gehirn::N,cerveau,脑
47,Herz::N,cœur,心
48,Magen::N,estomac,胃
49,Leber::N,foie,肝
50,Atem::N,haleine,呼吸
51,Hunger::N,faim,饿
52,Träne::N,larme,眼泪
53,Geschmack::N,goût,味道
54,Geschmack::N,saveur,味道
55,Geruch::N,odeur,气味
56,Schlaf::N,sommeil,睡眠
57,Traum::N,songe,梦
58,Himmel::N,ciel,天空
59,Sonne::N,soleil,太阳
60,Mond::N,lune,月亮
61,Stern::N,étoile,星
62,Luft::N,air,空气
63,Wind::N,vent,风
64,Welle::N,vague,波
65,Wasser::N,eau,水
66,Stein::N,pierre,石头
67,Boden::N,sol,地面
68,Boden::N,terrain,地面
69,Erde::N,terre,地
70,Staub::N,poussière,灰尘
71,Rauch::N,fumée,烟
72,Funke::N,étincelle,火花
73,Feuer::N,feu,火
74,Licht::N,lumière,光
75,Schatten::N,ombre,影子
76,Wetter::N,temps,天气
77,Nebel::N,brume,雾
78,Nebel::N,brouillard,雾
79,Wolke::N,nuage,云
80,Regen::N,pluie,雨
81,Schnee::N,neige,雪
82,Eis::N,glace,冰
83,Frost::N,gel,霜冻
84,Frost::N,gelée,霜冻
85,Kälte::N,froid,寒冷
86,Hitze::N,chaleur,炎热
87,Raureif::N,givre,霜
88,Regenbogen::N,arc-en-ciel,虹
89,Donner::N,tonnerre,雷
90,Strömung::N,courant,水流
91,Tropfen::N,goutte,滴
92,Schaum::N,écume,泡沫
93,Schaum::N,mousse,泡沫
94,Schmutz::N,boue,赃物
95,Schmutz::N,saleté,赃物
96,See::N,lac,湖
97,Sumpf::N,marais,沼泽
98,Sumpf::N,marécage,沼泽
99,Moor::N,tourbière,沼泽
100,Wiese::N,pré,草地
101,Wald::N,bois,森林
102,Wald::N,forêt,森林
103,Hügel::N,coteau,丘陵
104,Hügel::N,colline,丘陵
105,Anhöhe::N,éminence,山丘
106,Anhöhe::N,élévation,山丘
107,Berg::N,mont,山
108,Berg::N,montagne,山
109,Gipfel::N,cime,峰
110,Gipfel::N,sommet,峰
111,Höhle::N,caverne,洞穴
112,Abhang::N,pente,斜坡
113,Abhang::N,versant,斜坡
114,Quelle::N,source,泉
115,Quelle::N,fontaine,泉
116,Bach::N,ruisseau,溪
117,Fluss::N,fleuve,河流
118,Fluss::N,rivière,河流
119,Ufer::N,bord,岸
120,Ufer::N,rivage,岸
121,Küste::N,côte,海岸
122,Festland::N,terre ferme,大陆
123,Meer::N,mer,海
124,Bucht::N,baie,海湾
125,Insel::N,île,岛
126,Blume::N,fleur,花
127,Gras::N,herbe,草
128,Wurzel::N,racine,根
129,Baum::N,arbre,树
130,Stamm::N,tronc,树干
131,Rinde::N,écorce,树皮
132,Ast::N,branche,树枝
133,Zweig::N,rameau,树枝
134,Blatt::N,feuille,叶子
135,Birke::N,bouleau,桦木
136,Kiefer[Baum]::N,pin,松树
137,Weide[Baum]::N,saule,柳树
138,Tanne::N,sapin,冷杉
139,Horn::N,corne,角
140,Feder::N,plume,羽毛
141,Fell::N,peau,皮毛
142,Flügel::N,aile,翅膀
143,Klaue::N,serre,爪子
144,Kralle::N,ongle,爪子
145,Kralle::N,griffe,爪子
146,Schwanz::N,queue,尾巴
147,Ei::N,œuf,蛋
148,Nest::N,nid,巢
149,Bau::N,terrier,穴
150,Tier::N,animal,动物
151,Herde::N,troupeau,群
152,Kuh::N,vache,母牛
153,Bulle::N,taureau,公牛
154,Pferd::N,cheval,马
155,Schaf::N,mouton,羊
156,Schwein::N,porc,猪
157,Schwein::N,cochon,猪
158,Hund::N,chien,狗
159,Katze::N,chat,猫
160,Bär::N,ours,熊
161,Eichhörnchen::N,écureuil,松鼠
162,Elch::N,élan,麋鹿
163,Fuchs::N,renard,狐狸
164,Hase::N,lièvre,兔子
165,Maus::N,souris,老鼠
166,Wolf::N,loup,狼
167,Vogel::N,oiseau,鸟
168,Schwarm::N,nuée,群
169,Schwarm::N,volée,群
170,Huhn::N,poule,鸡
171,Hahn::N,coq,公鸡
172,Gans::N,oie,鹅
173,Adler::N,aigle,鹰
