,Concept_ID,ro,no
0,Auge::N,ochi,øye
1,Ohr::N,ureche,øre
2,Nase::N,nas,nese
3,Mund::N,gură,munn
4,Zahn::N,dinte,tann
5,Zunge::N,limbă,tunge
6,Lippe::N,buză,leppe
7,Wange::N,bucă,kinn
8,Wange::N,obraz,kinn
9,Gesicht::N,față,fjes
10,Gesicht::N,față,ansikt
11,Gesicht::N,figură,fjes
12,Gesicht::N,figură,ansikt
13,Stirn::N,frunte,panne
14,Haar::N,păr,hår
15,Schnurrbart::N,mustață,bart
16,Bart::N,barbă,skjegg
17,Kinn::N,bărbie,hake
18,Kiefer[Anatomie]::N,falcă,kjeve
19,Kehle::N,beregată,strupe
20,Hals::N,gât,hals
21,Genick::N,ceafă,nakke
22,Kopf::N,cap,hode
23,Rücken::N,dos,rygg
24,Rücken::N,spate,rygg
25,Rücken::N,spinare,rygg
26,Bauch::N,burtă,buk
27,Bauch::N,burtă,mage
28,Bauch::N,pântece,buk
29,Bauch::N,pântece,mage
30,Nabel::N,buric,navle
31,Busen::N,sân,barm
32,Brust::N,piept,bryst
33,Schulter::N,umăr,skulder
34,Schulter::N,spate,skulder
35,Arm::N,braț,arm
36,Ellenbogen::N,cot,albue
37,Hand::N,mână,hånd
38,Handfläche::N,palmă,håndflate
39,Finger::N,deget,finger
40,Fingernagel::N,unghie,fingernegl
41,Nagel[Anatomie]::N,unghie,negl
42,Zeh::N,deget de la picior,tå
43,Fuß::N,picior,fot
44,Ferse::N,călcâi,hæl
45,Knie::N,genunchi,kne
46,Oberschenkel::N,coapsă,lår
47,Bein::N,picior,bein
48,Körper::N,corp,kropp
49,Körper::N,corp,legeme
50,Haut::N,piele,hud
51,Haut::N,piele,skinn
52,Blut::N,sânge,blod
53,Ader::N,vână,åre
54,Ader::N,arteră,åre
55,Sehne::N,tendon,sene
56,Knochen::N,os,bein
57,Knochen::N,os,knokkel
58,Gehirn::N,creier,hjerne
59,Herz::N,inimă,hjerte
60,Magen::N,stomac,mage
61,Leber::N,ficat,lever
62,Atem::N,răsuflare,pust
63,Atem::N,respirație,pust
64,Hunger::N,foame,sult
65,Träne::N,lacrimă,tåre
66,Geschmack::N,gust,smak
67,Geruch::N,miros,lukt
68,Schlaf::N,somn,søvn
69,Traum::N,vis,drøm
70,Himmel::N,cer,himmel
71,Sonne::N,soare,sol
72,Mond::N,lună,måne
73,Stern::N,stea,stjerne
74,Luft::N,aer,luft
75,Wind::N,vânt,vind
76,Welle::N,val,bølge
77,Welle::N,undă,bølge
78,Wasser::N,apă,vann
79,Stein::N,piatră,stein
80,Boden::N,sol,bakke
81,Boden::N,pământ,bakke
82,Erde::N,pământ,jord
83,Staub::N,praf,støv
