,Concept_ID,he,cy
0,Auge::N,עין,llygad
1,Ohr::N,אזן,clust
2,Nase::N,אף,trwyn
3,Nase::N,חטם,trwyn
4,Mund::N,פה,ceg
5,Zahn::N,שן,dant
6,Zunge::N,לשון,tafod
7,Lippe::N,שפה,gwefus
8,Wange::N,לחי,boch
9,Gesicht::N,פנים,wyneb
10,Stirn::N,מצח,talcen
11,Haar::N,שערה,blew
12,Schnurrbart::N,שפם,mwstas
13,Bart::N,זקן,barf
14,Kinn::N,סנטר,gên
15,Kiefer[Anatomie]::N,לסת,gên
16,Kehle::N,גרון,gwddf
17,Hals::N,צואר,gwddf
18,Genick::N,ערף,gwar
19,Genick::N,ערף,gwegil
20,Kopf::N,ראש,pen
21,Rücken::N,גב,cefn
22,Bauch::N,בטן,bol
23,Nabel::N,טבור,bogail
24,Busen::N,שד,bron
25,Brust::N,חזה,brest
26,Schulter::N,כתף,ysgwydd
27,Arm::N,זרוע,braich
28,Ellenbogen::N,מרפק,penelin
29,Hand::N,יד,llaw
30,Handfläche::N,כף יד,palf
31,Finger::N,אצבע,bys
32,Fingernagel::N,צפרן,ewin
33,Nagel[Anatomie]::N,צפרן,ewin
34,Zeh::N,אצבע,bys troed
35,Fuß::N,רגל,troed
36,Ferse::N,עקב,sawdl
37,Knie::N,ברך,glin
38,Oberschenkel::N,ירך,clun
39,Bein::N,רגל,coes
40,Körper::N,גוף,corff
41,Haut::N,עור,croen
42,Blut::N,דם,gwaed
43,Ader::N,וריד,gwythïen
44,Sehne::N,גיד,gewyn
45,Knochen::N,עצם,asgwrn
46,Gehirn::N,מוח,ymennydd
47,Herz::N,לב,calon
48,Magen::N,קבה,cylla
49,Magen::N,קבה,stumog
50,Leber::N,כבד,iau
51,Atem::N,נשימה,anadl
52,Hunger::N,רעב,newyn
53,Träne::N,דמעה,deigryn
54,Geschmack::N,טעם,cyflas
55,Geruch::N,ריח,aroglau
56,Schlaf::N,שנה,cwsg
57,Traum::N,חלום,breuddwyd
58,Himmel::N,שמים,awyr
59,Sonne::N,שמש,haul
60,Mond::N,ירח,lleuad
61,Stern::N,כוכב,seren
62,Luft::N,אויר,awyr
63,Wind::N,רוח,gwynt
64,Welle::N,גל,ton
65,Wasser::N,מים,dŵr
66,Stein::N,אבן,carreg
67,Boden::N,קרקע,llawr
68,Erde::N,אדמה,pridd
69,Staub::N,אבק,llwch
70,Rauch::N,עשן,mwg
71,Funke::N,ניצוץ,gwreichioni
72,Feuer::N,אש,tân
73,Licht::N,אור,golau
