,Concept_ID,sah,ps
0,Auge::N,харах,سترګه
1,Ohr::N,кулгаах,غوږ
2,Nase::N,мурун,پوزه
3,Mund::N,айах,خوله
4,Zahn::N,тиис,غاښ
5,Zunge::N,тыл,جبه
6,Lippe::N,уос,شونډه
7,Wange::N,иэдэс,باړخو
8,Gesicht::N,сирэй,مخ
9,Stirn::N,сүүс,تندی
10,Stirn::N,сүүс,وچولی
11,Haar::N,баттах,وېښته
12,Schnurrbart::N,уос бытыга,برېت
13,Bart::N,сэҥийэ бытыга,ږیره
14,Kinn::N,сэҥийэ,زنه
15,Kiefer[Anatomie]::N,сыҥаах,جامه
16,Kehle::N,тамах,غاړه
17,Kehle::N,күөмэй,غاړه
18,Hals::N,моой,غاړه
19,Genick::N,кэтэх,ورمېږ
20,Kopf::N,бас,سر
21,Rücken::N,көҕүс,شا
22,Bauch::N,ис,نس
23,Bauch::N,ис,ګېډه
24,Nabel::N,киин,نوم
25,Busen::N,эмиий,تی
26,Brust::N,түөс,سینه
27,Schulter::N,сарын,اوږه
28,Arm::N,илии,لاس
29,Ellenbogen::N,тоҕонох,څنګل
30,Hand::N,илии,لاس
31,Handfläche::N,ытыс,ورغوی
32,Finger::N,тарбах,ګوته
33,Fingernagel::N,тыҥырах,نوک
34,Nagel[Anatomie]::N,тыҥырах,نوک
35,Zeh::N,тарбах,ګوته
36,Fuß::N,уллуҥах,پښه
37,Ferse::N,тилэх,پونده
38,Knie::N,тобук,زنګون
39,Knie::N,дьилбэк,زنګون
40,Oberschenkel::N,уллук,پتون
41,Oberschenkel::N,өттүк,پتون
42,Bein::N,атах,پښه
43,Körper::N,бэйэ,ځان
44,Haut::N,тирии,پوټکی
45,Blut::N,хаан,وینه
46,Ader::N,вена,رګ
47,Ader::N,күөх_тымыр,رګ
48,Sehne::N,иҥиир,پله
49,Knochen::N,уҥуох,هډوکی
50,Knochen::N,уҥгуох,هډوکی
51,Gehirn::N,мэйии,ماغزه
52,Herz::N,сүрэх,زړه
53,Magen::N,куртах,معده
54,Leber::N,быар,ينه
55,Leber::N,быар,ځیګر
56,Atem::N,тыын,نفس
57,Hunger::N,аас,ولږه
58,Träne::N,харах уута,اوښکه
59,Geschmack::N,амтан,مزه
60,Geschmack::N,амтан,خوند
61,Geruch::N,сыт,بوی
62,Schlaf::N,утуйуу,خوب
63,Traum::N,түүл,خوب
64,Himmel::N,халлаан,اسمان
65,Sonne::N,күн,لمر
66,Mond::N,ый,سپوږمۍ
67,Stern::N,сулус,ستوری
68,Luft::N,салгын,هوا
69,Wind::N,тыал,ورښ
70,Welle::N,долгун,موج
71,Welle::N,балхаан,موج
72,Wasser::N,уу,اوبه
73,Stein::N,таас,ډبره
74,Boden::N,сир,مځکه
75,Erde::N,буор,خاوره
76,Staub::N,быыл,ګرد
77,Staub::N,быыл,خاوره
78,Rauch::N,буруо,دود
79,Rauch::N,буруо,لوګی
80,Funke::N,кыым,سپرغۍ
81,Feuer::N,уот,اور
82,Licht::N,уот,رڼا
83,Schatten::N,күлүк,سیوری
84,Wetter::N,күн-дьыл,هوا
85,Nebel::N,туман,لړه
86,Wolke::N,былыт,ورېځ
87,Regen::N,самыыр,وریا
88,Regen::N,самыыр,باران
89,Schnee::N,хаар,واوره
