,Concept_ID,kk,kl
0,Auge::N,көз,isi
1,Ohr::N,құлақ,siut
2,Nase::N,мұрын,
3,Mund::N,ауыз,paaq
4,Mund::N,ауыз,qaneq
5,Zahn::N,тіс,kigut
6,Zunge::N,тіл,oqaq
7,Lippe::N,ерін,qarloq
8,Wange::N,ұрт,ersaq
9,Gesicht::N,бет-аузы,kiinaq
10,Stirn::N,маңдай,qaaq
11,Haar::N,қыл,meqqoq
12,Schnurrbart::N,мұрт,
13,Bart::N,сақал,umik
14,Kinn::N,иек,talloq
15,Kiefer[Anatomie]::N,жақ,alleroq
16,Kehle::N,алқым,malaq
17,Hals::N,мойын,qungaseq
18,Genick::N,желке,pukusuk
19,Kopf::N,кәллә,niaqoq
20,Rücken::N,арқа,qimerlut
21,Bauch::N,қарын,naaq
22,Nabel::N,кіндік,qalaseq
23,Busen::N,омырау,iviangeq
24,Brust::N,кеуде,iviangeq
25,Schulter::N,иық,ersik
26,Schulter::N,иық,assaqqoq
27,Arm::N,қол,taleq
28,Ellenbogen::N,шынтақ,ikusik
29,Hand::N,қол,assak
30,Handfläche::N,алақан,itumak
31,Finger::N,саусақ,inuak
32,Fingernagel::N,тырнақ,kikiak
33,Nagel[Anatomie]::N,тырнақ,kukik
34,Zeh::N,тырнақ,isigak
35,Zeh::N,тұяқ,isigak
36,Fuß::N,аяқ-басы,
37,Ferse::N,өкше,kimmik
38,Ferse::N,өкшелік,kimmik
39,Knie::N,тізе,seeqqoq
40,Oberschenkel::N,жамбас,uppat
41,Oberschenkel::N,жамбас,quttoraq
42,Bein::N,аяқ,isigak
43,Körper::N,дене,timi
44,Haut::N,тері,mattak
45,Blut::N,қан,aak
46,Ader::N,көктамыр,taqaq
47,Ader::N,күретамыр,taqaq
48,Sehne::N,сіңір,ujalu
49,Sehne::N,сіңір,ujaloq
50,Knochen::N,жілік,saanikut
51,Gehirn::N,ми,qarasaq
52,Herz::N,жүрек,uummat
53,Magen::N,асқазан,aqajaroq
54,Leber::N,бауыр,tinguk
55,Atem::N,леп,anerneq
56,Hunger::N,ашаршылық,kaanneq
57,Träne::N,жас,qia
58,Träne::N,жас,qiak
59,Geschmack::N,дәм,qilanaartuut
60,Geschmack::N,татым,qilanaartuut
61,Geschmack::N,талғам,qilanaartuut
62,Geruch::N,иіс,tipi
63,Geruch::N,иіс,tipik
64,Schlaf::N,ұйқы,
65,Schlaf::N,ұйықтау,
66,Traum::N,түс,sinnattoq
67,Traum::N,түс,sinnattugaq
68,Himmel::N,аспан,qilak
69,Himmel::N,көқ,qilak
70,Himmel::N,таңдай,qilak
71,Sonne::N,күн,seqineq
72,Mond::N,ай,qaammat
73,Stern::N,жұлдыз,ulloriaq
74,Luft::N,әуе,silaannaq
75,Wind::N,жел,anori
76,Wind::N,жел,anorsarik
77,Welle::N,толқын,aalappaa
78,Wasser::N,су,imeq
79,Stein::N,тас,ujarak
80,Boden::N,қыртыс,nateq
81,Erde::N,топырақ,issoq
82,Staub::N,шаң,pujualanerit
83,Staub::N,шаң,pujoralanerit
84,Rauch::N,түтін,iseq
85,Rauch::N,түтін,pujoq
86,Funke::N,ұшқын,illoorneq
87,Feuer::N,алау,inneq
88,Licht::N,шұғыла,qaamaneq
89,Schatten::N,көлеңке,tarraq
90,Wetter::N,ауа райы,sila
91,Nebel::N,тұман,pujoq
92,Wolke::N,бұлт,nuia
93,Regen::N,жаңбыр,sialuk
94,Schnee::N,қар,aput
95,Eis::N,мұз,siku
96,Frost::N,суық,issi
97,Frost::N,суық,issik
98,Kälte::N,ызғар,issi
99,Kälte::N,суықтық,issi
100,Hitze::N,аптап,kianneq
101,Hitze::N,аптап,kiassuseq
102,Raureif::N,қырау,kaneq
103,Regenbogen::N,кемпірқосақ,neriusaaq
104,Donner::N,күн күркіреу,kalleq
105,Strömung::N,ағын,
106,Tropfen::N,тамшы,kuseriarneq
107,Schaum::N,көбік,qapuk
108,Schmutz::N,кір,minguk
109,See::N,көл,taseq
110,Sumpf::N,саз,maqulluk
111,Moor::N,саз,
112,Wiese::N,шалғын,masarsuk
113,Wald::N,орман,
114,Hügel::N,төбе,qattuneq
115,Hügel::N,төбе,majuariaq
116,Hügel::N,төбе,majorajaaq
117,Hügel::N,төбе,qaqqannguaq
118,Hügel::N,белес,qattuneq
119,Hügel::N,белес,majuariaq
120,Hügel::N,белес,majorajaaq
121,Hügel::N,белес,qaqqannguaq
122,Hügel::N,белес-белес,qattuneq
123,Hügel::N,белес-белес,majuariaq
124,Hügel::N,белес-белес,majorajaaq
125,Hügel::N,белес-белес,qaqqannguaq
126,Anhöhe::N,дөң,
127,Anhöhe::N,адыр,
128,Anhöhe::N,қырат,
129,Berg::N,тау,qaqqaq
130,Gipfel::N,төбе,
131,Höhle::N,үңгір,qaarusuk
132,Abhang::N,бауыр,ippik
133,Abhang::N,бауыр,sivinganeq
134,Abhang::N,бауыр,sivingajaaq
135,Abhang::N,бауыр,kussangajaaq
136,Quelle::N,қайнар,
137,Bach::N,жылға,kuunnguaq
138,Fluss::N,өзен,kuuk
139,Ufer::N,жиек,sissap sinaa
140,Küste::N,жиегі,sineriak
141,Küste::N,жағалау,sineriak
142,Festland::N,құрылық,
143,Meer::N,теңіз,imaq
144,Bucht::N,шығанақ,ikeq
145,Bucht::N,шығанақ,kangerluk
146,Bucht::N,шығанақ,kangerliumaneq
147,Insel::N,арал,qeqertaq
148,Blume::N,гүл,naasoq
149,Gras::N,от,ivigaq
150,Wurzel::N,түбір,niulutaq
151,Baum::N,ағаш,orpik
152,Baum::N,дарақ,orpik
153,Stamm::N,сояу,kanaartaq
154,Stamm::N,оқпан,kanaartaq
155,Rinde::N,қабық,ameraq
156,Ast::N,бұтақ,avalequt
157,Zweig::N,шыбық,avalequt
158,Blatt::N,жапырақ,pilutaq
159,Birke::N,қайың,patitsit
160,Kiefer[Baum]::N,қарағай,
161,Weide[Baum]::N,тал,palleq
162,Tanne::N,шырша,orsuerneq
163,Horn::N,мүйіз,nassuk
164,Feder::N,қаламұш,suluk
165,Fell::N,тері,ameq
166,Flügel::N,қанат,suluk
167,Flügel::N,қанат,isaroq
168,Klaue::N,тырнақ,kukik
169,Kralle::N,аяқ,kukik
170,Schwanz::N,құйрық,pamioq
171,Schwanz::N,құйрық,paperuusaq
172,Ei::N,жұмыртқа,mannik
173,Nest::N,ұя,ullut
174,Bau::N,жатақ,ini
175,Tier::N,айуан,uumasoq
176,Tier::N,жануар,uumasoq
177,Herde::N,пада,unguukkat
178,Kuh::N,сиыр,ussik
179,Bulle::N,өгіз,angukulak
180,Bulle::N,өгіз,anguteralak
181,Bulle::N,өгіз,angutikulooq
182,Pferd::N,жылқы,
183,Schaf::N,қой,sava
184,Schwein::N,шошқа,puuluki
185,Hund::N,ит,qimmeq
186,Katze::N,мысық,puisaaq
187,Bär::N,аю,allaq
188,Eichhörnchen::N,тиін,sissinnguaq
189,Elch::N,бұғы,
190,Fuchs::N,түлкі,terianniaq
191,Hase::N,қоян,ukaleq
192,Maus::N,қаптесер,teriannguaq
193,Wolf::N,бөрі,amaroq
194,Wolf::N,қасқыр,amaroq
195,Vogel::N,құс,timmiaq
196,Schwarm::N,топ,
197,Schwarm::N,үйір,
198,Huhn::N,тауық,kukkukooq
199,Huhn::N,тауық,marloraaqaaq
200,Huhn::N,мекиен,kukkukooq
201,Huhn::N,мекиен,marloraaqaaq
202,Hahn::N,әтеш,kiasiusaq
203,Hahn::N,қораз,kiasiusaq
204,Gans::N,қаз,nerleq
205,Adler::N,бүркіт,nattoralik
206,Ente::N,үйрек,
207,Eule::N,жапалақ,uppik
208,Kranich::N,тырна,qorlorfik
209,Krähe::N,қарға,tuluatsiaq
210,Kuckuck::N,көкек,kukkooq
211,Schwan::N,аққу,qussuk
212,Fisch::N,балық,aalisagaq
213,Barsch::N,алабұға,
214,Hecht::N,шортан,
215,Schlange[Tier]::N,жылан,pulateriarsuk
216,Schlange[Tier]::N,жылан,pulateriaarsuk
217,Wurm::N,шұбалшаң,
218,Spinne::N,өрмекші,aasiaq
219,Spinne::N,өрмекші,nissavaarsuk
220,Ameise::N,қүмырска,uniaaluk
221,Laus::N,бит,kumak
222,Mücke::N,маса,ippernaq
223,Fliege::N,шыбын,ippernaq
224,Schmetterling::N,көбелек,paluaq
225,Schmetterling::N,көбелек,pakkaluaq
226,Schmetterling::N,көбелек,utsuppaluaq
227,Schmetterling::N,көбелек,taqaleqisaaq
228,Beere::N,жидек,paarmaq
229,Beere::N,жидек,paarngaq
230,Apfel::N,алма,iipili
231,Pilz::N,қозықұйрық,anngiusaq
232,Pilz::N,саңыраукулақ,anngiusaq
233,Zwiebel::N,жуа,uanitsoq
234,Saat::N,тұқым,naatsiiassaq
235,Korn::N,дән,maannineq
236,Heu::N,шөп,
237,Schale::N,қабық,niutsivik
238,Schale::N,қабық,ilulissaq qaartussaq
239,Schale::N,қабығы,niutsivik
240,Schale::N,қабығы,ilulissaq qaartussaq
241,Grube::N,ор,itersaq
242,Falle::N,дұзақ,pualavoq
243,Falle::N,қақпан,pualavoq
244,Schlinge::N,ілмек,orseq
245,Schlinge::N,ілмек,norloq
246,Spur::N,із,tumaa
247,Asche::N,күл,arsat
248,Dreck::N,былғаныш,minguk
249,Eisen::N,темір,savimineq
250,Eisen::N,темір,saffiugassaq
251,Gold::N,алтын,kuulti
252,Silber::N,күміс,siilviuvoq
253,Kohle::N,көмір,aamarsuit aamaruutissat
254,Glas::N,шыны,igalaaq
255,Glas::N,шыны,imertarfik
256,Glas::N,шыны,igalaamineq
257,Lehm::N,балшық,marraq
258,Sand::N,құм,sioqqat
259,Mensch::N,адам,inuk
260,Mensch::N,адам,silamiu
261,Mann::N,еркек,angut
262,Mann::N,ер адам,angut
263,Frau::N,бике,arnaq
264,Frau::N,қатын,arnaq
