,Concept_ID,lt,cy
0,Auge::N,akis,llygad
1,Ohr::N,ausis,clust
2,Nase::N,nosis,trwyn
3,Mund::N,burna,ceg
4,Zahn::N,dantis,dant
5,Zunge::N,liežuvis,tafod
6,Lippe::N,lūpa,gwefus
7,Wange::N,žandas,boch
8,Wange::N,skruostas,boch
9,Gesicht::N,veidas,wyneb
10,Stirn::N,kakta,talcen
11,Haar::N,plaukai,blew
12,Schnurrbart::N,ūsai,mwstas
13,Bart::N,barzda,barf
14,Kinn::N,smakras,gên
15,Kiefer[Anatomie]::N,žandikaulis,gên
16,Kehle::N,gerklė,gwddf
17,Hals::N,kaklas,gwddf
18,Genick::N,sprandas,gwar
19,Genick::N,sprandas,gwegil
20,Kopf::N,galva,pen
21,Rücken::N,nugara,cefn
22,Bauch::N,pilvas,bol
23,Nabel::N,bamba,bogail
24,Busen::N,krūtinė,bron
25,Brust::N,krūtis,brest
26,Schulter::N,petys,ysgwydd
27,Arm::N,ranka,braich
28,Ellenbogen::N,alkūnė,penelin
29,Hand::N,ranka,llaw
30,Hand::N,plaštaka,llaw
31,Handfläche::N,delnas,palf
32,Handfläche::N,plaštaka,palf
33,Finger::N,pirštas,bys
34,Fingernagel::N,nagas,ewin
35,Nagel[Anatomie]::N,nagas,ewin
36,Zeh::N,pirštas,bys troed
37,Fuß::N,pėda,troed
38,Ferse::N,kulnas,sawdl
39,Knie::N,kelis,glin
40,Oberschenkel::N,kulšis,clun
41,Oberschenkel::N,šlaunis,clun
42,Bein::N,koja,coes
43,Körper::N,kūnas,corff
44,Haut::N,oda,croen
45,Blut::N,kraujas,gwaed
46,Ader::N,kraujagyslė,gwythïen
47,Sehne::N,sausgyslė,gewyn
48,Knochen::N,kaulas,asgwrn
49,Gehirn::N,smegenys,ymennydd
50,Herz::N,širdis,calon
51,Magen::N,skrandis,cylla
52,Magen::N,skrandis,stumog
53,Leber::N,kepenys,iau
54,Atem::N,kvapas,anadl
55,Hunger::N,badas,newyn
56,Hunger::N,alkis,newyn
57,Träne::N,ašara,deigryn
58,Geschmack::N,skonis,cyflas
59,Geruch::N,kvapas,aroglau
60,Schlaf::N,miegas,cwsg
61,Traum::N,sapnas,breuddwyd
62,Himmel::N,dangus,awyr
63,Sonne::N,saulė,haul
64,Mond::N,mėnulis,lleuad
65,Stern::N,žvaigždė,seren
66,Luft::N,oras,awyr
67,Wind::N,vėjas,gwynt
68,Welle::N,banga,ton
69,Welle::N,vilnis,ton
70,Wasser::N,vanduo,dŵr
71,Stein::N,akmuo,carreg
72,Boden::N,žemė,llawr
73,Boden::N,dugnas,llawr
74,Erde::N,žemė,pridd
75,Staub::N,dulkės,llwch
76,Rauch::N,dūmai,mwg
77,Funke::N,kibirkštis,gwreichioni
78,Feuer::N,ugnis,tân
79,Licht::N,šviesa,golau
80,Schatten::N,paūksmė,cysgod
81,Wetter::N,oras,tywydd
82,Nebel::N,migla,niwl
83,Nebel::N,rūkas,niwl
84,Wolke::N,debesis,cwmwl
85,Regen::N,lietus,glaw
86,Schnee::N,sniegas,ôd
87,Schnee::N,sniegas,eira
88,Eis::N,ledas,iâ
89,Frost::N,šalna,rhew
90,Kälte::N,šaltis,oerni
91,Kälte::N,šaltis,annwyd
92,Hitze::N,karštis,gwres
93,Raureif::N,šerkšnas,barrug
94,Regenbogen::N,vaivorykštė,enfys
95,Donner::N,perkūnas,tyrfau
96,Donner::N,griaustinis,tyrfau
97,Strömung::N,tėkmė,cerrynt
98,Tropfen::N,lašas,dafn
99,Tropfen::N,lašas,diferyn
100,Schaum::N,putos,ewyn
101,Schmutz::N,purvas,baw
102,Schmutz::N,purvas,budreddi
103,See::N,ežeras,llyn
104,Sumpf::N,klampynė,cors
105,Sumpf::N,liūnas,cors
106,Moor::N,pelkė,rhos
107,Wiese::N,pieva,dôl
108,Wald::N,miškas,coedwig
109,Hügel::N,kalva,bryn
110,Anhöhe::N,kauburys,bryn
111,Berg::N,kalnas,mynydd
112,Gipfel::N,viršūnė,copa
113,Höhle::N,ola,ogof
114,Abhang::N,šlaitas,llethr
115,Abhang::N,nuokalnė,llethr
116,Quelle::N,versmė,tarddiad
117,Quelle::N,versmė,ffynhonnell
118,Quelle::N,šaltinis,tarddiad
119,Quelle::N,šaltinis,ffynhonnell
120,Bach::N,upelis,nant
121,Bach::N,upelis,afonig
122,Bach::N,upelis,cornant
123,Fluss::N,upė,afon
124,Ufer::N,krantas,glan
125,Küste::N,pajūris,traeth
126,Küste::N,pajūris,arfordir
127,Festland::N,sausuma,tir
128,Meer::N,jūra,môr
129,Bucht::N,įlanka,bae
130,Bucht::N,užutekis,bae
131,Insel::N,sala,ynys
132,Blume::N,gėlė,blodyn
133,Gras::N,žolė,glaswellt
134,Wurzel::N,šaknis,gwreiddyn
135,Baum::N,medis,coeden
136,Stamm::N,kamienas,colfen
137,Stamm::N,kamienas,boncyff
138,Rinde::N,žievė,rhisgl
139,Ast::N,šaka,cangen
140,Zweig::N,šakelė,cainc
141,Zweig::N,šakelė,cangen
142,Blatt::N,lapas,deilen
143,Birke::N,beržas,bedwen
144,Kiefer[Baum]::N,pušis,pinwydden
145,Weide[Baum]::N,karklas,helygen
146,Tanne::N,eglė,ffynidwydden
147,Tanne::N,kėnis,ffynidwydden
148,Horn::N,ragas,corn
149,Feder::N,plunksna,plufyn
150,Fell::N,kailis,ffwr
151,Flügel::N,sparnas,adain
152,Klaue::N,kanopa,crafanc
153,Kralle::N,nagas,ewin
154,Schwanz::N,uodega,cwt
155,Schwanz::N,uodega,cynffon
156,Ei::N,kiaušinis,wy
157,Nest::N,gūžta,nyth
158,Nest::N,lizdas,nyth
159,Bau::N,ola,ffau
160,Tier::N,gyvūnas,anifail
161,Herde::N,banda,praidd
162,Herde::N,banda,diadell
163,Herde::N,kaimenė,praidd
164,Herde::N,kaimenė,diadell
165,Kuh::N,karvė,buwch
166,Bulle::N,bulius,tarw
167,Pferd::N,arklys,ceffyl
168,Schaf::N,avis,dafad
169,Schwein::N,kiaulė,mochyn
170,Hund::N,šuo,ci
171,Katze::N,katė,cath
172,Bär::N,lokys,arth
173,Eichhörnchen::N,voveraitė,gwiwer
174,Elch::N,briedis,elc
175,Fuchs::N,lapė,cadno
176,Hase::N,kiškas,ysgyfarnog
177,Maus::N,pelė,llygoden
178,Wolf::N,vilkas,blaidd
179,Vogel::N,paukštis,aderyn
180,Schwarm::N,spiečius,haid
181,Huhn::N,višta,cyw
182,Hahn::N,gaidys,ceiliog
183,Gans::N,žąsis,gŵydd
184,Adler::N,erelis,eryr
185,Ente::N,antis,hwyad
186,Eule::N,pelėda,tylluan
187,Kranich::N,gervė,garan
188,Kranich::N,gervė,crychydd
189,Krähe::N,varna,brân
190,Kuckuck::N,gegužė,cog
191,Kuckuck::N,gegužė,cwcw
192,Schwan::N,gulbė,alarch
193,Fisch::N,žuvis,pysgod
194,Barsch::N,ešerys,draenog
195,Hecht::N,lydeka,penhwyad
196,Schlange[Tier]::N,gyvatė,neidr
197,Wurm::N,kirmėlė,abwydyn
198,Wurm::N,kirmėlė,pryf genwair
199,Spinne::N,voras,cor
200,Spinne::N,voras,pryf copyn
201,Ameise::N,skruzdė,morgrugyn
202,Laus::N,utėlė,lleuen
203,Mücke::N,uodas,gwybedyn
204,Fliege::N,musė,cleren
205,Schmetterling::N,drugys,glöyn byw
206,Schmetterling::N,drugys,iâr fach yr haf
207,Schmetterling::N,peteliškė,glöyn byw
208,Schmetterling::N,peteliškė,iâr fach yr haf
209,Beere::N,uoga,aeronen
210,Apfel::N,obuolys,afal
211,Pilz::N,grybas,madarch
212,Zwiebel::N,svogūnas,nionyn
213,Zwiebel::N,svogūnas,winwnsyn
214,Saat::N,sėkla,had
215,Korn::N,grūdai,grawn
216,Heu::N,šienas,gwair
217,Schale::N,žievelė,croen
218,Schale::N,žievelė,plisgyn
219,Grube::N,duobė,pwll
220,Grube::N,duobė,pydew
221,Falle::N,pinklės,magl
222,Falle::N,žabangai,magl
223,Schlinge::N,kilpa,cwlwm rhedeg
224,Spur::N,vėžė,ôl
225,Spur::N,pėdos,ôl
226,Spur::N,pėdsakas,ôl
227,Asche::N,pelenai,lludw
228,Dreck::N,purvas,baw
229,Dreck::N,purvas,budreddi
230,Eisen::N,geležis,haearn
231,Gold::N,auksas,aur
232,Silber::N,sidabras,arian
233,Kohle::N,anglis,glo
234,Glas::N,stiklas,gwydr
235,Lehm::N,molis,clai
236,Sand::N,smėlis,tywod
237,Mensch::N,žmogus,dyn
238,Mann::N,vyras,dyn
239,Mann::N,vyriškis,dyn
240,Frau::N,moteris,merch
241,Frau::N,moteris,gwraig
242,Kind::N,vaikas,plentyn
243,Junge::N,vaikinas,hogyn
244,Junge::N,vaikinas,bachgen
245,Junge::N,berniukas,hogyn
246,Junge::N,berniukas,bachgen
247,Mädchen::N,mergytė,merch
248,Mädchen::N,mergytė,geneth
249,Mädchen::N,mergaitė,merch
250,Mädchen::N,mergaitė,geneth
251,Familie::N,šeima,teulu
252,Familie::N,šeima,tylwyth
253,Großvater::N,senelis,taid
254,Großvater::N,senelis,tad-cu
255,Großmutter::N,senelė,nain
256,Großmutter::N,senelė,mam-gu
257,Eltern::N,tėvai,rhieni
258,Vater::N,tėvas,tad
259,Mutter::N,motina,mam
260,Sohn::N,sūnus,mab
261,Tochter::N,duktė,merch
262,Bruder::N,brolis,brawd
263,Schwester::N,sesuo,chwaer
264,Onkel::N,dėdė,ewythr
265,Tante::N,teta,modryb
266,Ehemann::N,vyras,gŵr
267,Ehefrau::N,žmona,gwraig
268,Freude::N,džiaugsmas,gorfoledd
269,Gelächter::N,juokas,chwerthin
270,Glück::N,laimė,hapusrwydd
271,Kummer::N,vargas,galar
272,Kummer::N,rūpestis,galar
273,Wunsch::N,troškimas,dymuniad
274,Wunsch::N,pageidavimas,dymuniad
275,Lust::N,noras,chwant
276,Lust::N,geidulys,chwant
277,Geist::N,dvasia,ysbryd
278,Gedanke::N,mintis,meddwl
279,Gedächtnis::N,atmintis,cof
280,Verstand::N,protas,meddwl
281,Sinn::N,prasmė,ystyr
282,Grund::N,priežastis,achos
283,Grund::N,priežastis,rheswm
284,Wahrheit::N,tiesa,gwir
285,Wahrheit::N,tiesa,gwirionedd
286,Wahrheit::N,teisybė,gwir
287,Wahrheit::N,teisybė,gwirionedd
288,Gespräch::N,pokalbis,sgwrs
289,Märchen::N,pasaka,chwedl werin
290,Erzählung::N,apsakymas,stori
291,Erzählung::N,pasakojimas,stori
292,Nachricht::N,žinia,neges
293,Neuigkeit::N,naujiena,newydd
294,Name::N,vardas,enw
295,Rätsel::N,mįslė,pos
296,Rede::N,kalba,araith
297,Sprache::N,kalba,iaith
298,Stimme::N,balsas,llais
299,Wort::N,žodis,gair
300,Zeichen::N,žymė,arwydd
301,Zeichen::N,ženklas,arwydd
302,Ruf::N,šauksmas,galwad
303,Lärm::N,triukšmas,trwst
304,Laut::N,garsas,sain
305,Ton::N,tonas,tôn
306,Ton::N,garsas,tôn
307,Lied::N,daina,cân
308,Lied::N,giesmė,cân
309,Ruhe::N,ramybė,tawelwch
310,Ruhe::N,ramumas,tawelwch
311,Leute::N,žmonės,pobl
312,Volk::N,tauta,pobl
313,Arbeit::N,darbas,gwaith
314,Arbeit::N,triūsas,gwaith
315,Gast::N,svečias,gwestai
316,Geschenk::N,dovana,rhodd
317,Geschenk::N,dovana,anrheg
318,Spiel::N,žaismas,chwarae
319,Spiel::N,žaidimas,chwarae
320,Gesellschaft::N,draugija,cwmni
321,Gesellschaft::N,kompanija,cwmni
322,Hilfe::N,pagalba,cymorth
323,Freund::N,draugas,cyfaill
324,Freund::N,bičiulis,cyfaill
325,Kamerad::N,draugas,cydymaith
326,Angelegenheit::N,dalykas,pwnc
327,Angelegenheit::N,reikalas,pwnc
328,Anzahl::N,kiekis,cyfrif
329,Anzahl::N,skaičius,cyfrif
330,Art::N,rūšis,bath
331,Stück::N,gabalas,darn
332,Teil::N,dalis,rhan
333,Hälfte::N,pusė,hanner
334,Kreis::N,ratas,cylch
335,Kreis::N,apskritis,cylch
336,Kreis::N,apskritimas,cylch
337,Kreuz::N,kryžius,croes
338,Linie::N,linija,llinell
339,Strich::N,brėžis,strôc
340,Strich::N,brėžis,trawiad
341,Strich::N,brūkšnys,strôc
342,Strich::N,brūkšnys,trawiad
343,Abstand::N,atstumas,bwlch
344,Abstand::N,atstumas,pellter
345,Entfernung::N,atstumas,pellter
346,Gegend::N,vietovė,cylch
347,Platz::N,vieta,lle
348,Ort::N,vieta,lle
349,Ort::N,vietovė,lle
350,Seite::N,pusė,ochr
351,Seite::N,šonas,ochr
352,Mitte::N,vidurys,canol
353,Gegenstand::N,dalykas,eitem
354,Sache::N,daiktas,peth
355,Rand::N,kraštas,cwr
356,Rand::N,kraštas,ymyl
357,Rand::N,pakraštys,cwr
358,Rand::N,pakraštys,ymyl
359,Kante::N,kraštas,min
360,Kante::N,kraštas,ymyl
361,Ecke::N,kertė,cornel
362,Ecke::N,kampas,cornel
363,Spitze::N,priekis,blaen
364,Spitze::N,priešakys,blaen
365,Ende::N,galas,pen
366,Loch::N,skylė,twll
367,Winkel::N,kampas,congl
368,Winkel::N,kampelis,congl
369,Muster::N,raštas,patrwm
370,Größe::N,dydis,maint
371,Größe::N,dydis,maintioli
372,Größe::N,didumas,maint
373,Größe::N,didumas,maintioli
374,Länge::N,ilgis,hyd
375,Länge::N,ilgumas,hyd
376,Höhe::N,aukštis,uchder
377,Höhe::N,aukštuma,uchder
378,Gewicht::N,svoris,pwysau
379,Gewicht::N,svarstis,pwysau
380,Menge::N,kiekis,swm
381,Menge::N,kiekis,maint
382,Menge::N,daugybė,swm
383,Menge::N,daugybė,maint
384,Haufen::N,krūva,pentwr
385,Haufen::N,šūsnis,pentwr
386,Reihe::N,greta,rhes
387,Boot::N,valtis,cwch
388,Boot::N,laivelis,cwch
389,Ruder::N,irklas,rhwyf
390,Schlitten::N,rogės,sled
391,Schlitten::N,rogės,car llusg
392,Schlitten::N,rogutės,sled
393,Schlitten::N,rogutės,car llusg
394,Ski::N,slidė,sgi
395,Lagerfeuer::N,laužas,coelcerth
396,Last::N,našta,llwyth
397,Last::N,nešulys,llwyth
398,Gang::N,eisena,tro
399,Schritt::N,žingsnis,cam
400,Norden::N,šiaurė,gogledd
401,Norden::N,žiemiai,gogledd
402,Süden::N,pietūs,de
403,Westen::N,vakarai,gorllewin
404,Osten::N,rytai,dwyrain
405,Holz::N,mediena,pren
406,Brett::N,lenta,bwrdd
407,Brett::N,lenta,astell
408,Platte::N,plokštė,llech
409,Stütze::N,atrama,ateg
410,Stütze::N,atrama,cynhalydd
411,Stütze::N,atspara,ateg
412,Stütze::N,atspara,cynhalydd
413,Stange::N,lazda,polyn
414,Stange::N,kartis,polyn
415,Stock::N,lazda,ffon
416,Stock::N,lazda,brigyn
417,Stab::N,kartis,ffon
418,Rohr::N,vamzdis,pibell
419,Haus::N,namas,tŷ
420,Heim::N,namai,cartref
421,Ofen::N,krosnis,stof
422,Fußboden::N,grindys,llawr
423,Tisch::N,stalas,bwrdd
424,Stuhl::N,kėdė,cadair
425,Wiege::N,lopšys,crud
426,Bett::N,lova,gwely
427,Bett::N,patalai,gwely
428,Regal::N,lentyna,silff
429,Kiste::N,dėžė,bocs
430,Kiste::N,dėžė,blwch
431,Fenster::N,langas,ffenestr
432,Tür::N,durys,drws
433,Tor::N,vartai,porth
434,Zaun::N,tvora,ffens
435,Dach::N,stogas,to
436,Leiter::N,kopėčios,ysgol
437,Besen::N,šluota,ysgub
438,Spaten::N,lopeta,rhaw
439,Spaten::N,kastuvas,rhaw
440,Schaufel::N,semtuvas,rhaw
441,Gabel::N,šakutė,fforc
442,Löffel::N,šaukštas,llwy
443,Messer::N,peilis,cyllell
444,Nagel::N,vinis,hoel
445,Netz::N,tinklas,gwe
446,Netz::N,tinklas,rhwyd
447,Haken::N,vagis,bach
448,Haken::N,kablys,bach
449,Griff::N,kotas,carn
450,Griff::N,rankena,carn
451,Schloss::N,spyna,clo
