,Concept_ID,br,hu
0,Auge::N,lagad,szem
1,Ohr::N,skouarn,fül
2,Nase::N,fri,orr
3,Mund::N,genoù,száj
4,Zahn::N,dant,fog
5,Zunge::N,teod,nyelv
6,Lippe::N,muzell,ajak
7,Wange::N,chot,orca
8,Gesicht::N,dremm,arc
9,Stirn::N,tal,homlok
10,Haar::N,blev,haj
11,Schnurrbart::N,mourenn,bajusz
12,Bart::N,barv,szakáll
13,Kinn::N,groñj,áll
14,Kiefer[Anatomie]::N,javed,állkapocs
15,Kehle::N,gouzoug,gége
16,Kehle::N,gouzoug,torok
17,Hals::N,gouzoug,nyak
18,Genick::N,choug,tarkó
19,Kopf::N,penn,fő
20,Kopf::N,penn,fej
21,Rücken::N,kein,hát
22,Bauch::N,kof,has
23,Nabel::N,begel,köldök
24,Busen::N,bronn,mell
25,Busen::N,bronn,kebel
26,Brust::N,bruched,mell
27,Schulter::N,skoaz,váll
28,Arm::N,brec'h,kar
29,Ellenbogen::N,ilin,könyök
30,Hand::N,dorn,kéz
31,Handfläche::N,palv,tenyér
32,Finger::N,biz,ujj
33,Fingernagel::N,ivin,köröm
34,Nagel[Anatomie]::N,ivin,köröm
35,Zeh::N,biz-troad,lábujj
36,Fuß::N,troad,láb
37,Ferse::N,seul,sarok
38,Knie::N,glin,térd
39,Oberschenkel::N,morzhed,comb
40,Bein::N,gar,láb
41,Bein::N,gar,lábszár
42,Körper::N,korf,test
43,Haut::N,kroc'hen,bőr
44,Blut::N,gwad,vér
45,Ader::N,gwazhi,ér
46,Sehne::N,stir,ín
47,Knochen::N,askorn,csont
48,Gehirn::N,empenn,agy
49,Gehirn::N,empenn,agyvelő
50,Herz::N,kalon,szív
51,Magen::N,stomog,gyomor
52,Leber::N,avu,máj
53,Atem::N,anal,lehelet
54,Atem::N,anal,lélegzet
55,Hunger::N,naon,éhség
56,Träne::N,daer,könny
57,Geschmack::N,blaz,íz
58,Geruch::N,c'hwezh,szag
59,Schlaf::N,kousked,álom
60,Schlaf::N,kousked,alvás
61,Traum::N,hune,álom
62,Himmel::N,oabl,ég
63,Himmel::N,oabl,menny
64,Sonne::N,heol,nap
65,Mond::N,loar,hold
66,Stern::N,steredenn,csillag
67,Luft::N,aer,levegő
68,Wind::N,avel,szél
69,Welle::N,houlenn,hullám
70,Wasser::N,dour,víz
71,Stein::N,maen,kő
72,Boden::N,tachenn,föld
73,Boden::N,tachenn,talaj
74,Erde::N,douar,föld
75,Staub::N,poultr,por
76,Rauch::N,moged,füst
77,Funke::N,ful,szikra
78,Feuer::N,tan,tűz
79,Licht::N,gouloù,fény
80,Schatten::N,disheol,árnyék
81,Wetter::N,amzer,idő
82,Wetter::N,amzer,időjárás
83,Nebel::N,brumenn,köd
84,Wolke::N,koumoulenn,felhő
85,Regen::N,glav,eső
86,Schnee::N,erc'h,hó
87,Eis::N,skorn,jég
88,Frost::N,rev,fagy
89,Kälte::N,yen,hideg
90,Hitze::N,tommder,hő
91,Hitze::N,tommder,hőség
92,Raureif::N,frim,zúzmara
93,Regenbogen::N,gwareg-ar-glav,szivárvány
94,Donner::N,kurun,dörgés
95,Donner::N,kurun,mennydörgés
96,Strömung::N,red,áramlat
97,Tropfen::N,bannac'h,csepp
98,Tropfen::N,takenn,csepp
99,Schaum::N,spoum,hab
100,Schaum::N,spoum,tajték
101,Schmutz::N,fank,piszok
102,See::N,lenn,tó
103,Sumpf::N,gwern,mocsár
104,Moor::N,taouarc'heg,láp
105,Wiese::N,prad,rét
106,Wiese::N,prad,mező
107,Wald::N,koad,erdő
108,Hügel::N,torgenn,domb
109,Anhöhe::N,run,magaslat
110,Berg::N,menez,hegy
111,Gipfel::N,barr,csúcs
112,Höhle::N,kav,barlang
113,Abhang::N,naou,lejtő
114,Quelle::N,feunteun,forrás
115,Bach::N,gwazh,patak
116,Fluss::N,stêr,folyó
117,Ufer::N,ribl,part
118,Küste::N,aod,tengerpart
119,Festland::N,douar,szárazföld
120,Meer::N,mor,tenger
121,Bucht::N,mor-bihan,öböl
122,Insel::N,enez,sziget
123,Blume::N,bleunienn,virág
124,Gras::N,geot,fű
125,Wurzel::N,gwrizienn,gyökér
126,Baum::N,gwezenn,fa
127,Stamm::N,kef,tő
128,Stamm::N,kef,törzs
129,Rinde::N,rusk,kéreg
130,Ast::N,barr,ág
131,Zweig::N,bod,gally
132,Blatt::N,delienn,levél
133,Birke::N,bezvenn,nyír
134,Kiefer[Baum]::N,pinenn,fenyő
135,Weide[Baum]::N,halegenn,fűz
136,Tanne::N,sapenn,fenyő
137,Horn::N,korn,szarv
138,Feder::N,pluñv,toll
139,Fell::N,kreoñ,szőr
140,Fell::N,kreoñ,bunda
141,Flügel::N,askell,szárny
142,Klaue::N,skilf,köröm
143,Kralle::N,skilf,karom
144,Schwanz::N,lost,farok
145,Ei::N,vi,tojás
146,Nest::N,neizh,fészek
147,Bau::N,douarenn,odú
148,Tier::N,loen,állat
149,Herde::N,tropell,nyáj
150,Herde::N,tropell,csorda
151,Kuh::N,buoc'h,tehén
152,Bulle::N,tarv,bika
153,Pferd::N,marc'h,ló
154,Schaf::N,dañvad,juh
155,Schaf::N,dañvad,birka
156,Schwein::N,pemoc'h,sertés
157,Hund::N,ki,eb
158,Hund::N,ki,kutya
159,Katze::N,kazh,macska
160,Bär::N,arzh,medve
161,Eichhörnchen::N,gwiñver,mókus
162,Elch::N,karv-dour,jávorszarvas
163,Fuchs::N,louarn,róka
164,Hase::N,gad,nyúl
165,Maus::N,logodenn,egér
166,Wolf::N,bleiz,farkas
167,Vogel::N,labous,madár
168,Schwarm::N,nijad,raj
169,Huhn::N,yar,tyúk
170,Hahn::N,kilhog,kakas
171,Gans::N,gwazenn,lúd
172,Gans::N,gwazenn,liba
173,Adler::N,erer,sas
174,Ente::N,houad,kacsa
175,Eule::N,toud,bagoly
176,Kranich::N,garan,daru
177,Krähe::N,bran,varjú
178,Kuckuck::N,koukoug,kakukk
179,Schwan::N,alarc'h,hattyú
180,Fisch::N,pesk,hal
181,Barsch::N,brell,sügér
182,Hecht::N,beked,csuka
183,Schlange[Tier]::N,naer,kígyó
184,Wurm::N,preñv,kukac
185,Spinne::N,kevnidenn,pók
186,Ameise::N,merion,hangya
187,Laus::N,laouenn,tetű
188,Mücke::N,moustik,szúnyog
189,Fliege::N,kelienenn,légy
190,Schmetterling::N,balafenn,lepke
191,Schmetterling::N,balafenn,pillangó
192,Beere::N,hog,bogyó
193,Apfel::N,aval,alma
194,Pilz::N,kabell-touseg,gomba
195,Zwiebel::N,ognonenn,hagyma
196,Saat::N,had,vetőmag
197,Korn::N,ed,mag
198,Korn::N,ed,szem
199,Heu::N,foenn,széna
200,Schale::N,peliadur,héj
201,Falle::N,pech,csapda
202,Schlinge::N,krouglas,tőr
203,Asche::N,ludu,hamu
204,Dreck::N,fank,sár
205,Dreck::N,fank,piszok
206,Eisen::N,houarn,vas
207,Gold::N,aour,arany
208,Silber::N,arc'hant,ezüst
209,Kohle::N,glaou,szén
210,Glas::N,gwer,üveg
211,Sand::N,traezh,homok
212,Mensch::N,den,ember
213,Mann::N,den,úr
214,Mann::N,den,férfi
215,Frau::N,maouez,nő
216,Frau::N,maouez,asszony
217,Kind::N,bugel,gyerek
218,Kind::N,bugel,gyermek
219,Junge::N,paotr,fiú
220,Mädchen::N,plac'h,lány
221,Familie::N,familh,család
222,Großvater::N,tad-kozh,nagyapa
223,Großmutter::N,mamm-gozh,nagyanya
224,Eltern::N,kerent,szülők
225,Vater::N,tad,apa
226,Vater::N,tad,atya
227,Mutter::N,mamm,anya
228,Sohn::N,mab,fiú
229,Tochter::N,merc'h,lány
230,Bruder::N,breur,fivér
231,Bruder::N,breur,testvér
232,Schwester::N,c'hoar,nővér
233,Schwester::N,c'hoar,lánytestvér
234,Onkel::N,eontr,nagybácsi
235,Tante::N,moereb,nagynéni
236,Ehemann::N,gwaz,férj
237,Ehefrau::N,gwreg,feleség
238,Freude::N,levenez,öröm
239,Gelächter::N,c'hoarzherezh,nevetés
