,Concept_ID,hy,kv
0,Auge::N,աչք,син
1,Ohr::N,ականջ,пель
2,Nase::N,քիթ,ныр
3,Mund::N,բերան,ӧм
4,Zahn::N,ատամ,пинь
5,Zunge::N,լեզու,кыв
6,Lippe::N,շրթունք,тырп
7,Wange::N,այտ,рожабан
8,Wange::N,թուշ,рожабан
9,Gesicht::N,դեմք,бан
10,Stirn::N,ճակատ,кымӧс
11,Haar::N,մազ,юрси
12,Schnurrbart::N,բեղ,уссэз
13,Bart::N,մորուք,тош
14,Kinn::N,կզակ,тшӧка
15,Kiefer[Anatomie]::N,ծնոտ,ан
16,Kehle::N,կոկորդ,юан
17,Hals::N,վիզ,юан
18,Hals::N,պարանոց,юан
19,Genick::N,ծոծրակ,юр бӧр
20,Kopf::N,գլուխ,юр
21,Rücken::N,մեջք,мышк
22,Bauch::N,փոր,кынӧм
23,Bauch::N,որովայն,кынӧм
24,Nabel::N,պորտ,гӧг
25,Busen::N,ծոց,морос
26,Brust::N,կուրծք,морос
27,Schulter::N,ուս,пельпон
28,Arm::N,թեւ,ки
29,Arm::N,բազուկ,ки
30,Ellenbogen::N,արմունկ,гырдзза
31,Hand::N,ձեռք,кикар
32,Handfläche::N,ափ,ки пыдӧс
33,Finger::N,մատ,чунь
34,Fingernagel::N,եղունգ,гыж
35,Nagel[Anatomie]::N,եղունգ,гыж
36,Zeh::N,ոտքի մատ,чунь
37,Fuß::N,ոտք,кокпыдӧс
38,Ferse::N,գարշապար,кокдзир
39,Knie::N,ծունկ,пидзӧс
40,Oberschenkel::N,ազդր,лядьбей
41,Bein::N,ոտք,кок
42,Körper::N,մարմին,вывтыр
43,Haut::N,մաշկ,кучик
44,Blut::N,արյուն,вир
45,Ader::N,երակ,сӧн
46,Sehne::N,ջիղ,жила
47,Sehne::N,ձգտան,жила
48,Knochen::N,ոսկոր,коска
49,Gehirn::N,խելք,вем
50,Herz::N,սիրտ,сьӧлӧм
51,Magen::N,ստամոքս,жӧвдӧк
52,Leber::N,լյարդ,мус
53,Atem::N,շունչ,лолалӧм
54,Hunger::N,քաղց,тшыг
55,Träne::N,արտասուք,синва
56,Geschmack::N,համ,кӧр
57,Geschmack::N,բուրմունք,кӧр
58,Geruch::N,հոտ,дук
59,Geruch::N,բուրում,дук
60,Schlaf::N,քուն,он
61,Traum::N,երազ,вӧт
62,Himmel::N,երկինք,небо
63,Sonne::N,արեւ,шондi
64,Mond::N,լուսին,тӧлiсь
65,Stern::N,աստղ,кӧдзыв
66,Luft::N,օդ,ру
67,Wind::N,քամի,тӧв
68,Welle::N,ալիք,гы
69,Wasser::N,ջուր,ва
70,Stein::N,քար,из
71,Boden::N,գետին,му
72,Erde::N,հող,му
73,Staub::N,փոշի,бус
74,Rauch::N,ծուխ,тшын
75,Funke::N,կայծ,бичир
76,Feuer::N,կրակ,би
77,Feuer::N,հրդեհ,би
78,Licht::N,լույս,би
79,Schatten::N,ստվեր,вуджӧр
80,Wetter::N,եղանակ,погоддя
81,Nebel::N,մեգ,туман
82,Nebel::N,մառախուղ,туман
83,Wolke::N,ամպ,кымӧр
84,Regen::N,անձրև,зэр
85,Schnee::N,ձյուն,лым
86,Eis::N,սառույց,йы
87,Frost::N,սառնամանիք,мороз
88,Kälte::N,դող,кӧдзыт
89,Hitze::N,շոգ,ӧд
90,Raureif::N,ցօղեղեամ,кижа
91,Regenbogen::N,ծիածան,енӧшка
92,Donner::N,որոտ,гым
93,Strömung::N,հոսանք,визывтӧм
94,Tropfen::N,կաթիլ,тёп
95,Schaum::N,փրփուր,быг
96,Schmutz::N,կեղտ,нять
97,See::N,լիճ,ты
98,Sumpf::N,ճահիճ,арай
99,Moor::N,ճահիճ,нюр
100,Wiese::N,մարգագետին,видз
101,Wald::N,անտառ,вӧр
102,Hügel::N,բլուր,мыльк
103,Anhöhe::N,բարձունք,вывтас
104,Anhöhe::N,բարձունք,вылынін
105,Berg::N,լեռ,керӧс
106,Gipfel::N,գագաթ,йыв
107,Gipfel::N,կատար,йыв
108,Höhle::N,քարայր,нора
109,Abhang::N,լանջ,покат
110,Abhang::N,զառիվայր,покат
111,Quelle::N,աղբյուր,больган
112,Bach::N,վտակ,шор
113,Fluss::N,գետ,ю
114,Ufer::N,ծովափ,берег
115,Küste::N,ափ,берег
116,Küste::N,ծովափ,берег
117,Festland::N,ցամաք,му
118,Meer::N,ծով,море
119,Bucht::N,հաչիւն,курья
120,Insel::N,վղզի,
121,Blume::N,ծաղիկ,цветок
122,Gras::N,խոտ,турун
123,Wurzel::N,արմատ,вуж
124,Baum::N,ծառ,пу
125,Stamm::N,իրան,мыр
126,Stamm::N,իրան,кер
127,Rinde::N,կեղեւ,кач
128,Rinde::N,հաչոց,кач
129,Ast::N,ճյուղ,ув
130,Zweig::N,ճյուղ,ув
131,Blatt::N,տերեւ,лист
132,Birke::N,ցարասի,кыдз
133,Kiefer[Baum]::N,սոճի,пожум
134,Weide[Baum]::N,ուռենի,бадь
135,Tanne::N,եղեւին,кӧз
136,Feder::N,փետուր,гӧн
137,Fell::N,մորթի,кучик
138,Flügel::N,թեւ,борд
139,Klaue::N,չանչ,гыж
140,Kralle::N,ճանկ,кабыр
141,Schwanz::N,պոչ,бӧж
142,Ei::N,ձու,кольть
143,Nest::N,բույն,поз
144,Bau::N,որջ,осьта
145,Bau::N,որջ,нора
146,Bau::N,բայոց,осьта
147,Bau::N,բայոց,нора
148,Tier::N,կենդանի,зверь
149,Herde::N,հոտ,гурт
150,Kuh::N,կով,мӧс
151,Bulle::N,ցուլ,ӧшка
152,Pferd::N,ձի,вӧв
153,Schaf::N,ոչխար,баля
154,Schwein::N,խոզ,порсь
155,Hund::N,շուն,пон
156,Katze::N,կատու,кань
157,Bär::N,արջ,ош
158,Eichhörnchen::N,սկյուռ,ур
159,Elch::N,հիւսիսային եղջերու,вӧр мӧс
160,Fuchs::N,աղվես,руч
161,Hase::N,նապաստակ,кӧч
162,Maus::N,մուկ,шыр
163,Wolf::N,գայլ,кӧин
164,Vogel::N,թռչուն,кай
165,Schwarm::N,երամ,стая
166,Schwarm::N,երամ,чукӧр
167,Huhn::N,հավ,курӧг
168,Hahn::N,աքաղաղ,петух
169,Hahn::N,աքաղաղ,ай курӧг
170,Gans::N,սագ,дзодзог
171,Adler::N,արծիվ,куч
172,Adler::N,արծիվ,кутш
173,Ente::N,բադ,утка
174,Eule::N,բու,тупка
175,Kranich::N,կռունկ,тури
176,Krähe::N,ագռավ,рака
177,Kuckuck::N,կուկու,кӧк
178,Schwan::N,կարապ,юсь
179,Fisch::N,ձուկ,чери
180,Barsch::N,պերկես,ёкыш
181,Hecht::N,գայլաձուկ,сирпинь
182,Schlange[Tier]::N,օձ,змей
183,Wurm::N,որդ,номыр
184,Wurm::N,ճիճու,номыр
185,Spinne::N,սարդ,черань
186,Ameise::N,միջյուն,кӧдзывкар
187,Laus::N,ոջիլ,ляпа той
188,Mücke::N,մժղուկ,ном
189,Fliege::N,ճանճ,гут
190,Schmetterling::N,թիթեռ,бабыв
191,Beere::N,հատապտուղ,ягӧд
192,Apfel::N,խնձոր,яблоко
193,Pilz::N,սունկ,тшак
194,Zwiebel::N,սոխ,грез
195,Saat::N,սերմ,кӧдзыс
196,Korn::N,հատիկ,сю
197,Heu::N,խոտ,турун
198,Schale::N,կեղեւ,кыш
199,Schale::N,կեղեւ,киль
200,Grube::N,փոս,яма
201,Falle::N,ծուղակ,нальк
202,Falle::N,ծուղակ,кляпча
203,Schlinge::N,խեղդան,лӧч
204,Spur::N,հետք,туй
205,Asche::N,մոխիր,пӧим
206,Dreck::N,աղտ,нять
207,Eisen::N,երկաթ,кӧрт
208,Gold::N,ոսկի,зарни
209,Silber::N,արծաթ,язісь
210,Kohle::N,քարածուխ,шом
211,Kohle::N,քարածուխ,уголь
212,Glas::N,ապակի,стекло
213,Lehm::N,կավ,сёй
214,Sand::N,ավազ,лыа
215,Mensch::N,մարդ,морт
216,Mann::N,մարդ,мужик
217,Mann::N,տղամարդ,мужик
218,Frau::N,կին,инька
219,Kind::N,զավակ,кага
220,Junge::N,տղա,зонка
221,Mädchen::N,աղջիկ,нывкаок
222,Familie::N,ընտանիք,семья
223,Großvater::N,պապ,дед
224,Großmutter::N,տատ,баб
225,Eltern::N,ծնողներ,ай-мам
226,Vater::N,հայր,ай
227,Mutter::N,մայր,мам
228,Sohn::N,որդի,зон
229,Tochter::N,աղջիկ,ныв
230,Tochter::N,դուստր,ныв
231,Bruder::N,եղբայր,вон
232,Schwester::N,քույր,сой
233,Onkel::N,քեռի,дядь
234,Onkel::N,հորեղբայր,дядь
235,Tante::N,մորաքույր,айӧлӧн сой
236,Tante::N,մորաքույր,ичинь
237,Ehemann::N,մարդ,жӧник
238,Ehemann::N,ամուսին,жӧник
239,Ehefrau::N,կին ամուսին,инь
240,Freude::N,ուրախություն,гаж
241,Freude::N,ուրախություն,радъялӧм
242,Gelächter::N,ծիծաղ,сералӧм
243,Glück::N,երջանկություն,мичлун
244,Kummer::N,վիշտ,шог
245,Wunsch::N,ցանկություն,мӧдӧм
246,Wunsch::N,ցանկություն,охотитӧм
247,Lust::N,փափագ,охота
248,Lust::N,իղձ,охота
249,Geist::N,ոգի,лов
250,Gedanke::N,միտք,дума
251,Gedächtnis::N,հիշողություն,тӧдвыв
252,Verstand::N,խելք,вежӧр
253,Sinn::N,իմաստ,ылӧс
254,Grund::N,պատճառ,мог
255,Wahrheit::N,ճշմարտություն,правда
256,Gespräch::N,զրույց,сёрни
257,Märchen::N,պայիկի պատմություն,сказка
258,Erzählung::N,պատմվածք,висьт
259,Erzählung::N,պատմություն,висьт
260,Nachricht::N,հաղորդագրություն,юӧр
261,Nachricht::N,հաղորդագրություն,висьталӧм
262,Neuigkeit::N,լուր,новость
263,Neuigkeit::N,նորություն,новость
264,Name::N,անուն,ним
265,Rätsel::N,բարդ խնդիր,загадка
266,Rede::N,ճառ,сёрни
267,Rede::N,ելույթ,сёрни
268,Sprache::N,լեզու,кыв
269,Stimme::N,ձայն,голос
270,Wort::N,բառ,кыв
271,Zeichen::N,նշան,пас
272,Ruf::N,կոչ,чуксӧм
273,Ruf::N,կոչ,чукӧстӧм
274,Ruf::N,կանչ,чуксӧм
275,Ruf::N,կանչ,чукӧстӧм
276,Lärm::N,աղմուկ,шум
277,Laut::N,հնչյուն,шы
278,Laut::N,ձայն,шы
279,Ton::N,տոն,гор
280,Lied::N,երգ,сьыланкыв
281,Ruhe::N,անդորրություն,спокой
282,Leute::N,մարդիկ,йӧз
283,Volk::N,ազգ,йӧз
284,Volk::N,ազգ,народ
285,Arbeit::N,գործ,удж
286,Arbeit::N,աշխատանք,удж
287,Gast::N,հյուր,гӧсь
288,Geschenk::N,նվեր,гӧснеч
289,Geschenk::N,նվեր,подарок
290,Spiel::N,խաղ,орсӧм
291,Gesellschaft::N,ընկերություն,компания
292,Hilfe::N,օգնությթուն,отсӧт
293,Freund::N,ընկեր,модз
294,Freund::N,ընկեր,дружок
295,Freund::N,բարեկամ,модз
296,Freund::N,բարեկամ,дружок
297,Kamerad::N,ուղեկից,тӧдса
298,Angelegenheit::N,բան,дело
299,Angelegenheit::N,գործ,дело
300,Anzahl::N,քանակ,лыд
301,Anzahl::N,գումար,лыд
302,Art::N,տեսակ,пӧлӧс
303,Stück::N,կտոր,тор
304,Teil::N,մաս,юкӧм
305,Hälfte::N,կես,джын
306,Kreis::N,շիջանակ,круг
307,Kreuz::N,խաչ,перна
308,Linie::N,գիծ,визь
309,Strich::N,գիծ,кырӧв
310,Abstand::N,անջրպետ,колас
311,Entfernung::N,հեռավորություն,ылына
312,Gegend::N,շրջան,места
313,Platz::N,տարածություն,места
314,Ort::N,տեղ,места
315,Ort::N,վայր,места
316,Seite::N,կողմ,ладор
317,Mitte::N,մեջտեղ,шӧр
318,Gegenstand::N,առարկա,тор
319,Sache::N,բան,тор
320,Rand::N,վերջք,дор
321,Kante::N,եզր,ордлы
322,Ecke::N,անկյուն,пельӧс
323,Spitze::N,ծայր,йыв
324,Ende::N,ծայր,йыв
325,Loch::N,անցք,осьта
326,Winkel::N,անկյուն,пельӧс
327,Muster::N,օրինակ,сер
