,Concept_ID,hy,kk
0,Auge::N,աչք,көз
1,Ohr::N,ականջ,құлақ
2,Nase::N,քիթ,мұрын
3,Mund::N,բերան,ауыз
4,Zahn::N,ատամ,тіс
5,Zunge::N,լեզու,тіл
6,Lippe::N,շրթունք,ерін
7,Wange::N,այտ,ұрт
8,Wange::N,թուշ,ұрт
9,Gesicht::N,դեմք,бет-аузы
10,Stirn::N,ճակատ,маңдай
11,Haar::N,մազ,қыл
12,Schnurrbart::N,բեղ,мұрт
13,Bart::N,մորուք,сақал
14,Kinn::N,կզակ,иек
15,Kiefer[Anatomie]::N,ծնոտ,жақ
16,Kehle::N,կոկորդ,алқым
17,Hals::N,վիզ,мойын
18,Hals::N,պարանոց,мойын
19,Genick::N,ծոծրակ,желке
20,Kopf::N,գլուխ,кәллә
21,Rücken::N,մեջք,арқа
22,Bauch::N,փոր,қарын
23,Bauch::N,որովայն,қарын
24,Nabel::N,պորտ,кіндік
25,Busen::N,ծոց,омырау
26,Brust::N,կուրծք,кеуде
27,Schulter::N,ուս,иық
28,Arm::N,թեւ,қол
29,Arm::N,բազուկ,қол
30,Ellenbogen::N,արմունկ,шынтақ
31,Hand::N,ձեռք,қол
32,Handfläche::N,ափ,алақан
33,Finger::N,մատ,саусақ
34,Fingernagel::N,եղունգ,тырнақ
35,Nagel[Anatomie]::N,եղունգ,тырнақ
36,Zeh::N,ոտքի մատ,тырнақ
37,Zeh::N,ոտքի մատ,тұяқ
38,Fuß::N,ոտք,аяқ-басы
39,Ferse::N,գարշապար,өкше
40,Ferse::N,գարշապար,өкшелік
41,Knie::N,ծունկ,тізе
42,Oberschenkel::N,ազդր,жамбас
43,Bein::N,ոտք,аяқ
44,Körper::N,մարմին,дене
45,Haut::N,մաշկ,тері
46,Blut::N,արյուն,қан
47,Ader::N,երակ,көктамыр
48,Ader::N,երակ,күретамыр
49,Sehne::N,ջիղ,сіңір
50,Sehne::N,ձգտան,сіңір
51,Knochen::N,ոսկոր,жілік
52,Gehirn::N,խելք,ми
53,Herz::N,սիրտ,жүрек
54,Magen::N,ստամոքս,асқазан
55,Leber::N,լյարդ,бауыр
56,Atem::N,շունչ,леп
57,Hunger::N,քաղց,ашаршылық
58,Träne::N,արտասուք,жас
59,Geschmack::N,համ,дәм
60,Geschmack::N,համ,татым
61,Geschmack::N,համ,талғам
62,Geschmack::N,բուրմունք,дәм
63,Geschmack::N,բուրմունք,татым
64,Geschmack::N,բուրմունք,талғам
65,Geruch::N,հոտ,иіс
66,Geruch::N,բուրում,иіс
67,Schlaf::N,քուն,ұйқы
68,Schlaf::N,քուն,ұйықтау
69,Traum::N,երազ,түс
70,Himmel::N,երկինք,аспан
71,Himmel::N,երկինք,көқ
72,Himmel::N,երկինք,таңдай
73,Sonne::N,արեւ,күн
74,Mond::N,լուսին,ай
75,Stern::N,աստղ,жұлдыз
76,Luft::N,օդ,әуе
77,Wind::N,քամի,жел
78,Welle::N,ալիք,толқын
79,Wasser::N,ջուր,су
80,Stein::N,քար,тас
81,Boden::N,գետին,қыртыс
82,Erde::N,հող,топырақ
83,Staub::N,փոշի,шаң
84,Rauch::N,ծուխ,түтін
85,Funke::N,կայծ,ұшқын
86,Feuer::N,կրակ,алау
87,Feuer::N,հրդեհ,алау
88,Licht::N,լույս,шұғыла
89,Schatten::N,ստվեր,көлеңке
90,Wetter::N,եղանակ,ауа райы
91,Nebel::N,մեգ,тұман
92,Nebel::N,մառախուղ,тұман
93,Wolke::N,ամպ,бұлт
94,Regen::N,անձրև,жаңбыр
95,Schnee::N,ձյուն,қар
96,Eis::N,սառույց,мұз
97,Frost::N,սառնամանիք,суық
98,Kälte::N,դող,ызғар
99,Kälte::N,դող,суықтық
100,Hitze::N,շոգ,аптап
101,Raureif::N,ցօղեղեամ,қырау
102,Regenbogen::N,ծիածան,кемпірқосақ
103,Donner::N,որոտ,күн күркіреу
104,Strömung::N,հոսանք,ағын
105,Tropfen::N,կաթիլ,тамшы
106,Schaum::N,փրփուր,көбік
107,Schmutz::N,կեղտ,кір
108,See::N,լիճ,көл
109,Sumpf::N,ճահիճ,саз
110,Moor::N,ճահիճ,саз
111,Wiese::N,մարգագետին,шалғын
112,Wald::N,անտառ,орман
113,Hügel::N,բլուր,төбе
114,Hügel::N,բլուր,белес
