,Concept_ID,udm,ps
0,Auge::N,син,سترګه
1,Ohr::N,пель,غوږ
2,Nase::N,ныр,پوزه
3,Mund::N,ым,خوله
4,Zahn::N,пинь,غاښ
5,Zunge::N,кыл,جبه
6,Lippe::N,ымдур,شونډه
7,Wange::N,бам,باړخو
8,Gesicht::N,ымныр,مخ
9,Stirn::N,кымес,تندی
10,Stirn::N,кымес,وچولی
11,Haar::N,йырси,وېښته
12,Schnurrbart::N,мыйык,برېت
13,Bart::N,туш,ږیره
14,Kinn::N,ангес,زنه
15,Kiefer[Anatomie]::N,ан,جامه
16,Kiefer[Anatomie]::N,анлы,جامه
17,Kehle::N,гульым,غاړه
18,Hals::N,чырты,غاړه
19,Genick::N,йырбер,ورمېږ
20,Kopf::N,йыр,سر
21,Rücken::N,мыш,شا
22,Bauch::N,кӧт,نس
23,Bauch::N,кӧт,ګېډه
24,Nabel::N,гогы,نوم
25,Busen::N,ноны,تی
26,Brust::N,мӧля,سینه
27,Schulter::N,пельпум,اوږه
28,Arm::N,суй,لاس
29,Ellenbogen::N,гырпум,څنګل
30,Hand::N,ки,لاس
31,Handfläche::N,ки пыдэс,ورغوی
32,Handfläche::N,кырым пыдэс,ورغوی
33,Finger::N,чиньы,ګوته
34,Fingernagel::N,гижы,نوک
35,Fingernagel::N,гиждӥнь,نوک
36,Nagel[Anatomie]::N,гижы,نوک
37,Zeh::N,пыдчиньы,ګوته
38,Fuß::N,пыд,پښه
39,Ferse::N,пыдбер,پونده
40,Knie::N,пыдес,زنګون
41,Oberschenkel::N,макес,پتون
42,Bein::N,пыд,پښه
43,Körper::N,мугор,ځان
44,Körper::N,вылтыр,ځان
45,Haut::N,ку,پوټکی
46,Blut::N,вир,وینه
47,Ader::N,вирсэр,رګ
48,Sehne::N,вуж,پله
49,Knochen::N,лы,هډوکی
50,Gehirn::N,вим,ماغزه
51,Herz::N,сюлэм,زړه
52,Magen::N,ӝуш,معده
53,Leber::N,мус,ينه
54,Leber::N,мус,ځیګر
55,Atem::N,лул,نفس
56,Atem::N,шокан,نفس
57,Hunger::N,кӧтсюман,ولږه
58,Träne::N,синкыли,اوښکه
59,Geschmack::N,шӧм,مزه
60,Geschmack::N,шӧм,خوند
61,Geruch::N,зын,بوی
62,Schlaf::N,вӧт,خوب
63,Traum::N,уйвӧт,خوب
64,Himmel::N,ин,اسمان
65,Sonne::N,шунды,لمر
66,Mond::N,толэзь,سپوږمۍ
67,Stern::N,кизили,ستوری
68,Luft::N,омыр,هوا
69,Wind::N,тӧл,ورښ
70,Welle::N,тулкым,موج
71,Wasser::N,ву,اوبه
72,Stein::N,из,ډبره
73,Boden::N,музъем,مځکه
74,Erde::N,му,خاوره
75,Staub::N,пыль,ګرد
76,Staub::N,пыль,خاوره
77,Rauch::N,ӵын,دود
78,Rauch::N,ӵын,لوګی
79,Funke::N,гизьы,سپرغۍ
80,Feuer::N,тыл,اور
81,Licht::N,тыл,رڼا
82,Schatten::N,вужер,سیوری
83,Wetter::N,куазь,هوا
84,Nebel::N,бус,لړه
85,Wolke::N,пилем,ورېځ
86,Regen::N,зор,وریا
87,Regen::N,зор,باران
88,Schnee::N,лымы,واوره
89,Eis::N,йӧ,یخ
90,Eis::N,йӧ,کنګل
91,Frost::N,кезьыт,یخ
92,Kälte::N,кезьыт,ساړه
93,Hitze::N,пӧсь,تودوخي
94,Raureif::N,гӧр,سپینه پرخه
95,Regenbogen::N,вуюись,بوډۍ ټال
96,Regenbogen::N,вуюись,سره زرغونه
97,Donner::N,гудыри,تالنده
98,Strömung::N,бызён,بهېدنه
99,Tropfen::N,шапык,قطره
100,Tropfen::N,шапык,څاڅکی
101,Schaum::N,шукы,ځګ
102,Schmutz::N,нӧд,ناپاکي
103,Schmutz::N,дэри,ناپاکي
104,See::N,ты,جهیل
105,Sumpf::N,нюр,جبه
106,Moor::N,нюр,جبه
107,Wiese::N,возь,چمن
108,Wiese::N,возь,شنېلی
109,Wiese::N,возьвыл,چمن
110,Wiese::N,возьвыл,شنېلی
111,Wald::N,сик,ځنګل
112,Wald::N,нюлэс,ځنګل
113,Hügel::N,выр,تپه
114,Hügel::N,вырйыл,تپه
115,Anhöhe::N,выр,غونډۍ
116,Anhöhe::N,вырйыл,غونډۍ
117,Berg::N,гурезь,غ‍‍‍‍‍ر
118,Gipfel::N,йыл,څوکه
119,Höhle::N,гу,کاز
120,Abhang::N,бам,لمن
121,Quelle::N,ошмес,چینه
122,Bach::N,пичи шур,واله
123,Fluss::N,шур,سیند
124,Ufer::N,ярдур,غاړه
125,Küste::N,вудур,ساحل
126,Festland::N,мувыр,وچه
127,Meer::N,зарезь,بحر
128,Meer::N,зарезь,سمندر
129,Bucht::N,вукож,کارۍ
130,Insel::N,вумуӵ,ټاپو
131,Insel::N,вумуӵ,جزيره
132,Insel::N,шормуӵ,ټاپو
133,Insel::N,шормуӵ,جزيره
134,Blume::N,сяська,ګل
135,Gras::N,турын,واښه
136,Wurzel::N,выжы,ریښه
137,Baum::N,пу,ونه
138,Stamm::N,модос,ډډ
139,Rinde::N,сул,پوستکی
140,Ast::N,ул,ښاخ
141,Zweig::N,вай,څانګه
142,Blatt::N,куар,پاڼه
143,Birke::N,кызьпу,توس
144,Kiefer[Baum]::N,пужым,نښتر
145,Weide[Baum]::N,бадьпу,وله
146,Tanne::N,кыз,ناجو
147,Horn::N,сюр,ښکر
148,Feder::N,тылы,بڼکه
149,Fell::N,ку,پوستکی
150,Flügel::N,бурд,وزر
151,Klaue::N,гижы,پنجه
152,Klaue::N,гижы,منګول
153,Kralle::N,пыд,پنجه
154,Kralle::N,пыд,منګول
155,Schwanz::N,быж,لکۍ
156,Ei::N,пуз,وۍ
157,Ei::N,пуз,هګۍ
158,Ei::N,кукей,وۍ
159,Ei::N,кукей,هګۍ
160,Nest::N,кар,جاله
161,Nest::N,пузкар,جاله
162,Bau::N,кар,کاز
163,Bau::N,гу,کاز
164,Tier::N,пӧйшур,ژوی
165,Tier::N,пӧйшур,حیوان
166,Herde::N,уллё,رمه
167,Herde::N,уллё,غېله
168,Kuh::N,скал,غوا
169,Bulle::N,ош,غوئی
170,Bulle::N,пороз,غوئی
171,Pferd::N,вал,آس
172,Schaf::N,ыж,پسه
173,Schwein::N,парсь,سرکوزی
174,Hund::N,пуны,سپی
