,Concept_ID,vep,it
0,Auge::N,sil'm,occhio
1,Ohr::N,korv,orecchio
2,Nase::N,nena,naso
3,Mund::N,su,bocca
4,Zahn::N,pi,dente
5,Zahn::N,hambaz,dente
6,Zunge::N,kel',lingua
7,Lippe::N,hul',labbro
8,Wange::N,modpolišk,guancia
9,Gesicht::N,mod,viso
10,Gesicht::N,mod,faccia
11,Stirn::N,oc,fronte
12,Haar::N,tuk,capello
13,Haar::N,hibuz,capello
14,Schnurrbart::N,habinod,baffi
15,Schnurrbart::N,habinod,mustacchi
16,Bart::N,bard,barba
17,Kinn::N,löug,mento
18,Kiefer[Anatomie]::N,hambazlu,mascella
19,Kehle::N,kurk,gola
20,Hals::N,kagl,collo
21,Genick::N,tagarai,nuca
22,Kopf::N,pä,capo
23,Kopf::N,pä,testa
24,Rücken::N,sel'g,dorso
25,Rücken::N,sel'g,schiena
26,Bauch::N,vac,ventre
27,Bauch::N,koht,ventre
28,Nabel::N,naba,ombelico
29,Busen::N,niža,seno
30,Brust::N,rind,petto
31,Schulter::N,oug,spalla
32,Arm::N,käzi,braccio
33,Ellenbogen::N,künambruz,gomito
34,Hand::N,käzi,mano
35,Hand::N,käzitera,mano
36,Handfläche::N,kämen,palma
37,Finger::N,sor'm,dito
38,Fingernagel::N,künz',unghia
39,Nagel[Anatomie]::N,künz',unghia
40,Zeh::N,barbaz,dito del piede
41,Fuß::N,jaug,piede
42,Ferse::N,kand,tallone
43,Ferse::N,kand,calcagno
44,Knie::N,komb,ginocchio
45,Knie::N,pol'v,ginocchio
46,Oberschenkel::N,riiže,fèmore
47,Bein::N,jaug,gamba
48,Körper::N,hibj,corpo
49,Haut::N,nahk,pelle
50,Blut::N,čak,sangue
51,Blut::N,veri,sangue
52,Ader::N,son',vena
53,Sehne::N,jände,tèndine
54,Knochen::N,lu,osso
55,Gehirn::N,aivod,cervello
56,Herz::N,südäin,cuore
57,Magen::N,südäikoht,stòmaco
58,Leber::N,maks,fegato
59,Atem::N,hengaiduz,fiato
60,Atem::N,hengaiduz,respiro
61,Hunger::N,näl'g,fame
62,Träne::N,kündal',làcrima
63,Geschmack::N,magu,gusto
64,Geschmack::N,magu,sapore
65,Geruch::N,haju,odore
66,Schlaf::N,uni,sonno
67,Traum::N,unikuva,sogno
68,Himmel::N,taivaz,cielo
69,Sonne::N,päiväine,sole
70,Mond::N,kudmaine,luna
71,Stern::N,tähtaz,stella
72,Luft::N,il'm,aria
73,Wind::N,döl,vento
74,Wind::N,tullei,vento
75,Welle::N,ald,onda
76,Welle::N,laineh,onda
77,Wasser::N,vezi,acqua
78,Stein::N,kivi,sasso
79,Stein::N,kivi,pietra
80,Boden::N,ma,suolo
81,Boden::N,ma,terreno
82,Boden::N,pohj,suolo
83,Boden::N,pohj,terreno
84,Erde::N,ma,terra
85,Staub::N,pölü,polvere
86,Rauch::N,savu,fumo
87,Funke::N,kibin,scintilla
88,Feuer::N,lämoi,fuoco
89,Licht::N,vauktuz,luce
90,Schatten::N,pil'vez,ombra
91,Schatten::N,kuvahaine,ombra
92,Wetter::N,sä,tempo
93,Nebel::N,sumeg,nebbia
94,Wolke::N,pil'v,nube
95,Wolke::N,pil'v,nùvola
96,Regen::N,vihm,pioggia
97,Schnee::N,lumi,neve
98,Eis::N,jä,ghiaccio
99,Frost::N,hala,gelo
100,Frost::N,pakaine,gelo
101,Kälte::N,vilu,freddo
102,Hitze::N,räk,caldo
103,Hitze::N,räk,calura
104,Raureif::N,hüde,brina
105,Regenbogen::N,jumalanbembel',arcobaleno
106,Donner::N,juru,tuono
