,Concept_ID,sv,az
0,Auge::N,öga,göz
1,Ohr::N,öra,qulaq
2,Nase::N,näsa,burun
3,Mund::N,mun,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tunga,dil
6,Lippe::N,läpp,dodaq
7,Wange::N,kind,yanaq
8,Gesicht::N,syn,üz
9,Gesicht::N,ansikte,üz
10,Stirn::N,panna,alın
11,Haar::N,hår,saç
12,Schnurrbart::N,mustasch,bığ
13,Bart::N,skägg,saqqal
14,Kinn::N,haka,çənə
15,Kiefer[Anatomie]::N,käke,çənə
16,Kehle::N,strupe,boğaz
17,Hals::N,hals,boyun
18,Genick::N,nacke,ənsə
19,Kopf::N,huvud,baş
20,Rücken::N,rygg,bel
21,Bauch::N,buk,qarın
22,Bauch::N,mage,qarın
23,Nabel::N,navel,göbək
24,Busen::N,barm,məmə
25,Brust::N,bröst,döş
26,Schulter::N,skuldra,çiyin
27,Arm::N,arm,qol
28,Ellenbogen::N,armbåge,dirsək
29,Hand::N,hand,əl
30,Handfläche::N,handflata,ovuc
31,Finger::N,finger,barmaq
32,Fingernagel::N,fingernagel,barmaq dırnağı
33,Nagel[Anatomie]::N,nagel,dırnak
34,Zeh::N,tå,ayaq barmağı
35,Fuß::N,fot,ayaq
36,Ferse::N,häl,daban
37,Knie::N,knä,diz
38,Oberschenkel::N,lår,bud
39,Bein::N,ben,qıç
40,Körper::N,kropp,əndam
41,Haut::N,hud,dəri
42,Haut::N,skinn,dəri
43,Blut::N,blod,qan
44,Ader::N,åder,damar
45,Sehne::N,sena,vətər
46,Knochen::N,ben,sümük
47,Gehirn::N,hjärna,beyin
48,Herz::N,hjärta,ürək
49,Magen::N,mage,mədə
50,Leber::N,lever,qara ciyər
51,Atem::N,anda,nəfəs
52,Atem::N,andedräkt,nəfəs
53,Hunger::N,svält,aclıq
54,Hunger::N,hunger,aclıq
55,Träne::N,tår,göz yaşı
56,Geschmack::N,smak,tam
57,Geschmack::N,smak,ləzzət
58,Geruch::N,lukt,qoxu
59,Schlaf::N,sömn,yuxu
60,Traum::N,dröm,röya
61,Himmel::N,himmel,göy
62,Himmel::N,himmel,səma
63,Sonne::N,sol,günəş
64,Mond::N,måne,ay
65,Stern::N,stjärna,ulduz
66,Luft::N,luft,hava
67,Wind::N,vind,yel
68,Wind::N,vind,külək
69,Welle::N,våg,dalğa
70,Welle::N,bölja,dalğa
71,Wasser::N,vatten,su
72,Stein::N,sten,daş
73,Boden::N,mark,yer
74,Boden::N,mark,zəmin
75,Erde::N,jord,yer torpaq
76,Staub::N,damm,toz
77,Rauch::N,rök,tüstü
78,Funke::N,gnista,qığılcım
79,Feuer::N,eld,od
80,Licht::N,ljus,işıq
81,Schatten::N,skugga,kölgə
82,Wetter::N,väder,hava
83,Nebel::N,dimma,duman
84,Nebel::N,töcken,duman
85,Wolke::N,sky,bulud
86,Wolke::N,moln,bulud
87,Regen::N,regn,yağış
88,Regen::N,regn,yağmur
89,Schnee::N,snö,qar
90,Eis::N,is,buz
91,Frost::N,frost,ayaz
92,Kälte::N,köld,soyuq
93,Hitze::N,hetta,coşğunluq
94,Raureif::N,rimfrost,qırov
95,Regenbogen::N,regnbåge,göy qurşağı
96,Donner::N,åska,göy gurultusu
97,Donner::N,dunder,göy gurultusu
98,Strömung::N,strömning,axın
99,Tropfen::N,dropper,damcı
100,Schaum::N,skum,köpük
101,Schmutz::N,lort,çamır
102,Schmutz::N,smuts,çamır
103,See::N,sjö,göl
104,Sumpf::N,träsk,bataqlıq
105,Moor::N,myr,bataqlıq
106,Moor::N,mosse,bataqlıq
107,Wiese::N,äng,çəmən
108,Wald::N,skog,meşə
109,Hügel::N,höjd,təpə
110,Hügel::N,kulle,təpə
111,Anhöhe::N,höjd,təpə
112,Anhöhe::N,backe,təpə
113,Berg::N,berg,dağ
114,Berg::N,fjäll,dağ
115,Gipfel::N,topp,zirvə
116,Höhle::N,håla,mağara
117,Höhle::N,grotta,mağara
118,Abhang::N,slänt,yamac
119,Abhang::N,sluttning,yamac
120,Quelle::N,källa,bulaq
121,Bach::N,bäck,kiçik çay
122,Fluss::N,älv,çay
123,Fluss::N,flod,çay
124,Ufer::N,strand,kənar
125,Küste::N,kust,sahil
126,Festland::N,fastland,materik
127,Meer::N,hav,dəniz
128,Bucht::N,vik,körfəz
129,Bucht::N,bukt,körfəz
130,Insel::N,ö,ada
131,Blume::N,blomma,çiçək
132,Blume::N,blomster,çiçək
133,Gras::N,gräs,ot
134,Wurzel::N,rot,kök
135,Baum::N,träd,ağac
136,Stamm::N,stam,gövdə
137,Rinde::N,bark,qabıq
138,Ast::N,gren,şax
139,Zweig::N,kvist,budaq
140,Blatt::N,löv,yarpaq
141,Blatt::N,blad,yarpaq
142,Birke::N,björk,tozağacı
143,Kiefer[Baum]::N,tall,şam
144,Weide[Baum]::N,pil,söyüd
145,Weide[Baum]::N,vide,söyüd
146,Tanne::N,gran,küknar
147,Horn::N,horn,buynuz
148,Feder::N,fjäder,tük
149,Feder::N,fjäder,lələk
150,Fell::N,fäll,xəz
151,Fell::N,skinn,xəz
152,Flügel::N,vinge,qanad
153,Klaue::N,klöv,pəncə
154,Kralle::N,klo,dırnaq
155,Schwanz::N,svans,quyruq
156,Schwanz::N,stjärt,quyruq
157,Ei::N,ägg,yumurta
158,Nest::N,rede,yuva
159,Nest::N,näste,yuva
160,Bau::N,bo,yuva
161,Tier::N,djur,heyvan
162,Herde::N,flock,sürü
163,Kuh::N,ko,inək
164,Bulle::N,tjur,öküz
165,Pferd::N,häst,at
166,Schaf::N,får,qoyun
167,Schwein::N,svin,donuz
168,Hund::N,hund,it
169,Hund::N,hund,köpək
170,Katze::N,katt,pişik
171,Bär::N,björn,ayı
172,Eichhörnchen::N,ekorre,dələ
173,Elch::N,älg,sığın
174,Fuchs::N,räv,tülkü
175,Hase::N,hare,dovşan
176,Maus::N,mus,siçan
177,Wolf::N,varg,qurd
178,Vogel::N,fågel,quş
179,Schwarm::N,svärm,sürü
180,Huhn::N,höns,toyuq
181,Hahn::N,tupp,xoruz
182,Gans::N,gås,qaz
183,Adler::N,örn,qartal
184,Adler::N,örn,qaraquş
185,Ente::N,anka,ördək
186,Eule::N,uggla,bayquş
187,Kranich::N,trana,durna
188,Krähe::N,kråka,qarğa
189,Kuckuck::N,gök,ququ
190,Schwan::N,svan,qu quşu
191,Fisch::N,fisk,balıq
192,Barsch::N,abborre,tar
193,Hecht::N,gädda,durnabalığı
194,Schlange[Tier]::N,orm,ilan
195,Wurm::N,mask,qurd
196,Spinne::N,spindel,hörümçək
197,Ameise::N,myra,qarışqa
198,Laus::N,lus,bit
199,Mücke::N,mygga,ağcaqanad
200,Fliege::N,fluga,milçək
201,Schmetterling::N,fjäril,kəpənək
202,Beere::N,bär,gilə
203,Apfel::N,äpple,alma
204,Pilz::N,svamp,göbələk
