,Concept_ID,ady,fi
0,Auge::N,нэ,silmä
1,Ohr::N,тхьакӏу́м,korva
2,Nase::N,пэ,nenä
3,Mund::N,жэ,suu
4,Zahn::N,цэ,hammas
5,Zunge::N,бзэгу,kieli
6,Lippe::N,ӏупшӏэ́,huuli
7,Wange::N,нэкӏу́шъу,poski
8,Gesicht::N,нэ́гу,naama
9,Gesicht::N,нэ́гу,kasvot
10,Stirn::N,натӏэ́,otsa
11,Haar::N,шъхьацы́,hius
12,Haar::N,шъхьацы́,tukka
13,Bart::N,жакӏэ́,parta
14,Kinn::N,жэкӏэпэпкъ,leuka
15,Kiefer[Anatomie]::N,жэпкъы́,leukaluu
16,Kehle::N,чый,kurkku
17,Hals::N,пшъэ,kaula
18,Genick::N,шъхьэпхэтыку,niska
19,Kopf::N,шъхьэ́,pää
20,Rücken::N,кӏыбы́,selkä
21,Bauch::N,ныбэ́,maha
22,Bauch::N,ныбэ́,vatsa
23,Busen::N,бгъэ́,rinta
24,Brust::N,бгъэ́,rinta
25,Schulter::N,блыпкъ,olka
26,Schulter::N,блыпкъ,hartia
27,Schulter::N,блыпкъ,olkapää
28,Arm::N,ӏэ,käsivarsi
29,Ellenbogen::N,ӏэнтэ́гъу,kyynärpää
30,Hand::N,ӏэтхьэцу,käsi
31,Handfläche::N,ӏэ́гу,kämmen
32,Finger::N,ӏэхъуа́мб,sormi
33,Fingernagel::N,ӏэбжъа́н,kynsi
34,Nagel[Anatomie]::N,ӏэбжъа́н,kynsi
35,Zeh::N,ӏэхъуа́мб,varvas
36,Fuß::N,лъэгу,jalka
37,Ferse::N,лъэдакъэ,kantapää
38,Knie::N,лъагуа́ндж,polvi
39,Oberschenkel::N,ко,reisi
40,Bein::N,лъакъо́,jalka
41,Körper::N,пкъышъол,keho
42,Körper::N,пкъышъол,ruumis
43,Haut::N,кӏы́шъу,iho
44,Blut::N,лъы,veri
45,Ader::N,льытф,suoni
46,Sehne::N,фэ,jänne
47,Knochen::N,къупшъхьэ́,luu
48,Gehirn::N,куцӏы,aivot
49,Herz::N,гу,sydän
50,Magen::N,мышкӏу,maha
51,Magen::N,мышкӏу,vatsa
52,Leber::N,шӏу,maksa
53,Atem::N,къэщэныр,henki
54,Atem::N,къэщэныр,hengitys
55,Hunger::N,гъаблэ́,nälkä
56,Träne::N,нэпсы,kyynel
57,Geschmack::N,ӏэшӏугъа́кӏ,maku
58,Geruch::N,мэ,haju
59,Schlaf::N,пчыхьы́пӏ,uni
60,Traum::N,пчыхьы́пӏ,uni
61,Himmel::N,уашъо́,taivas
62,Sonne::N,тыгъэ,aurinko
63,Mond::N,мазэ,kuu
64,Stern::N,жъуагъо́,tähti
65,Luft::N,жьы,ilma
66,Wind::N,жьыбгъэ́,tuuli
67,Welle::N,ор,aalto
68,Welle::N,оры,aalto
69,Wasser::N,псы,vesi
70,Stein::N,мыжъо́,kivi
71,Boden::N,чӏ́ыгу,maa
72,Boden::N,чӏ́ыгу,maaperä
73,Erde::N,чӏ́ыгу,maa
74,Staub::N,сап,pöly
75,Rauch::N,ӏугъо́,savu
76,Funke::N,мэшӏуа́ч,kipinä
77,Feuer::N,машӏо́,tuli
78,Licht::N,нэфы,valo
79,Licht::N,нэфын,valo
80,Schatten::N,жьау́,varjo
81,Schatten::N,ныбжьыкъу,varjo
82,Nebel::N,пща́гъу,sumu
83,Wolke::N,ошъуапщэ,pilvi
84,Regen::N,ощхы,sade
85,Schnee::N,осы́,lumi
86,Eis::N,мылы,jää
87,Kälte::N,чъыӏэ́,vilu
88,Kälte::N,чъыӏэ́,kylmyys
89,Hitze::N,фэба́е,helle
90,Hitze::N,фэба́е,kuumuus
91,Regenbogen::N, лэгъупэкъо́пс,sateenkaari
92,Donner::N,шыблэ́,jyrinä
93,Strömung::N,ток,virtaus
94,Tropfen::N,ткӏопс,tippa
95,Tropfen::N,ткӏопс,pisara
96,Tropfen::N,гъуаткӏу,tippa
97,Tropfen::N,гъуаткӏу,pisara
98,Schaum::N,тхъурбэ,vaahto
99,Schmutz::N,псынжъы,loka
100,See::N,хыку́м,järvi
101,See::N,псыхъура́й,järvi
102,Sumpf::N,орыжъ,suo
103,Moor::N,орыжъ,räme
104,Wiese::N,хъупӏэ́,niitty
105,Wiese::N,мэкъупӏ,niitty
106,Wald::N,мэзы́,metsä
107,Hügel::N,ӏуашъхь,mäki
108,Hügel::N,ӏуашъхь,kumpu
109,Hügel::N,ӏуашъхь,kukkula
110,Anhöhe::N,чӏыӏэтыгъ,mäki
111,Anhöhe::N,чӏыӏэтыгъ,kumpare
112,Berg::N,къушъхьэ́,mäki
113,Berg::N,къушъхьэ́,vuori
114,Gipfel::N,шыгу,laki
115,Gipfel::N,шыгу,huippu
116,Höhle::N,гъочӏэгъ,luola
117,Abhang::N,чапэ,rinne
118,Quelle::N,псынэчэ́чъ,lähde
119,Bach::N,псышкуашку,puro
120,Fluss::N,псыхъо́,joki
121,Ufer::N,нэпкъы,ranta
122,Küste::N,ӏушъо,rannikko
123,Festland::N,чӏл́ыгу,manner
124,Meer::N,хы,meri
125,Bucht::N,хыблыгу,lahti
126,Insel::N,хыгъэхъу́н,saari
127,Blume::N,къэгъа́гь,kukka
128,Gras::N,уцы́,ruoho
129,Wurzel::N,лъапсэ́,juuri
130,Baum::N,чъыгы́,puu
131,Stamm::N,пкъы,runko
132,Rinde::N,пхъашъо́,kuori
133,Rinde::N,пхъашъо́,parkki
134,Ast::N,куамэ,oksa
135,Zweig::N,къутамэ́,haara
136,Blatt::N,тхьап,lehti
137,Birke::N,пчэн,koivu
138,Kiefer[Baum]::N,сэснэй,mänty
139,Kiefer[Baum]::N,сэснэй,petäjä
140,Weide[Baum]::N,пце́л,paju
141,Tanne::N,ель,kuusi
142,Horn::N,бжъэ,sarvi
143,Feder::N,къамӏы́й,sulka
144,Feder::N,къамӏы́й,höyhen
145,Fell::N,шъо,talja
146,Flügel::N,тамэ́,siipi
147,Klaue::N,лъэбжъа́н,kynsi
148,Kralle::N,лъакъо,kynsi
149,Schwanz::N,кӏэ,häntä
150,Schwanz::N,кӏэ,pyrstö
151,Ei::N,кӏэнкӏэ́,muna
152,Nest::N,набгъо́,pesä
153,Bau::N,гъу,pesä
154,Bau::N,бы,pesä
155,Tier::N,псэу́шъхь,eläin
156,Herde::N,ӏэхъогъу,lauma
157,Kuh::N,чэмы́,lehmä
158,Bulle::N,цу,sonni
