,Concept_ID,kl,da
0,Auge::N,isi,øje
1,Ohr::N,siut,øre
2,Mund::N,paaq,mund
3,Mund::N,qaneq,mund
4,Zahn::N,kigut,tand
5,Zunge::N,oqaq,tunge
6,Lippe::N,qarloq,læbe
7,Wange::N,ersaq,kind
8,Gesicht::N,kiinaq,ansigt
9,Stirn::N,qaaq,pande
10,Haar::N,meqqoq,hår
11,Bart::N,umik,skæg
12,Kinn::N,talloq,hage
13,Kiefer[Anatomie]::N,alleroq,kæbe
14,Kehle::N,malaq,strube
15,Hals::N,qungaseq,hals
16,Genick::N,pukusuk,nakke
17,Kopf::N,niaqoq,hoved
18,Rücken::N,qimerlut,ryg
19,Bauch::N,naaq,mave
20,Nabel::N,qalaseq,navle
21,Busen::N,iviangeq,barm
22,Brust::N,iviangeq,bryst
23,Schulter::N,ersik,skulder
24,Schulter::N,assaqqoq,skulder
25,Arm::N,taleq,arm
26,Ellenbogen::N,ikusik,albue
27,Hand::N,assak,hånd
28,Handfläche::N,itumak,håndflade
29,Finger::N,inuak,finger
30,Fingernagel::N,kikiak,fingernegl
31,Nagel[Anatomie]::N,kukik,negl
32,Zeh::N,isigak,tå
33,Ferse::N,kimmik,hæl
34,Knie::N,seeqqoq,knæ
35,Oberschenkel::N,uppat,lår
36,Oberschenkel::N,quttoraq,lår
37,Bein::N,isigak,ben
38,Körper::N,timi,krop
39,Körper::N,timi,legeme
40,Haut::N,mattak,hud
41,Blut::N,aak,blod
42,Ader::N,taqaq,åre
43,Sehne::N,ujalu,sene
44,Sehne::N,ujaloq,sene
45,Knochen::N,saanikut,ben
46,Gehirn::N,qarasaq,hjerne
47,Herz::N,uummat,hjerte
48,Magen::N,aqajaroq,mave
49,Leber::N,tinguk,lever
50,Atem::N,anerneq,ånde
51,Hunger::N,kaanneq,sult
52,Träne::N,qia,tåre
53,Träne::N,qiak,tåre
54,Geschmack::N,qilanaartuut,smag
55,Geruch::N,tipi,lugt
56,Geruch::N,tipik,lugt
57,Traum::N,sinnattoq,drøm
58,Traum::N,sinnattugaq,drøm
59,Himmel::N,qilak,himmel
60,Sonne::N,seqineq,sol
61,Mond::N,qaammat,måne
62,Stern::N,ulloriaq,stjerne
63,Luft::N,silaannaq,luft
64,Wind::N,anori,vind
65,Wind::N,anorsarik,vind
66,Welle::N,aalappaa,bølge
67,Wasser::N,imeq,vand
68,Stein::N,ujarak,sten
69,Boden::N,nateq,jord
70,Erde::N,issoq,jord
71,Staub::N,pujualanerit,støv
72,Staub::N,pujoralanerit,støv
73,Rauch::N,iseq,røg
74,Rauch::N,pujoq,røg
75,Funke::N,illoorneq,gnist
76,Feuer::N,inneq,ild
77,Licht::N,qaamaneq,lys
78,Schatten::N,tarraq,skygge
79,Wetter::N,sila,vejr
80,Nebel::N,pujoq,tåge
81,Wolke::N,nuia,sky
82,Regen::N,sialuk,regn
83,Schnee::N,aput,sne
84,Eis::N,siku,is
85,Frost::N,issi,frost
86,Frost::N,issik,frost
87,Kälte::N,issi,kulde
88,Hitze::N,kianneq,hede
89,Hitze::N,kiassuseq,hede
90,Raureif::N,kaneq,rimfrost
91,Regenbogen::N,neriusaaq,regnbue
92,Donner::N,kalleq,torden
93,Tropfen::N,kuseriarneq,dråbe
94,Schaum::N,qapuk,skum
95,Schmutz::N,minguk,snavs
96,See::N,taseq,sø
97,Sumpf::N,maqulluk,sump
98,Wiese::N,masarsuk,eng
99,Hügel::N,qattuneq,høj
100,Hügel::N,qattuneq,bakke
101,Hügel::N,majuariaq,høj
102,Hügel::N,majuariaq,bakke
103,Hügel::N,majorajaaq,høj
104,Hügel::N,majorajaaq,bakke
105,Hügel::N,qaqqannguaq,høj
106,Hügel::N,qaqqannguaq,bakke
107,Berg::N,qaqqaq,bjerg
108,Höhle::N,qaarusuk,hule
109,Abhang::N,ippik,skrænt
110,Abhang::N,ippik,skråning
111,Abhang::N,sivinganeq,skrænt
112,Abhang::N,sivinganeq,skråning
113,Abhang::N,sivingajaaq,skrænt
114,Abhang::N,sivingajaaq,skråning
115,Abhang::N,kussangajaaq,skrænt
116,Abhang::N,kussangajaaq,skråning
117,Bach::N,kuunnguaq,bæk
118,Fluss::N,kuuk,flod
119,Ufer::N,sissap sinaa,bred
120,Küste::N,sineriak,kyst
121,Meer::N,imaq,hav
122,Bucht::N,ikeq,bugt
123,Bucht::N,kangerluk,bugt
124,Bucht::N,kangerliumaneq,bugt
125,Insel::N,qeqertaq,ø
126,Blume::N,naasoq,blomst
127,Gras::N,ivigaq,græs
128,Wurzel::N,niulutaq,rod
129,Baum::N,orpik,træ
130,Stamm::N,kanaartaq,stamme
131,Rinde::N,ameraq,bark
132,Ast::N,avalequt,gren
133,Zweig::N,avalequt,kvist
134,Blatt::N,pilutaq,blad
135,Birke::N,patitsit,birk
136,Weide[Baum]::N,palleq,piletræ
137,Tanne::N,orsuerneq,gran
138,Horn::N,nassuk,horn
139,Feder::N,suluk,fjer
140,Fell::N,ameq,skind
141,Flügel::N,suluk,vinge
142,Flügel::N,isaroq,vinge
143,Klaue::N,kukik,klov
144,Kralle::N,kukik,klo
145,Schwanz::N,pamioq,hale
146,Schwanz::N,paperuusaq,hale
147,Ei::N,mannik,æg
148,Nest::N,ullut,rede
149,Bau::N,ini,bo
150,Tier::N,uumasoq,dyr
151,Herde::N,unguukkat,flok
152,Kuh::N,ussik,ko
153,Bulle::N,angukulak,tyr
154,Bulle::N,anguteralak,tyr
155,Bulle::N,angutikulooq,tyr
156,Schaf::N,sava,får
157,Schwein::N,puuluki,gris
158,Hund::N,qimmeq,hund
159,Katze::N,puisaaq,kat
160,Bär::N,allaq,bjørn
161,Eichhörnchen::N,sissinnguaq,egern
162,Fuchs::N,terianniaq,ræv
163,Hase::N,ukaleq,hare
164,Maus::N,teriannguaq,mus
165,Wolf::N,amaroq,ulv
166,Vogel::N,timmiaq,fugl
167,Huhn::N,kukkukooq,høne
168,Huhn::N,marloraaqaaq,høne
169,Hahn::N,kiasiusaq,hane
170,Gans::N,nerleq,gås
171,Adler::N,nattoralik,ørn
172,Eule::N,uppik,ugle
173,Kranich::N,qorlorfik,trane
174,Krähe::N,tuluatsiaq,krage
175,Kuckuck::N,kukkooq,gøg
176,Schwan::N,qussuk,svane
177,Fisch::N,aalisagaq,fisk
178,Schlange[Tier]::N,pulateriarsuk,slange
179,Schlange[Tier]::N,pulateriaarsuk,slange
180,Spinne::N,aasiaq,edderkop
181,Spinne::N,nissavaarsuk,edderkop
182,Ameise::N,uniaaluk,myre
183,Laus::N,kumak,lus
184,Mücke::N,ippernaq,myg
185,Fliege::N,ippernaq,flue
186,Schmetterling::N,paluaq,sommerfugl
187,Schmetterling::N,pakkaluaq,sommerfugl
188,Schmetterling::N,utsuppaluaq,sommerfugl
189,Schmetterling::N,taqaleqisaaq,sommerfugl
190,Beere::N,paarmaq,bær
191,Beere::N,paarngaq,bær
192,Apfel::N,iipili,æble
193,Pilz::N,anngiusaq,svamp
194,Zwiebel::N,uanitsoq,løg
195,Saat::N,naatsiiassaq,sæd
196,Korn::N,maannineq,korn
197,Schale::N,niutsivik,skræl
198,Schale::N,ilulissaq qaartussaq,skræl
199,Grube::N,itersaq,grav
200,Falle::N,pualavoq,fælde
201,Schlinge::N,orseq,snare
202,Schlinge::N,norloq,snare
203,Spur::N,tumaa,spor
204,Asche::N,arsat,aske
205,Dreck::N,minguk,snavs
206,Eisen::N,savimineq,jern
207,Eisen::N,saffiugassaq,jern
208,Gold::N,kuulti,guld
209,Silber::N,siilviuvoq,sølv
210,Kohle::N,aamarsuit aamaruutissat,kul
211,Glas::N,igalaaq,glas
212,Glas::N,imertarfik,glas
213,Glas::N,igalaamineq,glas
214,Lehm::N,marraq,ler
215,Sand::N,sioqqat,sand
216,Mensch::N,inuk,mennesge
217,Mensch::N,silamiu,mennesge
218,Mann::N,angut,mand
219,Frau::N,arnaq,kvinde
220,Kind::N,meeraq,barn
221,Junge::N,nukappiaraq,dreng
222,Mädchen::N,arnannguaq,pige
223,Familie::N,ilaqutakka,familie
224,Familie::N,ilaqutariit,familie
225,Großvater::N,aatak,bedstefar
226,Großmutter::N,aanaq,bedstemor
227,Eltern::N,angajoqqaat,forældre
228,Vater::N,ataata,far
229,Vater::N,ataataq,far
230,Mutter::N,anaana,mor
231,Sohn::N,erneq,søn
232,Tochter::N,panik,datter
233,Bruder::N,ani,bror
234,Bruder::N,aqqaluk,bror
235,Bruder::N,qatanngut,bror
236,Schwester::N,naja,søster
237,Schwester::N,aleqa,søster
238,Schwester::N,qatanngut,søster
239,Onkel::N,akkak,onkel
240,Tante::N,aja,tante
241,Tante::N,ajak,tante
242,Tante::N,atsak,tante
243,Ehemann::N,ui,ægtemand
244,Ehefrau::N,nuliaq,hustru
245,Freude::N,tipaatsussuseq,glæde
246,Gelächter::N,illaq,latter
247,Glück::N,usornaat,lykke
248,Glück::N,usornarsuseq,lykke
249,Wunsch::N,kissaat,ønske
250,Lust::N,illigussuseq,lyst
251,Lust::N,piummaseq,lyst
252,Geist::N,anerneq,ånd
253,Geist::N,toornaq,ånd
254,Gedanke::N,isumassaq,tanke
255,Gedächtnis::N,eqqaamannissuseq,hukommelse
