,Concept_ID,lez,no
0,Auge::N,вил,øye
1,Ohr::N,яб,øre
2,Nase::N,нер,nese
3,Mund::N,сив,munn
4,Zahn::N,сас,tann
5,Zahn::N,свах,tann
6,Zunge::N,мез,tunge
7,Lippe::N,пӏуз,leppe
8,Wange::N,хъвехъ,kinn
9,Gesicht::N,ччин,fjes
10,Gesicht::N,ччин,ansikt
11,Stirn::N,пел,panne
12,Haar::N,чӏар,hår
13,Schnurrbart::N,спел,bart
14,Schnurrbart::N,спелар,bart
15,Bart::N,ччуру,skjegg
16,Kinn::N,чене,hake
17,Kiefer[Anatomie]::N,чене,kjeve
18,Kehle::N,туьд,strupe
19,Hals::N,гардан,hals
20,Genick::N,кьам,nakke
21,Kopf::N,кьил,hode
22,Rücken::N,далу,rygg
23,Bauch::N,руфун,buk
24,Bauch::N,руфун,mage
25,Nabel::N,пицӏ,navle
26,Busen::N,мам,barm
27,Brust::N,хур,bryst
28,Schulter::N,къуьн,skulder
29,Arm::N,гъил,arm
30,Ellenbogen::N,кьуьнт,albue
31,Hand::N,капаш,hånd
32,Handfläche::N,капан юкь,håndflate
33,Finger::N,тӏуб,finger
34,Fingernagel::N,кек,fingernegl
35,Nagel[Anatomie]::N,кек,negl
36,Zeh::N,кул,tå
37,Fuß::N,кӏвач,fot
38,Ferse::N,дабан,hæl
39,Knie::N,мет,kne
40,Bein::N,кӏвач,bein
41,Körper::N,беден,kropp
42,Körper::N,беден,legeme
43,Haut::N,хам,hud
44,Haut::N,хам,skinn
45,Blut::N,иви,blod
46,Ader::N,дамар,åre
47,Sehne::N,кьуру дамар,sene
48,Knochen::N,кӏараб,bein
49,Knochen::N,кӏараб,knokkel
50,Gehirn::N,мефт,hjerne
51,Herz::N,рикӏ,hjerte
52,Magen::N,хук,mage
53,Leber::N,лекь,lever
54,Atem::N,ял,pust
55,Atem::N,нефес,pust
56,Hunger::N,каш,sult
57,Träne::N,вилин нагъв,tåre
58,Geschmack::N,дад,smak
59,Geschmack::N,тӏям,smak
60,Geruch::N,ни,lukt
61,Schlaf::N,ахвар,søvn
62,Traum::N,ахвар,drøm
63,Himmel::N,цав,himmel
64,Sonne::N,рагъ,sol
65,Mond::N,варз,måne
66,Stern::N,гъед,stjerne
67,Luft::N,гьава,luft
68,Wind::N,гар,vind
69,Welle::N,лепе,bølge
70,Wasser::N,яд,vann
71,Stein::N,къван,stein
