,Concept_ID,bg,ba
0,Auge::N,око,күҙ
1,Ohr::N,ухо,ҡолаҡ
2,Nase::N,нос,танау
3,Mund::N,уста,ауыҙ
4,Zahn::N,зъб,теш
5,Zunge::N,език,тел
6,Lippe::N,устна,ирен
7,Wange::N,буза,яцаҡтар
8,Gesicht::N,лице,бит
9,Gesicht::N,образ,бит
10,Stirn::N,чело,маңлай
11,Haar::N,коса,сәс
12,Haar::N,косъм,сәс
13,Schnurrbart::N,мустаци,мылтыҡ
14,Bart::N,брада,һаҡал
15,Kinn::N,брада,эйэк
16,Kinn::N,брадичка,эйэк
17,Kiefer[Anatomie]::N,челюст,яңаҡ һөйәге
18,Kehle::N,гърло,тамаҡ
19,Hals::N,врат,муйын
20,Genick::N,тил,соңҡа
21,Kopf::N,глава,баш
22,Rücken::N,гръб,арҡа
23,Bauch::N,корем,ҡорһаҡ
24,Nabel::N,пъп,кендек
25,Busen::N,бозка,күкрәк
26,Brust::N,гръд,түш
27,Schulter::N,рамо,яурын
28,Schulter::N,плещи,яурын
29,Arm::N,ръка,ҡул
30,Ellenbogen::N,лакът,терһәк
31,Hand::N,ръка,ҡул
32,Hand::N,ръка,ҡул суғы
33,Hand::N,китка,ҡул
34,Hand::N,китка,ҡул суғы
35,Handfläche::N,длан,ус төбө
36,Finger::N,пръст,бармаҡ
37,Fingernagel::N,нокът,тырнаҡ
38,Nagel[Anatomie]::N,нокът,тырнаҡ
39,Zeh::N,пръст на крак,бармаҡ
40,Fuß::N,крак,табан
41,Fuß::N,нога,табан
42,Ferse::N,пета,үксә
43,Knie::N,коляно,тубыҡ
44,Oberschenkel::N,бедро,сандыр
45,Bein::N,крак,аяҡ
46,Bein::N,нога,аяҡ
47,Körper::N,тяло,тән
48,Haut::N,кожа,тире
49,Blut::N,кръв,ҡан
50,Ader::N,вена,тамыр
51,Ader::N,артерия,тамыр
52,Sehne::N,жила,һеңер
53,Sehne::N,жила,тарамыш
54,Sehne::N,сухожилие,һеңер
55,Sehne::N,сухожилие,тарамыш
56,Knochen::N,кост,һойәк
57,Gehirn::N,мозък,мейе
58,Herz::N,сърце,йорәк
59,Magen::N,стомах,ашҡаҙан
60,Leber::N,черен дроб,бауыр
61,Atem::N,дишане,һулыш
62,Hunger::N,глад,аслыҡ
63,Träne::N,сълза,күҙ иәше
64,Geschmack::N,вкус,тәм
65,Geruch::N,миризма,еҫ
66,Schlaf::N,сън,йоҡлау
67,Traum::N,сън,төш
68,Himmel::N,небе,күк
69,Sonne::N,слънце,ҡояш
70,Mond::N,луна,ай
71,Mond::N,месец,ай
72,Stern::N,звезда,йондоҙ
73,Luft::N,въздух,һауа
74,Wind::N,вятър,ел
75,Welle::N,вълна,тулҡын
76,Wasser::N,вода,һыу
77,Stein::N,камък,таш
78,Boden::N,земя,тупраҡ
79,Boden::N,почва,тупраҡ
80,Erde::N,земя,балсҡ
81,Erde::N,почва,балсҡ
82,Staub::N,прах,туҙан
83,Rauch::N,дим,төтөн
84,Rauch::N,пушек,төтөн
85,Funke::N,искра,осҡон
86,Feuer::N,огън,ут
87,Licht::N,светлина,яҡтылыҡ
88,Schatten::N,сянка,күләгә
89,Wetter::N,време,һауа торошо
90,Nebel::N,мъгла,төман
91,Wolke::N,облак,болот
92,Regen::N,дъжд,ямғыр
93,Schnee::N,сняг,ҡар
94,Eis::N,лед,боҙ
95,Frost::N,мраз,һалҡын
96,Kälte::N,студ,һыуыҡ
97,Hitze::N,жега,томра
98,Hitze::N,жега,эҫелек
99,Hitze::N,горещина,томра
100,Hitze::N,горещина,эҫелек
101,Raureif::N,скреж,ҡырау
102,Raureif::N,слана,ҡырау
