,Concept_ID,ar,xal
0,Auge::N,عين,нүдн
1,Ohr::N,أذن,чикн
2,Nase::N,أنف,хамр
3,Mund::N,فم,амн
4,Zahn::N,سن,шүдн
5,Zunge::N,لسان,келн
6,Lippe::N,شفة,урл
7,Wange::N,خد,халх
8,Wange::N,وجنة,халх
9,Gesicht::N,وجه,нүр
10,Stirn::N,جبين,маңна
11,Haar::N,شعر,үсн
12,Schnurrbart::N,شارب,сахл
13,Bart::N,لحية,сахл
14,Bart::N,لحية,өргнә сахл
15,Kinn::N,ذقن,өргн
16,Kiefer[Anatomie]::N,فك,өргн
17,Kehle::N,حلق,хол
18,Hals::N,عنق,күзүн
19,Hals::N,رقبة,күзүн
20,Genick::N,قفا,гиҗг
21,Kopf::N,رأس,толһа
22,Rücken::N,ظهر,нурһн
23,Bauch::N,بطن,гесн
24,Nabel::N,سرة,киисн
25,Busen::N,ثدي,көкн
26,Brust::N,صدر,чееҗ
27,Schulter::N,كتف,ээм
28,Arm::N,ذراع,һар
29,Ellenbogen::N,كوع,тоха
30,Hand::N,يد,баһлцг
31,Handfläche::N,كف,альхн
32,Finger::N,إصبع,хурһн
33,Finger::N,إصبع,һарин хурһн
34,Fingernagel::N,ظفر,хумсн
35,Nagel[Anatomie]::N,ظفر,хумсн
36,Zeh::N,إصبع القدم,хурһн
37,Zeh::N,إصبع القدم,көлин хурһн
38,Fuß::N,قدم,тавг
39,Ferse::N,كعب,өскә
40,Knie::N,ركبة,өвдг
41,Oberschenkel::N,فخذ,һуй
42,Bein::N,ساق,көл
43,Körper::N,جسم,махмуд
44,Haut::N,بشرة,арсн
45,Blut::N,دم,цусн
46,Ader::N,عرق,судцн
47,Sehne::N,طنب,шүрүсн
48,Knochen::N,عظم,ясн
49,Gehirn::N,دماغ,экн
50,Herz::N,قلب,зүркн
51,Magen::N,معدة,гесн
52,Leber::N,كبد,элкн
53,Atem::N,نفس,әмсхл
54,Hunger::N,جوع,харһнлһн
55,Träne::N,دمعة,нульмсн
56,Geschmack::N,طعم,амтн
57,Geschmack::N,مذاق,амтн
58,Geruch::N,رائحة,үнр
59,Schlaf::N,نوم,нөр
60,Schlaf::N,منام,нөр
61,Traum::N,حلم,зүүдн
62,Himmel::N,سماء,теңгр
63,Sonne::N,شمس,нарн
64,Mond::N,قمر,сар
65,Stern::N,نجم,одн
66,Stern::N,كوكب,одн
67,Luft::N,هواء,аһар
68,Wind::N,ريح,салькн
69,Welle::N,موجة,дольган
70,Wasser::N,ماء,усн
