,Concept_ID,mhr,hy
0,Auge::N,шинча́,աչք
1,Ohr::N,пы́лыш,ականջ
2,Nase::N,нер,քիթ
3,Mund::N,умша́,բերան
4,Zahn::N,пӱй,ատամ
5,Zunge::N,йы́лме,լեզու
6,Lippe::N,тӱ́рвӧ,շրթունք
7,Wange::N,шӱ́ргӧ,այտ
8,Wange::N,шӱ́ргӧ,թուշ
9,Gesicht::N,чури́й,դեմք
10,Stirn::N,саҥга́,ճակատ
11,Haar::N,ӱп,մազ
12,Schnurrbart::N,ӧ́рыш,բեղ
13,Bart::N,понда́ш,մորուք
14,Kinn::N,оҥыла́ш,կզակ
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ծնոտ
16,Kiefer[Anatomie]::N,пӱйората́,ծնոտ
17,Kehle::N,лога́р,կոկորդ
18,Hals::N,шӱй,վիզ
19,Hals::N,шӱй,պարանոց
20,Genick::N,шӱйло́дыш,ծոծրակ
21,Kopf::N,вуй,գլուխ
22,Rücken::N,туп,մեջք
23,Bauch::N,мӱ́шкыр,փոր
24,Bauch::N,мӱ́шкыр,որովայն
25,Nabel::N,кы́лымде,պորտ
26,Busen::N,чы́зе,ծոց
27,Brust::N,оҥ,կուրծք
28,Schulter::N,ва́че,ուս
29,Arm::N,кид,թեւ
30,Arm::N,кид,բազուկ
31,Ellenbogen::N,кынерву́й,արմունկ
32,Hand::N,кид,ձեռք
33,Hand::N,копа́,ձեռք
34,Handfläche::N,со́во,ափ
35,Finger::N,парня́,մատ
36,Fingernagel::N,кидкӱ́ч,եղունգ
37,Fingernagel::N,парнягӱ́ч,եղունգ
38,Nagel[Anatomie]::N,кӱч,եղունգ
39,Zeh::N,йолварня́,ոտքի մատ
40,Fuß::N,йол,ոտք
41,Fuß::N,йолкопа́,ոտք
42,Ferse::N,тага́н,գարշապար
43,Knie::N,пулву́й,ծունկ
44,Oberschenkel::N,э́рде,ազդր
45,Bein::N,йол,ոտք
46,Körper::N,кап,մարմին
47,Haut::N,кова́ште,մաշկ
48,Blut::N,вӱр,արյուն
49,Ader::N,шӧн,երակ
50,Sehne::N,шӧн,ջիղ
51,Sehne::N,шӧн,ձգտան
52,Sehne::N,кӱсе́н,ջիղ
53,Sehne::N,кӱсе́н,ձգտան
54,Knochen::N,лу,ոսկոր
55,Gehirn::N,вем,խելք
56,Gehirn::N,вуйве́м,խելք
57,Herz::N,шӱм,սիրտ
58,Magen::N,пага́р,ստամոքս
59,Leber::N,мокш,լյարդ
60,Atem::N,шӱ́лыш,շունչ
61,Hunger::N,шужыма́ш,քաղց
62,Träne::N,шинчавӱ́д,արտասուք
63,Geschmack::N,там,համ
64,Geschmack::N,там,բուրմունք
65,Geruch::N,пуш,հոտ
66,Geruch::N,пуш,բուրում
67,Schlaf::N,о́мо,քուն
68,Traum::N,йӱдо́мо,երազ
69,Himmel::N,кава́,երկինք
70,Sonne::N,ке́че,արեւ
71,Mond::N,ты́лзе,լուսին
72,Stern::N,шӱ́дыр,աստղ
73,Luft::N,юж,օդ
74,Wind::N,марде́ж,քամի
75,Welle::N,то́лкын,ալիք
76,Wasser::N,вӱд,ջուր
77,Stein::N,кӱ,քար
78,Boden::N,рок,գետին
79,Erde::N,мла́нде,հող
80,Staub::N,пура́к,փոշի
81,Rauch::N,шикш,ծուխ
82,Funke::N,сеске́м,կայծ
83,Funke::N,тулйы́п,կայծ
84,Feuer::N,тул,կրակ
85,Feuer::N,тул,հրդեհ
86,Licht::N,со́то,լույս
87,Schatten::N,ӱ́мыл,ստվեր
88,Wetter::N,иге́че,եղանակ
89,Nebel::N,тӱтыра́,մեգ
90,Nebel::N,тӱтыра́,մառախուղ
91,Wolke::N,пыл,ամպ
92,Regen::N,йӱр,անձրև
93,Schnee::N,лум,ձյուն
94,Eis::N,ий,սառույց
95,Frost::N,чатлама́,սառնամանիք
96,Kälte::N,йӱ́штӧ,դող
97,Hitze::N,шо́кшо,շոգ
98,Raureif::N,пӧрш,ցօղեղեամ
99,Raureif::N,по́кшым,ցօղեղեամ
100,Regenbogen::N,шонанпы́л,ծիածան
101,Donner::N,кӱ́дырчӧ,որոտ
102,Strömung::N,йо́гын,հոսանք
103,Tropfen::N,чӱча́лтыш,կաթիլ
104,Schaum::N,шоҥ,փրփուր
105,Schmutz::N,лавыра́,կեղտ
106,See::N,ер,լիճ
107,Sumpf::N,лӱ́кӧ,ճահիճ
108,Moor::N,куп,ճահիճ
109,Wiese::N,о́лык,մարգագետին
110,Wald::N,чодыра́,անտառ
111,Hügel::N,арка́,բլուր
112,Anhöhe::N,тӧва́,բարձունք
113,Anhöhe::N,кӱкшака́,բարձունք
114,Berg::N,ку́рык,լեռ
115,Gipfel::N,чаҥга́,գագաթ
116,Gipfel::N,чаҥга́,կատար
117,Gipfel::N,курыкву́й,գագաթ
118,Gipfel::N,курыкву́й,կատար
119,Höhle::N,пеще́р,քարայր
120,Höhle::N,курыкпо́мыш,քարայր
121,Abhang::N,та́йыл,լանջ
122,Abhang::N,та́йыл,զառիվայր
123,Quelle::N,важ,աղբյուր
124,Quelle::N,вӱдшинча́,աղբյուր
125,Bach::N,изэҥе́р,վտակ
126,Fluss::N,эҥе́р,գետ
127,Ufer::N,сер,ծովափ
128,Küste::N,вӱдтӱ́р,ափ
129,Küste::N,вӱдтӱ́р,ծովափ
130,Festland::N,мла́нде,ցամաք
131,Meer::N,те́ҥыз,ծով
132,Bucht::N,икса́,հաչիւն
133,Insel::N,отро́,վղզի
134,Blume::N,пеле́дыш,ծաղիկ
135,Gras::N,шу́до,խոտ
136,Wurzel::N,вож,արմատ
137,Baum::N,пуше́ҥге,ծառ
138,Stamm::N,йы́тыр,իրան
139,Rinde::N,шӱм,կեղեւ
140,Rinde::N,шӱм,հաչոց
141,Ast::N,укш,ճյուղ
142,Zweig::N,торма́к,ճյուղ
143,Blatt::N,лышта́ш,տերեւ
144,Birke::N,куэ́,ցարասի
145,Kiefer[Baum]::N,пӱ́нчӧ,սոճի
146,Weide[Baum]::N,уа́,ուռենի
147,Tanne::N,кож,եղեւին
148,Horn::N,шур,
149,Feder::N,пы́стыл,փետուր
150,Fell::N,кова́ште,մորթի
151,Flügel::N,шу́лдыр,թեւ
152,Klaue::N,кӱч,չանչ
153,Kralle::N,ла́па,ճանկ
154,Kralle::N,копа́,ճանկ
155,Schwanz::N,поч,պոչ
156,Ei::N,му́но,ձու
157,Nest::N,пыжа́ш,բույն
158,Bau::N,пыжа́ш,որջ
159,Bau::N,пыжа́ш,բայոց
160,Tier::N,я́нлык,կենդանի
161,Tier::N,живо́тный,կենդանի
162,Herde::N,кӱ́тӱ,հոտ
163,Herde::N,тӱшка́,հոտ
164,Kuh::N,ушка́л,կով
165,Bulle::N,ӱ́шкыж,ցուլ
166,Pferd::N,и́мне,ձի
167,Schaf::N,шо́рык,ոչխար
168,Schwein::N,сӧсна́,խոզ
169,Hund::N,пий,շուն
170,Katze::N,пы́рыс,կատու
171,Bär::N,маска́,արջ
172,Eichhörnchen::N,ур,սկյուռ
173,Elch::N,шо́рдо,հիւսիսային եղջերու
174,Fuchs::N,ры́выж,աղվես
175,Hase::N,мера́ҥ,նապաստակ
176,Maus::N,коля́,մուկ
177,Wolf::N,пи́ре,գայլ
178,Vogel::N,ка́йык,թռչուն
179,Schwarm::N,каша́к,երամ
180,Huhn::N,чы́ве,հավ
181,Hahn::N,агыта́н,աքաղաղ
182,Gans::N,ко́мбо,սագ
183,Adler::N,карагу́ш,արծիվ
184,Ente::N,лу́до,բադ
185,Eule::N,тумна́,բու
186,Kranich::N,турня́,կռունկ
187,Krähe::N,кора́к,ագռավ
188,Kuckuck::N,куку́,կուկու
189,Schwan::N,йӱ́ксӧ,կարապ
190,Fisch::N,кол,ձուկ
