,Concept_ID,be,kk
72,Himmel::N,неба,таңдай
73,Sonne::N,сонца,күн
74,Mond::N,месяц,ай
75,Stern::N,зорка,жұлдыз
76,Luft::N,паветра,әуе
77,Wind::N,вецер,жел
78,Welle::N,хваля,толқын
79,Wasser::N,вада,су
80,Stein::N,камень,тас
81,Boden::N,глеба,қыртыс
82,Erde::N,зямля,топырақ
83,Staub::N,пыл,шаң
84,Rauch::N,дым,түтін
85,Funke::N,іскра,ұшқын
86,Feuer::N,агонь,алау
87,Licht::N,святло,шұғыла
88,Schatten::N,цень,көлеңке
89,Wetter::N,пагода,ауа райы
90,Wetter::N,надворʼе,ауа райы
91,Nebel::N,туман,тұман
92,Wolke::N,воблака,бұлт
93,Regen::N,дождж,жаңбыр
94,Schnee::N,снег,қар
95,Eis::N,лёд,мұз
96,Frost::N,мароз,суық
97,Kälte::N,холад,ызғар
98,Kälte::N,холад,суықтық
99,Hitze::N,спёка,аптап
100,Raureif::N,іней,қырау
101,Regenbogen::N,вясёлка,кемпірқосақ
102,Donner::N,гром,күн күркіреу
103,Strömung::N,цячэнне,ағын
104,Tropfen::N,кропля,тамшы
105,Schaum::N,пена,көбік
106,Schmutz::N,гразь,кір
107,See::N,возера,көл
108,Sumpf::N,багна,саз
109,Moor::N,балота,саз
110,Wiese::N,луг,шалғын
111,Wald::N,лес,орман
112,Hügel::N,узгорак,төбе
113,Hügel::N,узгорак,белес
114,Hügel::N,узгорак,белес-белес
115,Anhöhe::N,узвышша,дөң
116,Anhöhe::N,узвышша,адыр
117,Anhöhe::N,узвышша,қырат
118,Berg::N,гара,тау
119,Gipfel::N,вяршыня,төбе
120,Höhle::N,пячора,үңгір
121,Abhang::N,схіл,бауыр
122,Quelle::N,крыніца,қайнар
123,Bach::N,ручай,жылға
124,Fluss::N,рака,өзен
125,Ufer::N,бераг,жиек
126,Küste::N,узбярэжжа,жиегі
127,Küste::N,узбярэжжа,жағалау
128,Festland::N,суша,құрылық
129,Meer::N,мора,теңіз
130,Bucht::N,бухта,шығанақ
131,Insel::N,востраў,арал
132,Blume::N,кветка,гүл
133,Gras::N,трава,от
134,Wurzel::N,корань,түбір
135,Baum::N,дрэва,ағаш
136,Baum::N,дрэва,дарақ
137,Stamm::N,ствол,сояу
138,Stamm::N,ствол,оқпан
139,Rinde::N,кара,қабық
140,Ast::N,сук,бұтақ
141,Zweig::N,галіна,шыбық
142,Blatt::N,ліст,жапырақ
143,Birke::N,бяроза,қайың
144,Kiefer[Baum]::N,хвоя,қарағай
145,Kiefer[Baum]::N,сасна,қарағай
146,Weide[Baum]::N,вярба,тал
147,Tanne::N,яліна,шырша
148,Horn::N,рог,мүйіз
149,Feder::N,пяро,қаламұш
150,Fell::N,шкура,тері
151,Flügel::N,крыло,қанат
152,Klaue::N,кіпцюр,тырнақ
153,Kralle::N,лапа,аяқ
154,Schwanz::N,хвост,құйрық
155,Ei::N,яйка,жұмыртқа
156,Nest::N,гняздо,ұя
157,Bau::N,нара,жатақ
158,Tier::N,жывёла,айуан
159,Tier::N,жывёла,жануар
160,Herde::N,статак,пада
161,Kuh::N,карова,сиыр
162,Bulle::N,бык,өгіз
163,Pferd::N,конь,жылқы
164,Schaf::N,авечка,қой
165,Schwein::N,свіння,шошқа
