,Concept_ID,xal,hi
0,Auge::N,нүдн,आँख
1,Auge::N,нүдн,चक्षु
2,Ohr::N,чикн,कान
3,Ohr::N,чикн,कर्ण
4,Nase::N,хамр,नाक
5,Nase::N,хамр,नासा
6,Mund::N,амн,मुख
7,Mund::N,амн,मुँह
8,Zahn::N,шүдн,दंत
9,Zahn::N,шүдн,दाँत
10,Zunge::N,келн,जीभ
11,Zunge::N,келн,ज़बान
12,Zunge::N,келн,जिह्वा
13,Lippe::N,урл,ओंठ
14,Lippe::N,урл,होंठ
15,Wange::N,халх,गाल
16,Wange::N,халх,कपोल
17,Gesicht::N,нүр,मुँह
18,Gesicht::N,нүр,चेहरा
19,Stirn::N,маңна,माथा
20,Stirn::N,маңна,मस्तक
21,Haar::N,үсн,बाल
22,Schnurrbart::N,сахл,मूँछें
23,Bart::N,сахл,दाढ़ी
24,Bart::N,өргнә сахл,दाढ़ी
25,Kinn::N,өргн,चिबुक
26,Kiefer[Anatomie]::N,өргн,जबड़ा
27,Kehle::N,хол,गला
28,Hals::N,күзүн,गला
29,Hals::N,күзүн,गरदन
30,Genick::N,гиҗг,गरदन
31,Genick::N,гиҗг,ग्रीवा
32,Kopf::N,толһа,सिर
33,Kopf::N,толһа,शीर्ष
34,Rücken::N,нурһн,पीठ
35,Bauch::N,гесн,उदर
36,Nabel::N,киисн,नाभि
37,Nabel::N,киисн,ढोंढी
38,Busen::N,көкн,कुच
39,Busen::N,көкн,स्तन
40,Brust::N,чееҗ,वक्ष
41,Schulter::N,ээм,कंधा
42,Schulter::N,ээм,स्कंध
43,Arm::N,һар,बाँह
44,Arm::N,һар,बाज़ू
45,Ellenbogen::N,тоха,कुहनी
46,Hand::N,баһлцг,हाथ
47,Hand::N,баһлцг,हस्त
48,Handfläche::N,альхн,हथेली
49,Finger::N,хурһн,उँगली
50,Finger::N,хурһн,अँगुली
51,Finger::N,һарин хурһн,उँगली
52,Finger::N,һарин хурһн,अँगुली
53,Fingernagel::N,хумсн,नख
54,Fingernagel::N,хумсн,नाख़ून
55,Nagel[Anatomie]::N,хумсн,नख
56,Nagel[Anatomie]::N,хумсн,नाख़ून
57,Zeh::N,хурһн,उँगली
58,Zeh::N,хурһн,पाँव की उँगली
59,Zeh::N,көлин хурһн,उँगली
60,Zeh::N,көлин хурһн,पाँव की उँगली
61,Fuß::N,тавг,चरण
62,Fuß::N,тавг,पाँव
63,Ferse::N,өскә,एड़ी
64,Knie::N,өвдг,जानु
65,Knie::N,өвдг,घुटना
66,Oberschenkel::N,һуй,उरु
67,Bein::N,көл,टाँग
68,Körper::N,махмуд,तन
69,Körper::N,махмуд,देह
70,Körper::N,махмуд,शरीर
71,Haut::N,арсн,चर्म
72,Haut::N,арсн,त्वचा
73,Blut::N,цусн,लहू
74,Blut::N,цусн,ख़ून
75,Ader::N,судцн,रग
76,Ader::N,судцн,शिरा
77,Sehne::N,шүрүсн,कंडरा
78,Sehne::N,шүрүсн,स्नायु
79,Knochen::N,ясн,अस्थि
80,Gehirn::N,экн,दिमाग़
81,Gehirn::N,экн,मस्तिष्क
82,Herz::N,зүркн,दिल
83,Herz::N,зүркн,हृदय
84,Magen::N,гесн,मेदा
85,Magen::N,гесн,अमाशय
86,Leber::N,элкн,जिगर
87,Leber::N,элкн,यकृत्
88,Atem::N,әмсхл,दम
89,Atem::N,әмсхл,साँस
90,Atem::N,әмсхл,श्वास
91,Hunger::N,харһнлһн,भूख
92,Hunger::N,харһнлһн,क्षुधा
93,Träne::N,нульмсн,आँसू
94,Träne::N,нульмсн,अश्रु
95,Geschmack::N,амтн,स्वाद
96,Geschmack::N,амтн,ज़ायक़ा
97,Geruch::N,үнр,बू
98,Geruch::N,үнр,गंध
99,Schlaf::N,нөр,नींद
100,Schlaf::N,нөр,निद्रा
101,Traum::N,зүүдн,सपना
102,Traum::N,зүүдн,स्वप्न
103,Himmel::N,теңгр,आकाश
104,Himmel::N,теңгр,आसमान
105,Sonne::N,нарн,रवि
106,Sonne::N,нарн,सूरज
107,Sonne::N,нарн,सूर्य
108,Mond::N,сар,चाँद
109,Mond::N,сар,चंद्र
110,Stern::N,одн,तारा
111,Stern::N,одн,सितारा
112,Luft::N,аһар,हवा
113,Luft::N,аһар,वायु
114,Wind::N,салькн,पाद
115,Welle::N,дольган,लहर
116,Welle::N,дольган,तरंग
117,Wasser::N,усн,जल
118,Wasser::N,усн,पानी
119,Stein::N,чолун,पत्थर
120,Boden::N,Һазр,मिट्टी
121,Erde::N,Һазр,भूमि
122,Erde::N,Һазр,ज़मीन
123,Staub::N,тоосн,धूल
124,Rauch::N,утан,धूआँ
125,Rauch::N,утан,धुम्र
126,Funke::N,очн,चिनगारी
127,Funke::N,очн,स्फुलिंग
128,Feuer::N,һал,आग
129,Feuer::N,һал,आतिश
130,Feuer::N,һал,अग्नि
131,Licht::N,герл,रोशनी
132,Licht::N,герл,प्रकाश
133,Schatten::N,сүүдр,छाया
134,Schatten::N,сүүдр,परछाई
135,Wetter::N,теңгр,ऋतु
136,Wetter::N,теңгр,मौसम
137,Nebel::N,будн,धुँध
138,Nebel::N,будн,कुहरा
139,Wolke::N,үүлн,मेघ
140,Wolke::N,үүлн,अभ्र
141,Regen::N,хур,मेंह
142,Regen::N,хур,बारिश
143,Schnee::N,цасн,हिम
144,Schnee::N,цасн,बर्फ़
145,Eis::N,мөсн,हिम
146,Eis::N,мөсн,बर्फ़
147,Frost::N,киитн,ठंड
148,Kälte::N,киитн,सर्दी
149,Kälte::N,киитн,शीतलता
150,Hitze::N,халун,ताप
151,Hitze::N,халун,गरमी
152,Raureif::N,цаң,पाला
153,Raureif::N,кирү,पाला
154,Regenbogen::N,солңһ,इंद्र-धनुष
155,Donner::N,оһтрһун дун,गरज
156,Donner::N,оһтрһун дун,मेघ-गर्जन
157,Strömung::N,урсхл,बहाव
158,Strömung::N,урсхл,प्रवाह
159,Tropfen::N,дусал,बूँद
160,Schaum::N,көөсн,झाग
161,Schmutz::N,кир,गंद
162,Schmutz::N,кир,कीचड़
163,See::N,нур,झील
164,See::N,нур,सरोवर
165,Sumpf::N,унул,दलदल
166,Sumpf::N,унул,धँसान
167,Moor::N,улм,झाबर
168,Moor::N,улм,धँसान
169,Wiese::N,хадлһн,घास-स्थल
170,Wald::N,ө-модн,जंगल
171,Hügel::N,толһа,टीला
172,Hügel::N,толһа,पहाड़
173,Anhöhe::N,хамр,टीला
174,Anhöhe::N,хамр,पहाड़ी
175,Berg::N,уул,पहाड़
176,Gipfel::N,ора,शिखर
177,Höhle::N,хадин көндә,गुहा
178,Höhle::N,хадин көндә,गुफ़ा
179,Abhang::N,ташу,ढाल
180,Abhang::N,ташу,ढलान
181,Quelle::N,булг,चश्मा
182,Bach::N,һооҗур,सोता
183,Bach::N,һооҗур,नदिका
184,Fluss::N,һол,नदी
185,Fluss::N,һол,सरिता
186,Ufer::N,көвә,तट
187,Ufer::N,көвә,किनारा
188,Küste::N,көвә,समुद्र-तट
189,Küste::N,теңгсин көвә,समुद्र-तट
190,Festland::N,хүүрә һазр,महाद्वीप
191,Meer::N,теңгс,सागर
192,Meer::N,теңгс,समुद्र
193,Bucht::N,цекә,खाड़ी
194,Bucht::N,теңгсин цекә,खाड़ी
195,Insel::N,арл,टापू
196,Insel::N,арл,द्वीप
197,Blume::N,цецг,फूल
198,Blume::N,цецг,पुष्प
199,Gras::N,ноһан,घास
200,Wurzel::N,уңг,मूल
201,Baum::N,модн,पेड़
202,Baum::N,модн,वृक्ष
203,Stamm::N,шилв,धड़
204,Stamm::N,һол модн,धड़
205,Rinde::N,көрсн,छाल
206,Rinde::N,көрсн,वल्कल
207,Ast::N,ац,डाल
208,Ast::N,ац,शाखा
209,Zweig::N,ац,टहनी
210,Blatt::N,хамтхасн,पत्र
211,Blatt::N,хамтхасн,पत्ता
212,Birke::N,хусм модн,भूर्ज
213,Kiefer[Baum]::N,шар харһа,पाइन-वृक्ष
214,Weide[Baum]::N,удн,बेंत
215,Tanne::N,җөөлн цаһан модн,फ़र
216,Horn::N,өвр,सींग
217,Horn::N,өвр,विषाण
218,Feder::N,өрвлг,पर
219,Feder::N,өрвлг,पंख
220,Fell::N,арсн,खाल
221,Fell::N,арсн,पशु-चर्म
222,Flügel::N,җивр,पंख
223,Flügel::N,җивр,डैना
224,Klaue::N,хумсн,पंजा
225,Kralle::N,тавг,पंजा
226,Kralle::N,тавг,नाख़ून
227,Schwanz::N,сүл,पूँछ
228,Ei::N,өндгн,अंडा
229,Nest::N,үр,नीड़
230,Nest::N,үр,घोंसला
231,Bau::N,нүкн,बिल
232,Bau::N,нүкн,माँद
233,Tier::N,мал,पशु
234,Tier::N,мал,जानवर
235,Herde::N,сүрг мал,गल्ला
236,Kuh::N,үкр,गौ
237,Kuh::N,үкр,गाय
238,Bulle::N,бух,साँड़
239,Pferd::N,мөрн,अश्व
240,Pferd::N,мөрн,घोड़ा
241,Schaf::N,хөн,भेड़
242,Schwein::N,һаха,शूकर
243,Hund::N,ноха,श्वान
244,Hund::N,ноха,कुत्ता
245,Katze::N,мис,बिल्ली
246,Bär::N,аю,रीछ
247,Bär::N,аю,भालू
248,Eichhörnchen::N,кермн,गिलहरी
249,Elch::N,хандһа,एल्क
250,Fuchs::N,арат,लोमड़ी
251,Hase::N,туула,खरहा
252,Hase::N,туула,ख़रगोश
253,Maus::N,хулһн,मूष
254,Maus::N,хулһн,चूहा
255,Wolf::N,чон,वृक
256,Wolf::N,чон,भेड़िया
257,Vogel::N,шовун,पक्षी
258,Vogel::N,шовун,चिड़िया
259,Schwarm::N,зел,झुंड
260,Huhn::N,така,मुर्ग़ी
261,Hahn::N,эр така,मुर्ग़ा
262,Gans::N,һалун,हंस
263,Gans::N,һалун,हंसिनी
264,Adler::N,һәрд,उक़ाब
265,Ente::N,нуһсн,बतख़
266,Ente::N,нуһсн,बत्तक
267,Eule::N,һурвлһ,उल्लू
268,Kranich::N,тоһрун,सारस
269,Kranich::N,тоһрун,क्रौंंच
270,Krähe::N,шаазһа,काक
271,Kuckuck::N,эргин хуцдг,कोयल
272,Kuckuck::N,эргин хуцдг,कोकिल
273,Schwan::N,хун,हंस
274,Schwan::N,хун,मराल
275,Fisch::N,заһсн,मछली
276,Fisch::N,заһсн,मत्स्य
277,Barsch::N,шүрг,पर्च
278,Hecht::N,цурх,पाइक
279,Schlange[Tier]::N,моһа,सर्प
280,Wurm::N,өтн,कृमि
281,Wurm::N,өтн,कीड़ा
282,Spinne::N,аралҗн,लूता
283,Spinne::N,аралҗн,मकड़ी
284,Ameise::N,шорһлҗн,चींटी
285,Laus::N,бөөсн,जूँ
286,Mücke::N,бөкүн,डाँस
287,Fliege::N,батхн,मक्खी
288,Fliege::N,батхн,मक्षिका
289,Schmetterling::N,эрвәкә,तितली
290,Beere::N,бөөлҗрһн,बेरी
291,Apfel::N,альмн,सेब
292,Pilz::N,теңгрин ки,खुंबी
293,Zwiebel::N,мәңгрснә толһа,प्याज़
294,Saat::N,буудян экн,बीज
295,Korn::N,экн,दाना
296,Heu::N,өвсн,मूखी घास
297,Schale::N,хальсн,बकला
298,Schale::N,хальсн,छिलका
299,Grube::N,нүкн,गड्ढा
300,Falle::N,урх,जाल
301,Falle::N,урх,फँदा
302,Falle::N,хавх,जाल
303,Falle::N,хавх,फँदा
304,Schlinge::N,бүтү,फँदा
305,Spur::N,мөр,सुराग़
306,Spur::N,мөр,पद-चिह्न
307,Asche::N,үмсн,राख
308,Dreck::N,бальчг,मैल
309,Dreck::N,бальчг,गंदगी
310,Eisen::N,төмр,लोहा
311,Gold::N,алтн,सोना
312,Gold::N,алтн,स्वर्ण
313,Silber::N,мөңгн,रजत
314,Silber::N,мөңгн,चाँदी
315,Silber::N,цаһан мөңгн,रजत
316,Silber::N,цаһан мөңгн,चाँदी
317,Kohle::N,нүүрсн,कोयला
318,Glas::N,шил,काँच
319,Lehm::N,шавр,चिकनी मिट्टी
320,Sand::N,элсн,रेत
321,Sand::N,элсн,बालू
322,Mensch::N,күн,मानव
323,Mensch::N,күн,इनसान
324,Mensch::N,күн,मनुष्य
325,Mensch::N,күмн,मानव
326,Mensch::N,күмн,इनसान
327,Mensch::N,күмн,मनुष्य
328,Mann::N,эр,आदमी
329,Mann::N,эр,पुरुष
330,Frau::N,күүкд күн,औरत
331,Frau::N,күүкд күн,महिला
332,Frau::N,күүкд күн,स्त्री
333,Kind::N,үрн,बाल
334,Kind::N,үрн,बच्चा
335,Junge::N,көвүн,लड़का
336,Mädchen::N,бичкн күүкн,लड़की
