,Concept_ID,is,lt
0,Auge::N,auga,akis
1,Ohr::N,eyra,ausis
2,Nase::N,nef,nosis
3,Mund::N,munnur,burna
4,Zahn::N,tönn,dantis
5,Zunge::N,tunga,liežuvis
6,Lippe::N,vör,lūpa
7,Wange::N,kinn,žandas
8,Wange::N,kinn,skruostas
9,Wange::N,vangi,žandas
10,Wange::N,vangi,skruostas
11,Gesicht::N,andlit,veidas
12,Stirn::N,enni,kakta
13,Haar::N,hár,plaukai
14,Schnurrbart::N,yfirskegg,ūsai
15,Bart::N,skegg,barzda
16,Kinn::N,haka,smakras
17,Kiefer[Anatomie]::N,kjálki,žandikaulis
18,Kiefer[Anatomie]::N,skoltur,žandikaulis
19,Kehle::N,kverk,gerklė
20,Hals::N,háls,kaklas
21,Genick::N,hnakki,sprandas
22,Kopf::N,höfuð,galva
23,Rücken::N,hryggur,nugara
24,Bauch::N,kviður,pilvas
25,Nabel::N,nafli,bamba
26,Busen::N,barmur,krūtinė
27,Brust::N,brjóst,krūtis
28,Schulter::N,öxl,petys
29,Arm::N,armur,ranka
30,Ellenbogen::N,olnbogi,alkūnė
31,Hand::N,hönd,ranka
32,Hand::N,hönd,plaštaka
33,Handfläche::N,lófi,delnas
34,Handfläche::N,lófi,plaštaka
35,Finger::N,fingur,pirštas
36,Fingernagel::N,fingurnögl,nagas
37,Nagel[Anatomie]::N,nögl,nagas
38,Zeh::N,tá,pirštas
39,Fuß::N,fótur,pėda
40,Ferse::N,hæll,kulnas
41,Knie::N,kné,kelis
42,Oberschenkel::N,læri,kulšis
43,Oberschenkel::N,læri,šlaunis
44,Bein::N,fótleggur,koja
45,Körper::N,búkur,kūnas
46,Körper::N,líkami,kūnas
47,Haut::N,húð,oda
48,Haut::N,skinn,oda
49,Blut::N,blóð,kraujas
50,Ader::N,æð,kraujagyslė
51,Sehne::N,sin,sausgyslė
52,Knochen::N,bein,kaulas
53,Gehirn::N,heili,smegenys
54,Herz::N,hjarta,širdis
55,Magen::N,magi,skrandis
56,Leber::N,lifur,kepenys
57,Atem::N,andi,kvapas
58,Atem::N,andardráttur,kvapas
59,Hunger::N,hungur,badas
60,Hunger::N,hungur,alkis
61,Träne::N,tár,ašara
62,Geschmack::N,smekkur,skonis
63,Geruch::N,lykt,kvapas
64,Schlaf::N,svefn,miegas
65,Traum::N,draumur,sapnas
66,Himmel::N,himinn,dangus
67,Sonne::N,sól,saulė
68,Mond::N,tungl,mėnulis
69,Stern::N,stjarna,žvaigždė
70,Luft::N,loft,oras
71,Wind::N,vindur,vėjas
72,Welle::N,alda,banga
73,Welle::N,alda,vilnis
74,Welle::N,bylgja,banga
75,Welle::N,bylgja,vilnis
76,Wasser::N,vatn,vanduo
77,Stein::N,steinn,akmuo
78,Boden::N,botn,žemė
79,Boden::N,botn,dugnas
80,Erde::N,jörð,žemė
81,Staub::N,ryk,dulkės
82,Staub::N,duft,dulkės
83,Rauch::N,reykur,dūmai
84,Funke::N,neisti,kibirkštis
85,Feuer::N,eldur,ugnis
86,Licht::N,ljós,šviesa
87,Schatten::N,skuggi,paūksmė
88,Wetter::N,veður,oras
89,Nebel::N,þoka,migla
90,Nebel::N,þoka,rūkas
91,Wolke::N,ský,debesis
92,Regen::N,regn,lietus
93,Schnee::N,snjór,sniegas
94,Eis::N,ís,ledas
95,Frost::N,frost,šalna
96,Kälte::N,kuldi,šaltis
97,Hitze::N,hiti,karštis
98,Raureif::N,hrím,šerkšnas
99,Regenbogen::N,regnbogi,vaivorykštė
100,Donner::N,þruma,perkūnas
101,Donner::N,þruma,griaustinis
102,Strömung::N,straumur,tėkmė
103,Tropfen::N,dropi,lašas
104,Schaum::N,froða,putos
105,Schmutz::N,óhreinindi,purvas
106,See::N,stöðuvatn,ežeras
107,Sumpf::N,fen,klampynė
108,Sumpf::N,fen,liūnas
109,Moor::N,mýri,pelkė
110,Wiese::N,engi,pieva
111,Wald::N,skógur,miškas
112,Hügel::N,hæð,kalva
113,Hügel::N,hóll,kalva
114,Anhöhe::N,hæð,kauburys
115,Anhöhe::N,hóll,kauburys
116,Berg::N,fell,kalnas
117,Berg::N,fjall,kalnas
118,Gipfel::N,tindur,viršūnė
119,Höhle::N,hellir,ola
120,Abhang::N,hlíð,šlaitas
121,Abhang::N,hlíð,nuokalnė
122,Abhang::N,brekka,šlaitas
123,Abhang::N,brekka,nuokalnė
124,Quelle::N,lind,versmė
125,Quelle::N,lind,šaltinis
126,Quelle::N,uppspretta,versmė
127,Quelle::N,uppspretta,šaltinis
128,Bach::N,lækur,upelis
129,Fluss::N,á,upė
130,Fluss::N,fljót,upė
131,Ufer::N,árbakki,krantas
132,Ufer::N,sjávarbakki,krantas
