,Concept_ID,tt,lv
0,Auge::N,күз,син
1,Auge::N,күз,acs
2,Ohr::N,колак,пель
3,Ohr::N,колак,auss
4,Nase::N,борын,ныр
5,Nase::N,борын,deguns
6,Mund::N,авыз,вом
7,Mund::N,авыз,mute
8,Mund::N,тамак,вом
9,Mund::N,тамак,mute
10,Zahn::N,теш,пинь
11,Zahn::N,теш,zobs
12,Zunge::N,тел,кыв
13,Zunge::N,тел,mēle
14,Lippe::N,ирен,вом дор
15,Lippe::N,ирен,lūpa
16,Wange::N,яңак,бан
17,Wange::N,яңак,vaigs
18,Gesicht::N,йөз,чужӧм
19,Gesicht::N,йөз,seja
20,Gesicht::N,йөз,ģīmis
21,Stirn::N,маңгай,плеш
22,Stirn::N,маңгай,кымӧс
23,Stirn::N,маңгай,piere
24,Haar::N,чәч,си
25,Haar::N,чәч,юрси
26,Haar::N,чәч,mats
27,Schnurrbart::N,мыек,ус
28,Schnurrbart::N,мыек,пыртсим
29,Schnurrbart::N,мыек,ūsas
30,Bart::N,сакал,тош
31,Bart::N,сакал,bārda
32,Kinn::N,ияк,тшӧка
33,Kinn::N,ияк,zods
34,Kinn::N,ияк,smakrs
35,Kiefer[Anatomie]::N,казналык,черлы
36,Kiefer[Anatomie]::N,казналык,алака лы
37,Kiefer[Anatomie]::N,казналык,вомкӧтш лы
38,Kiefer[Anatomie]::N,казналык,žoklis
39,Kehle::N,тамак,голя
40,Kehle::N,тамак,rīkle
41,Hals::N,бугаз,сьылі
42,Hals::N,бугаз,kakls
43,Genick::N,җилкә,юрбӧр
44,Genick::N,җилкә,балябӧж
45,Genick::N,җилкә,sprands
46,Kopf::N,баш,юр
47,Kopf::N,баш,galva
48,Rücken::N,сырт,мыш
49,Rücken::N,сырт,mugura
50,Bauch::N,корсак,рушку
51,Bauch::N,корсак,vēders
52,Nabel::N,кендек,гӧг
53,Nabel::N,кендек,naba
54,Busen::N,түш,морӧс
55,Busen::N,түш,krūts
56,Brust::N,имчәк,морӧс
57,Brust::N,имчәк,krūts
58,Brust::N,күкрәк,морӧс
59,Brust::N,күкрәк,krūts
60,Schulter::N,иңбаш,пельпом
61,Schulter::N,иңбаш,plecs
62,Schulter::N,кулбаш,пельпом
63,Schulter::N,кулбаш,plecs
64,Arm::N,кул,ки
65,Arm::N,кул,roka
66,Arm::N,кул,delms
67,Ellenbogen::N,терсәк,гырддза
68,Ellenbogen::N,терсәк,elkonis
69,Hand::N,кул,ки
70,Hand::N,кул,roka
71,Hand::N,кул,plauksta
72,Handfläche::N,уч,ки пыдӧс
73,Handfläche::N,уч,delna
74,Handfläche::N,уч,plauksta
75,Finger::N,бармак,чунь
76,Finger::N,бармак,pirksts
77,Fingernagel::N,тырнак,гыж
78,Fingernagel::N,тырнак,nags
79,Nagel[Anatomie]::N,тырнак,гыж
80,Nagel[Anatomie]::N,тырнак,nags
81,Zeh::N,бармак,кок чунь
82,Zeh::N,бармак,pirksts
83,Fuß::N,табан,кок
84,Fuß::N,табан,kāja
85,Ferse::N,үкчә,кокбӧр
86,Ferse::N,үкчә,papēdis
87,Knie::N,тез,пидзӧс
88,Knie::N,тез,celis
89,Oberschenkel::N,бот,лядьвей
90,Oberschenkel::N,бот,бек
91,Oberschenkel::N,бот,ciska
92,Oberschenkel::N,бот,augšstilbs
93,Bein::N,аяк,кок
94,Bein::N,аяк,kāja
95,Körper::N,тән,туша
96,Körper::N,тән,вывтыр
97,Körper::N,тән,miesa
98,Körper::N,тән,ķermenis
99,Körper::N,җисем,туша
100,Körper::N,җисем,вывтыр
101,Körper::N,җисем,miesa
102,Körper::N,җисем,ķermenis
103,Haut::N,тире,ку
104,Haut::N,тире,āda
105,Blut::N,кан,вир
106,Blut::N,кан,asins
107,Ader::N,тамыр,сӧн
108,Ader::N,тамыр,asinsvads
109,Sehne::N,сеңер,вез
110,Sehne::N,сеңер,dzīsla
111,Knochen::N,сөяк,лы
112,Knochen::N,сөяк,kauls
113,Gehirn::N,ми,вем
114,Gehirn::N,ми,smadzenes
115,Herz::N,йөрәк,сьӧлӧм
