,Concept_ID,br,myv
0,Auge::N,lagad,сельме
1,Ohr::N,skouarn,пиле
2,Nase::N,fri,судо
3,Mund::N,genoù,курго
4,Zahn::N,dant,пей
5,Zunge::N,teod,кель
6,Lippe::N,muzell,турва
7,Wange::N,chot,чамабока
8,Wange::N,chot,чамаумарь
9,Gesicht::N,dremm,чама
10,Stirn::N,tal,коня
11,Haar::N,blev,черь
12,Schnurrbart::N,mourenn,ус
13,Schnurrbart::N,mourenn,муюк
14,Bart::N,barv,сакал
15,Kinn::N,groñj,уло
16,Kiefer[Anatomie]::N,javed,пейпакар
17,Kiefer[Anatomie]::N,javed,пейловажа
18,Kehle::N,gouzoug,кирьгапарь
19,Hals::N,gouzoug,кирьга
20,Genick::N,choug,човонь
21,Kopf::N,penn,пря
22,Rücken::N,kein,копорь
23,Bauch::N,kof,пеке
24,Nabel::N,begel,почо
25,Busen::N,bronn,поте
26,Brust::N,bruched,меште
27,Schulter::N,skoaz,лавтов
28,Arm::N,brec'h,кедь
29,Ellenbogen::N,ilin,кенерепакарь
30,Hand::N,dorn,кедь
31,Handfläche::N,palv,кедькуншка
32,Handfläche::N,palv,кедьлапушка
33,Finger::N,biz,сур
34,Fingernagel::N,ivin,кенже
35,Nagel[Anatomie]::N,ivin,кенже
36,Zeh::N,biz-troad,пильге сур
37,Fuß::N,troad,пильге
38,Ferse::N,seul,кочкаря
39,Knie::N,glin,эле
40,Knie::N,glin,эзне
41,Knie::N,glin,кумажа
42,Oberschenkel::N,morzhed,качо
43,Bein::N,gar,пильге
44,Körper::N,korf,рунго
45,Haut::N,kroc'hen,киське
46,Blut::N,gwad,верь
47,Ader::N,gwazhi,сан
48,Sehne::N,stir,коське сан
49,Knochen::N,askorn,пакарь
50,Gehirn::N,empenn,удем
51,Herz::N,kalon,седей
52,Magen::N,stomog,пеке
53,Leber::N,avu,максо
54,Atem::N,anal,лексема
55,Atem::N,anal,оймень таргсема
56,Hunger::N,naon,вачочи
57,Träne::N,daer,селведь
58,Geschmack::N,blaz,тансть
59,Geruch::N,c'hwezh,чине
60,Schlaf::N,kousked,удома
61,Traum::N,hune,он
62,Himmel::N,oabl,менель
63,Sonne::N,heol,чи
64,Mond::N,loar,ков
65,Stern::N,steredenn,теште
66,Luft::N,aer,кошт
67,Wind::N,avel,варма
68,Welle::N,houlenn,толкун
69,Wasser::N,dour,ведь
70,Stein::N,maen,кев
71,Boden::N,tachenn,мода
72,Erde::N,douar,мастор
73,Staub::N,poultr,пуль
74,Rauch::N,moged,качамо
75,Funke::N,ful,сятко
76,Feuer::N,tan,тол
77,Licht::N,gouloù,валдо
78,Schatten::N,disheol,сулей
79,Schatten::N,disheol,сулейкс
80,Wetter::N,amzer,ушо
81,Nebel::N,brumenn,сув
82,Wolke::N,koumoulenn,пель
83,Regen::N,glav,пиземс
84,Schnee::N,erc'h,лов
85,Eis::N,skorn,эй
86,Frost::N,rev,кельме
87,Kälte::N,yen,якшамо
88,Hitze::N,tommder,пси
89,Raureif::N,frim,лекш
90,Regenbogen::N,gwareg-ar-glav,пурьгинечирьке
91,Regenbogen::N,gwareg-ar-glav,пурьгинеёнкс
92,Donner::N,kurun,пурьгине
93,Strömung::N,red,чудема
94,Strömung::N,red,чудевкс
95,Tropfen::N,bannac'h,петнявкс
96,Tropfen::N,takenn,петнявкс
97,Schaum::N,spoum,чов
98,Schmutz::N,fank,рудаз
99,See::N,lenn,эрьке
100,Sumpf::N,gwern,чей
101,Moor::N,taouarc'heg,чей
102,Wiese::N,prad,луга
103,Wald::N,koad,вирь
104,Hügel::N,torgenn,губорь
105,Hügel::N,torgenn,пандыне
106,Anhöhe::N,run,губорь
107,Anhöhe::N,run,пандыне
108,Berg::N,menez,пандо
109,Gipfel::N,barr,пря
110,Höhle::N,kav,пещера
111,Abhang::N,naou,пандочама
112,Quelle::N,feunteun,ушодкс
113,Bach::N,gwazh,чудикерькс
114,Fluss::N,stêr,лей
115,Ufer::N,ribl,чире
116,Küste::N,aod,лейчире
117,Festland::N,douar,мода
118,Meer::N,mor,моря
119,Bucht::N,mor-bihan,усия
120,Insel::N,enez,усия
121,Blume::N,bleunienn,цеця
122,Gras::N,geot,тикше
123,Wurzel::N,gwrizienn,юр
124,Wurzel::N,gwrizienn,ундокс
125,Baum::N,gwezenn,чувто
126,Stamm::N,kef,рунго
127,Rinde::N,rusk,суд
128,Rinde::N,rusk,керь
129,Ast::N,barr,морго
130,Zweig::N,bod,тарад
131,Blatt::N,delienn,лопа
132,Birke::N,bezvenn,килей
133,Kiefer[Baum]::N,pinenn,пиче
134,Weide[Baum]::N,halegenn,каль
135,Tanne::N,sapenn,куз
136,Horn::N,korn,сюро
137,Feder::N,pluñv,толга
138,Fell::N,kreoñ,пона
139,Flügel::N,askell,сёлмо
140,Klaue::N,skilf,кенже
141,Kralle::N,skilf,кенже
142,Schwanz::N,lost,пуло
143,Ei::N,vi,ал
144,Nest::N,neizh,пизэ
145,Bau::N,douarenn,варя
146,Bau::N,douarenn,пизе
147,Tier::N,loen,ракша
