,Concept_ID,pl,br
0,Auge::N,oko,lagad
1,Ohr::N,ucho,skouarn
2,Nase::N,nos,fri
3,Mund::N,usta,genoù
4,Zahn::N,ząb,dant
5,Zunge::N,język,teod
6,Lippe::N,warga,muzell
7,Wange::N,policzek,chot
8,Gesicht::N,twarz,dremm
9,Stirn::N,czoło,tal
10,Haar::N,włos,blev
11,Haar::N,włosy,blev
12,Schnurrbart::N,wąsy,mourenn
13,Bart::N,broda,barv
14,Kinn::N,podbródek,groñj
15,Kiefer[Anatomie]::N,czeluść,javed
16,Kehle::N,gardło,gouzoug
17,Hals::N,szyja,gouzoug
18,Genick::N,kark,choug
19,Kopf::N,głowa,penn
20,Rücken::N,plecy,kein
21,Rücken::N,grzbiet,kein
22,Bauch::N,brzuch,kof
23,Nabel::N,pępek,begel
24,Busen::N,biust,bronn
25,Brust::N,pierś,bruched
26,Schulter::N,bark,skoaz
27,Schulter::N,ramię,skoaz
28,Arm::N,ręka,brec'h
29,Arm::N,ramię,brec'h
30,Ellenbogen::N,łokieć,ilin
31,Hand::N,dłoń,dorn
32,Handfläche::N,dłoń,palv
33,Finger::N,palec,biz
34,Fingernagel::N,paznokieć,ivin
35,Nagel[Anatomie]::N,paznokieć,ivin
36,Zeh::N,palec,biz-troad
37,Fuß::N,stopa,troad
38,Ferse::N,pięta,seul
39,Knie::N,kolano,glin
40,Oberschenkel::N,udo,morzhed
41,Bein::N,noga,gar
42,Körper::N,ciało,korf
43,Haut::N,skóra,kroc'hen
44,Blut::N,krew,gwad
45,Ader::N,żyła,gwazhi
46,Sehne::N,ścięgno,stir
47,Knochen::N,kość,askorn
48,Gehirn::N,mózg,empenn
49,Herz::N,serce,kalon
50,Magen::N,żołądek,stomog
51,Leber::N,wątroba,avu
52,Atem::N,dech,anal
53,Atem::N,oddech,anal
54,Hunger::N,głód,naon
55,Träne::N,łza,daer
56,Geschmack::N,smak,blaz
57,Geruch::N,woń,c'hwezh
58,Geruch::N,zapach,c'hwezh
59,Schlaf::N,sen,kousked
60,Traum::N,sen,hune
61,Himmel::N,niebo,oabl
62,Sonne::N,słońce,heol
63,Mond::N,księżyc,loar
64,Stern::N,gwiazda,steredenn
65,Luft::N,powietrze,aer
66,Wind::N,wiatr,avel
67,Welle::N,fala,houlenn
68,Wasser::N,woda,dour
69,Stein::N,kamień,maen
70,Boden::N,grunt,tachenn
71,Erde::N,ziemia,douar
72,Staub::N,pył,poultr
73,Staub::N,kurz,poultr
74,Rauch::N,dym,moged
75,Funke::N,iskra,ful
76,Feuer::N,ogień,tan
77,Licht::N,światło,gouloù
78,Schatten::N,cień,disheol
79,Wetter::N,pogoda,amzer
80,Nebel::N,mgła,brumenn
81,Wolke::N,obłok,koumoulenn
82,Wolke::N,chmura,koumoulenn
83,Regen::N,deszcz,glav
84,Schnee::N,śnieg,erc'h
85,Eis::N,lód,skorn
86,Frost::N,mróz,rev
87,Kälte::N,chłód,yen
88,Hitze::N,gorąco,tommder
89,Raureif::N,szron,frim
90,Regenbogen::N,tęcza,gwareg-ar-glav
91,Donner::N,grzmot,kurun
92,Strömung::N,nurt,red
93,Tropfen::N,kropla,bannac'h
94,Tropfen::N,kropla,takenn
95,Schaum::N,piana,spoum
96,Schmutz::N,brud,fank
97,See::N,jezioro,lenn
98,Sumpf::N,bagno,gwern
99,Moor::N,bagno,taouarc'heg
100,Wiese::N,łąka,prad
101,Wald::N,las,koad
102,Hügel::N,pagórek,torgenn
103,Anhöhe::N,wzgórze,run
104,Berg::N,góra,menez
105,Gipfel::N,szczyt,barr
106,Gipfel::N,wierzchołek,barr
107,Höhle::N,pieczara,kav
108,Abhang::N,stok,naou
109,Abhang::N,zbocze,naou
110,Quelle::N,zdrój,feunteun
111,Quelle::N,źródło,feunteun
112,Bach::N,potok,gwazh
113,Bach::N,strumień,gwazh
114,Fluss::N,rzeka,stêr
115,Ufer::N,brzeg,ribl
116,Küste::N,wybrzeże,aod
117,Festland::N,ląd,douar
118,Meer::N,morze,mor
119,Bucht::N,zatoka,mor-bihan
120,Insel::N,wyspa,enez
121,Blume::N,kwiat,bleunienn
122,Gras::N,trawa,geot
123,Wurzel::N,korzeń,gwrizienn
124,Baum::N,drzewo,gwezenn
125,Stamm::N,pień,kef
126,Rinde::N,kora,rusk
127,Ast::N,gałąź,barr
128,Zweig::N,gałąź,bod
129,Blatt::N,liść,delienn
130,Birke::N,brzoza,bezvenn
131,Kiefer[Baum]::N,sosna,pinenn
132,Weide[Baum]::N,wierzba,halegenn
133,Tanne::N,jodła,sapenn
134,Horn::N,róg,korn
135,Feder::N,pióro,pluñv
136,Fell::N,futro,kreoñ
137,Flügel::N,skrzydło,askell
138,Klaue::N,szpon,skilf
139,Kralle::N,pazur,skilf
140,Schwanz::N,ogon,lost
141,Ei::N,jajko,vi
142,Nest::N,gniazdo,neizh
143,Bau::N,nora,douarenn
144,Tier::N,zwierzę,loen
145,Herde::N,stado,tropell
146,Herde::N,trzoda,tropell
147,Kuh::N,krowa,buoc'h
148,Bulle::N,byk,tarv
149,Pferd::N,koń,marc'h
150,Schaf::N,owca,dañvad
151,Schwein::N,świnia,pemoc'h
152,Hund::N,pies,ki
153,Katze::N,kot,kazh
154,Katze::N,kotka,kazh
155,Bär::N,niedźwiedż,arzh
156,Eichhörnchen::N,wiewiórka,gwiñver
157,Elch::N,łóś,karv-dour
158,Fuchs::N,lis,louarn
159,Hase::N,zając,gad
160,Maus::N,mysz,logodenn
161,Wolf::N,wilk,bleiz
162,Vogel::N,ptak,labous
163,Schwarm::N,stado,nijad
164,Huhn::N,kura,yar
165,Hahn::N,kogut,kilhog
166,Gans::N,gęś,gwazenn
167,Adler::N,orzeł,erer
168,Ente::N,kaczka,houad
169,Eule::N,sowa,toud
170,Kranich::N,żuraw,garan
171,Krähe::N,wrona,bran
172,Kuckuck::N,kukułka,koukoug
173,Schwan::N,łabędż,alarc'h
174,Fisch::N,ryba,pesk
175,Barsch::N,okoń,brell
176,Hecht::N,szczupak,beked
177,Schlange[Tier]::N,wąż,naer
178,Schlange[Tier]::N,żmija,naer
179,Wurm::N,robak,preñv
180,Spinne::N,pająk,kevnidenn
181,Ameise::N,mrówka,merion
182,Laus::N,wesz,laouenn
183,Mücke::N,komar,moustik
184,Fliege::N,mucha,kelienenn
185,Schmetterling::N,motyl,balafenn
186,Beere::N,jagoda,hog
187,Apfel::N,jabłko,aval
188,Pilz::N,grzyb,kabell-touseg
189,Zwiebel::N,cebula,ognonenn
190,Saat::N,siew,had
191,Korn::N,ziarno,ed
192,Heu::N,siano,foenn
193,Schale::N,łupina,peliadur
194,Grube::N,dół,
195,Grube::N,jama,
196,Falle::N,pułapka,pech
197,Schlinge::N,sidła,krouglas
198,Spur::N,ślad,
199,Asche::N,popiół,ludu
200,Dreck::N,brud,fank
201,Eisen::N,żelazo,houarn
202,Gold::N,złoto,aour
203,Silber::N,srebro,arc'hant
204,Kohle::N,węgiel,glaou
205,Glas::N,szkło,gwer
206,Lehm::N,glina,
207,Sand::N,piasek,traezh
208,Mensch::N,człowiek,den
209,Mann::N,mężczyzna,den
210,Frau::N,kobieta,maouez
211,Kind::N,dziecko,bugel
212,Junge::N,chłopak,paotr
213,Junge::N,chłopiec,paotr
214,Mädchen::N,dziewczynka,plac'h
215,Familie::N,rodzina,familh
216,Großvater::N,dziadek,tad-kozh
217,Großmutter::N,babka,mamm-gozh
218,Eltern::N,rodzice,kerent
219,Vater::N,ojciec,tad
220,Mutter::N,matka,mamm
221,Sohn::N,syn,mab
222,Tochter::N,córka,merc'h
223,Bruder::N,brat,breur
224,Schwester::N,siostra,c'hoar
225,Onkel::N,wuj,eontr
226,Onkel::N,stryj,eontr
227,Tante::N,ciotka,moereb
228,Ehemann::N,mąż,gwaz
229,Ehefrau::N,żona,gwreg
230,Freude::N,radość,levenez
231,Gelächter::N,śmiech,c'hoarzherezh
232,Glück::N,szczęście,chañs
233,Kummer::N,zmartwienie,doan
234,Wunsch::N,życzenie,c'hoant
235,Lust::N,chęć,c'hoant
236,Lust::N,ochota,c'hoant
237,Geist::N,duch,spered
238,Gedanke::N,myśl,soñj
239,Gedächtnis::N,pamięć,eñvor
240,Verstand::N,rozum,skiant
241,Sinn::N,zmysł,ster
242,Grund::N,powód,kaoz
243,Wahrheit::N,prawda,gwirionez
244,Gespräch::N,rozmowa,kaozeadenn
245,Märchen::N,bajka,kaoz korriganez
246,Erzählung::N,opowiadanie,kontadenn
247,Nachricht::N,wiadomość,keloù
248,Neuigkeit::N,nowina,kelaouenn
249,Name::N,imię,anv
250,Rätsel::N,zagadka,divinatez
251,Rede::N,mowa,diskour
252,Sprache::N,język,yezh
253,Stimme::N,głos,mouezh
254,Wort::N,słowo,ger
255,Zeichen::N,znak,sin
256,Ruf::N,wołanie,galv
257,Lärm::N,hałas,trouz
258,Lärm::N,zgiełk,trouz
259,Laut::N,dźwięk,
260,Ton::N,ton,ton
261,Ton::N,dźwięk,ton
262,Lied::N,pieśń,kanaouenn
263,Lied::N,piosenka,kanaouenn
264,Ruhe::N,spokój,sioulded
265,Leute::N,ludzie,tud
266,Volk::N,naród,pobl
267,Arbeit::N,praca,labour
268,Arbeit::N,robota,labour
269,Gast::N,gość,kouviad
270,Geschenk::N,prezent,prof
271,Geschenk::N,podarunek,prof
272,Spiel::N,gra,c'hoari
273,Spiel::N,zabawa,c'hoari
274,Gesellschaft::N,towarzystwo,kompagnunezh
275,Gesellschaft::N,towarzystwo,kavandad
276,Hilfe::N,pomoc,sikour
277,Freund::N,przyjaciel,mignon
278,Kamerad::N,kolega,kamarad
279,Angelegenheit::N,sprawa,afer
280,Anzahl::N,ilość,niver
281,Art::N,rodzaj,sort
282,Stück::N,kawałek,tamm
283,Teil::N,część,pezh
284,Hälfte::N,połowa,hanterenn
285,Kreis::N,krąg,kelc'h
286,Kreuz::N,krzyż,kroaz
287,Linie::N,linia,linenn
288,Strich::N,kreska,tenn
289,Abstand::N,odstęp,distok
290,Entfernung::N,odległość,keid
291,Entfernung::N,odległość,kehid
292,Gegend::N,okolica,korn-bro
293,Platz::N,miejsce,plasenn
294,Ort::N,miejsce,lec'h
295,Seite::N,bok,tu
296,Seite::N,strona,tu
297,Mitte::N,środek,kreiz
298,Gegenstand::N,przedmiot,tra
299,Sache::N,rzecz,tra
300,Rand::N,skraj,kantenn
301,Rand::N,krawędź,kantenn
302,Kante::N,kant,kantenn
303,Kante::N,krawędź,kantenn
304,Ecke::N,róg,korn
305,Spitze::N,ostrze,begell
306,Ende::N,koniec,dibenn
307,Loch::N,dziura,toull
308,Winkel::N,kąt,
309,Winkel::N,kącik,
310,Muster::N,wzór,tresadenn
311,Größe::N,rozmiar,ment
312,Größe::N,wielkość,ment
313,Länge::N,długość,hirder
314,Höhe::N,wysokość,uhelder
315,Gewicht::N,ciężar,pouez
316,Menge::N,ilość,bern
317,Haufen::N,kupa,bern
318,Reihe::N,rząd,steud
319,Reihe::N,szereg,steud
320,Boot::N,łódź,bag
321,Boot::N,łódka,bag
322,Ruder::N,wiosło,roeñv
323,Schlitten::N,sanki,trainell
324,Ski::N,narta,ski
325,Lagerfeuer::N,ognisko,
326,Last::N,ciężar,karg
327,Last::N,brzemię,karg
328,Gang::N,chód,kerzh
329,Schritt::N,krok,paz
330,Norden::N,północ,norzh
331,Norden::N,północ,hanternoz
332,Süden::N,południe,su
333,Süden::N,południe,kreisteiz
334,Westen::N,zachód,kuzh-heol
335,Osten::N,wschód,reter
336,Osten::N,wschód,sav-heol
337,Holz::N,drzewo,koad
338,Brett::N,deska,plankenn
339,Platte::N,płyta,plakenn
340,Stütze::N,podpora,harp
341,Stange::N,drąg,sparl
342,Stange::N,żerdź,sparl
343,Stock::N,kij,bazh
344,Stock::N,laska,bazh
345,Stab::N,pręt,bazh
346,Rohr::N,rura,tub
347,Rohr::N,rura,korz
348,Haus::N,dom,ti
349,Heim::N,dom,kêr
350,Ofen::N,piec,forn
351,Fußboden::N,podłoga,plañchod
352,Tisch::N,stół,taol
353,Stuhl::N,krzesło,kador
354,Wiege::N,kołyska,kavell
355,Bett::N,łóżko,gwele
356,Bett::N,pościel,gwele
357,Regal::N,regał,estajerenn
358,Kiste::N,skrzynia,kased
359,Fenster::N,okno,prenestr
360,Tür::N,drzwi,dor
361,Tor::N,brama,portal
362,Zaun::N,płot,sklotur
363,Zaun::N,parkan,sklotur
364,Dach::N,dach,toenn
365,Leiter::N,drabina,skeul
366,Besen::N,miotła,skubell
367,Spaten::N,rydel,pal
368,Schaufel::N,łopata,pal
369,Gabel::N,widelec,fourchetez
370,Löffel::N,łyżka,loa
371,Messer::N,nóż,kontell
372,Nagel::N,gwóźdź,tach
373,Netz::N,sieć,roued
374,Haken::N,hak,krog
375,Griff::N,chwyt,kemer
376,Schloss::N,zamek,potenn
377,Bild::N,obraz,skeudenn
378,Figur::N,figura,skeud
379,Figur::N,figura,figur
380,Puppe::N,lalka,merc'hodenn
381,Beutel::N,torba,sac'h
382,Bündel::N,wiązka,feskenn
383,Tasche::N,torba,sac'h
384,Eimer::N,kubeł,sailh
385,Eimer::N,wiadro,sailh
386,Deckel::N,przykrywka,pallenn
387,Geschirr::N,statki,listriaj
388,Geschirr::N,naczynia,listriaj
389,Sack::N,worek,sac'h
390,Tasse::N,filiżanka,tas
391,Topf::N,garnek,pod
392,Kessel::N,kocioł,chaodouron
393,Essen::N,jedzenie,pred
394,Nahrung::N,pokarm,boued
395,Nahrung::N,pożywienie,boued
396,Speise::N,potrawa,meuz
397,Speise::N,jedzenie,meuz
398,Fleisch::N,mięso,kig
399,Getreide::N,zboże,ed
400,Brei::N,kasza,yod
401,Brot::N,chleb,bara
402,Scheibe::N,kromka,tailhenn
403,Fett::N,tłuszcz,lard
404,Butter::N,masło,amann
405,Öl::N,olej,eoul
406,Salz::N,sól,holen
407,Suppe::N,zupa,soubenn
408,Honig::N,miód,mel
409,Milch::N,mleko,laezh
410,Tee::N,herbata,te
411,Leder::N,skóra,lêr
412,Wolle::N,wełna,gloan
413,Stoff::N,tkanina,danvez
414,Stoff::N,materiał,danvez
415,Nadel::N,igła,nadoz
416,Faden::N,nić,neudenn
417,Faden::N,nitka,neudenn
418,Knopf::N,guzik,bouton
419,Knoten::N,węzeł,skoulm
420,Farbe::N,farba,liv
421,Kleidung::N,odzież,dilhad
422,Hemd::N,koszula,roc'hed
423,Kragen::N,kołnierz,gouzoug
424,Ärmel::N,rękaw,milgin
425,Hose::N,spodnie,bragoù
426,Gürtel::N,pasek,gouriz
427,Mütze::N,czapka,boned
428,Schuh::N,but,botez
429,Schuh::N,bucik,botez
430,Stiefel::N,but,botez
431,Stiefel::N,kozak,botez
432,Ring::N,pierścień,gwalenn
433,Band::N,wstęga,bagad
434,Kamm::N,grzebień,krib
435,Spiegel::N,lustro,melezour
436,Riemen::N,rzemień,lerenn
437,Schnur::N,sznur,kordenn
438,Leine::N,smycz,roll
439,Decke::N,kołdra,golo
440,Kissen::N,poduszka,goubenner
441,Tuch::N,chustka,mezher
442,Handtuch::N,ręcznik,toailhon
443,Kraft::N,moc,nerzh
444,Kraft::N,siła,nerzh
445,Stärke::N,moc,nerzhder
446,Stärke::N,siła,nerzhder
447,Gesundheit::N,zdrowie,yec'hed
448,Krankheit::N,choroba,klañved
449,Schmerz::N,ból,poan
450,Schmerz::N,ból,droug
451,Wunde::N,rana,gloazadenn
452,Fieber::N,gorączka,terzhienn
453,Arznei::N,lekarstwo,louzoù
454,Brücke::N,most,pont
455,Brunnen::N,studnia,puñs
456,Weide::N,pastwisko,prad
457,Pfad::N,ścieżka,gwenodenn
458,Weg::N,droga,hent
459,Straße::N,ulica,ru
460,Straße::N,ulica,hent
461,Dorf::N,wieś,kêr
462,Dorf::N,wieś,kêriadenn
463,Stadt::N,miasto,kêr
464,Brief::N,list,lizher
465,Buch::N,książka,levr
466,Buchstabe::N,litera,lizherenn
467,Zeitung::N,gazeta,kazetenn
468,Zeitung::N,dziennik,kazetenn
469,Leben::N,życie,buhez
470,Tod::N,śmierć,marv
471,Grab::N,grób,bez
472,Kirche::N,kościół,iliz
473,Sünde::N,grzech,pec'hed
474,Gott::N,bóg,doue
475,Arbeiter::N,robotnik,labourer
476,Arbeiter::N,robotnik,micherour
477,Chef::N,szef,penn
478,Meister::N,mistrz,mestr
479,Meister::N,majster,mestr
480,Arzt::N,lekarz,mezeg
481,Arzt::N,lekarz,medisin
482,Lehrer::N,nauczyciel,skolaer
483,Lehrer::N,nauczyciel,kelenner
484,Geld::N,pieniądze,arc'hant
485,Geschäft::N,sprawa,stal
486,Geschäft::N,interes,stal
487,Laden::N,sklep,stal
488,Preis::N,cena,priz
489,Ware::N,towar,marc'hadourezh
490,Nutzen::N,pożytek,gounidegezh
491,Nutzen::N,pożytek,lañs
492,Nutzen::N,pożytek,profit
493,Nutzen::N,pożytek,spleit
494,Reichtum::N,bogactwo,pinvidigezh
495,Welt::N,świat,douar
496,Land::N,kraj,bro
497,Staat::N,państwo,stad
498,König::N,król,roue
499,Macht::N,władza,galloud
500,Grenze::N,granica,harzoù
501,Krieg::N,wojna,brezel
502,Feind::N,wróg,eneber
503,Gewalt::N,władza,tâerder
504,Kampf::N,bój,kann
505,Kampf::N,walka,kann
506,Bogen[Waffe]::N,łuk,gwareg
507,Pfeil::N,strzała,saezh
508,Gewehr::N,karabin,fuzuilh
509,Fehler::N,błąd,fazi
510,Lüge::N,kłamstwo,gaou
511,Schaden::N,szkoda,gwall
512,Unglück::N,nieszczęście,gwalleur
513,Schuld::N,wina,kablusted
514,Schuld::N,wina,pec'hedigezh
515,Alter::N,wiek,oad
516,Schluss::N,koniec,diwezh
517,Schluss::N,zakończenie,diwezh
518,Zeit::N,czas,amzer
519,Tag::N,dzień,deizh
520,Morgen::N,ranek,beure
521,Morgen::N,ranek,mintin
522,Morgen::N,poranek,beure
523,Morgen::N,poranek,mintin
524,Mittag::N,południe,kreisteiz
525,Abend::N,wieczór,abardaez
526,Nacht::N,noc,noz
527,Woche::N,tydzień,sizhun
528,Monat::N,miesiąc,miz
529,Jahr::N,rok,bloaz
530,Frühling::N,wiosna,nevezamzer
531,Sommer::N,lato,hañv
532,Herbst::N,jesień,diskaramzer
533,Winter::N,zima,goañv
534,Januar::N,styczeń,Genver
535,Februar::N,luty,C'hwevrer
536,März::N,marzec,Meurzh
537,April::N,kwiecień,Ebrel
538,Mai::N,maj,Mae
539,Juni::N,czerwiec,Mezheven
540,Juli::N,lipiec,Gouhere
541,August::N,sierpień,Eost
542,September::N,wrzesień,Gwengolo
543,Oktober::N,październik,Here
544,November::N,listopad,Du
545,Dezember::N,grudzień,Kerzu
546,Montag::N,poniedziałek,Lun
547,Dienstag::N,wtorek,Meurzh
548,Mittwoch::N,środa,Merc'her
549,Donnerstag::N,czwartek,Yaou
550,Freitag::N,piątek,Gwener
551,Samstag::N,sobota,Sadorn
552,Sonntag::N,niedziela,Sul
553,groß::A,duży,bras
554,groß::A,wielki,bras
555,klein::A,mały,bihan
556,lang::A,długi,hir
557,kurz::A,krótki,berr
558,breit::A,szeroki,ledan
559,schmal::A,wąski,strizh
560,dicht::A,gęsty,stank
561,dick[Gegenstand]::A,gruby,tev
562,dünn::A,cienki,moan
563,fein::A,drobny,munut
564,fest::A,mocny,start
565,fest::A,twardy,start
566,flach::A,płaski,plaen
567,glatt::A,gładki,lintr
568,glatt::A,gładki,levn
569,hart::A,twardy,kalet
570,weich::A,miękki,blot
571,rund::A,okrągły,ront
572,spitz::A,spiczasty,poentet
573,scharf::A,ostry,dremm
574,stumpf::A,tępy,talsoc'h
575,schwer::A,ciężki,pounner
576,schön::A,ładny,kaer
577,schön::A,piękny,kaer
578,heiß::A,gorący,tomm
579,warm::A,ciepły,tomm
580,kalt::A,zimny,yen
581,kühl::A,chłodny,yen
582,frisch::A,świeży,fresk
583,feucht::A,wilgotny,gleb
584,nass::A,mokry,gleb
585,trocken::A,suchy,sec'h
586,voll::A,pełny,leun
587,leer::A,pusty,goullo
588,leer::A,próżny,goullo
589,offen::A,otwarty,digor
590,geschlossen::A,zamknięty,serr
591,sauber::A,czysty,naet
592,schmutzig::A,brudny,lous
593,roh::A,surowy,kriz
594,reif::A,dojrzały,darev
595,lecker::A,smaczny,lipous
596,lecker::A,smaczny,saourus
597,süß::A,słodki,dous
598,bitter::A,gorzki,c'hwerv
599,sauer::A,kwaśny,trenk
600,hell::A,jasny,sklaer
601,dunkel::A,ciemny,teñval
602,schwarz::A,czarny,du
603,weiß::A,biały,gwenn
604,rot::A,czerwony,ruz
605,gelb::A,żółty,melen
606,blau::A,błękitny,glas
607,blau::A,niebieski,glas
608,grün::A,zielony,gwer
609,grau::A,szary,louet
610,bunt::A,barwny,liesliv
611,billig::A,tani,marc'had-mat
612,teuer::A,drogi,ker
613,wertvoll::A,cenny,prizius
614,blind::A,ślepy,dall
615,taub::A,głuchy,bouzar
616,kräftig::A,mocny,start
617,stark::A,silny,kreñv
618,schwach::A,słaby,gwan
619,fett::A,tłusty,lard
620,schlank::A,smukły,sinkl
621,hübsch::A,ładny,koant
622,böse::A,zły,gwall
