,Concept_ID,myv,sq
0,Auge::N,сельме,sy
1,Ohr::N,пиле,vesh
2,Nase::N,судо,hundë
3,Mund::N,курго,gojë
4,Zahn::N,пей,dhëmb
5,Zunge::N,кель,gjuhë
6,Lippe::N,турва,buzë
7,Wange::N,чамабока,faqe
8,Wange::N,чамабока,mollëz
9,Wange::N,чамаумарь,faqe
10,Wange::N,чамаумарь,mollëz
11,Gesicht::N,чама,fytyrë
12,Stirn::N,коня,ballë
13,Haar::N,черь,flokë
14,Schnurrbart::N,ус,mustaqe
15,Schnurrbart::N,муюк,mustaqe
16,Bart::N,сакал,mjekër
17,Kinn::N,уло,mjekër
18,Kiefer[Anatomie]::N,пейпакар,nofull
19,Kiefer[Anatomie]::N,пейловажа,nofull
20,Kehle::N,кирьгапарь,fyt
21,Kehle::N,кирьгапарь,grykë
22,Hals::N,кирьга,qafë
23,Genick::N,човонь,arrëz
24,Kopf::N,пря,kokë
25,Rücken::N,копорь,kurriz
26,Bauch::N,пеке,bark
27,Nabel::N,почо,kërthizë
28,Busen::N,поте,gji
29,Brust::N,меште,gjoks
30,Brust::N,меште,kraharor
31,Schulter::N,лавтов,sup
32,Schulter::N,лавтов,krah
33,Arm::N,кедь,krah
34,Ellenbogen::N,кенерепакарь,bërryl
35,Hand::N,кедь,dorë
36,Handfläche::N,кедькуншка,pëllëmbë
37,Handfläche::N,кедьлапушка,pëllëmbë
38,Finger::N,сур,gisht
39,Fingernagel::N,кенже,thua
40,Nagel[Anatomie]::N,кенже,thua
41,Zeh::N,пильге сур,gisht i këmbës
42,Fuß::N,пильге,këmbë
43,Ferse::N,кочкаря,thembër
44,Knie::N,эле,gju
45,Knie::N,эзне,gju
46,Knie::N,кумажа,gju
47,Oberschenkel::N,качо,kofshë
48,Bein::N,пильге,këmbë
49,Körper::N,рунго,trup
50,Haut::N,киське,lëkurë
51,Blut::N,верь,gjak
52,Ader::N,сан,venë
53,Sehne::N,коське сан,dell
54,Knochen::N,пакарь,asht
55,Knochen::N,пакарь,kockë
56,Gehirn::N,удем,tru
57,Herz::N,седей,zemër
58,Magen::N,пеке,stomak
59,Leber::N,максо,mëlçi
60,Atem::N,лексема,frymë
61,Atem::N,оймень таргсема,frymë
62,Hunger::N,вачочи,uri
63,Träne::N,селведь,lot
64,Geschmack::N,тансть,shije
65,Geruch::N,чине,erë
66,Schlaf::N,удома,gjumë
67,Traum::N,он,ëndërr
68,Himmel::N,менель,qiell
69,Sonne::N,чи,diell
70,Mond::N,ков,hënë
71,Stern::N,теште,yll
72,Luft::N,кошт,ajër
73,Wind::N,варма,erë
74,Welle::N,толкун,valë
