,Concept_ID,ady,ga
0,Auge::N,нэ,súil
1,Ohr::N,тхьакӏу́м,cluas
2,Nase::N,пэ,soc
3,Mund::N,жэ,béal
4,Zahn::N,цэ,fiacail
5,Zunge::N,бзэгу,teanga
6,Lippe::N,ӏупшӏэ́,liopa
7,Wange::N,нэкӏу́шъу,grua
8,Wange::N,нэкӏу́шъу,leiceann
9,Gesicht::N,нэ́гу,éadan
10,Gesicht::N,нэ́гу,aghaidh
11,Stirn::N,натӏэ́,baithis
12,Stirn::N,натӏэ́,clár éadain
13,Haar::N,шъхьацы́,gruaig
14,Bart::N,жакӏэ́,féasóg
15,Kinn::N,жэкӏэпэпкъ,smig
16,Kiefer[Anatomie]::N,жэпкъы́,giall
17,Kehle::N,чый,scornach
18,Hals::N,пшъэ,muinéal
19,Genick::N,шъхьэпхэтыку,baic
20,Kopf::N,шъхьэ́,ceann
21,Rücken::N,кӏыбы́,droim
22,Bauch::N,ныбэ́,bolg
23,Busen::N,бгъэ́,cíoch
24,Brust::N,бгъэ́,brollach
25,Schulter::N,блыпкъ,gualainn
26,Arm::N,ӏэ,lámh
27,Ellenbogen::N,ӏэнтэ́гъу,uillinn
28,Hand::N,ӏэтхьэцу,lámh
29,Handfläche::N,ӏэ́гу,bos
30,Finger::N,ӏэхъуа́мб,méar
31,Fingernagel::N,ӏэбжъа́н,ionga
32,Nagel[Anatomie]::N,ӏэбжъа́н,ionga
33,Zeh::N,ӏэхъуа́мб,ladhar
34,Fuß::N,лъэгу,cos
35,Fuß::N,лъэгу,troigh
36,Ferse::N,лъэдакъэ,sáil
37,Knie::N,лъагуа́ндж,glúin
38,Oberschenkel::N,ко,ceathrú
39,Bein::N,лъакъо́,cos
40,Körper::N,пкъышъол,corp
41,Körper::N,пкъышъол,colainn
42,Haut::N,кӏы́шъу,cneas
43,Haut::N,кӏы́шъу,craiceann
44,Blut::N,лъы,fuil
45,Ader::N,льытф,
46,Sehne::N,фэ,teannán
47,Sehne::N,фэ,féitheog
48,Knochen::N,къупшъхьэ́,cnámh
49,Gehirn::N,куцӏы,inchinn
50,Herz::N,гу,croí
51,Magen::N,мышкӏу,bolg
52,Magen::N,мышкӏу,goile
53,Leber::N,шӏу,ae
54,Atem::N,къэщэныр,anáil
55,Hunger::N,гъаблэ́,ocras
56,Träne::N,нэпсы,deoir
57,Geschmack::N,ӏэшӏугъа́кӏ,blas
58,Geruch::N,мэ,boladh
59,Schlaf::N,пчыхьы́пӏ,suan
60,Schlaf::N,пчыхьы́пӏ,codladh
61,Traum::N,пчыхьы́пӏ,taibhreamh
62,Himmel::N,уашъо́,spéir
63,Sonne::N,тыгъэ,grian
64,Mond::N,мазэ,ré
65,Mond::N,мазэ,gealach
66,Stern::N,жъуагъо́,rinn
67,Stern::N,жъуагъо́,réalta
68,Luft::N,жьы,aer
69,Wind::N,жьыбгъэ́,gaoth
70,Welle::N,ор,tonn
71,Welle::N,оры,tonn
72,Wasser::N,псы,uisce
73,Stein::N,мыжъо́,cloch
74,Boden::N,чӏ́ыгу,talamh
75,Erde::N,чӏ́ыгу,cré
76,Erde::N,чӏ́ыгу,ithir
77,Staub::N,сап,dusta
78,Staub::N,сап,deannach
79,Rauch::N,ӏугъо́,toit
80,Rauch::N,ӏугъо́,deatach
81,Funke::N,мэшӏуа́ч,drithle
82,Feuer::N,машӏо́,tine
83,Licht::N,нэфы,solas
84,Licht::N,нэфын,solas
85,Schatten::N,жьау́,scáth
86,Schatten::N,ныбжьыкъу,scáth
87,Nebel::N,пща́гъу,ceo
88,Wolke::N,ошъуапщэ,néal
89,Wolke::N,ошъуапщэ,scamall
90,Regen::N,ощхы,báisteach
91,Regen::N,ощхы,fearthainn
92,Schnee::N,осы́,sneachta
93,Eis::N,мылы,oighear
94,Kälte::N,чъыӏэ́,fuacht
95,Hitze::N,фэба́е,teas
96,Hitze::N,фэба́е,teocht
97,Regenbogen::N, лэгъупэкъо́пс,stua ceatha
