,Concept_ID,tt,fi
0,Auge::N,күз,silmä
1,Ohr::N,колак,korva
2,Nase::N,борын,nenä
3,Mund::N,авыз,suu
4,Mund::N,тамак,suu
5,Zahn::N,теш,hammas
6,Zunge::N,тел,kieli
7,Lippe::N,ирен,huuli
8,Wange::N,яңак,poski
9,Gesicht::N,йөз,naama
10,Gesicht::N,йөз,kasvot
11,Stirn::N,маңгай,otsa
12,Haar::N,чәч,hius
13,Haar::N,чәч,tukka
14,Schnurrbart::N,мыек,viikset
15,Bart::N,сакал,parta
16,Kinn::N,ияк,leuka
17,Kiefer[Anatomie]::N,казналык,leukaluu
18,Kehle::N,тамак,kurkku
19,Hals::N,бугаз,kaula
20,Genick::N,җилкә,niska
21,Kopf::N,баш,pää
22,Rücken::N,сырт,selkä
23,Bauch::N,корсак,maha
24,Bauch::N,корсак,vatsa
25,Nabel::N,кендек,napa
26,Busen::N,түш,rinta
27,Brust::N,имчәк,rinta
28,Brust::N,күкрәк,rinta
29,Schulter::N,иңбаш,olka
30,Schulter::N,иңбаш,hartia
31,Schulter::N,иңбаш,olkapää
32,Schulter::N,кулбаш,olka
33,Schulter::N,кулбаш,hartia
34,Schulter::N,кулбаш,olkapää
35,Arm::N,кул,käsivarsi
36,Ellenbogen::N,терсәк,kyynärpää
37,Hand::N,кул,käsi
38,Handfläche::N,уч,kämmen
39,Finger::N,бармак,sormi
40,Fingernagel::N,тырнак,kynsi
41,Nagel[Anatomie]::N,тырнак,kynsi
42,Zeh::N,бармак,varvas
43,Fuß::N,табан,jalka
44,Ferse::N,үкчә,kantapää
45,Knie::N,тез,polvi
46,Oberschenkel::N,бот,reisi
47,Bein::N,аяк,jalka
48,Körper::N,тән,keho
49,Körper::N,тән,ruumis
50,Körper::N,җисем,keho
51,Körper::N,җисем,ruumis
52,Haut::N,тире,iho
53,Blut::N,кан,veri
54,Ader::N,тамыр,suoni
55,Sehne::N,сеңер,jänne
56,Knochen::N,сөяк,luu
57,Gehirn::N,ми,aivot
58,Herz::N,йөрәк,sydän
59,Magen::N,ашказаны,maha
60,Magen::N,ашказаны,vatsa
61,Leber::N,бавыр,maksa
62,Atem::N,сулыш,henki
63,Atem::N,сулыш,hengitys
64,Hunger::N,ачлык,nälkä
65,Träne::N,яшь,kyynel
66,Geschmack::N,тәм,maku
67,Geschmack::N,зәвык,maku
68,Geruch::N,ис,haju
69,Schlaf::N,йокы,uni
70,Traum::N,төш,uni
71,Himmel::N,күк,taivas
72,Sonne::N,кояш,aurinko
73,Mond::N,ай,kuu
74,Stern::N,йолдыз,tähti
75,Luft::N,һава,ilma
76,Wind::N,җил,tuuli
77,Welle::N,дулкын,aalto
78,Wasser::N,су,vesi
79,Stein::N,таш,kivi
80,Boden::N,туфрак,maa
81,Boden::N,туфрак,maaperä
82,Erde::N,җир,maa
83,Staub::N,тузан,pöly
84,Rauch::N,төтен,savu
85,Funke::N,очкын,kipinä
86,Feuer::N,ут,tuli
87,Licht::N,якты,valo
88,Schatten::N,күләгә,varjo
89,Wetter::N,һава,sää
90,Nebel::N,томан,sumu
91,Wolke::N,болыт,pilvi
92,Regen::N,яңгыр,sade
93,Schnee::N,кар,lumi
94,Eis::N,боз,jää
95,Frost::N,суык,halla
96,Frost::N,суык,pakkanen
97,Frost::N,салкын,halla
98,Frost::N,салкын,pakkanen
99,Kälte::N,суык,vilu
100,Kälte::N,суык,kylmyys
101,Kälte::N,салкын,vilu
102,Kälte::N,салкын,kylmyys
103,Hitze::N,эсселек,helle
104,Hitze::N,эсселек,kuumuus
105,Raureif::N,бәс,huurre
106,Raureif::N,сыкы,huurre
107,Regenbogen::N,салават күпере,sateenkaari
108,Donner::N,күкрәү,jyrinä
109,Strömung::N,агыш'агым,virtaus
110,Tropfen::N,тамчы,tippa
111,Tropfen::N,тамчы,pisara
112,Schaum::N,күбек,vaahto
113,Schmutz::N,пычрак,loka
114,See::N,күл,järvi
115,Sumpf::N,саз,suo
116,Moor::N,торфлык,räme
117,Wiese::N,болын,niitty
118,Wald::N,урман,metsä
119,Hügel::N,калку,mäki
120,Hügel::N,калку,kumpu
121,Hügel::N,калку,kukkula
122,Anhöhe::N,үр,mäki
123,Anhöhe::N,үр,kumpare
124,Berg::N,тау,mäki
125,Berg::N,тау,vuori
126,Gipfel::N,оч,laki
127,Gipfel::N,оч,huippu
128,Höhle::N,мәгарә,luola
129,Abhang::N,кабырга,rinne
130,Quelle::N,чишмә,lähde
131,Bach::N,елга,puro
132,Fluss::N,дәрья,joki
133,Ufer::N,су кырые,ranta
