,Concept_ID,da,zh
0,Auge::N,øje,眼睛
1,Ohr::N,øre,耳朵
2,Nase::N,næse,鼻子
3,Mund::N,mund,嘴
4,Zahn::N,tand,牙齿
5,Zunge::N,tunge,舌头
6,Lippe::N,læbe,嘴唇
7,Wange::N,kind,面颊
8,Gesicht::N,ansigt,脸
9,Stirn::N,pande,额
10,Haar::N,hår,头发
11,Schnurrbart::N,overskæg,髭须
12,Bart::N,skæg,胡子
13,Kinn::N,hage,下巴
14,Kiefer[Anatomie]::N,kæbe,颌
15,Kehle::N,strube,嗓子
16,Hals::N,hals,颈
17,Genick::N,nakke,后颈
18,Kopf::N,hoved,头
19,Rücken::N,ryg,背
20,Bauch::N,mave,肚子
21,Nabel::N,navle,肚脐
22,Busen::N,barm,胸脯
23,Brust::N,bryst,胸
24,Schulter::N,skulder,肩膀
25,Arm::N,arm,臂膀
26,Ellenbogen::N,albue,肘
27,Hand::N,hånd,手
28,Handfläche::N,håndflade,手掌
29,Finger::N,finger,手指
30,Fingernagel::N,fingernegl,指甲
31,Nagel[Anatomie]::N,negl,指甲
32,Zeh::N,tå,脚趾
33,Fuß::N,fod,脚
34,Ferse::N,hæl,后跟
35,Knie::N,knæ,膝
36,Oberschenkel::N,lår,大腿
37,Bein::N,ben,腿
38,Körper::N,krop,身体
39,Körper::N,legeme,身体
40,Haut::N,hud,皮肤
41,Blut::N,blod,血
42,Ader::N,åre,血管
43,Sehne::N,sene,腱
44,Knochen::N,ben,骨
45,Gehirn::N,hjerne,脑
46,Herz::N,hjerte,心
47,Magen::N,mave,胃
48,Leber::N,lever,肝
49,Atem::N,ånde,呼吸
50,Hunger::N,sult,饿
51,Träne::N,tåre,眼泪
52,Geschmack::N,smag,味道
53,Geruch::N,lugt,气味
54,Schlaf::N,søvn,睡眠
55,Traum::N,drøm,梦
56,Himmel::N,himmel,天空
57,Sonne::N,sol,太阳
58,Mond::N,måne,月亮
59,Stern::N,stjerne,星
60,Luft::N,luft,空气
61,Wind::N,vind,风
62,Welle::N,bølge,波
63,Wasser::N,vand,水
64,Stein::N,sten,石头
65,Boden::N,jord,地面
66,Erde::N,jord,地
67,Staub::N,støv,灰尘
68,Rauch::N,røg,烟
69,Funke::N,gnist,火花
70,Feuer::N,ild,火
71,Licht::N,lys,光
72,Schatten::N,skygge,影子
73,Wetter::N,vejr,天气
74,Nebel::N,tåge,雾
75,Wolke::N,sky,云
76,Regen::N,regn,雨
77,Schnee::N,sne,雪
78,Eis::N,is,冰
79,Frost::N,frost,霜冻
80,Kälte::N,kulde,寒冷
81,Hitze::N,hede,炎热
82,Raureif::N,rimfrost,霜
83,Regenbogen::N,regnbue,虹
84,Donner::N,torden,雷
85,Strömung::N,strømning,水流
86,Tropfen::N,dråbe,滴
87,Schaum::N,skum,泡沫
88,Schmutz::N,snavs,赃物
89,See::N,sø,湖
90,Sumpf::N,sump,沼泽
91,Moor::N,mose,沼泽
92,Wiese::N,eng,草地
93,Wald::N,skov,森林
94,Hügel::N,høj,丘陵
95,Hügel::N,bakke,丘陵
96,Anhöhe::N,høj,山丘
97,Anhöhe::N,bakke,山丘
