,Concept_ID,ca,kv
0,Auge::N,ull,син
1,Ohr::N,orella,пель
2,Nase::N,nas,ныр
3,Mund::N,boca,ӧм
4,Zahn::N,dent,пинь
5,Zunge::N,llēngua,кыв
6,Lippe::N,llavi,тырп
7,Wange::N,galta,рожабан
8,Gesicht::N,cara,бан
9,Stirn::N,front,кымӧс
10,Haar::N,cabēll,юрси
11,Schnurrbart::N,bigoti,уссэз
12,Bart::N,barba,тош
13,Kinn::N,mentó,тшӧка
14,Kinn::N,barbeta,тшӧка
15,Kiefer[Anatomie]::N,queix,ан
16,Kiefer[Anatomie]::N,mandíbula,ан
17,Kehle::N,gola,юан
18,Kehle::N,gorja,юан
19,Hals::N,coll,юан
20,Genick::N,nuca,юр бӧр
21,Kopf::N,cap,юр
22,Rücken::N,esquena,мышк
23,Bauch::N,panxa,кынӧм
24,Nabel::N,llombrígol,гӧг
25,Busen::N,pit,морос
26,Busen::N,mama,морос
27,Brust::N,pit,морос
28,Schulter::N,espatlla,пельпон
29,Arm::N,braç,ки
30,Ellenbogen::N,colze,гырдзза
31,Hand::N,mà,кикар
32,Handfläche::N,palma,ки пыдӧс
33,Finger::N,dit,чунь
34,Fingernagel::N,ungla,гыж
35,Nagel[Anatomie]::N,ungla,гыж
36,Zeh::N,dit del peu,чунь
37,Fuß::N,peu,кокпыдӧс
38,Ferse::N,taló,кокдзир
39,Knie::N,genoll,пидзӧс
40,Oberschenkel::N,cuixa,лядьбей
41,Bein::N,cama,кок
42,Körper::N,cos,вывтыр
43,Haut::N,pell,кучик
44,Blut::N,sang,вир
45,Ader::N,vena,сӧн
46,Sehne::N,tendó,жила
47,Knochen::N,os,коска
48,Gehirn::N,cervell,вем
49,Herz::N,cor,сьӧлӧм
50,Magen::N,estómac,жӧвдӧк
51,Leber::N,fetge,мус
52,Atem::N,alè,лолалӧм
53,Atem::N,hàlit,лолалӧм
54,Hunger::N,fam,тшыг
55,Hunger::N,gana,тшыг
56,Träne::N,llàgrima,синва
57,Geschmack::N,gust,кӧр
58,Geschmack::N,sabor,кӧр
59,Geruch::N,olor,дук
60,Schlaf::N,son,он
61,Traum::N,somni,вӧт
62,Himmel::N,celm,небо
63,Sonne::N,sol,шондi
64,Mond::N,lluna,тӧлiсь
65,Stern::N,estel,кӧдзыв
66,Stern::N,estrella,кӧдзыв
67,Luft::N,aire,ру
68,Wind::N,vent,тӧв
69,Welle::N,ona,гы
70,Wasser::N,āigua,ва
71,Stein::N,pedra,из
72,Boden::N,sòl,му
73,Erde::N,terra,му
74,Staub::N,pols,бус
75,Rauch::N,fum,тшын
76,Funke::N,guspira,бичир
77,Funke::N,centella,бичир
78,Feuer::N,foc,би
79,Licht::N,llum,би
80,Schatten::N,ombra,вуджӧр
81,Wetter::N,temps,погоддя
82,Nebel::N,boira,туман
83,Wolke::N,núvol,кымӧр
84,Regen::N,pluja,зэр
85,Schnee::N,neu,лым
86,Eis::N,gel,йы
87,Eis::N,glaç,йы
88,Frost::N,glaçada,мороз
89,Kälte::N,fred,кӧдзыт
90,Hitze::N,calor,ӧд
91,Raureif::N,gebre,кижа
92,Regenbogen::N,arc iris,енӧшка
93,Donner::N,tro,гым
94,Strömung::N,corrent,визывтӧм
95,Tropfen::N,gota,тёп
96,Schaum::N,escuma,быг
97,Schmutz::N,brutícia,нять
98,See::N,llac,ты
99,Sumpf::N,pantà,арай
100,Moor::N,pantà,нюр
101,Wiese::N,prat,видз
102,Wiese::N,prada,видз
103,Wald::N,bosc,вӧр
104,Hügel::N,puig,мыльк
105,Hügel::N,pujol,мыльк
106,Anhöhe::N,turó,вывтас
107,Anhöhe::N,turó,вылынін
108,Berg::N,muntanya,керӧс
109,Gipfel::N,cim,йыв
110,Höhle::N,cova,нора
111,Abhang::N,coster,покат
112,Quelle::N,font,больган
113,Bach::N,riera,шор
114,Fluss::N,riu,ю
115,Ufer::N,riba,берег
116,Küste::N,costa,берег
117,Festland::N,terra ferma,му
118,Meer::N,mar,море
119,Bucht::N,cala,курья
120,Bucht::N,badia,курья
121,Insel::N,illa,
122,Blume::N,flor,цветок
123,Gras::N,herba,турун
124,Wurzel::N,rel,вуж
125,Wurzel::N,arrel,вуж
126,Baum::N,arbre,пу
127,Stamm::N,tronc,мыр
128,Stamm::N,tronc,кер
129,Rinde::N,escorça,кач
130,Ast::N,branca,ув
131,Zweig::N,ram,ув
132,Blatt::N,fulla,лист
133,Birke::N,bedoll,кыдз
134,Kiefer[Baum]::N,pi,пожум
135,Weide[Baum]::N,salze,бадь
136,Tanne::N,avet,кӧз
137,Horn::N,corn,сюр
138,Horn::N,banya,сюр
139,Feder::N,ploma,гӧн
140,Fell::N,pell,кучик
141,Flügel::N,ala,борд
142,Klaue::N,urpa,гыж
143,Kralle::N,grapa,кабыр
144,Schwanz::N,cua,бӧж
145,Ei::N,ou,кольть
146,Nest::N,niu,поз
147,Bau::N,cau,осьта
148,Bau::N,cau,нора
149,Tier::N,animāl,зверь
150,Herde::N,ramat,гурт
151,Kuh::N,vaca,мӧс
152,Bulle::N,toro,ӧшка
153,Pferd::N,cavāll,вӧв
154,Schaf::N,be,баля
155,Schaf::N,ovella,баля
156,Schwein::N,bacó,порсь
157,Hund::N,ca,пон
158,Hund::N,gos,пон
159,Katze::N,gat,кань
160,Bär::N,ós,ош
161,Eichhörnchen::N,esquirol,ур
162,Elch::N,ant,вӧр мӧс
163,Fuchs::N,guilla,руч
164,Hase::N,llebre,кӧч
165,Maus::N,ratolí,шыр
166,Wolf::N,llop,кӧин
167,Vogel::N,au,кай
168,Vogel::N,ocēll,кай
169,Schwarm::N,bandada,стая
170,Schwarm::N,bandada,чукӧр
171,Huhn::N,gallina,курӧг
172,Hahn::N,gall,петух
173,Hahn::N,gall,ай курӧг
174,Gans::N,oca,дзодзог
175,Adler::N,àguila,куч
176,Adler::N,àguila,кутш
177,Ente::N,ànec,утка
178,Eule::N,òliba,тупка
179,Eule::N,mussol,тупка
180,Kranich::N,grua,тури
181,Krähe::N,cornella,рака
182,Kuckuck::N,cucut,кӧк
183,Schwan::N,cigne,юсь
184,Fisch::N,peix,чери
185,Barsch::N,perca,ёкыш
186,Hecht::N,lluç,сирпинь
187,Schlange[Tier]::N,serp,змей
188,Wurm::N,cuc,номыр
189,Spinne::N,aranya,черань
190,Ameise::N,formiga,кӧдзывкар
191,Laus::N,poll,ляпа той
192,Mücke::N,mosquit,ном
193,Fliege::N,mosca,гут
194,Schmetterling::N,papallona,бабыв
195,Beere::N,baia,ягӧд
196,Apfel::N,poma,яблоко
197,Pilz::N,bolet,тшак
198,Zwiebel::N,ceba,грез
199,Saat::N,sembra,кӧдзыс
200,Korn::N,gra,сю
201,Heu::N,fenc,турун
202,Schale::N,closca,кыш
203,Schale::N,closca,киль
204,Grube::N,sot,яма
205,Grube::N,clot,яма
206,Falle::N,trampa,нальк
207,Falle::N,trampa,кляпча
208,Schlinge::N,baga,лӧч
209,Spur::N,traça,туй
210,Asche::N,cendra,пӧим
211,Dreck::N,llot,нять
212,Eisen::N,ferro,кӧрт
213,Gold::N,or,зарни
214,Silber::N,plata,язісь
215,Kohle::N,carbó,шом
216,Kohle::N,carbó,уголь
217,Glas::N,vidre,стекло
218,Lehm::N,fang,сёй
219,Lehm::N,argila,сёй
220,Sand::N,arena,лыа
221,Mensch::N,humà,морт
222,Mensch::N,persona,морт
223,Mann::N,home,мужик
224,Frau::N,dona,инька
225,Kind::N,nen,кага
226,Junge::N,noi,зонка
227,Mädchen::N,noia,нывкаок
228,Familie::N,família,семья
229,Großvater::N,avi,дед
230,Großmutter::N,àvia,баб
231,Eltern::N,pares,ай-мам
232,Vater::N,pare,ай
233,Mutter::N,mare,мам
234,Sohn::N,fill,зон
235,Tochter::N,filla,ныв
236,Bruder::N,germà,вон
237,Schwester::N,germana,сой
238,Onkel::N,oncle,дядь
239,Tante::N,tia,айӧлӧн сой
240,Tante::N,tia,ичинь
241,Ehemann::N,espòs,жӧник
242,Ehefrau::N,muller,инь
243,Freude::N,goig,гаж
244,Freude::N,goig,радъялӧм
245,Freude::N,alegria,гаж
246,Freude::N,alegria,радъялӧм
247,Gelächter::N,riallada,сералӧм
248,Glück::N,felicitat,мичлун
249,Kummer::N,pena,шог
250,Wunsch::N,desig,мӧдӧм
251,Wunsch::N,desig,охотитӧм
252,Lust::N,ganes,охота
253,Geist::N,ment,лов
254,Geist::N,esperit,лов
255,Gedanke::N,pensament,дума
256,Gedächtnis::N,memòria,тӧдвыв
257,Verstand::N,raó,вежӧр
258,Verstand::N,seny,вежӧр
259,Sinn::N,solta,ылӧс
260,Sinn::N,sentit,ылӧс
261,Grund::N,raó,мог
262,Grund::N,causa,мог
263,Wahrheit::N,veritāt,правда
264,Gespräch::N,conversa,сёрни
265,Märchen::N,conte,сказка
266,Erzählung::N,narració,висьт
267,Nachricht::N,missatge,юӧр
268,Nachricht::N,missatge,висьталӧм
269,Neuigkeit::N,novetat,новость
270,Name::N,nom,ним
271,Rätsel::N,endevinalla,загадка
272,Rede::N,discurs,сёрни
273,Sprache::N,llēngua,кыв
274,Stimme::N,veu,голос
275,Wort::N,mot,кыв
276,Wort::N,paraula,кыв
277,Zeichen::N,signe,пас
278,Zeichen::N,senyal,пас
279,Ruf::N,crida,чуксӧм
280,Ruf::N,crida,чукӧстӧм
281,Lärm::N,sorōll,шум
282,Laut::N,so,шы
283,Ton::N,to,гор
284,Lied::N,cançó,сьыланкыв
285,Ruhe::N,calma,спокой
286,Ruhe::N,silenci,спокой
287,Leute::N,gent,йӧз
288,Volk::N,poble,йӧз
289,Volk::N,poble,народ
290,Arbeit::N,labor,удж
291,Arbeit::N,treball,удж
292,Gast::N,hoste,гӧсь
293,Geschenk::N,regal,гӧснеч
294,Geschenk::N,regal,подарок
295,Geschenk::N,obsequi,гӧснеч
296,Geschenk::N,obsequi,подарок
297,Spiel::N,joc,орсӧм
298,Gesellschaft::N,companyia,компания
299,Hilfe::N,ajut,отсӧт
300,Freund::N,amīc,модз
301,Freund::N,amīc,дружок
302,Kamerad::N,company,тӧдса
303,Kamerad::N,camarada,тӧдса
304,Angelegenheit::N,afer,дело
305,Angelegenheit::N,assumpte,дело
306,Anzahl::N,nombre,лыд
307,Anzahl::N,quantitat,лыд
308,Art::N,tipus,пӧлӧс
309,Art::N,classe,пӧлӧс
310,Stück::N,peça,тор
311,Teil::N,part,юкӧм
312,Hälfte::N,meitat,джын
313,Kreis::N,cercle,круг
314,Kreuz::N,creu,перна
315,Linie::N,línia,визь
316,Strich::N,traç,кырӧв
317,Strich::N,ratlla,кырӧв
318,Abstand::N,distància,колас
319,Entfernung::N,distància,ылына
320,Gegend::N,regió,места
321,Gegend::N,contrada,места
322,Platz::N,cabuda,места
323,Ort::N,lloc,места
324,Seite::N,banda,ладор
325,Seite::N,costāt,ладор
326,Mitte::N,mig,шӧр
327,Mitte::N,centre,шӧр
328,Gegenstand::N,objecte,тор
329,Sache::N,cosa,тор
330,Rand::N,vora,дор
331,Rand::N,marge,дор
332,Kante::N,caire,ордлы
333,Kante::N,cantell,ордлы
334,Ecke::N,cantonada,пельӧс
335,Spitze::N,punta,йыв
336,Ende::N,cap,йыв
337,Loch::N,forāt,осьта
338,Winkel::N,racó,пельӧс
339,Muster::N,dibuix,сер
340,Muster::N,disseny,сер
341,Größe::N,grandària,ыжда
342,Länge::N,longitud,кузя
343,Höhe::N,altura,сувда
344,Höhe::N,altura,вылына
345,Höhe::N,altitud,сувда
346,Höhe::N,altitud,вылына
347,Gewicht::N,pes,сьӧкта
348,Menge::N,quantitat,
349,Haufen::N,pila,куча
350,Reihe::N,fila,лёдз
351,Boot::N,bot,пыж
352,Boot::N,barca,пыж
353,Ruder::N,rem,пелыс
354,Schlitten::N,trineu,додь
355,Ski::N,esquí,лямпа
356,Lagerfeuer::N,foc de campament,бипур
357,Last::N,càrrega,тягота
358,Gang::N,marxa,мунӧм
359,Schritt::N,pas,вожмӧв
360,Norden::N,nord,ой
361,Süden::N,sud,лун
362,Westen::N,oest,рытвыв
363,Westen::N,occident,рытвыв
364,Osten::N,est,асыв
365,Osten::N,orient,асыв
366,Holz::N,fusta,пу
367,Brett::N,taula,пӧв
368,Platte::N,placa,плита
369,Stütze::N,suport,пика
370,Stange::N,vara,зор
371,Stange::N,vara,потш
372,Stock::N,pal,бедь
373,Stab::N,bastó,шест
374,Rohr::N,tub,труба
375,Haus::N,casa,керку
376,Heim::N,llar,керку
377,Ofen::N,estufa,пӧжавны
378,Fußboden::N,terra,джодж
379,Tisch::N,taula,пызан
380,Stuhl::N,cadira,стул
381,Wiege::N,bressol,зыбка
382,Bett::N,llit,кровать
383,Regal::N,prestatgeria,джадж
384,Kiste::N,caixa,ящик
385,Fenster::N,finestra,ӧшын
386,Tür::N,porta,ыбӧс
387,Tor::N,portal,ворота
388,Zaun::N,tanca,забор
389,Dach::N,teulada,крыша
390,Leiter::N,escala,лиснич
391,Leiter::N,escala de mà,лиснич
392,Besen::N,escombra,рос
393,Spaten::N,pala,зыр
394,Schaufel::N,pala,зыр
395,Gabel::N,forquilla,вила
396,Löffel::N,cullera,пань
397,Messer::N,coltell,пурт
398,Nagel::N,clau,кӧрттув
399,Netz::N,filat,кыйӧт
400,Haken::N,ganxo,ем
401,Griff::N,puny,пу
402,Griff::N,mànec,пу
403,Schloss::N,pany,замок
404,Bild::N,imatge,картина
405,Figur::N,figura,мыгӧр
406,Puppe::N,nina,акань
407,Beutel::N,bossa,мешӧк
408,Bündel::N,feix,нин
409,Bündel::N,paquet,нин
410,Tasche::N,bossa,сумка
411,Eimer::N,galleda,ведра
412,Deckel::N,tapa,вевт
413,Deckel::N,tapadora,вевт
414,Geschirr::N,vaixella,доз
415,Geschirr::N,vaixella,бекӧрпань
416,Sack::N,sac,мешӧк
417,Sack::N,saca,мешӧк
418,Tasse::N,tassa,бекӧр
419,Topf::N,pot,кастрюля
420,Topf::N,olla,кастрюля
421,Kessel::N,caldera,пӧрт
422,Essen::N,àpat,сёйӧм
423,Essen::N,menjada,сёйӧм
424,Nahrung::N,aliment,вердан
425,Speise::N,plat,сёян
426,Fleisch::N,carn,яй
427,Getreide::N,cereals,сю
428,Brei::N,puré,каша
429,Brot::N,pa,нянь
430,Scheibe::N,tall,шӧрӧм
431,Scheibe::N,llesca,шӧрӧм
432,Fett::N,greix,гос
433,Butter::N,mantega,ви
434,Öl::N,oli,ви
435,Salz::N,sal,сов
436,Suppe::N,sopa,шыд
437,Honig::N,mel,ма
438,Milch::N,llet,йӧв
439,Tee::N,te,чай
440,Leder::N,cuir,кучик
441,Wolle::N,llana,гӧн
442,Stoff::N,tela,дӧра
443,Nadel::N,agulla,ем
444,Faden::N,fil,сунис
445,Knopf::N,botó,кизь
446,Knoten::N,nus,узӧв
447,Knoten::N,nus,гӧрӧд
448,Farbe::N,pintura,краска
449,Kleidung::N,roba,паськӧм
450,Kleidung::N,vestits,паськӧм
451,Hemd::N,camisa,йӧрнӧс
452,Kragen::N,coll,воротник
453,Ärmel::N,màniga,сос
454,Hose::N,pantalōns,вешьян
455,Gürtel::N,cinturó,йи
456,Mütze::N,gorra,шапка
457,Schuh::N,sabata,ботинки
458,Stiefel::N,bota,сапог
459,Ring::N,anell,чунькытш
460,Band::N,veta,ленточка
461,Band::N,cinta,ленточка
462,Kamm::N,pinta,сынан
463,Spiegel::N,mirāll,зеркало
464,Riemen::N,corretja,ремень
465,Schnur::N,corda,гез
466,Leine::N,corretja,повод
467,Decke::N,manta,одеяло
468,Decke::N,flassada,одеяло
469,Kissen::N,coixí,подушка
470,Tuch::N,mocador,чышьян
471,Handtuch::N,tovallola,чышкӧт
472,Kraft::N,força,прак
473,Stärke::N,vigor,вын
474,Gesundheit::N,salut,здоровье
475,Krankheit::N,malaltia,шог
476,Schmerz::N,dolor,зубыт
477,Wunde::N,ferida,рана
478,Fieber::N,febre,лёк тресся
479,Fieber::N,febre,кынтан шогӧт
480,Arznei::N,medicament,лекарство
481,Brücke::N,pont,пос
482,Brunnen::N,pou,колодец 
