,Concept_ID,et,ab
0,Auge::N,silm,ала
1,Ohr::N,kõrv,алымҳа
2,Nase::N,nina,аҧынҵа
3,Mund::N,suu,аҧышə
4,Zahn::N,hammas,ахаҧыц
5,Zunge::N,keel,абз
6,Lippe::N,huul,ақьышə
7,Wange::N,põsk,аӡамҩа
8,Gesicht::N,nägu,аҿы
9,Stirn::N,otsmik,алахь
10,Haar::N,juus,ахəыц
11,Schnurrbart::N,vurrud,аҧаҵа
12,Schnurrbart::N,vuntsid,аҧаҵа
13,Bart::N,habe,ажакьа
14,Kinn::N,lõug,ацламкəыгə
15,Kiefer[Anatomie]::N,lõualuu,ацламҳəа
16,Kehle::N,kõri,ахəда
17,Hals::N,kael,ахəда
18,Genick::N,kukal,ахəдаџьал
19,Kopf::N,pea,ахы
20,Rücken::N,selg,азқəа
21,Bauch::N,kõht,амгəа
22,Nabel::N,naba,аҷапан
23,Busen::N,rind,агəыҧҳəы
24,Brust::N,rind,агəышҧы
25,Schulter::N,õlg,ажəҩахыр
26,Arm::N,käsivars,амахəар
27,Ellenbogen::N,küünarnukk,амашьхəылҵ
28,Hand::N,käsi,анапы
29,Handfläche::N,pihk,анапсаргəыҵа
30,Finger::N,sõrm,анацəа
31,Fingernagel::N,küüs,анапхыц
32,Nagel[Anatomie]::N,küüs,ашьапхыц
33,Zeh::N,varvas,ашьацəа
34,Fuß::N,jalg,ашьапсыргəыҵа
35,Ferse::N,kand,ашьхəа
36,Knie::N,põlv,ашьамхы
37,Oberschenkel::N,reis,ауаҭəа
38,Bein::N,jalg,ашьапы
39,Körper::N,ihu,ацəеижь
40,Körper::N,keha,ацəеижь
41,Haut::N,nahk,ацəа
42,Blut::N,veri,ашьа
43,Ader::N,veen,ада
44,Sehne::N,kõõlus,адаш
45,Knochen::N,luu,абаҩ
46,Gehirn::N,aju,ахшлыбаҩ
47,Gehirn::N,aju,ахшыбаҩ
48,Herz::N,süda,агəы
49,Magen::N,magu,аца
50,Magen::N,magu,ацар
51,Leber::N,maks,агəаҵəа
52,Atem::N,hingeõhk,аҧсыҧлагаҩгара
53,Atem::N,hingamine,аҧсыҧлагаҩгара
54,Hunger::N,nälg,амла
55,Träne::N,pisar,алабжыш
56,Geschmack::N,maitse,агьама
57,Geruch::N,lõhn,афҩы
58,Schlaf::N,uni,ацəа
59,Traum::N,unenägu,аҧхыӡ
60,Himmel::N,taevas,ажəҩан
61,Sonne::N,päike,амра
62,Mond::N,kuu,амза
63,Stern::N,täht,аеҵəа
64,Luft::N,õhk,аҳаир
65,Wind::N,tuul,аҧша
66,Welle::N,laine,ацəқəырҧа
67,Wasser::N,vesi,аӡы
68,Stein::N,kivi,ахаҳə
69,Boden::N,maa,адгьыл
70,Boden::N,pinnas,адгьыл
71,Erde::N,maa,адгьыл
72,Staub::N,põrm,асаба
73,Rauch::N,suits,алҩа
74,Funke::N,säde,акəиц
75,Funke::N,säde,ацҧхь
76,Feuer::N,tuli,амца
77,Licht::N,valgus,алашара
78,Schatten::N,vari,ашəшьыра
79,Wetter::N,ilm,амш
80,Nebel::N,udu,анаҟəа
81,Wolke::N,pilv,аҧсҭҳəа
82,Regen::N,sadu,ақəа
83,Schnee::N,lumi,асы
84,Eis::N,jää,аҵаа
85,Frost::N,pakane,аҵаа
86,Kälte::N,külm,ахьҭа
87,Kälte::N,külmus,ахьҭа
88,Hitze::N,kuumus,ашоура
89,Hitze::N,palavus,ашоура
90,Raureif::N,härmatis,аҵааҧшқа
91,Regenbogen::N,vikerkaar,ацəаҟəа
92,Donner::N,kõu,адыд
93,Donner::N,müristamine,адыд
94,Strömung::N,voolus,аиасра
95,Strömung::N,voolus,амҩасра
96,Strömung::N,jõevool,аиасра
97,Strömung::N,jõevool,амҩасра
98,Tropfen::N,tilk,ацəыкəбар
99,Schaum::N,vaht,ашəах
100,Schmutz::N,pori,алымт
101,Schmutz::N,mustus,алымт
102,See::N,järv,аӡиа
103,Sumpf::N,soo,аӡмах
104,Moor::N,raba,
105,Wiese::N,aas,адəы
106,Wiese::N,nurm,адəы
