,Concept_ID,ru,bn
110,Fluss::N,река,নদী
111,Ufer::N,берег,উপকূল
112,Küste::N,побережье,তীর
113,Festland::N,суша,ভূমি
114,Meer::N,море,সমুদ্র
115,Bucht::N,бухта,উপসাগর
116,Insel::N,остров,দ্বীপ
117,Blume::N,цветок,ফুল
118,Gras::N,трава,ঘাস
119,Wurzel::N,корень,শিকড়
120,Baum::N,дерево,গাছ
121,Stamm::N,ствол,স্কন্ধ
122,Rinde::N,кора,বল্কল
123,Ast::N,сук,শাখা
124,Zweig::N,ветвь,ডাল
125,Blatt::N,лист,পর্ণ
126,Birke::N,береза,ভুর্জ
127,Kiefer[Baum]::N,сосна,পাইন গাছ
128,Weide[Baum]::N,ива,উইলো
129,Tanne::N,ель,দেবদারূ গাছ
130,Horn::N,рог,শিং
131,Feder::N,перо,পালক
132,Fell::N,шкура,রোম
133,Flügel::N,крыло,ডানা
134,Klaue::N,коготь,নখর
135,Kralle::N,лапа,নখর
136,Schwanz::N,хвост,লেজ
137,Ei::N,яйцо,ডিম
138,Nest::N,гнездо,কুলায়
139,Bau::N,нора,ডেরা
140,Tier::N,животное,জন্তু
141,Herde::N,стадо,ঝাঁক
142,Kuh::N,корова,গোরু
143,Bulle::N,бык,বৃষ
144,Pferd::N,лошадь,ঘোড়া
145,Schaf::N,овца,ভেড়া
146,Schwein::N,свинья,শূকর
147,Hund::N,собака,কুকুর
148,Katze::N,кошка,বেড়াল
149,Bär::N,медведь,ভল্লুক
150,Eichhörnchen::N,белка,কাঠবিড়াল
151,Elch::N,лось,হরিণবিশেষ
152,Fuchs::N,лиса,পাঁতিশিয়াল
153,Hase::N,заяц,শশক
154,Maus::N,мышь,নেংটি ইঁদুর
155,Wolf::N,волк,নেকড়ে
156,Vogel::N,птица,পক্ষী
157,Schwarm::N,стая,ঝাঁক
158,Huhn::N,курица,মোরগ
159,Hahn::N,петух,কুক্কুট
160,Gans::N,гусь,হংসী
161,Adler::N,орел,ইগল
162,Ente::N,утка,হংসী
163,Eule::N,сова,পেচক
164,Kranich::N,журавль,সারস
165,Krähe::N,ворона,কাক
166,Kuckuck::N,кукушка,কোকিল
167,Schwan::N,лебедь,মরাল
168,Fisch::N,рыба,মাছ
169,Barsch::N,окунь,মৎন্যবিশেষ
170,Hecht::N,щука,বানমাছ
171,Schlange[Tier]::N,змея,সর্প
172,Wurm::N,червяк,কীট
173,Spinne::N,паук,মাকড়সা
174,Ameise::N,муравей,পিপীলিকা
175,Laus::N,вошь,উকুন
176,Mücke::N,комар,মশা
177,Fliege::N,муха,মাছি
178,Schmetterling::N,бабочка,প্রজাপতি
179,Beere::N,ягода,বেরি
180,Apfel::N,яблоко,আপেল
181,Pilz::N,гриб,ছত্রক
182,Zwiebel::N,луковица,পিয়াজ
183,Saat::N,семя,বীজ
184,Korn::N,зерно,শস্য
185,Heu::N,сено,খড়
186,Schale::N,шелуха,খোসা
187,Grube::N,яма,গর্ত
188,Falle::N,ловушка,ফাঁদ
189,Schlinge::N,силок,পাশ
190,Spur::N,след,চিহ্ন
191,Asche::N,зола,ভস্ম
192,Asche::N,пепел,ভস্ম
193,Dreck::N,грязь,ময়লা
194,Eisen::N,железо,লোহা
195,Gold::N,золото,স্বর্ণ
196,Silber::N,серебро,রৌপ্য
197,Kohle::N,уголь,অঙ্গার
198,Glas::N,стекло,কাচ
199,Lehm::N,глина,মৃত্তিকা
200,Sand::N,песок,বালি
201,Mensch::N,человек,নর
202,Mensch::N,человек,মানুষ
203,Mann::N,мужчина,মানুষ
204,Frau::N,женщина,নারী
205,Kind::N,ребенок,বাচ্চা
206,Junge::N,мальчик,ছেলে
207,Mädchen::N,девочка,মেয়ে
208,Familie::N,семья,পরিবার
209,Großvater::N,дедушка,মাতামহ
210,Großmutter::N,бабушка,মাতামহী
211,Eltern::N,родители,মাতাপিতা
212,Vater::N,отец,পিতা
213,Mutter::N,мать,মাতা
214,Sohn::N,сын,ছেলে
215,Tochter::N,дочь,মেয়ে
216,Bruder::N,брат,দাদা
217,Schwester::N,сестра,বোন
218,Schwester::N,сестра,দিদি
219,Onkel::N,дядя,মামা
220,Tante::N,тетя,মাসী
221,Ehemann::N,муж,স্বামী
222,Ehefrau::N,жена,পত্নী
223,Freude::N,радость,উল্লাস
224,Gelächter::N,смех,হাসি
225,Glück::N,счастье,সুখ
226,Kummer::N,горе,দুঃখ
227,Wunsch::N,желание,আকাঙ্ক্ষা
228,Lust::N,влечение,বাসনা
229,Geist::N,дух,আত্না
230,Gedanke::N,мысль,চিন্তা
231,Gedächtnis::N,память,স্মরণশক্তি
232,Verstand::N,ум,মন
233,Sinn::N,смысл,পদার্থ
234,Grund::N,повод,কারণ
235,Wahrheit::N,правда,সত্য
236,Gespräch::N,беседа,কথাবার্তা
237,Märchen::N,сказка,রূপকথা
238,Erzählung::N,рассказ,গল্প
239,Nachricht::N,сообщение,তথ্য
240,Neuigkeit::N,новость,খবরাখবর
241,Name::N,имя,নাম
242,Rätsel::N,загадка,ধাঁধা
243,Rede::N,речь,বক্তৃতা
244,Sprache::N,язык,ভাষা
245,Stimme::N,голос,স্বর
246,Wort::N,слово,শব্দ
247,Zeichen::N,знак,প্রতীক
248,Ruf::N,зов,ডাক
249,Lärm::N,шум,হৈচৈ
250,Laut::N,звук,ধ্বনি
251,Ton::N,звучание,স্বর
252,Lied::N,песня,গান
253,Ruhe::N,покой,শান্তি
254,Leute::N,люди,প্রজাপুঞ্জ
255,Volk::N,народ,জাতি
256,Arbeit::N,работа,চাকরি
257,Gast::N,гость,অতিথি
258,Geschenk::N,подарок,উপহার
259,Spiel::N,игра,খেলা
260,Gesellschaft::N,общество,সঙ্গিগণ
261,Hilfe::N,помощь,সাহায্য
262,Freund::N,друг,বন্ধু
263,Kamerad::N,приятель,সঙ্গী
264,Angelegenheit::N,дело,বিষয়
265,Anzahl::N,количество,পরিমাণ
266,Art::N,вид,রকম
267,Stück::N,кусок,টুকরো
268,Teil::N,часть,অংশ
269,Hälfte::N,половина,অর্ধেক
270,Kreis::N,круг,বৃত্ত
271,Kreuz::N,крест,ক্রুশ
272,Linie::N,линия,রেখা
273,Strich::N,черта,কষি
274,Abstand::N,промежуток,ফাঁক
275,Entfernung::N,расстояние,ব্যবধান
276,Gegend::N,местность,ক্ষেত্র
277,Platz::N,пространство,জায়গা
278,Ort::N,место,স্থান
279,Seite::N,сторона,পার্শ্ব
280,Mitte::N,середина,মধ্য
281,Gegenstand::N,предмет,জিনিস
282,Sache::N,вещь,বস্তু
283,Rand::N,край,কানা
284,Kante::N,ребро,ধার
285,Ecke::N,угол,কোণ
286,Spitze::N,кончик,ডগা
287,Ende::N,конец,প্রান্ত
288,Loch::N,дыра,গর্ত
289,Winkel::N,угол,কোণ
290,Muster::N,узор,নমুন্
291,Größe::N,размер,আয়তন
292,Länge::N,длина,দৈর্ঘ্য
293,Höhe::N,высота,উচ্চতা
294,Gewicht::N,вес,ওজন
295,Menge::N,количество,পরিমাণ
296,Haufen::N,куча,পুঞ্জ
297,Reihe::N,ряд,শ্রেণী
298,Boot::N,лодка,নৌকা
299,Ruder::N,весло,দাঁড়
300,Schlitten::N,сани,স্নেজ্-গাড়ি
301,Ski::N,лыжа,শী
302,Lagerfeuer::N,костер,অগ্নি
303,Last::N,тяжесть,বোঝা
304,Gang::N,ход,হণ্টন
305,Schritt::N,шаг,পদ
306,Norden::N,север,উত্তরদিক্
307,Süden::N,юг,দক্ষিণদিক
308,Westen::N,запад,পশ্চিমদিক্
309,Osten::N,восток,পূর্বদিক
310,Holz::N,древесина,কাঠ
311,Brett::N,доска,তক্তা
312,Platte::N,плита,ফলক
313,Stütze::N,подпорка,নাগদণ্ড
