,Concept_ID,te,no
142,Nest::N,పక్షిగూడు,rede
143,Bau::N,గుహ,hi
144,Tier::N,జంతువు,dyr
145,Herde::N,మంద,flokk
146,Kuh::N,ఆవు,ku
147,Bulle::N,గిత్త,tyr
148,Pferd::N,గుఱ్ఱము,hest
149,Schaf::N,గొఱ్ఱె,får
150,Schwein::N,పంది,gris
151,Hund::N,కుక్క,hund
152,Katze::N,పిల్లి,katt
153,Bär::N,ఎలుగుబంటి,bjørn
154,Eichhörnchen::N,ఉడుత,ekorn
155,Elch::N,కణంజు,elg
156,Fuchs::N,గుంటనక్క,rev
157,Hase::N,కుందేలు,hare
158,Maus::N,చిట్టెలుక,mus
159,Wolf::N,తోడేలు,ulv
160,Wolf::N,తోడేలు,varg
161,Vogel::N,పక్షి,fugl
162,Schwarm::N,గుంపు,sverm
163,Huhn::N,కోడిపిల్ల,høne
164,Hahn::N,కోడివుంజు,hane
165,Gans::N,ఆడుబాతు,gås
166,Adler::N,గ్రద్ద,ørn
167,Ente::N,పాట్టిబాతు,and
168,Eule::N,గ్రుడ్లగూబ,ugle
169,Kranich::N,కొంగ,trane
170,Krähe::N,కాకి,kråke
171,Kuckuck::N,కోయల,gjøk
172,Schwan::N,హంస,svane
173,Fisch::N,చేప,fisk
174,Barsch::N,ఒకచేఁప,abbor
175,Hecht::N,గండుమీను,gjedde
176,Schlange[Tier]::N,పాము,orm
177,Schlange[Tier]::N,పాము,slange
178,Wurm::N,పురుగు,orm
179,Wurm::N,పురుగు,mark
180,Spinne::N,సాలె పురుగు,edderkopp
181,Ameise::N,చీమ,maur
182,Laus::N,పేను,lus
183,Mücke::N,చీకటీగ,mygg
184,Fliege::N,ఈగ,flue
185,Schmetterling::N,సీతాకోకచిలుక,sommerfugl
186,Beere::N,కాయ,bær
187,Apfel::N,ఆపిల్ పండు,eple
188,Pilz::N,కుక్కగొడుగు,sopp
189,Zwiebel::N,నీరుల్లి,løk
190,Saat::N,విత్తనము,sæd
191,Korn::N,గింజ,korn
192,Heu::N,ఎండుగడ్డి,høy
193,Schale::N,పొట్టు,skall
194,Grube::N,గొయ్యి,grop
195,Falle::N,బోను,felle
196,Schlinge::N,ఉరి,snare
197,Spur::N,జాడ,spor
198,Asche::N,బూడిద,aske
199,Dreck::N,ముఱికి,møkk
200,Dreck::N,ముఱికి,skitt
201,Eisen::N,ఇనుము,jern
202,Gold::N,బంగారము,gull
203,Silber::N,వెండి,sølv
204,Kohle::N,నేలబొగ్గు,kol
205,Kohle::N,నేలబొగ్గు,kull
206,Glas::N,గాజు,glass
207,Lehm::N,బంకమన్ను,leire
208,Sand::N,ఇసుక,sand
209,Mensch::N,నరుడు,menneske
210,Mann::N,పురుమడు,mann
211,Frau::N,ఆడుది,kvinne
212,Kind::N,బిడ్డ,barn
213,Junge::N,బాలుడు,gutt
214,Mädchen::N,బాలిక,pike
215,Mädchen::N,బాలిక,jente
216,Familie::N,కుటుంబము,familie
217,Großvater::N,తాత,bestefar
218,Großmutter::N,అయ్యమ్మ,bestemor
219,Eltern::N,తల్లితండ్రులు,foreldre
220,Vater::N,తండ్రి,far
221,Mutter::N,తల్లి,mor
222,Sohn::N,కొడుకు,sønn
223,Tochter::N,కూతురు,datter
224,Bruder::N,పోదరుడు,bror
225,Schwester::N,సోదరి,søster
226,Onkel::N,మేనమామ,onkel
227,Tante::N,మేనత్త,tante
228,Tante::N,పినతల్లి,tante
229,Ehemann::N,భర్త,ektemann
230,Ehefrau::N,భార్య,hustru
231,Freude::N,సంతోషము,glede
232,Gelächter::N,నవ్వు,latter
233,Glück::N,సంతోషము,lykke
234,Kummer::N,దుఃఖము,sorg
235,Wunsch::N,కోరిక,ønske
236,Lust::N,కోరిక,lyst
237,Geist::N,ఆత్మ,ånd
238,Gedanke::N,ఆలోచన,tanke
239,Gedächtnis::N,జ్ఞాపకము,minne
240,Gedächtnis::N,జ్ఞాపకము,hukommelse
241,Verstand::N,మనస్సు,forstand
242,Sinn::N,అర్థము,mening
243,Sinn::N,అర్థము,betydning
244,Grund::N,కారణము,grunn
245,Wahrheit::N,సత్యము,sannhet
246,Gespräch::N,పంభాషణ,samtale
247,Märchen::N,అద్భుతకథ,eventyr
248,Erzählung::N,కథ,fortelling
249,Nachricht::N,వార్త,melding
250,Neuigkeit::N,వార్త,nyhet
251,Name::N,పేరు,navn
252,Rätsel::N,చిక్కు,gåte
253,Rede::N,ఉపన్యాసము,tale
254,Sprache::N,భాష,språk
255,Stimme::N,కంరథ్సని,stemme
256,Wort::N,మాట,ord
257,Zeichen::N,గుర్తు,tegn
258,Ruf::N,పిలువు,rop
259,Lärm::N,సందడి,bråk
260,Laut::N,ధ్వని,lyd
261,Ton::N,స్వరము,tone
262,Lied::N,పాట,vise
263,Ruhe::N,గాలిలేమి,ro
264,Leute::N,జనులు,folk
265,Volk::N,జాతి,folk
266,Arbeit::N,పని,arbeid
267,Gast::N,అతిధి,gjest
268,Geschenk::N,దానము,gave
269,Spiel::N,ఆట,lek
270,Spiel::N,ఆట,spill
271,Gesellschaft::N,జట్టు,selskap
272,Hilfe::N,సాహాయ్యము,hjelp
273,Freund::N,స్నేహితుడు,venn
274,Kamerad::N,చెలికాడు,kamerat
275,Angelegenheit::N,విషయము,sak
276,Angelegenheit::N,విషయము,anliggende
277,Anzahl::N,లెక్క,antall
278,Art::N,జాతి,art
279,Art::N,జాతి,slag
280,Stück::N,తునుక,stykke
281,Teil::N,భాగము,del
282,Hälfte::N,సగము,halvdel
283,Kreis::N,వృత్తము,ring
284,Kreis::N,వృత్తము,sirkel
285,Kreuz::N,సిలువ,kors
286,Kreuz::N,సిలువ,kryss
287,Linie::N,గీత,linje
288,Strich::N,గీత,strek
289,Abstand::N,సందు,avstand
290,Entfernung::N,దూరము,avstand
291,Gegend::N,విస్తీర్ణము,strøk
292,Platz::N,ఎడము,plass
293,Ort::N,స్థలము,sted
294,Seite::N,ప్రక్క,side
295,Mitte::N,నడిమి,midte
296,Gegenstand::N,పద్దు,gjenstand
297,Sache::N,వస్తువు,sak
298,Rand::N,అంచు,rand
299,Kante::N,అంచు,kant
300,Ecke::N,మూల,hjørne
301,Spitze::N,మొన,spiss
302,Ende::N,కొన,ende
303,Loch::N,రంధ్రము,hull
304,Winkel::N,కోణము,vinkel
305,Muster::N,మాదిరి,mønster
306,Größe::N,పరిమాణము,størrelse
307,Länge::N,పొడుగు,lengde
308,Höhe::N,పొడుగు,høyde
309,Gewicht::N,భారము,vekt
310,Menge::N,మొత్తము,mengde
311,Haufen::N,రాశి,haug
312,Haufen::N,రాశి,bunke
313,Reihe::N,వరుస,rekke
314,Boot::N,పడవ,båt
315,Ruder::N,అడక,åre
316,Schlitten::N,సరవండ్లు,slede
317,Schlitten::N,సరవండ్లు,kjelke
318,Ski::N,స్కీ,ski
319,Lagerfeuer::N,నెగడు,leirbål
320,Last::N,బరువు,bør
321,Last::N,బరువు,last
322,Gang::N,నడక,gang
323,Schritt::N,అడుగు,steg
324,Schritt::N,అడుగు,skritt
325,Norden::N,ఉత్తరదిక్కు,nord
326,Süden::N,దక్షిణము,sør
327,Westen::N,పడమర,vest
328,Osten::N,తూర్పు,øst
329,Holz::N,కొయ్య,tre
330,Brett::N,పలక,fjøl
331,Brett::N,పలక,brett
332,Platte::N,పలక,plate
333,Stütze::N,వాల్సేడ్లు,støtte
334,Stange::N,స్తంభము,stang
335,Stock::N,కఱ్ఱ,pinne
336,Stab::N,కఱ్ఱ,stav
337,Stab::N,కఱ్ఱ,kjepp
338,Rohr::N,గొట్టము,rør
339,Haus::N,ఇల్లు,hus
340,Heim::N,స్వగృహము,hjem
341,Ofen::N,పొయ్యి,ovn
342,Fußboden::N,నేల,gulv
343,Tisch::N,మేజా,bord
344,Stuhl::N,కుర్చీ,stol
345,Wiege::N,ఉయ్యాల,vogge
346,Bett::N,పడక,seng
347,Bett::N,మంచం,seng
348,Regal::N,అటక,reol
349,Regal::N,అటక,hylle
350,Kiste::N,వెట్టె,kasse
351,Fenster::N,కిటికి,vindu
352,Tür::N,ద్వారము,dør
353,Tor::N,ద్వారము,port
354,Zaun::N,కంచె,gjerde
355,Dach::N,ఇంటివైకప్పు,tak
356,Leiter::N,నిచ్చెన,stige
357,Besen::N,చీపురుకట్ట,kost
358,Spaten::N,పాఱ,spade
359,Schaufel::N,పాఱ,skuffe
360,Gabel::N,ముండ్లగరిటె,gaffel
361,Löffel::N,గరిటె,skje
362,Messer::N,కత్తి,kniv
363,Nagel::N,మేకు,spiker
364,Netz::N,వల,nett
365,Haken::N,కొక్కెము,krok
366,Griff::N,పిడి,tak
367,Griff::N,పిడి,håndtak
368,Schloss::N,తాళము,lås
369,Bild::N,చిత్రము,bilde
370,Figur::N,రూపము,figur
371,Puppe::N,బొమ్మ,dukke
372,Beutel::N,సంచి,pose
373,Bündel::N,మూట,bylt
374,Tasche::N,సంచి,veske
375,Eimer::N,చేద,bøtte
376,Deckel::N,మూత,lokk
377,Geschirr::N,వంటకాలు,kjøkkentøy
378,Sack::N,గోనెసంచి,sekk
379,Tasse::N,గిన్నె,kopp
380,Topf::N,కుండ,gryte
381,Kessel::N,నీరుకాచుపాత్ర,kjele
382,Essen::N,ఆహారము,mål
383,Nahrung::N,ఆహారము,mat
384,Nahrung::N,ఆహారము,næring
385,Speise::N,ఆహారము,matrett
386,Fleisch::N,మాంసము,kjøtt
387,Getreide::N,ధాన్యము,korn
388,Brei::N,గుజ్జు,grøt
389,Brot::N,రొట్టె,brød
390,Scheibe::N,బద్ద,skive
391,Fett::N,క్రొవ్వు,fett
392,Butter::N,వెన్న,smør
393,Öl::N,నూనె,olje
394,Salz::N,ఉప్పు,salt
395,Suppe::N,చారు,suppe
396,Honig::N,తెనె,honning
397,Milch::N,పాలు,melk
398,Tee::N,తేనీరు,te
399,Leder::N,బాగుచేసివతోలు,lær
400,Leder::N,బాగుచేసివతోలు,skinn
401,Wolle::N,ఉన్ని,ull
402,Stoff::N,బట్ట,tøy
403,Stoff::N,బట్ట,stoff
404,Nadel::N,సూది,nål
405,Faden::N,దారము,tråd
406,Knopf::N,బొత్తాము,knapp
407,Knoten::N,ముడి,knute
408,Farbe::N,రంగు,farge
409,Kleidung::N,బట్టలు,påkledning
410,Hemd::N,చొక్కాయ,skjorte
411,Kragen::N,మాల,krage
412,Ärmel::N,చొక్కాయచెయ్యి,erme
413,Hose::N,ఇజారు,bukse
414,Gürtel::N,పటకా,belte
415,Mütze::N,టోపి,lue
416,Schuh::N,పాదరక్ష,sko
417,Stiefel::N,బూటు,støvel
418,Ring::N,ఉంగరము,ring
419,Band::N,నాడా,band
420,Kamm::N,దువ్వెన,kam
421,Spiegel::N,అద్దము,speil
422,Riemen::N,వాడా,rem
423,Schnur::N,దారము,snor
424,Leine::N,వారు,line
425,Decke::N,కంబళి,teppe
426,Kissen::N,తలగడ,pute
427,Tuch::N,బట్ట,tøy
428,Handtuch::N,తువాలు,håndkle
429,Kraft::N,బలము,kraft
430,Stärke::N,శక్తి,styrke
431,Gesundheit::N,ఆరోగ్యము,helse
432,Gesundheit::N,ఆరోగ్యము,sunnhet
433,Krankheit::N,రోగము,syke
434,Krankheit::N,రోగము,sykdom
435,Schmerz::N,నొప్పి,smerte
436,Wunde::N,గాయము,sår
437,Fieber::N,జ్వరము,feber
438,Arznei::N,మందు,medisin
439,Arznei::N,మందు,legemiddel
440,Brücke::N,వంతెన,bro
441,Brunnen::N,బావి,brønn
442,Brunnen::N,కూపము,brønn
443,Brunnen::N,నుయ్యి,brønn
444,Weide::N,పచ్చికబయలు,beite
445,Pfad::N,కాలిత్రోవ,sti
446,Weg::N,మార్గము,vei
447,Straße::N,బాట,gate
448,Dorf::N,గ్రామము,landsby
449,Stadt::N,పట్టణము,by
450,Brief::N,జాబు,brev
451,Buch::N,పుస్తకము,bok
452,Buchstabe::N,అక్షరము,bokstav
453,Zeitung::N,వార్తాపత్రిక,avis
454,Leben::N,ప్రాణము,liv
455,Tod::N,మరణము,død
456,Grab::N,సమాధి,grav
457,Kirche::N,క్రెస్తవులగుడి,kirke
458,Sünde::N,పాపము,synd
459,Gott::N,దేవుడు,gud
460,Arbeiter::N,పనిపాటుచేశేవాడు,arbeider
461,Chef::N,యజమానుడు,sjef
462,Meister::N,కళాకారుడు,mester
463,Arzt::N,వైద్యుడు,lege
464,Lehrer::N,ఉపాధ్యాయుడు,lærer
465,Geld::N,ద్రవ్యము,penger
466,Geschäft::N,వ్యాపారము,forretning
467,Laden::N,అంగడి,butikk
468,Preis::N,వెల,pris
469,Ware::N,సరకులు,vare
470,Nutzen::N,ప్రయోజనము,nytte
471,Reichtum::N,ధనము,rikdom
472,Welt::N,ప్రపంచము,verden
473,Land::N,దేశము,land
474,Staat::N,రాజ్యము,stat
475,König::N,రాజు,konge
476,Macht::N,అధికారము,makt
477,Grenze::N,సరిహద్దు,grense
478,Krieg::N,యుద్ధము,krig
479,Feind::N,శత్రువు,fiende
480,Gewalt::N,దౌర్జన్యము,vold
481,Kampf::N,పోట్లాట,kamp
482,Bogen[Waffe]::N,విల్లు,bue
483,Pfeil::N,బాణము,pil
484,Gewehr::N,తుపాకి,gevær
485,Fehler::N,తప్ప,feil
486,Lüge::N,అసత్యము,løgn
487,Schaden::N,నష్టము,skade
488,Unglück::N,దురదృష్టము,uhell
489,Schuld::N,తప్పు,skyld
