,Concept_ID,br,ku
0,Auge::N,lagad,çav
1,Ohr::N,skouarn,guh
2,Nase::N,fri,bêvil
3,Mund::N,genoù,dev
4,Zahn::N,dant,didan
5,Zunge::N,teod,ziman
6,Lippe::N,muzell,lêv
7,Wange::N,chot,dêm
8,Wange::N,chot,hinarik
9,Gesicht::N,dremm,rû
10,Stirn::N,tal,enî
11,Haar::N,blev,por
12,Schnurrbart::N,mourenn,simbêl
13,Bart::N,barv,rih
14,Kinn::N,groñj,zenî
15,Kiefer[Anatomie]::N,javed,arguşk
16,Kehle::N,gouzoug,qirik
17,Hals::N,gouzoug,stû
18,Hals::N,gouzoug,qirik
19,Genick::N,choug,stû
20,Kopf::N,penn,serî
21,Rücken::N,kein,pişt
22,Bauch::N,kof,ûr
23,Bauch::N,kof,zik
24,Nabel::N,begel,navik
25,Busen::N,bronn,sîng
26,Brust::N,bruched,sîng
27,Schulter::N,skoaz,mil
28,Arm::N,brec'h,çepil
29,Ellenbogen::N,ilin,enîşk
30,Hand::N,dorn,dest
31,Handfläche::N,palv,kefadest
32,Finger::N,biz,tilî
33,Fingernagel::N,ivin,neynuk
34,Nagel[Anatomie]::N,ivin,bizmar
35,Zeh::N,biz-troad,tilî linga
36,Fuß::N,troad,ling
37,Ferse::N,seul,pahnî
38,Knie::N,glin,kabok
39,Oberschenkel::N,morzhed,rahn
40,Bein::N,gar,çip
41,Körper::N,korf,laş
42,Körper::N,korf,gowde
43,Haut::N,kroc'hen,çerm
44,Blut::N,gwad,xwîn
45,Ader::N,gwazhi,reh
46,Sehne::N,stir,reh
47,Knochen::N,askorn,hestî
48,Gehirn::N,empenn,mêjî
49,Herz::N,kalon,dil
50,Magen::N,stomog,navêş
51,Leber::N,avu,kezeb
52,Atem::N,anal,hilm
53,Hunger::N,naon,birçîtî
54,Träne::N,daer,hêstir
55,Geschmack::N,blaz,tam
56,Geruch::N,c'hwezh,bêhn
57,Schlaf::N,kousked,xew
58,Traum::N,hune,xewn
59,Himmel::N,oabl,ezman
60,Sonne::N,heol,roj
61,Mond::N,loar,heyv
62,Stern::N,steredenn,stêrk
63,Luft::N,aer,ba
64,Wind::N,avel,ba
65,Welle::N,houlenn,şewl
66,Wasser::N,dour,av
67,Stein::N,maen,kevir
68,Boden::N,tachenn,herd
69,Erde::N,douar,ax
70,Staub::N,poultr,toz
71,Rauch::N,moged,dû
72,Funke::N,ful,çirûşk
73,Feuer::N,tan,agir
74,Licht::N,gouloù,ronahî
75,Schatten::N,disheol,sî
76,Wetter::N,amzer,hewa
77,Nebel::N,brumenn,mij
78,Wolke::N,koumoulenn,ewr
79,Regen::N,glav,baran
80,Schnee::N,erc'h,berf
81,Eis::N,skorn,qeşa
82,Frost::N,rev,xûsik
83,Kälte::N,yen,serma
84,Hitze::N,tommder,germayî
85,Raureif::N,frim,şext
86,Regenbogen::N,gwareg-ar-glav,heftreng
87,Donner::N,kurun,gire-gir
88,Strömung::N,red,şewl
89,Tropfen::N,bannac'h,dilop
90,Tropfen::N,takenn,dilop
91,Schaum::N,spoum,kef
92,Schmutz::N,fank,gemar
93,See::N,lenn,gol
94,Sumpf::N,gwern,hezek
