,Concept_ID,fa,mn
0,Auge::N,چشم,нүд
1,Ohr::N,گوش,чих
2,Nase::N,بینی,хамар
3,Mund::N,دهان,ам
4,Zahn::N,دندان,шүд
5,Zunge::N,زبان,хэл
6,Lippe::N,لب,уруул
7,Wange::N,لپ,хацар
8,Gesicht::N,رو,царай
9,Gesicht::N,رو,нүүр
10,Gesicht::N,چهره,царай
11,Gesicht::N,چهره,нүүр
12,Stirn::N,پیشانی,дух
13,Haar::N,مو,үс
14,Schnurrbart::N,سبیل,дээд сахал
15,Schnurrbart::N,سبیل,живэр сахал
16,Bart::N,ریش,сахал
17,Kinn::N,چانه,эрүү
18,Kiefer[Anatomie]::N,فک,эрүү
19,Kiefer[Anatomie]::N,آرواره,эрүү
20,Kehle::N,حلق,хоолой
21,Hals::N,گردن,хүзүү
22,Genick::N,پشت گردن,шил
23,Genick::N,پشت گردن,хүзүү
24,Kopf::N,سر,толгой
25,Kopf::N,کله,толгой
26,Rücken::N,پشت,ар
27,Rücken::N,پشت,нуруу
28,Bauch::N,شکم,хэвлий
29,Bauch::N,شکم,гэдэс
30,Nabel::N,ناف,хүйс
31,Busen::N,پستان,хөх
32,Brust::N,سینه,цээж
33,Schulter::N,دوش,мөр
34,Schulter::N,دوش,бугалга
35,Schulter::N,شانه,мөр
36,Schulter::N,شانه,бугалга
37,Arm::N,بازو,гар
38,Ellenbogen::N,آرنج,тохой
39,Hand::N,دست,гар
40,Hand::N,دست,алга
41,Handfläche::N,کف دست,алга
42,Finger::N,انگشت,хуруу
43,Fingernagel::N,ناخن دست,хурууны хумс
44,Nagel[Anatomie]::N,ناخن,хумс
45,Zeh::N,انگشت پا,хуруу
46,Fuß::N,پا,хөл
47,Ferse::N,پاشنه,өсгий
48,Knie::N,زانو,өвдөг
49,Oberschenkel::N,ران,гуя
50,Bein::N,پا,хөл
51,Bein::N,لنگ,хөл
52,Körper::N,تن,бие
53,Körper::N,بدن,бие
54,Haut::N,پوست,арьс
55,Blut::N,خون,цус
56,Ader::N,رگ,судас
57,Sehne::N,زردپی,бүлх
58,Sehne::N,زردپی,шандас
59,Knochen::N,استخوان,яс
60,Gehirn::N,مخ,тархи
61,Gehirn::N,مغز,тархи
62,Herz::N,دل,зүрх
63,Herz::N,قلب,зүрх
64,Magen::N,معده,ходоод
65,Leber::N,کبد,элэг
66,Atem::N,نفس,амьсгаа
67,Hunger::N,گرسنگی,өлсгөлөн
68,Träne::N,اشک,нулимс
69,Geschmack::N,مزه,амт
70,Geruch::N,بو,үнэр
71,Schlaf::N,خواب,нойр
72,Traum::N,رؤیا,зүүд
73,Himmel::N,فلک,тэнгэр
74,Himmel::N,فلک,огторгуй
75,Himmel::N,آسمان,тэнгэр
76,Himmel::N,آسمان,огторгуй
77,Sonne::N,آفتاب,нар
78,Sonne::N,خورشید,нар
79,Mond::N,ماه,сар
80,Stern::N,ستاره,од
81,Luft::N,هوا,агаар
82,Wind::N,باد,салхи
83,Welle::N,موج,долгио
84,Welle::N,موج,давалгаа
85,Wasser::N,آب,ус
86,Stein::N,سنگ,чулуу
87,Boden::N,زمین,хөрс
88,Erde::N,خاک,газар
89,Erde::N,خاک,шороо
90,Erde::N,زمین,газар
91,Erde::N,زمین,шороо
92,Staub::N,گرد,тоос
93,Staub::N,غبار,тоос
94,Rauch::N,دود,утаа
95,Funke::N,جرقه,оч
96,Feuer::N,آتش,гал
97,Licht::N,نور,гэрэл
98,Licht::N,نور,гэгээ
99,Licht::N,روشنی,гэрэл
100,Licht::N,روشنی,гэгээ
101,Schatten::N,سایه,сүүдэр
102,Wetter::N,هوا,тэнгэр
103,Wetter::N,هوا,цаг уур
104,Nebel::N,مه,будан
105,Wolke::N,ابر,үүл
106,Regen::N,باران,бороо
107,Schnee::N,برف,цас
108,Eis::N,یخ,мөс
109,Frost::N,یخبندان,хүйт
110,Kälte::N,سرما,хүйт
111,Hitze::N,گرما,халуун
112,Hitze::N,حرارت,халуун
113,Raureif::N,برف ریزه,цан
114,Raureif::N,برف ریزه,хяруу
115,Regenbogen::N,رنگین‌کمان,солонго
116,Donner::N,رعد,тэнгэрийн дуу
117,Strömung::N,جریان,урсгал
118,Tropfen::N,قطره,дусал
119,Schaum::N,کف,хөөс
120,Schmutz::N,گل,хир
121,Schmutz::N,گل,шавхай
122,Schmutz::N,کثافت,хир
123,Schmutz::N,کثافت,шавхай
124,See::N,دریاچه,нуур
125,Sumpf::N,مرداب,намаг
126,Sumpf::N,مرداب,балчиг
127,Sumpf::N,باتلاق,намаг
128,Sumpf::N,باتلاق,балчиг
129,Moor::N,باتلاق,хүлрийн намаг
130,Wiese::N,چمن,нуга
131,Wald::N,جنگل,ой
132,Hügel::N,تل,болдог
133,Hügel::N,تپه,болдог
134,Anhöhe::N,بلندی,гүвээ
135,Berg::N,کوه,уул
136,Gipfel::N,قله,орой
137,Gipfel::N,قله,оргил
138,Höhle::N,غار,агуй
139,Abhang::N,سرازیری,хүр
140,Quelle::N,چشمه,булаг
