,Concept_ID,ka,pl
0,Auge::N,თვალი,oko
1,Ohr::N,ყური,ucho
2,Nase::N,ცხვირი,nos
3,Mund::N,პირი,usta
4,Zahn::N,კბილი,ząb
5,Zunge::N,ენა,język
6,Lippe::N,ბაგე,warga
7,Wange::N,ლოყა,policzek
8,Gesicht::N,სახე,twarz
9,Stirn::N,შუბლი,czoło
10,Haar::N,თმა,włos
11,Haar::N,თმა,włosy
12,Schnurrbart::N,ულვაში,wąsy
13,Bart::N,წვერი,broda
14,Kinn::N,ნიკაპი,podbródek
15,Kiefer[Anatomie]::N,ყბა,czeluść
16,Kehle::N,ყელი,gardło
17,Hals::N,ყელი,szyja
18,Hals::N,კისერი,szyja
19,Genick::N,კეფა,kark
20,Kopf::N,თავი,głowa
21,Rücken::N,ზურგი,plecy
22,Rücken::N,ზურგი,grzbiet
23,Bauch::N,მუცელი,brzuch
24,Nabel::N,ჭიპი,pępek
25,Busen::N,ძუძუ,biust
26,Brust::N,მკერდი,pierś
27,Schulter::N,მხარი,bark
28,Schulter::N,მხარი,ramię
29,Schulter::N,მკლავი,bark
30,Schulter::N,მკლავი,ramię
31,Arm::N,ხელი,ręka
32,Arm::N,ხელი,ramię
33,Ellenbogen::N,იდაყვი,łokieć
34,Hand::N,ხელი,dłoń
35,Handfläche::N,ნები,dłoń
36,Handfläche::N,ხელისგული,dłoń
37,Finger::N,თითი,palec
38,Fingernagel::N,ფრჩხილი,paznokieć
39,Nagel[Anatomie]::N,ფრჩხილი,paznokieć
40,Zeh::N,ფეხის თითი,palec
41,Fuß::N,ტერფი,stopa
42,Fuß::N,ფეხისგული,stopa
43,Ferse::N,ქუსლი,pięta
44,Knie::N,მუხლი,kolano
45,Oberschenkel::N,ბარძაყი,udo
46,Bein::N,ფეხი,noga
47,Körper::N,ტანი,ciało
48,Körper::N,სხეული,ciało
49,Haut::N,კანი,skóra
50,Blut::N,სისხლი,krew
51,Ader::N,ძარღვი,żyła
52,Sehne::N,მყესი,ścięgno
53,Knochen::N,ძვალი,kość
54,Gehirn::N,ტვინი,mózg
55,Herz::N,გული,serce
56,Magen::N,კუჭი,żołądek
57,Leber::N,ღვიძლი,wątroba
58,Atem::N,სუნთქვა,dech
59,Atem::N,სუნთქვა,oddech
60,Hunger::N,შიმშილი,głód
61,Träne::N,ცრემლი,łza
62,Geschmack::N,გემო,smak
63,Geruch::N,სუნი,woń
64,Geruch::N,სუნი,zapach
65,Schlaf::N,ძილი,sen
66,Traum::N,სიზმარი,sen
67,Himmel::N,ცა,niebo
68,Sonne::N,მზე,słońce
69,Mond::N,მთვარე,księżyc
70,Stern::N,ვარსკვლავი,gwiazda
71,Luft::N,ჰაერი,powietrze
72,Wind::N,ქარი,wiatr
73,Welle::N,ტალღა,fala
74,Wasser::N,წყალი,woda
75,Stein::N,ქვა,kamień
76,Boden::N,მიწა,grunt
77,Erde::N,ნიადაგი,ziemia
78,Staub::N,მტვერი,pył
79,Staub::N,მტვერი,kurz
80,Rauch::N,ბოლი,dym
81,Rauch::N,კვამლი,dym
82,Funke::N,ნაკვესი,iskra
83,Feuer::N,ცეცხლი,ogień
84,Licht::N,შუქი,światło
85,Licht::N,სინათლე,światło
86,Schatten::N,ლანდი,cień
87,Schatten::N,ჩრდილი,cień
88,Wetter::N,ამინდი,pogoda
89,Nebel::N,ნისლი,mgła
90,Wolke::N,ღრუბელი,obłok
91,Wolke::N,ღრუბელი,chmura
