,Concept_ID,ml,kk
0,Auge::N,കണ്ണ്,көз
1,Ohr::N,ചെവി,құлақ
2,Nase::N,മൂക്ക്,мұрын
3,Mund::N,വായ,ауыз
4,Zahn::N,പല്ല്,тіс
5,Zunge::N,നാക്ക്,тіл
6,Lippe::N,ചുണ്ട്,ерін
7,Wange::N,കവിൾത്തടം,ұрт
8,Gesicht::N,മുഖം,бет-аузы
9,Stirn::N,നെറ്റി,маңдай
10,Haar::N,തലമുടി,қыл
11,Schnurrbart::N,മീശ,мұрт
12,Bart::N,താടിരോമം,сақал
13,Kinn::N,താടി,иек
14,Kiefer[Anatomie]::N,താടിയെല്ല്,жақ
15,Kehle::N,കണ്ഠനാളം,алқым
16,Hals::N,കഴുത്ത്,мойын
17,Genick::N,പിടലി,желке
18,Kopf::N,തല,кәллә
19,Rücken::N,മുതുക്,арқа
20,Bauch::N,നയറ്,қарын
21,Nabel::N,നാഭി,кіндік
22,Busen::N,സ്തനം,омырау
23,Brust::N,സ്തനം,кеуде
24,Schulter::N,തോൾ,иық
25,Arm::N,കൈ,қол
26,Ellenbogen::N,കൈമുട്ട്,шынтақ
27,Hand::N,കൈ,қол
28,Handfläche::N,ഉള്ളം കൈ,алақан
29,Finger::N,വിരൽ,саусақ
30,Fingernagel::N,നഖം,тырнақ
31,Nagel[Anatomie]::N,നഖം,тырнақ
32,Zeh::N,കാൽവിരൽ,тырнақ
33,Zeh::N,കാൽവിരൽ,тұяқ
34,Fuß::N,കാൽപ്പാദം,аяқ-басы
35,Ferse::N,ഉപ്പൂറ്റി,өкше
36,Ferse::N,ഉപ്പൂറ്റി,өкшелік
37,Knie::N,കാൽമുട്ട്,тізе
38,Oberschenkel::N,തുട,жамбас
39,Bein::N,കാൽ,аяқ
40,Körper::N,ശരീരം,дене
41,Haut::N,ചർമ്മം,тері
42,Blut::N,രക്തം,қан
43,Ader::N,ഞരമ്പ്,көктамыр
44,Ader::N,ഞരമ്പ്,күретамыр
45,Sehne::N,സ്നായു,сіңір
