,Concept_ID,ku,ab
791,vier::NUM,çar,ҕшьба
792,fünf::NUM,penç,хəба
793,sechs::NUM,şeş,фба
794,sieben::NUM,heft,Бжьба
795,acht::NUM,heşt,ааба
796,neun::NUM,neh,жәба
797,zehn::NUM,deh,жәаба
798,elf::NUM,yazdeh,жәеизатәи
799,zwölf::NUM,diwazdeh,жәаҩа
800,zwanzig::NUM,bîst,ҩажәа
801,dreißig::NUM,sih,ҩажәижәабатәи
802,vierzig::NUM,çil,ҩынҩажәа
803,fünfzig::NUM,pençi,ҩынҩажәеижәаба
804,sechzig::NUM,şêst,хынҩажәа
805,siebzig::NUM,heftê,хынҩажәижәаба
806,achtzig::NUM,heştê,ҕшьынҩажәа
807,neunzig::NUM,nod,ҕшьынҩажәижәаба
808,hundert::NUM,sêd,шәкы
809,tausend::NUM,hezar,зқьы
810,und::CNJ,û,-и
811,oder::CNJ,an,ма
812,oder::CNJ,yan,ма
813,stehen::V,sekinîn,агылазаара
814,sitzen::V,rûniştin,атəара
815,sitzen::V,rûniştin,атəа(заа)ра
816,liegen::V,paldan,аиара
817,hängen::V,darve kirin,акнаҳара
818,werden::V,bûn,аҟалара
819,passieren::V,hatin holê,аҟалара
820,passieren::V,hatin serê kesî,аҟалара
821,beginnen::V,li dest pêkirin,алагара
822,enden::V,xalas bû,алгара
823,wechseln::V,guherandin,аҽыҧсахра
824,wechseln::V,dêgiş kirin,аҽыҧсахра
825,aufgehen[Sonne]::V,hilatin,агылара
826,aufgehen[Sonne]::V,hilatin,ахашлара
827,aufgehen[Sonne]::V,hilatin,аҩаҵхахара
828,untergehen[Sonne]::V,çun ava,аҭашəара
829,scheinen[Sonne]::V,şewk de,акаҧхара
830,donnern::V,gire-gir,адыдра
831,wehen::V,ba le de,асра
832,strömen::V,xwe girtin,акаҭəара
833,fließen::V,herikîn,ацара
834,sich drehen::V,xwe zivirandin,ахагьежьра
835,schwanken::V,hejandin,аҵысра
836,schwingen::V,libakirin,ахызазара
837,schwingen::V,libakirin,акьаандара
838,fallen::V,ketin,акаҳара
839,brennen::V,şewitîn,абылра
840,rauchen::V,kişandin,ахылҵра
841,regnen::V,bahran tê,аура
842,gefrieren::V,qefilandin,аҵаара
843,tauen::V,helandin,аӡҭра
844,schmelzen::V,helandin,ақəӡыҭра
845,schmelzen::V,helandin,аҭəара
846,trocknen::V,zuwabûn,абара
847,sieden::V,kelîn,ашра
848,faulen::V,xerabûn,абаара
849,verfaulen::V,xerabûn,абаара
850,verfaulen::V,xerabûn,аилашра
851,reißen::V,jêkirin,аҧжəара
852,versinken::V,xerq bûn,аӡааҟəрылара
853,vergehen::V,derbas bûn,ацара
854,erscheinen::V,peyda bûn,ацəырҵра
855,verschwinden::V,wendabûn,аҵашəкəара
856,sinken::V,noq bûn,атəара
857,sinken::V,noq bûn,алаҟəра
858,abnehmen::V,kêm bûn,ацӡаара
859,abnehmen::V,kêm bûn,аиҵалара
860,zunehmen::V,qelew bûn,аҽырҭбаара
861,zunehmen::V,qelew bûn,аиҵыҵра
862,zunehmen::V,qelew bûn,арацəахара
863,steigen::V,hildan,азҳара
864,steigen::V,hildan,ашьҭыҵра
865,steigen::V,hildan,адухара
866,steigen::V,hildan,ацлара
867,wachsen::V,mezin bûn,азҳара
868,glänzen::V,biriqîn,ацыр-цырра
869,glänzen::V,biriqîn,ацыҩ-цыҩра
870,glänzen::V,biriqîn,аказказра
871,funkeln::V,çikisîn,ашап-шапра
872,funkeln::V,çikisîn,ацым-цымра
873,lärmen::V,guşîn,ашьҭыбжьгара
874,lärmen::V,guşîn,аҕьҕьаҳәа аилалара
875,läuten::V,lê de,аҵəҵəасра
876,klingeln::V,sîl dan,аҵəҵəасра
877,klingeln::V,ringerin,аҵəҵəасра
878,klirren::V,zingzing hat,ахьархьарра
879,klirren::V,zingzing hat,архьархьарра
880,brausen::V,guşîn,аилаҽҽара
881,brausen::V,guşîn,еилашуера
882,rauschen::V,guşîn,
883,klingen::V,deng pe ketin,агара
884,klingen::V,deng pe ketin,ашьҭыбжь гара
885,bellen::V,kewtîn,ашра
886,heulen::V,ûrîn,ауура
887,blasen::V,puf kirin,аҭəҳəара
888,pfeifen::V,fîkandin,ашəшəра
889,schreien::V,qîrîn,аҳəҳəара
890,schreien::V,qîrîn,ахəаара
891,schreien::V,qîrîn,аҟаара
892,stöhnen::V,nalîn,ақьра
893,zittern::V,hejîn,аҵыс-ҵысра
894,leben::V,jihîn,аҟазаара
895,geboren werden::V,hatin dinyê,Аира
896,geboren werden::V,bûn,Аира
897,atmen::V,hilmijîn,аҕсыҕ лагаҩагара
898,trinken::V,vexwarin,ажəра
899,essen::V,xwarin,акрыфара
900,schlucken::V,daqulbandin,албаадара
901,müde werden::V,betilîln,ааҕсара
902,müde werden::V,qerimîn,ааҕсара
903,einschlafen::V,razan,ацəара
904,schlafen::V,razan,ацəазаара
905,schlafen::V,razandin,ацəазаара
906,aufwachen::V,şiyarbûn,аҿыхара
907,aufstehen::V,rabûn,Агəылҵра
908,sich erholen::V,baş bûn,аҧсшьара
909,krank werden::V,nexweş kêt,ачмазаҩхара
910,krank sein::V,nexweş bû,аҳəарҧсарра
911,schmerzen::V,êşandin,ахьра
912,husten::V,kuxin,аимҳәара
913,genesen::V,baş bûn,абзиахара
914,genesen::V,baş bûn,аӷəӷəахара
915,sterben::V,mirin,аҧсра
