,Concept_ID,uz,mn
0,Auge::N,ko'z,нүд
1,Ohr::N,quloq,чих
2,Nase::N,burun,хамар
3,Mund::N,og'iz,ам
4,Zahn::N,tish,шүд
5,Zunge::N,til,хэл
6,Lippe::N,dudoq,уруул
7,Wange::N,bet,хацар
8,Gesicht::N,yuz,царай
9,Gesicht::N,yuz,нүүр
10,Stirn::N,manglay,дух
11,Haar::N,soch,үс
12,Schnurrbart::N,mo'ylov,дээд сахал
13,Schnurrbart::N,mo'ylov,живэр сахал
14,Bart::N,soqol,сахал
15,Kinn::N,ängak,эрүү
16,Kiefer[Anatomie]::N,iyak,эрүү
17,Kehle::N,bo'g'iz,хоолой
18,Hals::N,bo'yin,хүзүү
19,Genick::N,gardan,шил
20,Genick::N,gardan,хүзүү
21,Kopf::N,bosh,толгой
22,Rücken::N,orqa,ар
23,Rücken::N,orqa,нуруу
24,Bauch::N,qorin,хэвлий
25,Bauch::N,qorin,гэдэс
26,Nabel::N,kindik,хүйс
27,Busen::N,ämchak,хөх
28,Brust::N,ko'krak,цээж
29,Schulter::N,elka,мөр
30,Schulter::N,elka,бугалга
31,Arm::N,bilak,гар
32,Ellenbogen::N,tirsak,тохой
33,Hand::N,qo'l,гар
34,Hand::N,qo'l,алга
35,Handfläche::N,kaft,алга
36,Finger::N,barmoq,хуруу
37,Fingernagel::N,tirnoq,хурууны хумс
38,Nagel[Anatomie]::N,tirnoq,хумс
39,Zeh::N,oyoq barmog'i,хуруу
40,Fuß::N,oyoq,хөл
41,Ferse::N,tovon,өсгий
42,Knie::N,tiz,өвдөг
43,Oberschenkel::N,son,гуя
44,Bein::N,oyoq,хөл
45,Körper::N,badna,бие
46,Haut::N,teri,арьс
47,Blut::N,qon,цус
48,Ader::N,qon tomir,судас
49,Sehne::N,tomir,бүлх
50,Sehne::N,tomir,шандас
51,Knochen::N,suyak,яс
52,Gehirn::N,miya,тархи
53,Herz::N,qalb,зүрх
54,Magen::N,oshqozon,ходоод
