,Concept_ID,ca,kl
0,Auge::N,ull,isi
1,Ohr::N,orella,siut
2,Nase::N,nas,
3,Mund::N,boca,paaq
4,Mund::N,boca,qaneq
5,Zahn::N,dent,kigut
6,Zunge::N,llēngua,oqaq
7,Lippe::N,llavi,qarloq
8,Wange::N,galta,ersaq
9,Gesicht::N,cara,kiinaq
10,Stirn::N,front,qaaq
11,Haar::N,cabēll,meqqoq
12,Schnurrbart::N,bigoti,
13,Bart::N,barba,umik
14,Kinn::N,mentó,talloq
15,Kinn::N,barbeta,talloq
16,Kiefer[Anatomie]::N,queix,alleroq
17,Kiefer[Anatomie]::N,mandíbula,alleroq
18,Kehle::N,gola,malaq
19,Kehle::N,gorja,malaq
20,Hals::N,coll,qungaseq
21,Genick::N,nuca,pukusuk
22,Kopf::N,cap,niaqoq
23,Rücken::N,esquena,qimerlut
24,Bauch::N,panxa,naaq
25,Nabel::N,llombrígol,qalaseq
26,Busen::N,pit,iviangeq
27,Busen::N,mama,iviangeq
28,Brust::N,pit,iviangeq
29,Schulter::N,espatlla,ersik
30,Schulter::N,espatlla,assaqqoq
31,Arm::N,braç,taleq
32,Ellenbogen::N,colze,ikusik
33,Hand::N,mà,assak
34,Handfläche::N,palma,itumak
35,Finger::N,dit,inuak
36,Fingernagel::N,ungla,kikiak
37,Nagel[Anatomie]::N,ungla,kukik
38,Zeh::N,dit del peu,isigak
39,Fuß::N,peu,
40,Ferse::N,taló,kimmik
41,Knie::N,genoll,seeqqoq
42,Oberschenkel::N,cuixa,uppat
43,Oberschenkel::N,cuixa,quttoraq
44,Bein::N,cama,isigak
45,Körper::N,cos,timi
46,Haut::N,pell,mattak
47,Blut::N,sang,aak
48,Ader::N,vena,taqaq
49,Sehne::N,tendó,ujalu
50,Sehne::N,tendó,ujaloq
51,Knochen::N,os,saanikut
52,Gehirn::N,cervell,qarasaq
53,Herz::N,cor,uummat
54,Magen::N,estómac,aqajaroq
55,Leber::N,fetge,tinguk
56,Atem::N,alè,anerneq
57,Atem::N,hàlit,anerneq
58,Hunger::N,fam,kaanneq
59,Hunger::N,gana,kaanneq
60,Träne::N,llàgrima,qia
61,Träne::N,llàgrima,qiak
62,Geschmack::N,gust,qilanaartuut
63,Geschmack::N,sabor,qilanaartuut
64,Geruch::N,olor,tipi
65,Geruch::N,olor,tipik
66,Schlaf::N,son,
67,Traum::N,somni,sinnattoq
68,Traum::N,somni,sinnattugaq
69,Himmel::N,celm,qilak
70,Sonne::N,sol,seqineq
71,Mond::N,lluna,qaammat
72,Stern::N,estel,ulloriaq
73,Stern::N,estrella,ulloriaq
74,Luft::N,aire,silaannaq
75,Wind::N,vent,anori
76,Wind::N,vent,anorsarik
77,Welle::N,ona,aalappaa
78,Wasser::N,āigua,imeq
79,Stein::N,pedra,ujarak
80,Boden::N,sòl,nateq
81,Erde::N,terra,issoq
82,Staub::N,pols,pujualanerit
83,Staub::N,pols,pujoralanerit
84,Rauch::N,fum,iseq
85,Rauch::N,fum,pujoq
86,Funke::N,guspira,illoorneq
87,Funke::N,centella,illoorneq
88,Feuer::N,foc,inneq
89,Licht::N,llum,qaamaneq
90,Schatten::N,ombra,tarraq
91,Wetter::N,temps,sila
92,Nebel::N,boira,pujoq
93,Wolke::N,núvol,nuia
94,Regen::N,pluja,sialuk
95,Schnee::N,neu,aput
96,Eis::N,gel,siku
97,Eis::N,glaç,siku
98,Frost::N,glaçada,issi
99,Frost::N,glaçada,issik
100,Kälte::N,fred,issi
101,Hitze::N,calor,kianneq
102,Hitze::N,calor,kiassuseq
103,Raureif::N,gebre,kaneq
104,Regenbogen::N,arc iris,neriusaaq
105,Donner::N,tro,kalleq
106,Strömung::N,corrent,
107,Tropfen::N,gota,kuseriarneq
108,Schaum::N,escuma,qapuk
109,Schmutz::N,brutícia,minguk
110,See::N,llac,taseq
111,Sumpf::N,pantà,maqulluk
112,Moor::N,pantà,
113,Wiese::N,prat,masarsuk
114,Wiese::N,prada,masarsuk
115,Wald::N,bosc,
116,Hügel::N,puig,qattuneq
117,Hügel::N,puig,majuariaq
118,Hügel::N,puig,majorajaaq
119,Hügel::N,puig,qaqqannguaq
120,Hügel::N,pujol,qattuneq
121,Hügel::N,pujol,majuariaq
122,Hügel::N,pujol,majorajaaq
123,Hügel::N,pujol,qaqqannguaq
124,Anhöhe::N,turó,
125,Berg::N,muntanya,qaqqaq
126,Gipfel::N,cim,
127,Höhle::N,cova,qaarusuk
128,Abhang::N,coster,ippik
129,Abhang::N,coster,sivinganeq
130,Abhang::N,coster,sivingajaaq
131,Abhang::N,coster,kussangajaaq
132,Quelle::N,font,
133,Bach::N,riera,kuunnguaq
134,Fluss::N,riu,kuuk
135,Ufer::N,riba,sissap sinaa
136,Küste::N,costa,sineriak
137,Festland::N,terra ferma,
138,Meer::N,mar,imaq
139,Bucht::N,cala,ikeq
140,Bucht::N,cala,kangerluk
141,Bucht::N,cala,kangerliumaneq
142,Bucht::N,badia,ikeq
143,Bucht::N,badia,kangerluk
144,Bucht::N,badia,kangerliumaneq
145,Insel::N,illa,qeqertaq
146,Blume::N,flor,naasoq
147,Gras::N,herba,ivigaq
148,Wurzel::N,rel,niulutaq
149,Wurzel::N,arrel,niulutaq
150,Baum::N,arbre,orpik
151,Stamm::N,tronc,kanaartaq
152,Rinde::N,escorça,ameraq
153,Ast::N,branca,avalequt
154,Zweig::N,ram,avalequt
155,Blatt::N,fulla,pilutaq
156,Birke::N,bedoll,patitsit
157,Kiefer[Baum]::N,pi,
158,Weide[Baum]::N,salze,palleq
159,Tanne::N,avet,orsuerneq
160,Horn::N,corn,nassuk
161,Horn::N,banya,nassuk
162,Feder::N,ploma,suluk
163,Fell::N,pell,ameq
164,Flügel::N,ala,suluk
165,Flügel::N,ala,isaroq
166,Klaue::N,urpa,kukik
167,Kralle::N,grapa,kukik
168,Schwanz::N,cua,pamioq
169,Schwanz::N,cua,paperuusaq
170,Ei::N,ou,mannik
171,Nest::N,niu,ullut
172,Bau::N,cau,ini
173,Tier::N,animāl,uumasoq
174,Herde::N,ramat,unguukkat
175,Kuh::N,vaca,ussik
176,Bulle::N,toro,angukulak
177,Bulle::N,toro,anguteralak
178,Bulle::N,toro,angutikulooq
179,Pferd::N,cavāll,
180,Schaf::N,be,sava
181,Schaf::N,ovella,sava
182,Schwein::N,bacó,puuluki
183,Hund::N,ca,qimmeq
184,Hund::N,gos,qimmeq
185,Katze::N,gat,puisaaq
186,Bär::N,ós,allaq
187,Eichhörnchen::N,esquirol,sissinnguaq
188,Elch::N,ant,
189,Fuchs::N,guilla,terianniaq
190,Hase::N,llebre,ukaleq
191,Maus::N,ratolí,teriannguaq
192,Wolf::N,llop,amaroq
193,Vogel::N,au,timmiaq
194,Vogel::N,ocēll,timmiaq
195,Schwarm::N,bandada,
196,Huhn::N,gallina,kukkukooq
197,Huhn::N,gallina,marloraaqaaq
198,Hahn::N,gall,kiasiusaq
199,Gans::N,oca,nerleq
200,Adler::N,àguila,nattoralik
201,Ente::N,ànec,
202,Eule::N,òliba,uppik
203,Eule::N,mussol,uppik
204,Kranich::N,grua,qorlorfik
205,Krähe::N,cornella,tuluatsiaq
206,Kuckuck::N,cucut,kukkooq
207,Schwan::N,cigne,qussuk
208,Fisch::N,peix,aalisagaq
209,Barsch::N,perca,
210,Hecht::N,lluç,
211,Schlange[Tier]::N,serp,pulateriarsuk
212,Schlange[Tier]::N,serp,pulateriaarsuk
213,Wurm::N,cuc,
214,Spinne::N,aranya,aasiaq
215,Spinne::N,aranya,nissavaarsuk
216,Ameise::N,formiga,uniaaluk
217,Laus::N,poll,kumak
218,Mücke::N,mosquit,ippernaq
219,Fliege::N,mosca,ippernaq
220,Schmetterling::N,papallona,paluaq
221,Schmetterling::N,papallona,pakkaluaq
222,Schmetterling::N,papallona,utsuppaluaq
223,Schmetterling::N,papallona,taqaleqisaaq
224,Beere::N,baia,paarmaq
225,Beere::N,baia,paarngaq
226,Apfel::N,poma,iipili
227,Pilz::N,bolet,anngiusaq
228,Zwiebel::N,ceba,uanitsoq
229,Saat::N,sembra,naatsiiassaq
230,Korn::N,gra,maannineq
231,Heu::N,fenc,
232,Schale::N,closca,niutsivik
233,Schale::N,closca,ilulissaq qaartussaq
234,Grube::N,sot,itersaq
235,Grube::N,clot,itersaq
236,Falle::N,trampa,pualavoq
237,Schlinge::N,baga,orseq
238,Schlinge::N,baga,norloq
239,Spur::N,traça,tumaa
240,Asche::N,cendra,arsat
241,Dreck::N,llot,minguk
242,Eisen::N,ferro,savimineq
243,Eisen::N,ferro,saffiugassaq
244,Gold::N,or,kuulti
245,Silber::N,plata,siilviuvoq
246,Kohle::N,carbó,aamarsuit aamaruutissat
247,Glas::N,vidre,igalaaq
248,Glas::N,vidre,imertarfik
249,Glas::N,vidre,igalaamineq
250,Lehm::N,fang,marraq
251,Lehm::N,argila,marraq
252,Sand::N,arena,sioqqat
253,Mensch::N,humà,inuk
254,Mensch::N,humà,silamiu
255,Mensch::N,persona,inuk
256,Mensch::N,persona,silamiu
257,Mann::N,home,angut
258,Frau::N,dona,arnaq
259,Kind::N,nen,meeraq
260,Junge::N,noi,nukappiaraq
261,Mädchen::N,noia,arnannguaq
262,Familie::N,família,ilaqutakka
263,Familie::N,família,ilaqutariit
264,Großvater::N,avi,aatak
265,Großmutter::N,àvia,aanaq
266,Eltern::N,pares,angajoqqaat
267,Vater::N,pare,ataata
268,Vater::N,pare,ataataq
269,Mutter::N,mare,anaana
270,Sohn::N,fill,erneq
271,Tochter::N,filla,panik
272,Bruder::N,germà,ani
273,Bruder::N,germà,aqqaluk
274,Bruder::N,germà,qatanngut
275,Schwester::N,germana,naja
276,Schwester::N,germana,aleqa
277,Schwester::N,germana,qatanngut
278,Onkel::N,oncle,akkak
279,Tante::N,tia,aja
280,Tante::N,tia,ajak
281,Tante::N,tia,atsak
282,Ehemann::N,espòs,ui
283,Ehefrau::N,muller,nuliaq
284,Freude::N,goig,tipaatsussuseq
285,Freude::N,alegria,tipaatsussuseq
286,Gelächter::N,riallada,illaq
287,Glück::N,felicitat,usornaat
288,Glück::N,felicitat,usornarsuseq
289,Kummer::N,pena,
290,Wunsch::N,desig,kissaat
291,Lust::N,ganes,illigussuseq
292,Lust::N,ganes,piummaseq
293,Geist::N,ment,anerneq
294,Geist::N,ment,toornaq
295,Geist::N,esperit,anerneq
296,Geist::N,esperit,toornaq
297,Gedanke::N,pensament,isumassaq
298,Gedächtnis::N,memòria,eqqaamannissuseq
299,Verstand::N,raó,isuma
300,Verstand::N,raó,sianissut
301,Verstand::N,raó,misigissut
302,Verstand::N,raó,sianissuseq
303,Verstand::N,raó,silaqassuseq
304,Verstand::N,seny,isuma
305,Verstand::N,seny,sianissut
306,Verstand::N,seny,misigissut
307,Verstand::N,seny,sianissuseq
308,Verstand::N,seny,silaqassuseq
309,Sinn::N,solta,isuma
310,Sinn::N,sentit,isuma
311,Grund::N,raó,patsit
312,Grund::N,causa,patsit
313,Wahrheit::N,veritāt,sallusuissut
314,Gespräch::N,conversa,
315,Märchen::N,conte,oqalualaarut
316,Märchen::N,conte,oqaluasaaq
317,Erzählung::N,narració,oqaluttuaq
318,Nachricht::N,missatge,oqaassut
319,Nachricht::N,missatge,oqqersuut
320,Neuigkeit::N,novetat,tusarnartaq
321,Name::N,nom,ateq
