,Concept_ID,hi,no
0,Auge::N,आँख,øye
1,Auge::N,चक्षु,øye
2,Ohr::N,कान,øre
3,Ohr::N,कर्ण,øre
4,Nase::N,नाक,nese
5,Nase::N,नासा,nese
6,Mund::N,मुख,munn
7,Mund::N,मुँह,munn
8,Zahn::N,दंत,tann
9,Zahn::N,दाँत,tann
10,Zunge::N,जीभ,tunge
11,Zunge::N,ज़बान,tunge
12,Zunge::N,जिह्वा,tunge
13,Lippe::N,ओंठ,leppe
14,Lippe::N,होंठ,leppe
15,Wange::N,गाल,kinn
16,Wange::N,कपोल,kinn
17,Gesicht::N,मुँह,fjes
18,Gesicht::N,मुँह,ansikt
19,Gesicht::N,चेहरा,fjes
20,Gesicht::N,चेहरा,ansikt
21,Stirn::N,माथा,panne
22,Stirn::N,मस्तक,panne
23,Haar::N,बाल,hår
24,Schnurrbart::N,मूँछें,bart
25,Bart::N,दाढ़ी,skjegg
26,Kinn::N,चिबुक,hake
27,Kiefer[Anatomie]::N,जबड़ा,kjeve
28,Kehle::N,गला,strupe
29,Hals::N,गला,hals
30,Hals::N,गरदन,hals
31,Genick::N,गरदन,nakke
32,Genick::N,ग्रीवा,nakke
33,Kopf::N,सिर,hode
34,Kopf::N,शीर्ष,hode
35,Rücken::N,पीठ,rygg
36,Bauch::N,उदर,buk
37,Bauch::N,उदर,mage
38,Nabel::N,नाभि,navle
39,Nabel::N,ढोंढी,navle
40,Busen::N,कुच,barm
41,Busen::N,स्तन,barm
42,Brust::N,वक्ष,bryst
43,Schulter::N,कंधा,skulder
44,Schulter::N,स्कंध,skulder
45,Arm::N,बाँह,arm
46,Arm::N,बाज़ू,arm
47,Ellenbogen::N,कुहनी,albue
48,Hand::N,हाथ,hånd
49,Hand::N,हस्त,hånd
50,Handfläche::N,हथेली,håndflate
51,Finger::N,उँगली,finger
52,Finger::N,अँगुली,finger
53,Fingernagel::N,नख,fingernegl
54,Fingernagel::N,नाख़ून,fingernegl
55,Nagel[Anatomie]::N,नख,negl
56,Nagel[Anatomie]::N,नाख़ून,negl
57,Zeh::N,उँगली,tå
58,Zeh::N,पाँव की उँगली,tå
59,Fuß::N,चरण,fot
60,Fuß::N,पाँव,fot
61,Ferse::N,एड़ी,hæl
62,Knie::N,जानु,kne
63,Knie::N,घुटना,kne
64,Oberschenkel::N,उरु,lår
65,Bein::N,टाँग,bein
66,Körper::N,तन,kropp
67,Körper::N,तन,legeme
68,Körper::N,देह,kropp
69,Körper::N,देह,legeme
70,Körper::N,शरीर,kropp
71,Körper::N,शरीर,legeme
72,Haut::N,चर्म,hud
73,Haut::N,चर्म,skinn
74,Haut::N,त्वचा,hud
75,Haut::N,त्वचा,skinn
76,Blut::N,लहू,blod
77,Blut::N,ख़ून,blod
78,Ader::N,रग,åre
79,Ader::N,शिरा,åre
80,Sehne::N,कंडरा,sene
81,Sehne::N,स्नायु,sene
82,Knochen::N,अस्थि,bein
83,Knochen::N,अस्थि,knokkel
84,Gehirn::N,दिमाग़,hjerne
85,Gehirn::N,मस्तिष्क,hjerne
86,Herz::N,दिल,hjerte
87,Herz::N,हृदय,hjerte
88,Magen::N,मेदा,mage
89,Magen::N,अमाशय,mage
90,Leber::N,जिगर,lever
91,Leber::N,यकृत्,lever
92,Atem::N,दम,pust
93,Atem::N,साँस,pust
94,Atem::N,श्वास,pust
95,Hunger::N,भूख,sult
96,Hunger::N,क्षुधा,sult
97,Träne::N,आँसू,tåre
98,Träne::N,अश्रु,tåre
99,Geschmack::N,स्वाद,smak
100,Geschmack::N,ज़ायक़ा,smak
101,Geruch::N,बू,lukt
102,Geruch::N,गंध,lukt
103,Schlaf::N,नींद,søvn
104,Schlaf::N,निद्रा,søvn
105,Traum::N,सपना,drøm
106,Traum::N,स्वप्न,drøm
107,Himmel::N,आकाश,himmel
108,Himmel::N,आसमान,himmel
109,Sonne::N,रवि,sol
110,Sonne::N,सूरज,sol
111,Sonne::N,सूर्य,sol
112,Mond::N,चाँद,måne
113,Mond::N,चंद्र,måne
114,Stern::N,तारा,stjerne
115,Stern::N,सितारा,stjerne
116,Luft::N,हवा,luft
117,Luft::N,वायु,luft
118,Wind::N,पाद,vind
119,Welle::N,लहर,bølge
120,Welle::N,तरंग,bølge
121,Wasser::N,जल,vann
122,Wasser::N,पानी,vann
123,Stein::N,पत्थर,stein
124,Boden::N,मिट्टी,bakke
125,Erde::N,भूमि,jord
126,Erde::N,ज़मीन,jord
127,Staub::N,धूल,støv
128,Rauch::N,धूआँ,røyk
129,Rauch::N,धुम्र,røyk
130,Funke::N,चिनगारी,gnist
131,Funke::N,स्फुलिंग,gnist
132,Feuer::N,आग,ild
133,Feuer::N,आतिश,ild
134,Feuer::N,अग्नि,ild
135,Licht::N,रोशनी,lys
136,Licht::N,प्रकाश,lys
137,Schatten::N,छाया,skygge
138,Schatten::N,परछाई,skygge
139,Wetter::N,ऋतु,vær
140,Wetter::N,मौसम,vær
141,Nebel::N,धुँध,tåke
142,Nebel::N,कुहरा,tåke
