,Concept_ID,ba,ab
0,Auge::N,күҙ,ала
1,Ohr::N,ҡолаҡ,алымҳа
2,Nase::N,танау,аҧынҵа
3,Mund::N,ауыҙ,аҧышə
4,Zahn::N,теш,ахаҧыц
5,Zunge::N,тел,абз
6,Lippe::N,ирен,ақьышə
7,Wange::N,яцаҡтар,аӡамҩа
8,Gesicht::N,бит,аҿы
9,Stirn::N,маңлай,алахь
10,Haar::N,сәс,ахəыц
11,Schnurrbart::N,мылтыҡ,аҧаҵа
12,Bart::N,һаҡал,ажакьа
13,Kinn::N,эйэк,ацламкəыгə
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ацламҳəа
15,Kehle::N,тамаҡ,ахəда
16,Hals::N,муйын,ахəда
17,Genick::N,соңҡа,ахəдаџьал
18,Kopf::N,баш,ахы
19,Rücken::N,арҡа,азқəа
20,Bauch::N,ҡорһаҡ,амгəа
21,Nabel::N,кендек,аҷапан
22,Busen::N,күкрәк,агəыҧҳəы
23,Brust::N,түш,агəышҧы
24,Schulter::N,яурын,ажəҩахыр
25,Arm::N,ҡул,амахəар
26,Ellenbogen::N,терһәк,амашьхəылҵ
27,Hand::N,ҡул,анапы
28,Hand::N,ҡул суғы,анапы
29,Handfläche::N,ус төбө,анапсаргəыҵа
30,Finger::N,бармаҡ,анацəа
31,Fingernagel::N,тырнаҡ,анапхыц
32,Nagel[Anatomie]::N,тырнаҡ,ашьапхыц
33,Zeh::N,бармаҡ,ашьацəа
34,Fuß::N,табан,ашьапсыргəыҵа
35,Ferse::N,үксә,ашьхəа
36,Knie::N,тубыҡ,ашьамхы
37,Oberschenkel::N,сандыр,ауаҭəа
38,Bein::N,аяҡ,ашьапы
39,Körper::N,тән,ацəеижь
40,Haut::N,тире,ацəа
41,Blut::N,ҡан,ашьа
42,Ader::N,тамыр,ада
43,Sehne::N,һеңер,адаш
44,Sehne::N,тарамыш,адаш
45,Knochen::N,һойәк,абаҩ
46,Gehirn::N,мейе,ахшлыбаҩ
47,Gehirn::N,мейе,ахшыбаҩ
48,Herz::N,йорәк,агəы
49,Magen::N,ашҡаҙан,аца
50,Magen::N,ашҡаҙан,ацар
51,Leber::N,бауыр,агəаҵəа
52,Atem::N,һулыш,аҧсыҧлагаҩгара
53,Hunger::N,аслыҡ,амла
54,Träne::N,күҙ иәше,алабжыш
55,Geschmack::N,тәм,агьама
56,Geruch::N,еҫ,афҩы
57,Schlaf::N,йоҡлау,ацəа
58,Traum::N,төш,аҧхыӡ
59,Himmel::N,күк,ажəҩан
60,Sonne::N,ҡояш,амра
61,Mond::N,ай,амза
62,Stern::N,йондоҙ,аеҵəа
63,Luft::N,һауа,аҳаир
64,Wind::N,ел,аҧша
65,Welle::N,тулҡын,ацəқəырҧа
66,Wasser::N,һыу,аӡы
67,Stein::N,таш,ахаҳə
68,Boden::N,тупраҡ,адгьыл
69,Erde::N,балсҡ,адгьыл
70,Staub::N,туҙан,асаба
71,Rauch::N,төтөн,алҩа
72,Funke::N,осҡон,акəиц
73,Funke::N,осҡон,ацҧхь
74,Feuer::N,ут,амца
75,Licht::N,яҡтылыҡ,алашара
76,Schatten::N,күләгә,ашəшьыра
77,Wetter::N,һауа торошо,амш
78,Nebel::N,төман,анаҟəа
79,Wolke::N,болот,аҧсҭҳəа
80,Regen::N,ямғыр,ақəа
81,Schnee::N,ҡар,асы
82,Eis::N,боҙ,аҵаа
83,Frost::N,һалҡын,аҵаа
84,Kälte::N,һыуыҡ,ахьҭа
85,Hitze::N,томра,ашоура
86,Hitze::N,эҫелек,ашоура
87,Raureif::N,ҡырау,аҵааҧшқа
88,Regenbogen::N,йәйғор,ацəаҟəа
89,Donner::N,күк күкрәү,адыд
90,Strömung::N,ағым,аиасра
