,Concept_ID,os,bg
0,Auge::N,цӕст,око
1,Ohr::N,хъус,ухо
2,Nase::N,фындз,нос
3,Mund::N,дзых,уста
4,Zahn::N,дӕндаг,зъб
5,Zunge::N,ӕвзаг,език
6,Lippe::N,был,устна
7,Wange::N,рус,буза
8,Wange::N,уадул,буза
9,Wange::N,ӕхсӕрфарс,буза
10,Gesicht::N,цӕсгом,лице
11,Gesicht::N,цӕсгом,образ
12,Stirn::N,ных,чело
13,Haar::N,хил,коса
14,Haar::N,хил,косъм
15,Schnurrbart::N,рихи,мустаци
16,Bart::N,зачъе,брада
17,Kinn::N,роцъо,брада
18,Kinn::N,роцъо,брадичка
19,Kiefer[Anatomie]::N,ӕфсӕр,челюст
20,Kehle::N,хъуыр,гърло
21,Hals::N,къубал,врат
22,Genick::N,къӕбут,тил
23,Kopf::N,сӕр,глава
24,Rücken::N,фӕсонтӕ,гръб
25,Bauch::N,гуыбын,корем
26,Nabel::N,бикъ,пъп
27,Busen::N,дзидзи,бозка
28,Brust::N,риу,гръд
29,Schulter::N,уӕхск,рамо
30,Schulter::N,уӕхск,плещи
31,Arm::N,цонг,ръка
32,Ellenbogen::N,рæмбын,лакът
33,Hand::N,къух,ръка
34,Hand::N,къух,китка
35,Handfläche::N,армытъӕпӕн,длан
36,Finger::N,ӕнруылдз,пръст
37,Fingernagel::N,ных,нокът
38,Nagel[Anatomie]::N,ных,нокът
39,Zeh::N,къух,пръст на крак
40,Fuß::N,фад,крак
41,Fuß::N,фад,нога
42,Ferse::N,зӕвӕт,пета
43,Knie::N,уӕраг,коляно
44,Oberschenkel::N,агъд,бедро
45,Bein::N,зӕнг,крак
46,Bein::N,зӕнг,нога
47,Körper::N,буар,тяло
48,Haut::N,царм,кожа
49,Blut::N,туг,кръв
50,Ader::N,дадзин,вена
51,Ader::N,дадзин,артерия
52,Ader::N,тугдадзин,вена
53,Ader::N,тугдадзин,артерия
54,Sehne::N,хъиутæ,жила
55,Sehne::N,хъиутæ,сухожилие
56,Sehne::N,нуар,жила
57,Sehne::N,нуар,сухожилие
58,Knochen::N,стӕг,кост
59,Gehirn::N,магъз,мозък
60,Herz::N,зӕрдӕ,сърце
61,Magen::N,ахсӕн,стомах
62,Leber::N,игæр,черен дроб
63,Atem::N,улӕфт,дишане
64,Hunger::N,стонг,глад
65,Träne::N,цæссыг,сълза
66,Geschmack::N,ад,вкус
67,Geruch::N,смаг,миризма
68,Schlaf::N,хуыссӕг,сън
69,Traum::N,фын,сън
70,Himmel::N,арв,небе
71,Himmel::N,уӕларв,небе
72,Sonne::N,хур,слънце
73,Mond::N,мӕй,луна
74,Mond::N,мӕй,месец
75,Stern::N,стъалы,звезда
76,Luft::N,уӕлдӕф,въздух
77,Wind::N,дымгӕ,вятър
78,Welle::N,уылӕн,вълна
79,Wasser::N,дон,вода
80,Stein::N,дур,камък
81,Boden::N,зӕхх,земя
82,Boden::N,зӕхх,почва
83,Erde::N,сыджыт,земя
84,Erde::N,сыджыт,почва
85,Staub::N,рыг,прах
86,Rauch::N,фӕздӕг,дим
87,Rauch::N,фӕздӕг,пушек
88,Funke::N,цӕхӕр,искра
89,Feuer::N,зынг,огън
90,Licht::N,рухс,светлина
91,Schatten::N,аууон,сянка
92,Wetter::N,боныхъӕд,време
93,Nebel::N,мигъ,мъгла
94,Wolke::N,ӕврагъ,облак
95,Regen::N,уарын,дъжд
96,Schnee::N,мит,сняг
97,Eis::N,их,лед
98,Frost::N,ихæн,мраз
99,Kälte::N,уазал,студ
100,Hitze::N,ӕнтӕф,жега
101,Hitze::N,ӕнтӕф,горещина
102,Raureif::N,халас,скреж
103,Raureif::N,халас,слана
104,Regenbogen::N,арвырон,дъга
105,Regenbogen::N,арвырдын,дъга
106,Donner::N,æрвнæрын,гръм
107,Strömung::N,цыд,течение
108,Tropfen::N,æртах,капка
109,Schaum::N,фынк,пяна
110,Schmutz::N,цъыф,кал
111,Schmutz::N,цъыф,мръсотия
112,See::N,цад,езеро
113,Sumpf::N,цъыфдзаст,блато
114,Moor::N,цъыфдзаст,мочурище
115,Wiese::N,уыгӕрдӕн,ливада
116,Wald::N,хъӕд,гора
117,Hügel::N,обау,рид
118,Hügel::N,обау,хълм
119,Hügel::N,къуыбыр,рид
120,Hügel::N,къуыбыр,хълм
121,Anhöhe::N,уæлвæз,могила
122,Anhöhe::N,уæлвæз,възвишение
123,Anhöhe::N,уæлхох,могила
124,Anhöhe::N,уæлхох,възвишение
125,Berg::N,хох,планина
126,Gipfel::N,цъупп,връх
127,Höhle::N,лӕгӕт,пещера
128,Abhang::N,къул,склон
129,Abhang::N,къул,стръмнина
130,Quelle::N,суадон,извор
131,Bach::N,мӕсчъыдон,поток
132,Fluss::N,дон,река
133,Fluss::N,цӕугӕдон,река
134,Ufer::N,был,бряг
135,Küste::N,донбыл,бряг
136,Küste::N,донбыл,крайбрежие
137,Festland::N,сурзæхх,суша
138,Meer::N,денджыз,море
139,Bucht::N,донбакæлæн,залив
140,Insel::N,сакъадах,остров
141,Blume::N,дидинӕг,цвете
142,Gras::N,кӕрдӕг,трева
143,Wurzel::N,уидаг,корен
144,Baum::N,бӕлас,дърво
145,Stamm::N,хӕтӕл,стъбло
146,Rinde::N,цъар,кора
147,Ast::N,арх,клон
148,Zweig::N,къалиу,клон
149,Blatt::N,сыф,лист
150,Birke::N,бæрз,бреза
151,Kiefer[Baum]::N,нӕзы,бор
152,Weide[Baum]::N,хӕрис,върба
153,Tanne::N,наз,ела
154,Horn::N,сыкъа,рог
155,Feder::N,сис,перо
156,Fell::N,царм,кожа
157,Flügel::N,базыр,крило
158,Klaue::N,ных,нокът
159,Kralle::N,дзӕмбы,нокът
160,Schwanz::N,къӕдзил,опашка
161,Ei::N,айк,яйце
162,Nest::N,ахстон,гнездо
163,Bau::N,хуынкъ,дупка
164,Tier::N,сырд,животно
165,Tier::N,цӕрӕгой,животно
166,Herde::N,дзуг,стадо
167,Herde::N,рӕгъау,стадо
