,Concept_ID,pt,ru
0,Auge::N,olho,глаз
1,Ohr::N,orelha,ухо
2,Nase::N,nariz,нос
3,Mund::N,boca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,língua,язык
6,Lippe::N,lábio,губа
7,Wange::N,face,щека
8,Gesicht::N,cara,лицо
9,Gesicht::N,rosto,лицо
10,Stirn::N,testa,лоб
11,Haar::N,cabelo,волос
12,Haar::N,cabelo,волосы
13,Schnurrbart::N,bigode,ус
14,Schnurrbart::N,bigode,усы
15,Bart::N,barba,борода
16,Kinn::N,queixo,подбородок
17,Kiefer[Anatomie]::N,maxila,челюсть
18,Kiefer[Anatomie]::N,mandíbula,челюсть
19,Kehle::N,garganta,горло
20,Hals::N,colo,шея
21,Hals::N,pescoço,шея
22,Genick::N,nuca,затылок
23,Kopf::N,cabeça,голова
24,Rücken::N,dorso,спина
25,Rücken::N,costas,спина
26,Bauch::N,ventre,живот
27,Bauch::N,barriga,живот
28,Nabel::N,umbigo,пупок
29,Busen::N,seio,женская грудь
30,Brust::N,peito,грудь
31,Schulter::N,ombro,плечо
32,Arm::N,braço,рука
33,Ellenbogen::N,cotovelo,локоть
34,Hand::N,mão,кисть
35,Handfläche::N,palma,ладонь
36,Handfläche::N,palma da mão,ладонь
37,Finger::N,dedo,палец
38,Fingernagel::N,unha,ноготь
39,Nagel[Anatomie]::N,unha,ноготь
40,Zeh::N,dedo do pé,палец
41,Fuß::N,pé,ступня
42,Ferse::N,calcanhar,пята
43,Ferse::N,calcanhar,пятка
44,Knie::N,joelho,колено
45,Oberschenkel::N,coxa,бедро
46,Bein::N,perna,нога
47,Körper::N,corpo,тело
48,Haut::N,pele,кожа
49,Blut::N,sangue,кровь
50,Ader::N,veia,вена
51,Ader::N,veia,сосуд
52,Sehne::N,tendão,жила
53,Sehne::N,tendão,тетива
54,Sehne::N,tendão,сухожилие
55,Knochen::N,osso,кость
56,Gehirn::N,cérebro,мозг
57,Herz::N,coração,сердце
58,Magen::N,estômago,желудок
59,Leber::N,fígado,печень
60,Atem::N,fôlego,дух
61,Atem::N,fôlego,дыхание
62,Hunger::N,fome,голод
63,Träne::N,lágrima,слеза
64,Geschmack::N,gosto,вкус
65,Geruch::N,odor,запах
66,Geruch::N,cheiro,запах
67,Schlaf::N,sono,сон
68,Traum::N,sonho,сновидение
69,Himmel::N,céu,небо
70,Sonne::N,sol,солнце
71,Mond::N,lua,луна
72,Stern::N,estrela,звезда
73,Luft::N,ar,воздух
74,Wind::N,vento,ветер
75,Welle::N,onda,волна
76,Wasser::N,água,вода
77,Stein::N,pedra,камень
78,Boden::N,solo,почва
79,Erde::N,terra,земля
80,Staub::N,pó,пыль
81,Rauch::N,fumo,дым
82,Funke::N,faísca,искра
83,Funke::N,centelha,искра
84,Feuer::N,fogo,огонь
85,Licht::N,luz,свет
86,Schatten::N,sombra,тень
87,Wetter::N,tempo,погода
88,Nebel::N,nevoeiro,туман
89,Wolke::N,nuvem,облако
90,Regen::N,chuva,дождь
91,Schnee::N,neve,снег
92,Eis::N,gelo,лед
93,Frost::N,gelo,мороз
94,Frost::N,geada,мороз
95,Kälte::N,frio,холод
96,Hitze::N,ardor,жара
97,Raureif::N,geada,иней
98,Regenbogen::N,arco-iris,радуга
99,Donner::N,trovão,гром
100,Strömung::N,corrente,течение
101,Tropfen::N,gota,капля
102,Schaum::N,espuma,пена
103,Schmutz::N,sujidade,грязь
104,Schmutz::N,imundície,грязь
105,See::N,lago,озеро
106,Sumpf::N,charco,топь
107,Sumpf::N,pântano,топь
108,Moor::N,pântano,болото
109,Wiese::N,prado,луг
110,Wald::N,bosque,лес
111,Wald::N,floresta,лес
112,Hügel::N,colina,холм
113,Anhöhe::N,alto,возвышенность
114,Anhöhe::N,outeiro,возвышенность
115,Berg::N,monte,гора
116,Berg::N,montanha,гора
117,Gipfel::N,pico,вершина
118,Höhle::N,caverna,пещера
119,Abhang::N,encosta,склон
120,Quelle::N,fonte,источник
121,Bach::N,regato,ручей
122,Bach::N,ribeiro,ручей
123,Fluss::N,rio,река
124,Ufer::N,beira,берег
125,Küste::N,costa,побережье
126,Festland::N,terra firme,суша
127,Meer::N,mar,море
128,Bucht::N,baía,бухта
129,Insel::N,ilha,остров
130,Blume::N,flor,цветок
131,Gras::N,erva,трава
132,Wurzel::N,raiz,корень
133,Baum::N,árvore,дерево
134,Stamm::N,tronco,ствол
135,Rinde::N,casca,кора
136,Ast::N,ramo,сук
137,Zweig::N,galho,ветвь
138,Blatt::N,folha,лист
139,Birke::N,bétula,береза
