,Concept_ID,kn,os
0,Auge::N,ಕಣ್ಣು,цӕст
1,Ohr::N,ಕಿವಿ,хъус
2,Nase::N,ಮೂಗು,фындз
3,Mund::N,ಬಾಯಿ,дзых
4,Zahn::N,ಹಲ್ಲು,дӕндаг
5,Zunge::N,ನಾಲಿಗೆ,ӕвзаг
6,Lippe::N,ತುಟಿ,был
7,Wange::N,ಗಲ್ಲ,рус
8,Wange::N,ಗಲ್ಲ,уадул
9,Wange::N,ಗಲ್ಲ,ӕхсӕрфарс
10,Gesicht::N,ಮುಖ,цӕсгом
11,Stirn::N,ಹಣೆ,ных
12,Haar::N,ಕೂದಲು,хил
13,Schnurrbart::N,ಮೀಸೆ,рихи
14,Bart::N,ಗಡ್ಡ,зачъе
15,Kinn::N,ಗದ್ದ,роцъо
16,Kiefer[Anatomie]::N,ದವಡೆ,ӕфсӕр
17,Kehle::N,ಗಂಟಲು,хъуыр
18,Hals::N,ಕೊರಳು,къубал
19,Genick::N,ಹಿಂಗತ್ತು,къӕбут
20,Kopf::N,ತಲೆ,сӕр
21,Rücken::N,ಬೆನ್ನು,фӕсонтӕ
22,Bauch::N,ಹೊಟ್ಟೆ,гуыбын
23,Nabel::N,ಹೊಕ್ಕುಳು,бикъ
24,Busen::N,ಸ್ತನ,дзидзи
25,Brust::N,ಎದೆ,риу
26,Schulter::N,ಭುಜ,уӕхск
27,Arm::N,ತೋಳು,цонг
28,Ellenbogen::N,ಮೊಣಕೈ,рæмбын
29,Hand::N,ಕೈ,къух
30,Handfläche::N,ಅಂಗೈ,армытъӕпӕн
31,Finger::N,ಕೈಬೆರಳು,ӕнруылдз
32,Fingernagel::N,ಉಗುರು,ных
33,Nagel[Anatomie]::N,ಉಗುರು,ных
34,Zeh::N,ಕಾಲ್ಬೆರಳು,къух
35,Fuß::N,ಪಾದ,фад
36,Ferse::N,ಹಿಮ್ಮಡಿ,зӕвӕт
37,Knie::N,ಮಂಡಿ,уӕраг
38,Oberschenkel::N,ತೊಡೆ,агъд
39,Bein::N,ಕಾಲು,зӕнг
40,Körper::N,ದೇಹ,буар
41,Haut::N,ಚರ್ಮ,царм
42,Blut::N,ರಕ್ತ,туг
43,Ader::N,ನರ,дадзин
44,Ader::N,ನರ,тугдадзин
45,Sehne::N,ನರ,хъиутæ
46,Sehne::N,ನರ,нуар
