,Concept_ID,hr,cs
0,Auge::N,oko,oko
1,Ohr::N,uho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,pusa
4,Zahn::N,zub,zub
5,Zunge::N,jezik,jazyk
6,Lippe::N,usna,ret
7,Wange::N,obraz,tvář
8,Gesicht::N,lice,obličej
9,Stirn::N,čelo,čelo
10,Haar::N,kosa,vlas
11,Haar::N,kosa,vlasy
12,Schnurrbart::N,brkovi,kníry
13,Bart::N,brada,vousy
14,Kinn::N,brada,brada
15,Kinn::N,podbradak,brada
16,Kiefer[Anatomie]::N,čeljust,čelist
17,Kehle::N,grlo,hrdlo
18,Hals::N,vrat,krk
19,Genick::N,zatiljak,týl
20,Kopf::N,glava,hlava
21,Rücken::N,leđa,záda
22,Rücken::N,leđa,hřbet
23,Rücken::N,hrbat,záda
24,Rücken::N,hrbat,hřbet
25,Bauch::N,trbuh,břicho
26,Nabel::N,pupak,pupek
27,Busen::N,sisa,ňadra
28,Busen::N,njedra,ňadra
29,Brust::N,prsa,prsa
30,Schulter::N,rame,plece
31,Schulter::N,rame,rameno
32,Schulter::N,pleći,plece
33,Schulter::N,pleći,rameno
34,Arm::N,ruka,ruka
35,Ellenbogen::N,lakat,loket
36,Hand::N,ruka,ruka
37,Handfläche::N,dlan,dlaň
38,Finger::N,prst,prst
39,Fingernagel::N,nokat,nehet
40,Nagel[Anatomie]::N,nokat,nehet
41,Zeh::N,nozni prst,prst u nohy
42,Fuß::N,noga,noha
43,Fuß::N,stopalo,noha
44,Ferse::N,peta,pata
45,Knie::N,koljeno,koleno
46,Oberschenkel::N,bedro,stehno
47,Bein::N,noga,noha
48,Körper::N,tijelo,tělo
49,Haut::N,put,kůže
50,Haut::N,koža,kůže
51,Blut::N,krv,krev
52,Ader::N,žila,céva
53,Sehne::N,tetiva,šlacha
54,Knochen::N,kost,kost
55,Herz::N,srce,srdce
56,Magen::N,stomak,žaludek
57,Magen::N,želudac,žaludek
58,Leber::N,jetra,játra
59,Atem::N,dah,dech
60,Hunger::N,glad,hlad
61,Träne::N,suza,slza
62,Geschmack::N,ukus,vkus
63,Geruch::N,njuh,vůně
64,Geruch::N,njuh,zápach
65,Geruch::N,miris,vůně
66,Geruch::N,miris,zápach
67,Schlaf::N,san,spánek
68,Traum::N,san,sen
69,Himmel::N,nebo,nebe
70,Sonne::N,sunce,slunce
71,Mond::N,mjesec,měsíc
72,Stern::N,zvijezda,hvězda
73,Luft::N,zrak,vzduch
74,Wind::N,vjetar,vítr
75,Welle::N,val,vlna
76,Welle::N,talas,vlna
77,Wasser::N,voda,voda
78,Stein::N,kamen,kámen
79,Boden::N,tlo,půda
80,Boden::N,zemlja,půda
81,Erde::N,zemlja,země
82,Staub::N,prah,prach
83,Staub::N,prašina,prach
84,Rauch::N,dim,dým
85,Rauch::N,dim,kouř
86,Funke::N,iskra,jiskra
87,Funke::N,varnica,jiskra
88,Feuer::N,vatra,oheň
89,Licht::N,svjetlo,světlo
90,Schatten::N,hlad,stín
91,Schatten::N,sjena,stín
92,Wetter::N,vrijeme,počasí
93,Nebel::N,magla,mlha
94,Wolke::N,oblak,mrak
95,Wolke::N,oblak,oblak
96,Regen::N,kiša,déšť
97,Schnee::N,snijeg,sníh
98,Eis::N,led,led
99,Frost::N,mraz,mráz
100,Kälte::N,studen,chlad
101,Kälte::N,hladnoća,chlad
102,Hitze::N,vrućina,horko
103,Raureif::N,inje,jinovatka
104,Regenbogen::N,duga,duha
105,Donner::N,grom,hrom
106,Donner::N,grmljavina,hrom
107,Strömung::N,struja,proudění
108,Strömung::N,strujanje,proudění
109,Tropfen::N,kap,kapka
110,Tropfen::N,kaplja,kapka
111,Schaum::N,pjena,pěna
112,Schmutz::N,nečistoća,špína
113,Schmutz::N,prljavština,špína
114,See::N,jezero,jezero
115,Sumpf::N,bara,močál
116,Sumpf::N,bara,bažina
117,Moor::N,močvara,bažina
118,Moor::N,močvara,slatina
119,Wiese::N,livada,louka
120,Wald::N,šuma,les
121,Hügel::N,brijeg,kopec
122,Hügel::N,brežuljak,kopec
123,Anhöhe::N,uzvišica,pahorek
124,Berg::N,brdo,hora
125,Gipfel::N,vrh,vrchol
126,Höhle::N,pećina,jeskyně
127,Höhle::N,spilja,jeskyně
128,Abhang::N,obronak,svah
129,Abhang::N,obronak,stráň
130,Abhang::N,nizbrdica,svah
131,Abhang::N,nizbrdica,stráň
132,Quelle::N,izvor,pramen
133,Quelle::N,vrelo,pramen
134,Bach::N,potok,potok
135,Fluss::N,rijeka,řeka
136,Ufer::N,obala,břeh
137,Küste::N,obala,pobřeží
138,Küste::N,morska obala,pobřeží
139,Festland::N,kopno,souš
140,Festland::N,kopno,pevnina
141,Meer::N,more,moře
142,Bucht::N,zaliv,záliv
143,Bucht::N,zaliv,zátoka
144,Insel::N,ada,ostrov
145,Insel::N,otok,ostrov
146,Blume::N,cvijet,květina
147,Gras::N,trava,tráva
148,Wurzel::N,korijen,kořen
149,Baum::N,drvo,strom
150,Baum::N,stablo,strom
151,Stamm::N,deblo,kmen
152,Stamm::N,stablo,kmen
153,Rinde::N,kora,kůra
154,Ast::N,grana,větev
155,Zweig::N,grana,větev
156,Blatt::N,list,lupen
157,Birke::N,breza,bříza
158,Kiefer[Baum]::N,bor,sosna
159,Kiefer[Baum]::N,bor,borovice
160,Weide[Baum]::N,iva,vrba
161,Weide[Baum]::N,vŕba,vrba
162,Tanne::N,jela,jedle
163,Horn::N,rog,roh
164,Feder::N,pero,pero
165,Fell::N,koža,srst
166,Flügel::N,krilo,křídlo
167,Klaue::N,papak,dráp
168,Klaue::N,papak,pazneht
169,Kralle::N,pandža,dráp
170,Schwanz::N,rep,ocas
171,Ei::N,jaje,vejce
172,Nest::N,gnijezdo,hnízdo
173,Bau::N,jazbina,nora
174,Tier::N,životinja,zvíře
175,Herde::N,krdo,stádo
176,Herde::N,stado,stádo
177,Kuh::N,krava,kráva
178,Bulle::N,bik,býk
179,Pferd::N,konj,kůň
180,Schaf::N,ovca,ovce
181,Schwein::N,svinja,vepř
182,Schwein::N,svinja,prase
183,Hund::N,pas,pes
184,Hund::N,pseto,pes
185,Katze::N,mačka,kočka
186,Bär::N,medvjed,medvěd
187,Eichhörnchen::N,vjeverica,veverka
188,Elch::N,los,los
189,Fuchs::N,lisica,liška
190,Hase::N,zec,zajíc
191,Maus::N,miš,myš
192,Wolf::N,vuk,vlk
193,Wolf::N,kurjak,vlk
194,Vogel::N,ptica,pták
195,Schwarm::N,roj,roj
196,Schwarm::N,roj,hejno
197,Schwarm::N,jato,roj
198,Schwarm::N,jato,hejno
199,Huhn::N,kokoš,kuře
200,Huhn::N,kokoš,slepice
201,Hahn::N,kokot,kohout
202,Hahn::N,pijevac,kohout
203,Gans::N,guska,husa
204,Adler::N,orao,orel
205,Ente::N,patka,kachna
206,Eule::N,sova,sova
207,Kranich::N,ždral,jeřáb
208,Krähe::N,vrana,vrána
209,Kuckuck::N,kukavica,kukačka
210,Schwan::N,labud,labuť
211,Fisch::N,riba,ryba
212,Barsch::N,grgeč,okoun
213,Hecht::N,štuka,štika
214,Schlange[Tier]::N,guja,had
215,Schlange[Tier]::N,zmija,had
216,Wurm::N,crv,červ
217,Spinne::N,pauk,pavouk
218,Ameise::N,mrav,mravenec
219,Laus::N,uš,veš
220,Mücke::N,komarac,komár
221,Fliege::N,muha,moucha
222,Schmetterling::N,leptir,motýl
223,Beere::N,boba,bobule
224,Beere::N,bobica,bobule
225,Apfel::N,jabuka,jablko
226,Pilz::N,pečurka,houba
227,Zwiebel::N,luk,cibule
228,Zwiebel::N,kapula,cibule
229,Saat::N,sjemenje,osivo
230,Korn::N,zrno,zrno
231,Heu::N,sijeno,seno
232,Schale::N,kora,slupka
233,Schale::N,kora,skořápka
234,Schale::N,ljuska,slupka
235,Schale::N,ljuska,skořápka
