,Concept_ID,hy,pl
0,Auge::N,աչք,oko
1,Ohr::N,ականջ,ucho
2,Nase::N,քիթ,nos
3,Mund::N,բերան,usta
4,Zahn::N,ատամ,ząb
5,Zunge::N,լեզու,język
6,Lippe::N,շրթունք,warga
7,Wange::N,այտ,policzek
8,Wange::N,թուշ,policzek
9,Gesicht::N,դեմք,twarz
10,Stirn::N,ճակատ,czoło
11,Haar::N,մազ,włos
12,Haar::N,մազ,włosy
13,Schnurrbart::N,բեղ,wąsy
14,Bart::N,մորուք,broda
15,Kinn::N,կզակ,podbródek
16,Kiefer[Anatomie]::N,ծնոտ,czeluść
17,Kehle::N,կոկորդ,gardło
18,Hals::N,վիզ,szyja
19,Hals::N,պարանոց,szyja
20,Genick::N,ծոծրակ,kark
21,Kopf::N,գլուխ,głowa
22,Rücken::N,մեջք,plecy
23,Rücken::N,մեջք,grzbiet
24,Bauch::N,փոր,brzuch
25,Bauch::N,որովայն,brzuch
26,Nabel::N,պորտ,pępek
27,Busen::N,ծոց,biust
28,Brust::N,կուրծք,pierś
29,Schulter::N,ուս,bark
30,Schulter::N,ուս,ramię
31,Arm::N,թեւ,ręka
32,Arm::N,թեւ,ramię
33,Arm::N,բազուկ,ręka
34,Arm::N,բազուկ,ramię
35,Ellenbogen::N,արմունկ,łokieć
36,Hand::N,ձեռք,dłoń
37,Handfläche::N,ափ,dłoń
38,Finger::N,մատ,palec
39,Fingernagel::N,եղունգ,paznokieć
40,Nagel[Anatomie]::N,եղունգ,paznokieć
41,Zeh::N,ոտքի մատ,palec
42,Fuß::N,ոտք,stopa
43,Ferse::N,գարշապար,pięta
44,Knie::N,ծունկ,kolano
45,Oberschenkel::N,ազդր,udo
46,Bein::N,ոտք,noga
47,Körper::N,մարմին,ciało
48,Haut::N,մաշկ,skóra
49,Blut::N,արյուն,krew
50,Ader::N,երակ,żyła
51,Sehne::N,ջիղ,ścięgno
52,Sehne::N,ձգտան,ścięgno
53,Knochen::N,ոսկոր,kość
54,Gehirn::N,խելք,mózg
55,Herz::N,սիրտ,serce
56,Magen::N,ստամոքս,żołądek
57,Leber::N,լյարդ,wątroba
58,Atem::N,շունչ,dech
59,Atem::N,շունչ,oddech
60,Hunger::N,քաղց,głód
61,Träne::N,արտասուք,łza
62,Geschmack::N,համ,smak
63,Geschmack::N,բուրմունք,smak
64,Geruch::N,հոտ,woń
65,Geruch::N,հոտ,zapach
66,Geruch::N,բուրում,woń
67,Geruch::N,բուրում,zapach
68,Schlaf::N,քուն,sen
69,Traum::N,երազ,sen
70,Himmel::N,երկինք,niebo
71,Sonne::N,արեւ,słońce
72,Mond::N,լուսին,księżyc
73,Stern::N,աստղ,gwiazda
74,Luft::N,օդ,powietrze
75,Wind::N,քամի,wiatr
76,Welle::N,ալիք,fala
77,Wasser::N,ջուր,woda
78,Stein::N,քար,kamień
79,Boden::N,գետին,grunt
80,Erde::N,հող,ziemia
81,Staub::N,փոշի,pył
82,Staub::N,փոշի,kurz
83,Rauch::N,ծուխ,dym
84,Funke::N,կայծ,iskra
85,Feuer::N,կրակ,ogień
86,Feuer::N,հրդեհ,ogień
87,Licht::N,լույս,światło
88,Schatten::N,ստվեր,cień
89,Wetter::N,եղանակ,pogoda
90,Nebel::N,մեգ,mgła
91,Nebel::N,մառախուղ,mgła
92,Wolke::N,ամպ,obłok
93,Wolke::N,ամպ,chmura
94,Regen::N,անձրև,deszcz
95,Schnee::N,ձյուն,śnieg
96,Eis::N,սառույց,lód
97,Frost::N,սառնամանիք,mróz
98,Kälte::N,դող,chłód
99,Hitze::N,շոգ,gorąco
100,Raureif::N,ցօղեղեամ,szron
101,Regenbogen::N,ծիածան,tęcza
102,Donner::N,որոտ,grzmot
103,Strömung::N,հոսանք,nurt
104,Tropfen::N,կաթիլ,kropla
105,Schaum::N,փրփուր,piana
106,Schmutz::N,կեղտ,brud
107,See::N,լիճ,jezioro
108,Sumpf::N,ճահիճ,bagno
109,Moor::N,ճահիճ,bagno
110,Wiese::N,մարգագետին,łąka
111,Wald::N,անտառ,las
112,Hügel::N,բլուր,pagórek
113,Anhöhe::N,բարձունք,wzgórze
114,Berg::N,լեռ,góra
115,Gipfel::N,գագաթ,szczyt
116,Gipfel::N,գագաթ,wierzchołek
117,Gipfel::N,կատար,szczyt
118,Gipfel::N,կատար,wierzchołek
119,Höhle::N,քարայր,pieczara
120,Abhang::N,լանջ,stok
121,Abhang::N,լանջ,zbocze
122,Abhang::N,զառիվայր,stok
123,Abhang::N,զառիվայր,zbocze
124,Quelle::N,աղբյուր,zdrój
125,Quelle::N,աղբյուր,źródło
126,Bach::N,վտակ,potok
127,Bach::N,վտակ,strumień
128,Fluss::N,գետ,rzeka
129,Ufer::N,ծովափ,brzeg
130,Küste::N,ափ,wybrzeże
131,Küste::N,ծովափ,wybrzeże
132,Festland::N,ցամաք,ląd
133,Meer::N,ծով,morze
134,Bucht::N,հաչիւն,zatoka
135,Insel::N,վղզի,wyspa
136,Blume::N,ծաղիկ,kwiat
137,Gras::N,խոտ,trawa
138,Wurzel::N,արմատ,korzeń
139,Baum::N,ծառ,drzewo
140,Stamm::N,իրան,pień
141,Rinde::N,կեղեւ,kora
142,Rinde::N,հաչոց,kora
143,Ast::N,ճյուղ,gałąź
144,Zweig::N,ճյուղ,gałąź
145,Blatt::N,տերեւ,liść
146,Birke::N,ցարասի,brzoza
147,Kiefer[Baum]::N,սոճի,sosna
148,Weide[Baum]::N,ուռենի,wierzba
149,Tanne::N,եղեւին,jodła
150,Feder::N,փետուր,pióro
151,Fell::N,մորթի,futro
152,Flügel::N,թեւ,skrzydło
153,Klaue::N,չանչ,szpon
154,Kralle::N,ճանկ,pazur
155,Schwanz::N,պոչ,ogon
156,Ei::N,ձու,jajko
157,Nest::N,բույն,gniazdo
158,Bau::N,որջ,nora
159,Bau::N,բայոց,nora
160,Tier::N,կենդանի,zwierzę
161,Herde::N,հոտ,stado
162,Herde::N,հոտ,trzoda
163,Kuh::N,կով,krowa
164,Bulle::N,ցուլ,byk
165,Pferd::N,ձի,koń
166,Schaf::N,ոչխար,owca
167,Schwein::N,խոզ,świnia
168,Hund::N,շուն,pies
169,Katze::N,կատու,kot
170,Katze::N,կատու,kotka
171,Bär::N,արջ,niedźwiedż
172,Eichhörnchen::N,սկյուռ,wiewiórka
173,Elch::N,հիւսիսային եղջերու,łóś
174,Fuchs::N,աղվես,lis
175,Hase::N,նապաստակ,zając
176,Maus::N,մուկ,mysz
177,Wolf::N,գայլ,wilk
178,Vogel::N,թռչուն,ptak
179,Schwarm::N,երամ,stado
180,Huhn::N,հավ,kura
181,Hahn::N,աքաղաղ,kogut
182,Gans::N,սագ,gęś
183,Adler::N,արծիվ,orzeł
184,Ente::N,բադ,kaczka
185,Eule::N,բու,sowa
186,Kranich::N,կռունկ,żuraw
187,Krähe::N,ագռավ,wrona
188,Kuckuck::N,կուկու,kukułka
189,Schwan::N,կարապ,łabędż
190,Fisch::N,ձուկ,ryba
191,Barsch::N,պերկես,okoń
192,Hecht::N,գայլաձուկ,szczupak
193,Schlange[Tier]::N,օձ,wąż
194,Schlange[Tier]::N,օձ,żmija
195,Wurm::N,որդ,robak
196,Wurm::N,ճիճու,robak
197,Spinne::N,սարդ,pająk
198,Ameise::N,միջյուն,mrówka
199,Laus::N,ոջիլ,wesz
200,Mücke::N,մժղուկ,komar
201,Fliege::N,ճանճ,mucha
202,Schmetterling::N,թիթեռ,motyl
203,Beere::N,հատապտուղ,jagoda
204,Apfel::N,խնձոր,jabłko
205,Pilz::N,սունկ,grzyb
206,Zwiebel::N,սոխ,cebula
207,Saat::N,սերմ,siew
208,Korn::N,հատիկ,ziarno
209,Heu::N,խոտ,siano
210,Schale::N,կեղեւ,łupina
211,Grube::N,փոս,dół
212,Grube::N,փոս,jama
213,Falle::N,ծուղակ,pułapka
214,Schlinge::N,խեղդան,sidła
215,Spur::N,հետք,ślad
216,Asche::N,մոխիր,popiół
217,Dreck::N,աղտ,brud
218,Eisen::N,երկաթ,żelazo
219,Gold::N,ոսկի,złoto
220,Silber::N,արծաթ,srebro
221,Kohle::N,քարածուխ,węgiel
222,Glas::N,ապակի,szkło
223,Lehm::N,կավ,glina
224,Sand::N,ավազ,piasek
225,Mensch::N,մարդ,człowiek
226,Mann::N,մարդ,mężczyzna
227,Mann::N,տղամարդ,mężczyzna
228,Frau::N,կին,kobieta
229,Kind::N,զավակ,dziecko
230,Junge::N,տղա,chłopak
231,Junge::N,տղա,chłopiec
232,Mädchen::N,աղջիկ,dziewczynka
233,Familie::N,ընտանիք,rodzina
234,Großvater::N,պապ,dziadek
235,Großmutter::N,տատ,babka
236,Eltern::N,ծնողներ,rodzice
237,Vater::N,հայր,ojciec
238,Mutter::N,մայր,matka
239,Sohn::N,որդի,syn
240,Tochter::N,աղջիկ,córka
241,Tochter::N,դուստր,córka
242,Bruder::N,եղբայր,brat
243,Schwester::N,քույր,siostra
244,Onkel::N,քեռի,wuj
245,Onkel::N,քեռի,stryj
246,Onkel::N,հորեղբայր,wuj
247,Onkel::N,հորեղբայր,stryj
248,Tante::N,մորաքույր,ciotka
249,Ehemann::N,մարդ,mąż
250,Ehemann::N,ամուսին,mąż
251,Ehefrau::N,կին ամուսին,żona
252,Freude::N,ուրախություն,radość
253,Gelächter::N,ծիծաղ,śmiech
254,Glück::N,երջանկություն,szczęście
255,Kummer::N,վիշտ,zmartwienie
256,Wunsch::N,ցանկություն,życzenie
257,Lust::N,փափագ,chęć
258,Lust::N,փափագ,ochota
259,Lust::N,իղձ,chęć
260,Lust::N,իղձ,ochota
261,Geist::N,ոգի,duch
262,Gedanke::N,միտք,myśl
263,Gedächtnis::N,հիշողություն,pamięć
264,Verstand::N,խելք,rozum
265,Sinn::N,իմաստ,zmysł
266,Grund::N,պատճառ,powód
267,Wahrheit::N,ճշմարտություն,prawda
268,Gespräch::N,զրույց,rozmowa
269,Märchen::N,պայիկի պատմություն,bajka
270,Erzählung::N,պատմվածք,opowiadanie
271,Erzählung::N,պատմություն,opowiadanie
272,Nachricht::N,հաղորդագրություն,wiadomość
273,Neuigkeit::N,լուր,nowina
274,Neuigkeit::N,նորություն,nowina
275,Name::N,անուն,imię
276,Rätsel::N,բարդ խնդիր,zagadka
277,Rede::N,ճառ,mowa
278,Rede::N,ելույթ,mowa
279,Sprache::N,լեզու,język
280,Stimme::N,ձայն,głos
281,Wort::N,բառ,słowo
282,Zeichen::N,նշան,znak
283,Ruf::N,կոչ,wołanie
284,Ruf::N,կանչ,wołanie
285,Lärm::N,աղմուկ,hałas
286,Lärm::N,աղմուկ,zgiełk
287,Laut::N,հնչյուն,dźwięk
288,Laut::N,ձայն,dźwięk
289,Ton::N,տոն,ton
290,Ton::N,տոն,dźwięk
291,Lied::N,երգ,pieśń
292,Lied::N,երգ,piosenka
293,Ruhe::N,անդորրություն,spokój
294,Leute::N,մարդիկ,ludzie
295,Volk::N,ազգ,naród
296,Arbeit::N,գործ,praca
297,Arbeit::N,գործ,robota
298,Arbeit::N,աշխատանք,praca
299,Arbeit::N,աշխատանք,robota
300,Gast::N,հյուր,gość
301,Geschenk::N,նվեր,prezent
302,Geschenk::N,նվեր,podarunek
303,Spiel::N,խաղ,gra
304,Spiel::N,խաղ,zabawa
305,Gesellschaft::N,ընկերություն,towarzystwo
306,Hilfe::N,օգնությթուն,pomoc
307,Freund::N,ընկեր,przyjaciel
308,Freund::N,բարեկամ,przyjaciel
309,Kamerad::N,ուղեկից,kolega
310,Angelegenheit::N,բան,sprawa
311,Angelegenheit::N,գործ,sprawa
312,Anzahl::N,քանակ,ilość
313,Anzahl::N,գումար,ilość
314,Art::N,տեսակ,rodzaj
315,Stück::N,կտոր,kawałek
316,Teil::N,մաս,część
317,Hälfte::N,կես,połowa
318,Kreis::N,շիջանակ,krąg
319,Kreuz::N,խաչ,krzyż
320,Linie::N,գիծ,linia
321,Strich::N,գիծ,kreska
322,Abstand::N,անջրպետ,odstęp
323,Entfernung::N,հեռավորություն,odległość
324,Gegend::N,շրջան,okolica
325,Platz::N,տարածություն,miejsce
326,Ort::N,տեղ,miejsce
327,Ort::N,վայր,miejsce
328,Seite::N,կողմ,bok
329,Seite::N,կողմ,strona
330,Mitte::N,մեջտեղ,środek
331,Gegenstand::N,առարկա,przedmiot
332,Sache::N,բան,rzecz
333,Rand::N,վերջք,skraj
334,Rand::N,վերջք,krawędź
335,Kante::N,եզր,kant
336,Kante::N,եզր,krawędź
337,Ecke::N,անկյուն,róg
338,Spitze::N,ծայր,ostrze
339,Ende::N,ծայր,koniec
340,Loch::N,անցք,dziura
341,Winkel::N,անկյուն,kąt
342,Winkel::N,անկյուն,kącik
343,Muster::N,օրինակ,wzór
344,Größe::N,մեծություն,rozmiar
345,Größe::N,մեծություն,wielkość
346,Länge::N,երկարություն,długość
347,Höhe::N,բարձրություն,wysokość
348,Gewicht::N,կշիռ,ciężar
349,Menge::N,քանակ,ilość
350,Haufen::N,դեզ,kupa
351,Haufen::N,կույտ,kupa
352,Reihe::N,շարք,rząd
353,Reihe::N,շարք,szereg
354,Reihe::N,կարգ,rząd
355,Reihe::N,կարգ,szereg
356,Boot::N,նավակ,łódź
357,Boot::N,նավակ,łódka
358,Ruder::N,թի,wiosło
359,Ruder::N,թիակ,wiosło
360,Schlitten::N,բալխիր,sanki
361,Ski::N,դահուկ,narta
362,Lagerfeuer::N,բացօդեայ կրակ,ognisko
