,Concept_ID,cy,ml
0,Auge::N,llygad,കണ്ണ്
1,Ohr::N,clust,ചെവി
2,Nase::N,trwyn,മൂക്ക്
3,Mund::N,ceg,വായ
4,Zahn::N,dant,പല്ല്
5,Zunge::N,tafod,നാക്ക്
6,Lippe::N,gwefus,ചുണ്ട്
7,Wange::N,boch,കവിൾത്തടം
8,Gesicht::N,wyneb,മുഖം
9,Stirn::N,talcen,നെറ്റി
10,Haar::N,blew,തലമുടി
11,Schnurrbart::N,mwstas,മീശ
12,Bart::N,barf,താടിരോമം
13,Kinn::N,gên,താടി
14,Kiefer[Anatomie]::N,gên,താടിയെല്ല്
15,Kehle::N,gwddf,കണ്ഠനാളം
16,Hals::N,gwddf,കഴുത്ത്
17,Genick::N,gwar,പിടലി
18,Genick::N,gwegil,പിടലി
19,Kopf::N,pen,തല
20,Rücken::N,cefn,മുതുക്
21,Bauch::N,bol,നയറ്
22,Nabel::N,bogail,നാഭി
23,Busen::N,bron,സ്തനം
24,Brust::N,brest,സ്തനം
25,Schulter::N,ysgwydd,തോൾ
26,Arm::N,braich,കൈ
27,Ellenbogen::N,penelin,കൈമുട്ട്
28,Hand::N,llaw,കൈ
29,Handfläche::N,palf,ഉള്ളം കൈ
30,Finger::N,bys,വിരൽ
31,Fingernagel::N,ewin,നഖം
32,Nagel[Anatomie]::N,ewin,നഖം
33,Zeh::N,bys troed,കാൽവിരൽ
34,Fuß::N,troed,കാൽപ്പാദം
35,Ferse::N,sawdl,ഉപ്പൂറ്റി
36,Knie::N,glin,കാൽമുട്ട്
37,Oberschenkel::N,clun,തുട
38,Bein::N,coes,കാൽ
39,Körper::N,corff,ശരീരം
40,Haut::N,croen,ചർമ്മം
41,Blut::N,gwaed,രക്തം
42,Ader::N,gwythïen,ഞരമ്പ്
43,Sehne::N,gewyn,സ്നായു
44,Knochen::N,asgwrn,അസ്ഥി
45,Gehirn::N,ymennydd,തലച്ചോറ്
46,Herz::N,calon,ഹൃദയം
47,Magen::N,cylla,വയർ
48,Magen::N,stumog,വയർ
49,Leber::N,iau,കരൾ
50,Atem::N,anadl,ശ്വാസം
51,Hunger::N,newyn,വിശപ്പ്
52,Träne::N,deigryn,കണ്ണീർ
53,Geschmack::N,cyflas,രുചി
54,Geruch::N,aroglau,ഗന്ധം
55,Schlaf::N,cwsg,ഉറകും
56,Traum::N,breuddwyd,സ്വപ്നം
57,Himmel::N,awyr,ആകാശം
58,Sonne::N,haul,സൂര്യൻ
59,Mond::N,lleuad,ചന്ദ്രൻ
60,Stern::N,seren,നക്ഷത്രം
61,Luft::N,awyr,കാറ്റ്
62,Wind::N,gwynt,കാറ്റ്
63,Welle::N,ton,തിരമാല
64,Wasser::N,dŵr,വെള്ളം
65,Stein::N,carreg,ശില
66,Stein::N,carreg,കല്ല്
67,Boden::N,llawr,തറ
68,Boden::N,llawr,നിലം
69,Erde::N,pridd,മണ്ണ്
70,Staub::N,llwch,പൊടി
71,Rauch::N,mwg,പുക
72,Funke::N,gwreichioni,തീപ്പൊരി
73,Feuer::N,tân,തീ
74,Licht::N,golau,വിളക്ക്
75,Licht::N,golau,സൂര്യപ്രകാശം
76,Schatten::N,cysgod,തണൽ
77,Wetter::N,tywydd,കാലാവസ്ഥ
78,Nebel::N,niwl,മൂടൽമഞ്ഞ്
79,Wolke::N,cwmwl,മേഘം
80,Regen::N,glaw,മഴ
81,Schnee::N,ôd,മഞ്ഞ്
82,Schnee::N,eira,മഞ്ഞ്
83,Eis::N,iâ,ഐസ്
84,Frost::N,rhew,മൂടൽമഞ്ഞ്
85,Kälte::N,oerni,തണുപ്പ്
86,Kälte::N,annwyd,തണുപ്പ്
87,Hitze::N,gwres,ചൂട്
88,Raureif::N,barrug,കോടമഞ്ഞ്
89,Regenbogen::N,enfys,മഴവില്ല്
90,Donner::N,tyrfau,ഇടി
91,Strömung::N,cerrynt,പ്രവാഹം
92,Tropfen::N,dafn,തുള്ളി
93,Tropfen::N,diferyn,തുള്ളി
94,Schaum::N,ewyn,നുര
95,Schmutz::N,baw,അഴുക്ക്
96,Schmutz::N,budreddi,അഴുക്ക്
97,See::N,llyn,തടാകം
98,Sumpf::N,cors,ചതുപ്പുനിലം
99,Moor::N,rhos,പാഴ്നിലം
100,Wiese::N,dôl,പുൽത്തകിടി
101,Wald::N,coedwig,വനം
102,Wald::N,coedwig,കാട്
103,Hügel::N,bryn,കുന്ന്
104,Anhöhe::N,bryn,ഉയർന്ന ഭൂമി
105,Berg::N,mynydd,പർവ്വതം
106,Gipfel::N,copa,ഉച്ചകോടി
107,Höhle::N,ogof,ഗുഹ
108,Abhang::N,llethr,ചരിവ്
109,Quelle::N,tarddiad,ഉറവിടം
110,Quelle::N,ffynhonnell,ഉറവിടം
111,Bach::N,nant,അരുവി
112,Bach::N,afonig,അരുവി
113,Bach::N,cornant,അരുവി
114,Fluss::N,afon,നദി
115,Ufer::N,glan,തീരം
116,Küste::N,traeth,കടൽത്തീരം
117,Küste::N,arfordir,കടൽത്തീരം
118,Festland::N,tir,കര
119,Meer::N,môr,കടൽ
120,Bucht::N,bae,ഉൾക്കടല്
121,Insel::N,ynys,ദ്വീപ്
122,Blume::N,blodyn,പൂവ്
123,Gras::N,glaswellt,പുല്ല്
124,Wurzel::N,gwreiddyn,വേര്
125,Baum::N,coeden,മരം
126,Stamm::N,colfen,തായ്ത്തടി
127,Stamm::N,boncyff,തായ്ത്തടി
128,Rinde::N,rhisgl,പട്ട
129,Ast::N,cangen,ശാഖ
130,Zweig::N,cainc,ശാഖ
131,Zweig::N,cangen,ശാഖ
132,Blatt::N,deilen,ഇല
133,Birke::N,bedwen,പൂവരശ്
134,Kiefer[Baum]::N,pinwydden,പൈൻമരം
135,Weide[Baum]::N,helygen,വില്ലോ
136,Tanne::N,ffynidwydden,ദേവദാരു
137,Horn::N,corn,മൃഗത്തിൻറെ കൊമ്പ്
138,Feder::N,plufyn,തൂവൽ
139,Fell::N,ffwr,മൃദുരോമം
140,Flügel::N,adain,ചിറക്
141,Klaue::N,crafanc,നഖം
142,Kralle::N,ewin,നഖം
143,Schwanz::N,cwt,വാൽ
144,Schwanz::N,cynffon,വാൽ
145,Ei::N,wy,മുട്ട
146,Nest::N,nyth,കൂട്
147,Bau::N,ffau,മാളം
148,Tier::N,anifail,മൃഗം
149,Herde::N,praidd,കൂട്ടം
150,Herde::N,diadell,കൂട്ടം
151,Kuh::N,buwch,പശു
152,Bulle::N,tarw,കാള
153,Pferd::N,ceffyl,കുതിര
154,Schaf::N,dafad,ആട്
155,Schwein::N,mochyn,പന്നി
156,Hund::N,ci,നായ്
157,Katze::N,cath,പൂച്ച
158,Bär::N,arth,കരടി
159,Eichhörnchen::N,gwiwer,അണ്ണാൻ
160,Elch::N,elc,കടമാന്
161,Fuchs::N,cadno,കുറുക്കൻ
162,Hase::N,ysgyfarnog,മുയൽ
163,Maus::N,llygoden,ചുണ്ടലി
164,Wolf::N,blaidd,ചെന്നായ
165,Vogel::N,aderyn,പക്ഷി
166,Schwarm::N,haid,കൂട്ടം
167,Huhn::N,cyw,കോഴി
168,Hahn::N,ceiliog,പൂവൻകോഴി
169,Gans::N,gŵydd,അരയന്നം
170,Adler::N,eryr,കഴുകൻ
171,Ente::N,hwyad,താറാവ്
172,Eule::N,tylluan,മൂങ്ങ
173,Kranich::N,garan,കൊക്ക്
174,Kranich::N,crychydd,കൊക്ക്
