,Concept_ID,hu,be
0,Auge::N,szem,вока
1,Ohr::N,fül,вуха
2,Nase::N,orr,нос
3,Mund::N,száj,рот
4,Zahn::N,fog,зуб
5,Zunge::N,nyelv,язык
6,Lippe::N,ajak,губа
7,Wange::N,orca,шчака
8,Gesicht::N,arc,твар
9,Stirn::N,homlok,лоб
10,Haar::N,haj,волас
11,Haar::N,haj,валасы
12,Schnurrbart::N,bajusz,вус
13,Schnurrbart::N,bajusz,вусы
14,Bart::N,szakáll,барада
15,Kinn::N,áll,падбародак
16,Kiefer[Anatomie]::N,állkapocs,сківіца
17,Kehle::N,gége,горла
18,Kehle::N,torok,горла
19,Hals::N,nyak,шыя
20,Genick::N,tarkó,патыліца
21,Kopf::N,fő,галава
22,Kopf::N,fej,галава
23,Rücken::N,hát,спіна
24,Bauch::N,has,жывот
25,Nabel::N,köldök,пупок
26,Busen::N,mell,грудзі
27,Busen::N,kebel,грудзі
28,Brust::N,mell,грудзі
29,Schulter::N,váll,плячо
30,Arm::N,kar,рука
31,Ellenbogen::N,könyök,локаць
32,Hand::N,kéz,кісць
33,Handfläche::N,tenyér,далонь
34,Finger::N,ujj,палец
35,Fingernagel::N,köröm,ногаць
36,Nagel[Anatomie]::N,köröm,ногаць
37,Zeh::N,lábujj,палец
38,Fuß::N,láb,нага
39,Ferse::N,sarok,пята
40,Ferse::N,sarok,пятка
41,Knie::N,térd,калена
42,Oberschenkel::N,comb,бядро
43,Oberschenkel::N,comb,сцягно
44,Bein::N,láb,нага
45,Bein::N,lábszár,нага
46,Körper::N,test,цела
47,Haut::N,bőr,скура
48,Blut::N,vér,кроў
49,Ader::N,ér,вена
50,Ader::N,ér,сасуд
51,Sehne::N,ín,жыла
52,Sehne::N,ín,цеціва
53,Sehne::N,ín,сухажылле
54,Knochen::N,csont,косць
55,Gehirn::N,agy,мозг
56,Gehirn::N,agyvelő,мозг
57,Herz::N,szív,сэрца
58,Magen::N,gyomor,страўнік
59,Leber::N,máj,печань
60,Atem::N,lehelet,дыханне
61,Atem::N,lélegzet,дыханне
62,Hunger::N,éhség,голад
63,Träne::N,könny,сляза
64,Geschmack::N,íz,смак
65,Geruch::N,szag,пах
66,Schlaf::N,álom,сон
67,Schlaf::N,alvás,сон
68,Traum::N,álom,сон
69,Himmel::N,ég,неба
70,Himmel::N,menny,неба
71,Sonne::N,nap,сонца
72,Mond::N,hold,месяц
73,Stern::N,csillag,зорка
74,Luft::N,levegő,паветра
75,Wind::N,szél,вецер
76,Welle::N,hullám,хваля
77,Wasser::N,víz,вада
78,Stein::N,kő,камень
79,Boden::N,föld,глеба
80,Boden::N,talaj,глеба
81,Erde::N,föld,зямля
82,Staub::N,por,пыл
83,Rauch::N,füst,дым
84,Funke::N,szikra,іскра
85,Feuer::N,tűz,агонь
86,Licht::N,fény,святло
87,Schatten::N,árnyék,цень
88,Wetter::N,idő,пагода
89,Wetter::N,idő,надворʼе
90,Wetter::N,időjárás,пагода
91,Wetter::N,időjárás,надворʼе
92,Nebel::N,köd,туман
93,Wolke::N,felhő,воблака
94,Regen::N,eső,дождж
95,Schnee::N,hó,снег
96,Eis::N,jég,лёд
97,Frost::N,fagy,мароз
98,Kälte::N,hideg,холад
99,Hitze::N,hő,спёка
