,Concept_ID,fi,tt
0,Auge::N,silmä,күз
1,Ohr::N,korva,колак
2,Nase::N,nenä,борын
3,Mund::N,suu,авыз
4,Mund::N,suu,тамак
5,Zahn::N,hammas,теш
6,Zunge::N,kieli,тел
7,Lippe::N,huuli,ирен
8,Wange::N,poski,яңак
9,Gesicht::N,naama,йөз
10,Gesicht::N,kasvot,йөз
11,Stirn::N,otsa,маңгай
12,Haar::N,hius,чәч
13,Haar::N,tukka,чәч
14,Schnurrbart::N,viikset,мыек
15,Bart::N,parta,сакал
16,Kinn::N,leuka,ияк
17,Kiefer[Anatomie]::N,leukaluu,казналык
18,Kehle::N,kurkku,тамак
19,Hals::N,kaula,бугаз
20,Genick::N,niska,җилкә
21,Kopf::N,pää,баш
22,Rücken::N,selkä,сырт
23,Bauch::N,maha,корсак
24,Bauch::N,vatsa,корсак
25,Nabel::N,napa,кендек
26,Busen::N,rinta,түш
27,Brust::N,rinta,имчәк
28,Brust::N,rinta,күкрәк
29,Schulter::N,olka,иңбаш
30,Schulter::N,olka,кулбаш
31,Schulter::N,hartia,иңбаш
32,Schulter::N,hartia,кулбаш
33,Schulter::N,olkapää,иңбаш
34,Schulter::N,olkapää,кулбаш
35,Arm::N,käsivarsi,кул
36,Ellenbogen::N,kyynärpää,терсәк
37,Hand::N,käsi,кул
38,Handfläche::N,kämmen,уч
39,Finger::N,sormi,бармак
40,Fingernagel::N,kynsi,тырнак
41,Nagel[Anatomie]::N,kynsi,тырнак
42,Zeh::N,varvas,бармак
43,Fuß::N,jalka,табан
44,Ferse::N,kantapää,үкчә
45,Knie::N,polvi,тез
46,Oberschenkel::N,reisi,бот
47,Bein::N,jalka,аяк
48,Körper::N,keho,тән
49,Körper::N,keho,җисем
50,Körper::N,ruumis,тән
51,Körper::N,ruumis,җисем
52,Haut::N,iho,тире
53,Blut::N,veri,кан
54,Ader::N,suoni,тамыр
55,Sehne::N,jänne,сеңер
56,Knochen::N,luu,сөяк
57,Gehirn::N,aivot,ми
58,Herz::N,sydän,йөрәк
59,Magen::N,maha,ашказаны
60,Magen::N,vatsa,ашказаны
61,Leber::N,maksa,бавыр
62,Atem::N,henki,сулыш
63,Atem::N,hengitys,сулыш
64,Hunger::N,nälkä,ачлык
65,Träne::N,kyynel,яшь
66,Geschmack::N,maku,тәм
67,Geschmack::N,maku,зәвык
68,Geruch::N,haju,ис
69,Schlaf::N,uni,йокы
70,Traum::N,uni,төш
71,Himmel::N,taivas,күк
72,Sonne::N,aurinko,кояш
73,Mond::N,kuu,ай
74,Stern::N,tähti,йолдыз
75,Luft::N,ilma,һава
76,Wind::N,tuuli,җил
77,Welle::N,aalto,дулкын
78,Wasser::N,vesi,су
79,Stein::N,kivi,таш
80,Boden::N,maa,туфрак
81,Boden::N,maaperä,туфрак
82,Erde::N,maa,җир
83,Staub::N,pöly,тузан
84,Rauch::N,savu,төтен
85,Funke::N,kipinä,очкын
86,Feuer::N,tuli,ут
87,Licht::N,valo,якты
88,Schatten::N,varjo,күләгә
89,Wetter::N,sää,һава
90,Nebel::N,sumu,томан
91,Wolke::N,pilvi,болыт
92,Regen::N,sade,яңгыр
93,Schnee::N,lumi,кар
94,Eis::N,jää,боз
95,Frost::N,halla,суык
96,Frost::N,halla,салкын
97,Frost::N,pakkanen,суык
98,Frost::N,pakkanen,салкын
99,Kälte::N,vilu,суык
100,Kälte::N,vilu,салкын
101,Kälte::N,kylmyys,суык
102,Kälte::N,kylmyys,салкын
103,Hitze::N,helle,эсселек
104,Hitze::N,kuumuus,эсселек
105,Raureif::N,huurre,бәс
106,Raureif::N,huurre,сыкы
107,Regenbogen::N,sateenkaari,салават күпере
108,Donner::N,jyrinä,күкрәү
109,Strömung::N,virtaus,агыш'агым
110,Tropfen::N,tippa,тамчы
111,Tropfen::N,pisara,тамчы
112,Schaum::N,vaahto,күбек
113,Schmutz::N,loka,пычрак
114,See::N,järvi,күл
115,Sumpf::N,suo,саз
116,Moor::N,räme,торфлык
117,Wiese::N,niitty,болын
118,Wald::N,metsä,урман
119,Hügel::N,mäki,калку
120,Hügel::N,kumpu,калку
121,Hügel::N,kukkula,калку
122,Anhöhe::N,mäki,үр
123,Anhöhe::N,kumpare,үр
124,Berg::N,mäki,тау
125,Berg::N,vuori,тау
126,Gipfel::N,laki,оч
127,Gipfel::N,huippu,оч
128,Höhle::N,luola,мәгарә
129,Abhang::N,rinne,кабырга
130,Quelle::N,lähde,чишмә
131,Bach::N,puro,елга
132,Fluss::N,joki,дәрья
133,Ufer::N,ranta,су кырые
134,Küste::N,rannikko,яр буе
135,Festland::N,manner,коры җир
136,Meer::N,meri,диңгез
137,Bucht::N,lahti,бухта
138,Bucht::N,lahti,култык
139,Insel::N,saari,атау
140,Insel::N,saari,утрау
141,Blume::N,kukka,чәчкә
142,Gras::N,ruoho,үлән
143,Wurzel::N,juuri,тамыр
144,Baum::N,puu,агач
145,Stamm::N,runko,кәүсә
