,Concept_ID,cv,ml
0,Auge::N,куҫ,കണ്ണ്
1,Ohr::N,хӑлха,ചെവി
2,Nase::N,сӑмса,മൂക്ക്
3,Mund::N,ҫӑвар,വായ
4,Zahn::N,шӑл,പല്ല്
5,Zunge::N,чӗлхе,നാക്ക്
6,Lippe::N,тута,ചുണ്ട്
7,Wange::N,пит ҫӑмарти,കവിൾത്തടം
8,Gesicht::N,пит,മുഖം
9,Gesicht::N,пит-куҫ,മുഖം
10,Stirn::N,ҫамка,നെറ്റി
11,Haar::N,ҫӳҫ,തലമുടി
12,Schnurrbart::N,усси,മീശ
13,Bart::N,сухал,താടിരോമം
14,Kinn::N,янах,താടി
15,Kiefer[Anatomie]::N,янах,താടിയെല്ല്
16,Kehle::N,пыр,കണ്ഠനാളം
17,Kehle::N,карланкӑ,കണ്ഠനാളം
18,Hals::N,пыр,കഴുത്ത്
19,Genick::N,ӗнсе,പിടലി
20,Kopf::N,пуҫ,തല
21,Rücken::N,ҫурӑм,മുതുക്
22,Nabel::N,кӑвапа,നാഭി
23,Busen::N,кӑкӑр,സ്തനം
24,Brust::N,умӗ,സ്തനം
25,Schulter::N,хул пуҫҫи,തോൾ
26,Arm::N,алӑ,കൈ
27,Ellenbogen::N,чавса,കൈമുട്ട്
28,Hand::N,алӑ сыппи,കൈ
29,Handfläche::N,ал лаппи,ഉള്ളം കൈ
30,Finger::N,пӳрне,വിരൽ
31,Fingernagel::N,чӗрне,നഖം
32,Nagel[Anatomie]::N,чӗрне,നഖം
33,Zeh::N,пӳрне,കാൽവിരൽ
34,Fuß::N,ура лаппи,കാൽപ്പാദം
35,Ferse::N,кӗле,ഉപ്പൂറ്റി
36,Knie::N,чӗркуҫҫи,കാൽമുട്ട്
37,Oberschenkel::N,пӗҫӗ,തുട
38,Bein::N,ура,കാൽ
39,Körper::N,ӳт,ശരീരം
40,Körper::N,ӳт-пӳ,ശരീരം
41,Haut::N,тир,ചർമ്മം
42,Blut::N,юн,രക്തം
43,Ader::N,вена,ഞരമ്പ്
44,Sehne::N,шӑнӑр,സ്നായു
45,Knochen::N,шӑмӑ,അസ്ഥി
46,Gehirn::N,миме,തലച്ചോറ്
47,Herz::N,чӗре,ഹൃദയം
48,Magen::N,хырӑмлӑх,വയർ
49,Leber::N,пӗвер,കരൾ
50,Atem::N,сывлав,ശ്വാസം
51,Hunger::N,выҫлӑх,വിശപ്പ്
52,Träne::N,куҫҫуль,കണ്ണീർ
53,Geschmack::N,техӗм,രുചി
54,Geruch::N,шӑршӑ,ഗന്ധം
55,Schlaf::N,ыйхӑ,ഉറകും
56,Traum::N,тӗлӗк,സ്വപ്നം
57,Himmel::N,пӗлӗт,ആകാശം
58,Sonne::N,хӗвел,സൂര്യൻ
59,Mond::N,уйӑх,ചന്ദ്രൻ
60,Stern::N,ҫӑлтӑр,നക്ഷത്രം
61,Luft::N,сывлӑш,കാറ്റ്
62,Wind::N,ҫил,കാറ്റ്
63,Welle::N,хум,തിരമാല
64,Wasser::N,шыв,വെള്ളം
65,Wasser::N,шыв-шур,വെള്ളം
66,Stein::N,чул,ശില
67,Stein::N,чул,കല്ല്
68,Boden::N,тӑпра,തറ
69,Boden::N,тӑпра,നിലം
70,Erde::N,ҫӗр,മണ്ണ്
71,Staub::N,тусан,പൊടി
72,Rauch::N,тӗтӗм,പുക
73,Funke::N,хӗм,തീപ്പൊരി
