,Concept_ID,cy,myv
0,Auge::N,llygad,сельме
1,Ohr::N,clust,пиле
2,Nase::N,trwyn,судо
3,Mund::N,ceg,курго
4,Zahn::N,dant,пей
5,Zunge::N,tafod,кель
6,Lippe::N,gwefus,турва
7,Wange::N,boch,чамабока
8,Wange::N,boch,чамаумарь
9,Gesicht::N,wyneb,чама
10,Stirn::N,talcen,коня
11,Haar::N,blew,черь
12,Schnurrbart::N,mwstas,ус
13,Schnurrbart::N,mwstas,муюк
14,Bart::N,barf,сакал
15,Kinn::N,gên,уло
16,Kiefer[Anatomie]::N,gên,пейпакар
17,Kiefer[Anatomie]::N,gên,пейловажа
18,Kehle::N,gwddf,кирьгапарь
19,Hals::N,gwddf,кирьга
20,Genick::N,gwar,човонь
21,Genick::N,gwegil,човонь
22,Kopf::N,pen,пря
23,Rücken::N,cefn,копорь
24,Bauch::N,bol,пеке
25,Nabel::N,bogail,почо
26,Busen::N,bron,поте
27,Brust::N,brest,меште
28,Schulter::N,ysgwydd,лавтов
29,Arm::N,braich,кедь
30,Ellenbogen::N,penelin,кенерепакарь
31,Hand::N,llaw,кедь
32,Handfläche::N,palf,кедькуншка
33,Handfläche::N,palf,кедьлапушка
34,Finger::N,bys,сур
35,Fingernagel::N,ewin,кенже
36,Nagel[Anatomie]::N,ewin,кенже
37,Zeh::N,bys troed,пильге сур
38,Fuß::N,troed,пильге
39,Ferse::N,sawdl,кочкаря
40,Knie::N,glin,эле
41,Knie::N,glin,эзне
42,Knie::N,glin,кумажа
43,Oberschenkel::N,clun,качо
44,Bein::N,coes,пильге
45,Körper::N,corff,рунго
46,Haut::N,croen,киське
47,Blut::N,gwaed,верь
48,Ader::N,gwythïen,сан
49,Sehne::N,gewyn,коське сан
50,Knochen::N,asgwrn,пакарь
51,Gehirn::N,ymennydd,удем
52,Herz::N,calon,седей
53,Magen::N,cylla,пеке
54,Magen::N,stumog,пеке
55,Leber::N,iau,максо
56,Atem::N,anadl,лексема
57,Atem::N,anadl,оймень таргсема
58,Hunger::N,newyn,вачочи
59,Träne::N,deigryn,селведь
60,Geschmack::N,cyflas,тансть
61,Geruch::N,aroglau,чине
62,Schlaf::N,cwsg,удома
63,Traum::N,breuddwyd,он
64,Himmel::N,awyr,менель
65,Sonne::N,haul,чи
66,Mond::N,lleuad,ков
67,Stern::N,seren,теште
68,Luft::N,awyr,кошт
69,Wind::N,gwynt,варма
70,Welle::N,ton,толкун
71,Wasser::N,dŵr,ведь
72,Stein::N,carreg,кев
73,Boden::N,llawr,мода
74,Erde::N,pridd,мастор
75,Staub::N,llwch,пуль
76,Rauch::N,mwg,качамо
77,Funke::N,gwreichioni,сятко
78,Feuer::N,tân,тол
79,Licht::N,golau,валдо
80,Schatten::N,cysgod,сулей
81,Schatten::N,cysgod,сулейкс
82,Wetter::N,tywydd,ушо
83,Nebel::N,niwl,сув
84,Wolke::N,cwmwl,пель
85,Regen::N,glaw,пиземс
86,Schnee::N,ôd,лов
87,Schnee::N,eira,лов
88,Eis::N,iâ,эй
89,Frost::N,rhew,кельме
90,Kälte::N,oerni,якшамо
91,Kälte::N,annwyd,якшамо
92,Hitze::N,gwres,пси
93,Raureif::N,barrug,лекш
94,Regenbogen::N,enfys,пурьгинечирьке
95,Regenbogen::N,enfys,пурьгинеёнкс
96,Donner::N,tyrfau,пурьгине
97,Strömung::N,cerrynt,чудема
98,Strömung::N,cerrynt,чудевкс
99,Tropfen::N,dafn,петнявкс
100,Tropfen::N,diferyn,петнявкс
101,Schaum::N,ewyn,чов
102,Schmutz::N,baw,рудаз
103,Schmutz::N,budreddi,рудаз
104,See::N,llyn,эрьке
105,Sumpf::N,cors,чей
106,Moor::N,rhos,чей
107,Wiese::N,dôl,луга
108,Wald::N,coedwig,вирь
109,Hügel::N,bryn,губорь
110,Hügel::N,bryn,пандыне
111,Anhöhe::N,bryn,губорь
112,Anhöhe::N,bryn,пандыне
113,Berg::N,mynydd,пандо
114,Gipfel::N,copa,пря
115,Höhle::N,ogof,пещера
116,Abhang::N,llethr,пандочама
117,Quelle::N,tarddiad,ушодкс
118,Quelle::N,ffynhonnell,ушодкс
119,Bach::N,nant,чудикерькс
120,Bach::N,afonig,чудикерькс
121,Bach::N,cornant,чудикерькс
122,Fluss::N,afon,лей
123,Ufer::N,glan,чире
124,Küste::N,traeth,лейчире
125,Küste::N,arfordir,лейчире
126,Festland::N,tir,мода
127,Meer::N,môr,моря
128,Bucht::N,bae,усия
129,Insel::N,ynys,усия
130,Blume::N,blodyn,цеця
131,Gras::N,glaswellt,тикше
132,Wurzel::N,gwreiddyn,юр
133,Wurzel::N,gwreiddyn,ундокс
134,Baum::N,coeden,чувто
135,Stamm::N,colfen,рунго
136,Stamm::N,boncyff,рунго
137,Rinde::N,rhisgl,суд
138,Rinde::N,rhisgl,керь
139,Ast::N,cangen,морго
140,Zweig::N,cainc,тарад
141,Zweig::N,cangen,тарад
142,Blatt::N,deilen,лопа
143,Birke::N,bedwen,килей
144,Kiefer[Baum]::N,pinwydden,пиче
145,Weide[Baum]::N,helygen,каль
146,Tanne::N,ffynidwydden,куз
147,Horn::N,corn,сюро
148,Feder::N,plufyn,толга
149,Fell::N,ffwr,пона
150,Flügel::N,adain,сёлмо
151,Klaue::N,crafanc,кенже
152,Kralle::N,ewin,кенже
153,Schwanz::N,cwt,пуло
154,Schwanz::N,cynffon,пуло
155,Ei::N,wy,ал
156,Nest::N,nyth,пизэ
157,Bau::N,ffau,варя
158,Bau::N,ffau,пизе
159,Tier::N,anifail,ракша
160,Herde::N,praidd,стада
161,Herde::N,diadell,стада
162,Kuh::N,buwch,скал
163,Bulle::N,tarw,бука
164,Pferd::N,ceffyl,лишме
165,Schaf::N,dafad,реве
166,Schwein::N,mochyn,туво
167,Hund::N,ci,пине
168,Hund::N,ci,киска
169,Katze::N,cath,псака
170,Bär::N,arth,овто
171,Eichhörnchen::N,gwiwer,ур
172,Elch::N,elc,сярдо
173,Fuchs::N,cadno,ривезь
174,Hase::N,ysgyfarnog,нумоло
175,Maus::N,llygoden,чеерь
176,Wolf::N,blaidd,верьгиз
177,Vogel::N,aderyn,нармунь
178,Schwarm::N,haid,полк
179,Schwarm::N,haid,стада
180,Huhn::N,cyw,сараз
181,Hahn::N,ceiliog,атякш
182,Gans::N,gŵydd,гала
183,Gans::N,gŵydd,мацей
184,Adler::N,eryr,куцькан
185,Adler::N,eryr,тумоатякш
186,Ente::N,hwyad,яксярго
187,Eule::N,tylluan,корж
188,Kranich::N,garan,карго
189,Kranich::N,crychydd,карго
190,Krähe::N,brân,варака
191,Kuckuck::N,cog,куко
192,Kuckuck::N,cwcw,куко
193,Schwan::N,alarch,локсей
194,Fisch::N,pysgod,кал
195,Barsch::N,draenog,окунь
196,Hecht::N,penhwyad,щука
197,Schlange[Tier]::N,neidr,гуй
198,Wurm::N,abwydyn,сукс
199,Wurm::N,pryf genwair,сукс
200,Spinne::N,cor,шанжав
201,Spinne::N,pryf copyn,шанжав
202,Ameise::N,morgrugyn,коткудав
203,Laus::N,lleuen,сий
204,Mücke::N,gwybedyn,сеське
205,Fliege::N,cleren,карво
206,Schmetterling::N,glöyn byw,нимиляв
207,Schmetterling::N,iâr fach yr haf,нимиляв
208,Beere::N,aeronen,умарь
209,Apfel::N,afal,умарь
210,Pilz::N,madarch,панго
211,Zwiebel::N,nionyn,чурька
212,Zwiebel::N,winwnsyn,чурька
213,Saat::N,had,видьметь
214,Korn::N,grawn,сюро
215,Heu::N,gwair,тикше
216,Schale::N,croen,кедь
217,Schale::N,croen,ваткавкс
218,Schale::N,plisgyn,кедь
219,Schale::N,plisgyn,ваткавкс
220,Grube::N,pwll,латко
221,Grube::N,pydew,латко
222,Falle::N,magl,тувор
223,Falle::N,magl,кундамка
224,Schlinge::N,cwlwm rhedeg,килькш
225,Spur::N,ôl,челькс
226,Spur::N,ôl,пильгеки
227,Asche::N,lludw,кулов
228,Dreck::N,baw,рудаз
229,Dreck::N,budreddi,рудаз
230,Eisen::N,haearn,кшни
231,Gold::N,aur,сырне
232,Silber::N,arian,сия
233,Kohle::N,glo,сэдь
234,Kohle::N,glo,уголия
235,Glas::N,gwydr,сулика
236,Lehm::N,clai,сёвонь
237,Sand::N,tywod,човар
238,Mensch::N,dyn,ломань
239,Mann::N,dyn,аля
240,Mann::N,dyn,цёраломань
241,Frau::N,merch,ава
242,Frau::N,gwraig,ава
243,Kind::N,plentyn,эйкакш
244,Junge::N,hogyn,цёрыне
245,Junge::N,bachgen,цёрыне
246,Mädchen::N,merch,тейтерне
247,Mädchen::N,geneth,тейтерне
248,Familie::N,teulu,семия
249,Familie::N,tylwyth,семия
250,Großvater::N,taid,покштя
251,Großvater::N,tad-cu,покштя
252,Großmutter::N,nain,баба
253,Großmutter::N,mam-gu,баба
254,Eltern::N,rhieni,тетят-ават
255,Vater::N,tad,тетя
256,Mutter::N,mam,ава
257,Sohn::N,mab,цёра
258,Tochter::N,merch,тейтерь
259,Bruder::N,brawd,леля
260,Bruder::N,brawd,ялакс
261,Schwester::N,chwaer,сазор
262,Onkel::N,ewythr,леля
263,Tante::N,modryb,патя
264,Ehemann::N,gŵr,мирде
265,Ehefrau::N,gwraig,ни
266,Freude::N,gorfoledd,кеняркс
267,Gelächter::N,chwerthin,ракамо
268,Gelächter::N,chwerthin,пейдема
269,Glück::N,hapusrwydd,уцяска
270,Kummer::N,galar,рискс
271,Kummer::N,galar,мелявкс
272,Wunsch::N,dymuniad,мель
273,Wunsch::N,dymuniad,бажамо
274,Lust::N,chwant,бажамо
275,Geist::N,ysbryd,ойме
276,Gedanke::N,meddwl,мель
277,Gedächtnis::N,cof,мель
278,Verstand::N,meddwl,прев
279,Sinn::N,ystyr,толк
280,Sinn::N,ystyr,смысла
281,Grund::N,achos,тувтал
282,Grund::N,rheswm,тувтал
283,Wahrheit::N,gwir,видечи
284,Wahrheit::N,gwirionedd,видечи
285,Gespräch::N,sgwrs,кортнема
286,Märchen::N,chwedl werin,ёвкс
287,Erzählung::N,stori,ёвтнема
288,Nachricht::N,neges,куля
289,Neuigkeit::N,newydd,куля
290,Name::N,enw,лем
291,Rätsel::N,pos,содамоёвкс
292,Rede::N,araith,кортамо
293,Sprache::N,iaith,кель
294,Stimme::N,llais,ваигель
295,Wort::N,gair,вал
296,Zeichen::N,arwydd,теште
297,Ruf::N,galwad,тердема
298,Lärm::N,trwst,шалнома
299,Laut::N,sain,вайгель
300,Ton::N,tôn,гайнема
301,Lied::N,cân,моро
302,Ruhe::N,tawelwch,оймамо
303,Leute::N,pobl,ломанть
304,Volk::N,pobl,народ
305,Arbeit::N,gwaith,тев
306,Gast::N,gwestai,инже
307,Geschenk::N,rhodd,казне
308,Geschenk::N,anrheg,казне
309,Spiel::N,chwarae,налксема
310,Gesellschaft::N,cwmni,община
311,Hilfe::N,cymorth,лездамо
312,Freund::N,cyfaill,оя
313,Freund::N,cyfaill,ялга
314,Kamerad::N,cydymaith,оя
315,Kamerad::N,cydymaith,ялга
316,Angelegenheit::N,pwnc,тев
317,Anzahl::N,cyfrif,ламоксчи
318,Art::N,bath,вид
319,Stück::N,darn,пакш
320,Stück::N,darn,пелькс
321,Teil::N,rhan,часть
322,Teil::N,rhan,пелькс
