,Concept_ID,es,hu
0,Auge::N,ojo,szem
1,Ohr::N,oreja,fül
2,Nase::N,nariz,orr
3,Mund::N,boca,száj
4,Zahn::N,diente,fog
5,Zunge::N,lengua,nyelv
6,Lippe::N,labio,ajak
7,Wange::N,mejilla,orca
8,Gesicht::N,cara,arc
9,Stirn::N,frente,homlok
10,Haar::N,cabello,haj
11,Schnurrbart::N,bigote,bajusz
12,Bart::N,barba,szakáll
13,Kinn::N,barbilla,áll
14,Kiefer[Anatomie]::N,mandíbula,állkapocs
15,Kehle::N,garganta,gége
16,Kehle::N,garganta,torok
17,Hals::N,cuello,nyak
18,Genick::N,nuca,tarkó
19,Genick::N,cerviz,tarkó
20,Kopf::N,cabeza,fő
21,Kopf::N,cabeza,fej
22,Rücken::N,espalda,hát
23,Bauch::N,vientre,has
24,Nabel::N,ombligo,köldök
25,Busen::N,pecho,mell
26,Busen::N,pecho,kebel
27,Brust::N,pecho,mell
28,Schulter::N,hombro,váll
29,Arm::N,brazo,kar
30,Ellenbogen::N,codo,könyök
31,Hand::N,mano,kéz
32,Handfläche::N,palma,tenyér
33,Finger::N,dedo,ujj
34,Fingernagel::N,uña,köröm
35,Nagel[Anatomie]::N,uña,köröm
36,Zeh::N,dedo del pie,lábujj
37,Fuß::N,pie,láb
38,Ferse::N,talón,sarok
39,Knie::N,rodilla,térd
40,Oberschenkel::N,muslo,comb
41,Bein::N,pierna,láb
42,Bein::N,pierna,lábszár
43,Körper::N,cuerpo,test
44,Haut::N,piel,bőr
45,Blut::N,sangre,vér
46,Ader::N,vena,ér
47,Sehne::N,tendón,ín
48,Knochen::N,hueso,csont
49,Gehirn::N,cerebro,agy
50,Gehirn::N,cerebro,agyvelő
51,Gehirn::N,encéfalo,agy
52,Gehirn::N,encéfalo,agyvelő
53,Herz::N,corazón,szív
54,Magen::N,estómago,gyomor
55,Leber::N,hígado,máj
56,Atem::N,aliento,lehelet
57,Atem::N,aliento,lélegzet
58,Hunger::N,hambre,éhség
59,Träne::N,lágrima,könny
60,Geschmack::N,gusto,íz
61,Geruch::N,olor,szag
62,Schlaf::N,sueño,álom
63,Schlaf::N,sueño,alvás
64,Traum::N,sueño,álom
65,Traum::N,ensueño,álom
66,Himmel::N,cielo,ég
67,Himmel::N,cielo,menny
68,Sonne::N,sol,nap
69,Mond::N,luna,hold
70,Stern::N,estrella,csillag
71,Luft::N,aire,levegő
72,Wind::N,viento,szél
73,Welle::N,ola,hullám
74,Welle::N,onda,hullám
75,Wasser::N,agua,víz
76,Stein::N,piedra,kő
77,Boden::N,suelo,föld
78,Boden::N,suelo,talaj
79,Erde::N,tierra,föld
80,Staub::N,polvo,por
81,Rauch::N,humo,füst
82,Funke::N,chispa,szikra
83,Feuer::N,fuego,tűz
84,Licht::N,luz,fény
85,Schatten::N,sombra,árnyék
86,Wetter::N,tiempo,idő
87,Wetter::N,tiempo,időjárás
88,Nebel::N,niebla,köd
89,Wolke::N,nube,felhő
90,Regen::N,lluvia,eső
91,Schnee::N,nieve,hó
92,Eis::N,hielo,jég
93,Frost::N,helada,fagy
94,Kälte::N,frío,hideg
95,Hitze::N,calor,hő
96,Hitze::N,calor,hőség
97,Raureif::N,escarcha,zúzmara
98,Regenbogen::N,arco iris,szivárvány
99,Donner::N,trueno,dörgés
100,Donner::N,trueno,mennydörgés
101,Strömung::N,corriente,áramlat
102,Tropfen::N,gota,csepp
103,Schaum::N,espuma,hab
104,Schaum::N,espuma,tajték
105,Schmutz::N,suciedad,piszok
106,See::N,lago,tó
107,Sumpf::N,pantano,mocsár
108,Moor::N,turbera,láp
109,Wiese::N,prado,rét
110,Wiese::N,prado,mező
111,Wiese::N,pradera,rét
112,Wiese::N,pradera,mező
113,Wald::N,bosque,erdő
114,Hügel::N,colina,domb
115,Anhöhe::N,cerro,magaslat
116,Berg::N,monte,hegy
117,Berg::N,montaña,hegy
118,Gipfel::N,cima,csúcs
119,Gipfel::N,cumbre,csúcs
120,Höhle::N,cueva,barlang
121,Höhle::N,caverna,barlang
122,Abhang::N,cuesta,lejtő
123,Abhang::N,declive,lejtő
124,Quelle::N,fuente,forrás
125,Quelle::N,manantial,forrás
126,Bach::N,arroyo,patak
127,Fluss::N,río,folyó
128,Ufer::N,orilla,part
129,Küste::N,costa,tengerpart
130,Festland::N,tierra firme,szárazföld
131,Meer::N,mar,tenger
132,Bucht::N,cala,öböl
133,Bucht::N,bahía,öböl
134,Insel::N,isla,sziget
135,Blume::N,flor,virág
136,Gras::N,hierba,fű
137,Wurzel::N,raíz,gyökér
138,Baum::N,árbol,fa
139,Stamm::N,tronco,tő
140,Stamm::N,tronco,törzs
141,Rinde::N,corteza,kéreg
142,Ast::N,rama,ág
143,Zweig::N,ramo,gally
144,Blatt::N,hoja,levél
145,Birke::N,abedul,nyír
146,Kiefer[Baum]::N,pino,fenyő
147,Weide[Baum]::N,sauce,fűz
148,Tanne::N,abeto,fenyő
149,Horn::N,asta,szarv
150,Horn::N,cuerno,szarv
151,Feder::N,pluma,toll
152,Fell::N,piel,szőr
153,Fell::N,piel,bunda
154,Flügel::N,ala,szárny
155,Klaue::N,garra,köröm
156,Kralle::N,uña,karom
157,Kralle::N,garra,karom
158,Schwanz::N,cola,farok
159,Ei::N,huevo,tojás
160,Nest::N,nido,fészek
161,Bau::N,madriguera,odú
