,Concept_ID,nl,hi
532,Länge::N,lengte,लंबाई
533,Höhe::N,hoogte,ऊँचाई
534,Höhe::N,hoogte,उच्चता
535,Gewicht::N,gewicht,भार
536,Gewicht::N,gewicht,वज़न
537,Menge::N,hoeveelheid,मात्रा
538,Haufen::N,hoop,ढेर
539,Haufen::N,hoop,अंबार
540,Reihe::N,rij,क़तार
541,Reihe::N,rij,पंक्ति
542,Reihe::N,reeks,क़तार
543,Reihe::N,reeks,पंक्ति
544,Boot::N,boot,नाव
545,Boot::N,boot,नौका
546,Ruder::N,roeiriem,चप्पू
547,Schlitten::N,slee,बर्फ़-गाड़ी
548,Schlitten::N,slede,बर्फ़-गाड़ी
549,Ski::N,ski,स्की
550,Lagerfeuer::N,kampvuur,अलाव
551,Lagerfeuer::N,kampvuur,कैंप-फ़ायर
552,Last::N,last,भार
553,Last::N,vracht,भार
554,Gang::N,wandeling,चाल
555,Schritt::N,stap,डग
556,Schritt::N,stap,क़दम
557,Schritt::N,schrede,डग
558,Schritt::N,schrede,क़दम
559,Norden::N,noorden,उत्तर
560,Süden::N,zuiden,दक्खिन
561,Westen::N,westen,पश्चिम
562,Osten::N,oosten,पूरब
563,Holz::N,hout,काठ
564,Holz::N,hout,काष्ठ
565,Brett::N,plank,पटरा
566,Brett::N,plank,तख़्ता
567,Platte::N,plaat,फलक
568,Platte::N,plaat,तख़्ता
569,Stütze::N,stut,टेक
570,Stütze::N,stut,थूनी
571,Stütze::N,steun,टेक
572,Stütze::N,steun,थूनी
573,Stange::N,stang,छड़
574,Stange::N,stang,बाँस
575,Stock::N,stok,लाठी
576,Stab::N,staf,लग्गा
577,Rohr::N,pijp,नल
578,Haus::N,huis,घर
579,Haus::N,huis,मकान
580,Heim::N,tehuis,घर
581,Heim::N,tehuis,गृह
582,Ofen::N,kachel,चूल्हा
583,Fußboden::N,vloer,फ़र्श
584,Tisch::N,tafel,मेज़
585,Stuhl::N,stoel,कुरसी
586,Wiege::N,wieg,पालना
587,Wiege::N,wieg,हिंडोला
588,Bett::N,bed,खाट
589,Bett::N,bed,पलंग
590,Regal::N,rek,शेल्फ़
591,Kiste::N,kist,पेटी
592,Kiste::N,kist,डिब्बा
593,Fenster::N,raam,खिड़की
594,Fenster::N,venster,खिड़की
595,Tür::N,deur,द्वार
596,Tür::N,deur,दरवाज़ा
597,Tor::N,poort,फाटक
598,Zaun::N,omheining,बाड़ा
599,Dach::N,dak,छत
600,Dach::N,dak,छप्पर
601,Leiter::N,ladder,सीढ़ी
602,Besen::N,bezem,झाड़ू
603,Besen::N,bezem,बुहारी
604,Spaten::N,schop,कुदाल
605,Schaufel::N,schep,बेलचा
606,Schaufel::N,schep,फावड़ा
607,Gabel::N,vork,काँटा
608,Löffel::N,lepel,चम्मच
609,Messer::N,mes,छुरा
610,Messer::N,mes,चाक़ू
611,Nagel::N,spijker,कील
612,Nagel::N,spijker,मेख़
613,Netz::N,net,जाल
614,Haken::N,haak,अंकुश
615,Griff::N,handvat,मूठ
616,Griff::N,handvat,हत्था
617,Schloss::N,slot,ताला
618,Bild::N,beeld,चित्र
619,Figur::N,figuur,मूर्ति
620,Puppe::N,pop,पुतली
621,Puppe::N,pop,गुड़िया
622,Beutel::N,zak,झोला
623,Beutel::N,buidel,झोला
624,Bündel::N,pak,पुलिंदा
625,Bündel::N,bundel,पुलिंदा
626,Tasche::N,tas,बेग
627,Tasche::N,tas,बस्ता
628,Eimer::N,emmer,बाल्टी
629,Deckel::N,deksel,ढक्कन
630,Geschirr::N,vaatwerk,बरतन-भाँड़े
631,Sack::N,zak,बोरा
632,Tasse::N,kop,प्याला
633,Topf::N,pan,देग़चा
634,Kessel::N,ketel,देग़
635,Kessel::N,ketel,बटलोई
636,Essen::N,eten,खाना
637,Nahrung::N,voedsel,भोजन
638,Speise::N,spijs,खाना
639,Speise::N,spijs,व्यंजन
640,Fleisch::N,vlees,मांस
641,Fleisch::N,vlees,गोश्त
642,Getreide::N,graan,अनाज
643,Brei::N,pap,भरता
644,Brei::N,pap,दलिया
645,Brei::N,brij,भरता
646,Brei::N,brij,दलिया
647,Brot::N,brood,रोटी
648,Scheibe::N,plak,कतला
649,Scheibe::N,snede,कतला
650,Fett::N,vet,वसा
651,Fett::N,vet,चरबी
652,Butter::N,boter,मक्खन
653,Öl::N,olie,तेल
654,Salz::N,zout,नमक
655,Suppe::N,soep,सूप
656,Suppe::N,soep,शोरबा
657,Honig::N,honing,शहद
658,Milch::N,melk,दूध
659,Tee::N,thee,चाय
660,Leder::N,leer,चमड़ा
661,Leder::N,leder,चमड़ा
662,Wolle::N,wol,ऊन
663,Stoff::N,stof,कपड़ा
664,Nadel::N,naald,सूई
665,Faden::N,draad,डोरा
666,Knopf::N,knoop,बटन
667,Knopf::N,knoop,घुंडी
668,Knoten::N,knoop,गाँठ
669,Knoten::N,knoop,गुत्थी
670,Farbe::N,verf,रंग
671,Farbe::N,verf,वर्ण
672,Kleidung::N,kledij,पहनावा
673,Kleidung::N,kleding,पहनावा
674,Hemd::N,hemd,कुरता
675,Hemd::N,hemd,क़मीज़
676,Kragen::N,kraag,गरदनी
677,Kragen::N,kraag,गरेबान
678,Ärmel::N,mouw,आस्तीन
679,Hose::N,broek,पैंट
680,Hose::N,broek,पतलून
681,Hose::N,pantalon,पैंट
682,Hose::N,pantalon,पतलून
683,Gürtel::N,riem,पेटी
684,Gürtel::N,riem,मेखला
685,Gürtel::N,gordel,पेटी
686,Gürtel::N,gordel,मेखला
687,Mütze::N,muts,टोपी
688,Schuh::N,schoen,जूता
689,Stiefel::N,laars,बूट
690,Ring::N,ring,अँगूठी
691,Band::N,lint,पट्टी
692,Kamm::N,kam,कंघी
693,Spiegel::N,spiegel,आईना
694,Spiegel::N,spiegel,दर्पण
695,Riemen::N,riem,तसमा
696,Riemen::N,riem,पट्टा
697,Schnur::N,koord,डोरी
698,Schnur::N,koord,सुतली
699,Leine::N,lijn,रस्सी
700,Decke::N,deken,रज़ाई
701,Kissen::N,kussen,तकिया
702,Kissen::N,kussen,गाद्दा
703,Tuch::N,doek,रूमाल
704,Tuch::N,doek,वस्त्र
705,Handtuch::N,handdoek,अँगोछा
706,Kraft::N,kracht,ज़ोर
707,Kraft::N,kracht,शक्ति
708,Stärke::N,sterkte,बल
709,Stärke::N,sterkte,ताक़त
710,Gesundheit::N,gezondheid,स्वास्थ्य
711,Gesundheit::N,gezondheid,तंदुरुस्ती
