,Concept_ID,ja,xal
0,Auge::N,目,нүдн
1,Ohr::N,耳,чикн
2,Nase::N,鼻,хамр
3,Mund::N,口,амн
4,Zahn::N,歯,шүдн
5,Zunge::N,舌,келн
6,Lippe::N,唇,урл
7,Wange::N,頬,халх
8,Gesicht::N,顔,нүр
9,Stirn::N,額,маңна
10,Haar::N,髪,үсн
11,Schnurrbart::N,口髭,сахл
12,Bart::N,髭,сахл
13,Bart::N,髭,өргнә сахл
14,Kinn::N,顎,өргн
15,Kiefer[Anatomie]::N,顎,өргн
16,Kehle::N,喉,хол
17,Hals::N,首,күзүн
18,Genick::N,首,гиҗг
19,Kopf::N,頭,толһа
20,Rücken::N,背中,нурһн
21,Bauch::N,腹,гесн
22,Bauch::N,お腹,гесн
23,Nabel::N,へそ,киисн
24,Busen::N,乳房,көкн
25,Brust::N,胸,чееҗ
26,Schulter::N,肩,ээм
27,Arm::N,腕,һар
28,Ellenbogen::N,肘,тоха
29,Hand::N,手,баһлцг
30,Handfläche::N,手のひら,альхн
31,Finger::N,指,хурһн
32,Finger::N,指,һарин хурһн
33,Fingernagel::N,爪,хумсн
34,Nagel[Anatomie]::N,爪,хумсн
35,Zeh::N,足の指,хурһн
36,Zeh::N,足の指,көлин хурһн
37,Fuß::N,足,тавг
38,Ferse::N,かかと,өскә
39,Knie::N,膝,өвдг
40,Oberschenkel::N,上腿,һуй
41,Bein::N,足,көл
42,Körper::N,体,махмуд
43,Haut::N,皮膚,арсн
44,Blut::N,血,цусн
45,Ader::N,血管,судцн
46,Sehne::N,腱,шүрүсн
47,Knochen::N,骨,ясн
48,Gehirn::N,脳,экн
49,Herz::N,心,зүркн
50,Herz::N,心臓,зүркн
51,Magen::N,胃,гесн
52,Leber::N,肝臓,элкн
53,Atem::N,息,әмсхл
54,Atem::N,呼吸,әмсхл
55,Hunger::N,空腹,харһнлһн
56,Träne::N,涙,нульмсн
57,Geschmack::N,味,амтн
58,Geruch::N,匂い,үнр
59,Schlaf::N,睡眠,нөр
60,Traum::N,夢,зүүдн
61,Himmel::N,空,теңгр
62,Sonne::N,太陽,нарн
63,Mond::N,月,сар
64,Stern::N,星,одн
65,Luft::N,空気,аһар
66,Wind::N,風,салькн
67,Welle::N,波,дольган
68,Wasser::N,水,усн
69,Stein::N,石,чолун
70,Boden::N,土地,Һазр
71,Erde::N,土,Һазр
72,Staub::N,埃,тоосн
73,Rauch::N,煙,утан
74,Funke::N,火花,очн
75,Feuer::N,火,һал
76,Licht::N,光,герл
77,Schatten::N,陰,сүүдр
78,Wetter::N,天気,теңгр
79,Nebel::N,霧,будн
80,Wolke::N,雲,үүлн
81,Regen::N,雨,хур
82,Schnee::N,雪,цасн
83,Eis::N,氷,мөсн
84,Frost::N,霜,киитн
85,Kälte::N,寒さ,киитн
86,Hitze::N,暑さ,халун
87,Raureif::N,霧氷,цаң
88,Raureif::N,霧氷,кирү
89,Regenbogen::N,虹,солңһ
90,Donner::N,雷,оһтрһун дун
91,Strömung::N,流れ,урсхл
92,Tropfen::N,滴,дусал
93,Schaum::N,泡,көөсн
94,Schmutz::N,汚れ,кир
95,See::N,湖,нур
96,Sumpf::N,沼,унул
97,Moor::N,湿原,улм
98,Wiese::N,草原,хадлһн
99,Wald::N,森,ө-модн
100,Hügel::N,丘,толһа
101,Anhöhe::N,高み,хамр
102,Berg::N,山,уул
103,Gipfel::N,頂上,ора
104,Höhle::N,洞窟,хадин көндә
105,Abhang::N,斜面,ташу
106,Quelle::N,泉,булг
107,Bach::N,小川,һооҗур
108,Fluss::N,川,һол
109,Ufer::N,岸,көвә
110,Küste::N,海岸,көвә
111,Küste::N,海岸,теңгсин көвә
112,Festland::N,陸,хүүрә һазр
113,Meer::N,海,теңгс
114,Bucht::N,湾,цекә
115,Bucht::N,湾,теңгсин цекә
116,Insel::N,島,арл
117,Blume::N,花,цецг
118,Gras::N,草,ноһан
119,Wurzel::N,根,уңг
120,Baum::N,木,модн
121,Stamm::N,幹,шилв
122,Stamm::N,幹,һол модн
123,Rinde::N,皮層,көрсн
124,Ast::N,枝,ац
125,Zweig::N,小枝,ац
126,Blatt::N,葉,хамтхасн
127,Birke::N,樺,хусм модн
128,Kiefer[Baum]::N,松,шар харһа
129,Weide[Baum]::N,柳,удн
130,Tanne::N,樅,җөөлн цаһан модн
131,Horn::N,角,өвр
132,Feder::N,羽根,өрвлг
133,Fell::N,毛皮,арсн
134,Flügel::N,羽,җивр
135,Klaue::N,鉤爪,хумсн
136,Kralle::N,爪,тавг
137,Schwanz::N,尻尾,сүл
138,Ei::N,卵,өндгн
139,Nest::N,巣,үр
140,Bau::N,穴,нүкн
141,Tier::N,動物,мал
142,Herde::N,群れ,сүрг мал
143,Kuh::N,牛,үкр
144,Bulle::N,雄牛,бух
145,Pferd::N,馬,мөрн
146,Schaf::N,羊,хөн
147,Schwein::N,豚,һаха
148,Hund::N,犬,ноха
149,Katze::N,猫,мис
150,Bär::N,熊,аю
151,Eichhörnchen::N,栗鼠,кермн
152,Elch::N,ヘラジカ,хандһа
153,Fuchs::N,狐,арат
154,Hase::N,兎,туула
155,Maus::N,鼠,хулһн
156,Wolf::N,狼,чон
157,Vogel::N,鳥,шовун
158,Schwarm::N,群れ,зел
159,Huhn::N,鶏,така
160,Hahn::N,雄鶏,эр така
161,Gans::N,ガチョウ,һалун
162,Adler::N,鷲,һәрд
163,Ente::N,鴨,нуһсн
164,Eule::N,フクロウ,һурвлһ
165,Kranich::N,鶴,тоһрун
166,Krähe::N,烏,шаазһа
167,Kuckuck::N,郭公,эргин хуцдг
168,Schwan::N,白鳥,хун
169,Fisch::N,魚,заһсн
170,Barsch::N,鱸,шүрг
171,Hecht::N,川魳,цурх
172,Schlange[Tier]::N,蛇,моһа
173,Wurm::N,虫,өтн
174,Spinne::N,蜘蛛,аралҗн
175,Ameise::N,蟻,шорһлҗн
176,Laus::N,虱,бөөсн
177,Mücke::N,蚊,бөкүн
178,Fliege::N,蝿,батхн
179,Schmetterling::N,蝶,эрвәкә
180,Beere::N,漿果,бөөлҗрһн
181,Apfel::N,林檎,альмн
182,Pilz::N,茸,теңгрин ки
183,Zwiebel::N,玉葱,мәңгрснә толһа
184,Saat::N,種,буудян экн
185,Korn::N,粒,экн
186,Heu::N,干し草,өвсн
187,Schale::N,皮,хальсн
188,Grube::N,穴,нүкн
189,Falle::N,わな,урх
190,Falle::N,わな,хавх
191,Schlinge::N,輪,бүтү
192,Spur::N,跡,мөр
193,Asche::N,灰,үмсн
194,Dreck::N,泥,бальчг
195,Eisen::N,鉄,төмр
196,Gold::N,金,алтн
197,Silber::N,銀,мөңгн
198,Silber::N,銀,цаһан мөңгн
199,Kohle::N,炭,нүүрсн
200,Glas::N,ガラス,шил
201,Lehm::N,ローム,шавр
202,Sand::N,砂,элсн
203,Mensch::N,人,күн
204,Mensch::N,人,күмн
205,Mann::N,男,эр
206,Mann::N,男性,эр
207,Frau::N,女,күүкд күн
