,Concept_ID,kk,tt
0,Auge::N,көз,күз
1,Ohr::N,құлақ,колак
2,Nase::N,мұрын,борын
3,Mund::N,ауыз,авыз
4,Mund::N,ауыз,тамак
5,Zahn::N,тіс,теш
6,Zunge::N,тіл,тел
7,Lippe::N,ерін,ирен
8,Wange::N,ұрт,яңак
9,Gesicht::N,бет-аузы,йөз
10,Stirn::N,маңдай,маңгай
11,Haar::N,қыл,чәч
12,Schnurrbart::N,мұрт,мыек
13,Bart::N,сақал,сакал
14,Kinn::N,иек,ияк
15,Kiefer[Anatomie]::N,жақ,казналык
16,Kehle::N,алқым,тамак
17,Hals::N,мойын,бугаз
18,Genick::N,желке,җилкә
19,Kopf::N,кәллә,баш
20,Rücken::N,арқа,сырт
21,Bauch::N,қарын,корсак
22,Nabel::N,кіндік,кендек
23,Busen::N,омырау,түш
24,Brust::N,кеуде,имчәк
25,Brust::N,кеуде,күкрәк
26,Schulter::N,иық,иңбаш
27,Schulter::N,иық,кулбаш
28,Arm::N,қол,кул
29,Ellenbogen::N,шынтақ,терсәк
30,Hand::N,қол,кул
31,Handfläche::N,алақан,уч
32,Finger::N,саусақ,бармак
33,Fingernagel::N,тырнақ,тырнак
34,Nagel[Anatomie]::N,тырнақ,тырнак
35,Zeh::N,тырнақ,бармак
36,Zeh::N,тұяқ,бармак
37,Fuß::N,аяқ-басы,табан
38,Ferse::N,өкше,үкчә
39,Ferse::N,өкшелік,үкчә
40,Knie::N,тізе,тез
41,Oberschenkel::N,жамбас,бот
42,Bein::N,аяқ,аяк
43,Körper::N,дене,тән
44,Körper::N,дене,җисем
45,Haut::N,тері,тире
46,Blut::N,қан,кан
47,Ader::N,көктамыр,тамыр
48,Ader::N,күретамыр,тамыр
49,Sehne::N,сіңір,сеңер
50,Knochen::N,жілік,сөяк
51,Gehirn::N,ми,ми
52,Herz::N,жүрек,йөрәк
53,Magen::N,асқазан,ашказаны
54,Leber::N,бауыр,бавыр
55,Atem::N,леп,сулыш
56,Hunger::N,ашаршылық,ачлык
57,Träne::N,жас,яшь
58,Geschmack::N,дәм,тәм
59,Geschmack::N,дәм,зәвык
60,Geschmack::N,татым,тәм
61,Geschmack::N,татым,зәвык
62,Geschmack::N,талғам,тәм
63,Geschmack::N,талғам,зәвык
64,Geruch::N,иіс,ис
65,Schlaf::N,ұйқы,йокы
66,Schlaf::N,ұйықтау,йокы
67,Traum::N,түс,төш
68,Himmel::N,аспан,күк
69,Himmel::N,көқ,күк
70,Himmel::N,таңдай,күк
71,Sonne::N,күн,кояш
72,Mond::N,ай,ай
73,Stern::N,жұлдыз,йолдыз
74,Luft::N,әуе,һава
75,Wind::N,жел,җил
76,Welle::N,толқын,дулкын
77,Wasser::N,су,су
78,Stein::N,тас,таш
79,Boden::N,қыртыс,туфрак
80,Erde::N,топырақ,җир
81,Staub::N,шаң,тузан
82,Rauch::N,түтін,төтен
83,Funke::N,ұшқын,очкын
84,Feuer::N,алау,ут
85,Licht::N,шұғыла,якты
86,Schatten::N,көлеңке,күләгә
87,Wetter::N,ауа райы,һава
88,Nebel::N,тұман,томан
