,Concept_ID,ku,fa
0,Auge::N,çav,چشم
1,Ohr::N,guh,گوش
2,Nase::N,bêvil,بینی
3,Mund::N,dev,دهان
4,Zahn::N,didan,دندان
5,Zunge::N,ziman,زبان
6,Lippe::N,lêv,لب
7,Wange::N,dêm,لپ
8,Wange::N,hinarik,لپ
9,Gesicht::N,rû,رو
10,Gesicht::N,rû,چهره
11,Stirn::N,enî,پیشانی
12,Haar::N,por,مو
13,Schnurrbart::N,simbêl,سبیل
14,Bart::N,rih,ریش
15,Kinn::N,zenî,چانه
16,Kiefer[Anatomie]::N,arguşk,فک
17,Kiefer[Anatomie]::N,arguşk,آرواره
18,Kehle::N,qirik,حلق
19,Hals::N,stû,گردن
20,Hals::N,qirik,گردن
21,Genick::N,stû,پشت گردن
22,Kopf::N,serî,سر
23,Kopf::N,serî,کله
24,Rücken::N,pişt,پشت
25,Bauch::N,ûr,شکم
26,Bauch::N,zik,شکم
27,Nabel::N,navik,ناف
28,Busen::N,sîng,پستان
29,Brust::N,sîng,سینه
30,Schulter::N,mil,دوش
31,Schulter::N,mil,شانه
32,Arm::N,çepil,بازو
33,Ellenbogen::N,enîşk,آرنج
34,Hand::N,dest,دست
35,Handfläche::N,kefadest,کف دست
36,Finger::N,tilî,انگشت
37,Fingernagel::N,neynuk,ناخن دست
38,Nagel[Anatomie]::N,bizmar,ناخن
39,Zeh::N,tilî linga,انگشت پا
40,Fuß::N,ling,پا
41,Ferse::N,pahnî,پاشنه
42,Knie::N,kabok,زانو
43,Oberschenkel::N,rahn,ران
44,Bein::N,çip,پا
45,Bein::N,çip,لنگ
46,Körper::N,laş,تن
47,Körper::N,laş,بدن
48,Körper::N,gowde,تن
49,Körper::N,gowde,بدن
50,Haut::N,çerm,پوست
51,Blut::N,xwîn,خون
52,Ader::N,reh,رگ
53,Sehne::N,reh,زردپی
54,Knochen::N,hestî,استخوان
55,Gehirn::N,mêjî,مخ
56,Gehirn::N,mêjî,مغز
57,Herz::N,dil,دل
58,Herz::N,dil,قلب
59,Magen::N,navêş,معده
60,Leber::N,kezeb,کبد
61,Atem::N,hilm,نفس
62,Hunger::N,birçîtî,گرسنگی
63,Träne::N,hêstir,اشک
64,Geschmack::N,tam,مزه
65,Geruch::N,bêhn,بو
66,Schlaf::N,xew,خواب
67,Traum::N,xewn,رؤیا
68,Himmel::N,ezman,فلک
69,Himmel::N,ezman,آسمان
70,Sonne::N,roj,آفتاب
71,Sonne::N,roj,خورشید
72,Mond::N,heyv,ماه
73,Stern::N,stêrk,ستاره
74,Luft::N,ba,هوا
75,Wind::N,ba,باد
76,Welle::N,şewl,موج
77,Wasser::N,av,آب
78,Stein::N,kevir,سنگ
79,Boden::N,herd,زمین
80,Erde::N,ax,خاک
81,Erde::N,ax,زمین
82,Staub::N,toz,گرد
83,Staub::N,toz,غبار
84,Rauch::N,dû,دود
85,Funke::N,çirûşk,جرقه
86,Feuer::N,agir,آتش
87,Licht::N,ronahî,نور
88,Licht::N,ronahî,روشنی
89,Schatten::N,sî,سایه
90,Wetter::N,hewa,هوا
91,Nebel::N,mij,مه
92,Wolke::N,ewr,ابر
93,Regen::N,baran,باران
94,Schnee::N,berf,برف
95,Eis::N,qeşa,یخ
96,Frost::N,xûsik,یخبندان
97,Kälte::N,serma,سرما
98,Hitze::N,germayî,گرما
99,Hitze::N,germayî,حرارت
100,Raureif::N,şext,برف ریزه
101,Regenbogen::N,heftreng,رنگین‌کمان
102,Donner::N,gire-gir,رعد
103,Strömung::N,şewl,جریان
104,Tropfen::N,dilop,قطره
105,Schaum::N,kef,کف
106,Schmutz::N,gemar,گل
107,Schmutz::N,gemar,کثافت
108,See::N,gol,دریاچه
109,Sumpf::N,hezek,مرداب
110,Sumpf::N,hezek,باتلاق
111,Moor::N,mafêl,باتلاق
112,Wiese::N,sûrik,چمن
113,Wald::N,çiya,جنگل
114,Wald::N,daristan,جنگل
115,Hügel::N,gir,تل
116,Hügel::N,gir,تپه
117,Anhöhe::N,sere gir,بلندی
118,Berg::N,kaş,کوه
119,Gipfel::N,sere gir,قله
120,Höhle::N,şikeft,غار
121,Abhang::N,kaş,سرازیری
122,Quelle::N,kanî,چشمه
123,Bach::N,çem,نهر
124,Fluss::N,çem,رود
125,Fluss::N,rûbar,رود
126,Ufer::N,kevî,ساحل
127,Ufer::N,kevî,کرانه
128,Küste::N,berav,ساحل
129,Festland::N,bejahî,خشکی
130,Meer::N,behr,دریا
131,Bucht::N,derav,خلیج
132,Insel::N,girav,جزیره
133,Blume::N,kulînk,گل
134,Gras::N,giha,علف
135,Wurzel::N,reh,ریشه
136,Baum::N,dar,درخت
137,Stamm::N,bavik,تنه
138,Rinde::N,qaqil,توژ
139,Rinde::N,qaqil,پوست
140,Ast::N,gulî,شاخه
141,Zweig::N,şax,شاخه
142,Blatt::N,pel,برگ
143,Birke::N,dara sipî,غان
144,Kiefer[Baum]::N,dara bî,کاج
145,Weide[Baum]::N,dara belalûk,بید
146,Tanne::N,merx,صنوبر
147,Horn::N,strô,شاخ
148,Feder::N,pîrtîk,پر
149,Fell::N,heyar,خز
150,Flügel::N,per,پر
151,Flügel::N,per,بال
152,Klaue::N,napîk,چنگ
153,Klaue::N,napîk,پنجه
154,Kralle::N,dinik,پنجه
155,Kralle::N,dirnax,پنجه
156,Schwanz::N,dûv,دم
157,Ei::N,hêk,تخم
158,Nest::N,hêlîn,لانه
159,Bau::N,avahî,بنا
160,Bau::N,avahî,ساختمان
161,Tier::N,heywan,هیوان
162,Herde::N,hoz,رمه
163,Kuh::N,çêlek,گاو
164,Bulle::N,ga,گاو نر
165,Pferd::N,hesp,اسب
166,Schaf::N,mîh,گوسفند
167,Schwein::N,beraz,خوک
168,Hund::N,seh,سگ
169,Katze::N,pişîk,گربه
170,Bär::N,hirç,خرس
171,Eichhörnchen::N,pilûr,سنجاب
172,Elch::N,pazkovî,گوزن شمالی
173,Fuchs::N,rovî,روباه
174,Hase::N,kîroşk,خرگوش
175,Maus::N,mişk,موش
176,Wolf::N,gur,گرگ
177,Vogel::N,çûk,پرنده
178,Schwarm::N,lufik,دسته
179,Huhn::N,mirîşk,مرغ
180,Hahn::N,dîk,خروس
181,Gans::N,qaz,غاز
182,Adler::N,eylo,عقاب
183,Ente::N,werdek,اردک
184,Ente::N,werdek,مرغابی
185,Eule::N,bûm,جغد
186,Eule::N,kund,جغد
187,Kranich::N,quling,درنا
188,Krähe::N,qijik,زاغ
189,Krähe::N,qijik,کلاغ
190,Kuckuck::N,pepûk,فاخته
191,Schwan::N,qû,قو
192,Fisch::N,masî,ماهی
193,Barsch::N,okûn,ماهی خاردار
194,Hecht::N,mesîyê lûf,اردک ماهی
195,Schlange[Tier]::N,mar,مار
196,Wurm::N,kurm,کرم
197,Spinne::N,pîrê,عنکبوت
198,Ameise::N,mîro,مورچه
199,Ameise::N,gêrîk,مورچه
200,Laus::N,spi,شپش
201,Mücke::N,mêş,پشه
202,Fliege::N,mêş,مگس
203,Schmetterling::N,perperîk,پروانه
204,Beere::N,hirç,گیله
205,Apfel::N,sêv,سیب
206,Pilz::N,bîrov,قارچ
207,Zwiebel::N,pîvaz,پیاز
208,Saat::N,tov,بذر
209,Korn::N,dexl,تخم
