,Concept_ID,ml,cs
0,Auge::N,കണ്ണ്,oko
1,Ohr::N,ചെവി,ucho
2,Nase::N,മൂക്ക്,nos
3,Mund::N,വായ,pusa
4,Zahn::N,പല്ല്,zub
5,Zunge::N,നാക്ക്,jazyk
6,Lippe::N,ചുണ്ട്,ret
7,Wange::N,കവിൾത്തടം,tvář
8,Gesicht::N,മുഖം,obličej
9,Stirn::N,നെറ്റി,čelo
10,Haar::N,തലമുടി,vlas
11,Haar::N,തലമുടി,vlasy
12,Schnurrbart::N,മീശ,kníry
13,Bart::N,താടിരോമം,vousy
14,Kinn::N,താടി,brada
15,Kiefer[Anatomie]::N,താടിയെല്ല്,čelist
16,Kehle::N,കണ്ഠനാളം,hrdlo
17,Hals::N,കഴുത്ത്,krk
18,Genick::N,പിടലി,týl
19,Kopf::N,തല,hlava
20,Rücken::N,മുതുക്,záda
21,Rücken::N,മുതുക്,hřbet
22,Bauch::N,നയറ്,břicho
23,Nabel::N,നാഭി,pupek
24,Busen::N,സ്തനം,ňadra
25,Brust::N,സ്തനം,prsa
26,Schulter::N,തോൾ,plece
27,Schulter::N,തോൾ,rameno
28,Arm::N,കൈ,ruka
29,Ellenbogen::N,കൈമുട്ട്,loket
30,Hand::N,കൈ,ruka
31,Handfläche::N,ഉള്ളം കൈ,dlaň
32,Finger::N,വിരൽ,prst
33,Fingernagel::N,നഖം,nehet
34,Nagel[Anatomie]::N,നഖം,nehet
35,Zeh::N,കാൽവിരൽ,prst u nohy
36,Fuß::N,കാൽപ്പാദം,noha
37,Ferse::N,ഉപ്പൂറ്റി,pata
38,Knie::N,കാൽമുട്ട്,koleno
39,Oberschenkel::N,തുട,stehno
40,Bein::N,കാൽ,noha
41,Körper::N,ശരീരം,tělo
42,Haut::N,ചർമ്മം,kůže
43,Blut::N,രക്തം,krev
44,Ader::N,ഞരമ്പ്,céva
45,Sehne::N,സ്നായു,šlacha
46,Knochen::N,അസ്ഥി,kost
47,Gehirn::N,തലച്ചോറ്,mozek
48,Herz::N,ഹൃദയം,srdce
49,Magen::N,വയർ,žaludek
50,Leber::N,കരൾ,játra
51,Atem::N,ശ്വാസം,dech
52,Hunger::N,വിശപ്പ്,hlad
53,Träne::N,കണ്ണീർ,slza
54,Geschmack::N,രുചി,vkus
55,Geruch::N,ഗന്ധം,vůně
56,Geruch::N,ഗന്ധം,zápach
57,Schlaf::N,ഉറകും,spánek
58,Traum::N,സ്വപ്നം,sen
59,Himmel::N,ആകാശം,nebe
60,Sonne::N,സൂര്യൻ,slunce
61,Mond::N,ചന്ദ്രൻ,měsíc
62,Stern::N,നക്ഷത്രം,hvězda
63,Luft::N,കാറ്റ്,vzduch
64,Wind::N,കാറ്റ്,vítr
65,Welle::N,തിരമാല,vlna
66,Wasser::N,വെള്ളം,voda
67,Stein::N,ശില,kámen
68,Stein::N,കല്ല്,kámen
69,Boden::N,തറ,půda
70,Boden::N,നിലം,půda
71,Erde::N,മണ്ണ്,země
72,Staub::N,പൊടി,prach
73,Rauch::N,പുക,dým
74,Rauch::N,പുക,kouř
75,Funke::N,തീപ്പൊരി,jiskra
76,Feuer::N,തീ,oheň
77,Licht::N,വിളക്ക്,světlo
78,Licht::N,സൂര്യപ്രകാശം,světlo
79,Schatten::N,തണൽ,stín
80,Wetter::N,കാലാവസ്ഥ,počasí
81,Nebel::N,മൂടൽമഞ്ഞ്,mlha
82,Wolke::N,മേഘം,mrak
83,Wolke::N,മേഘം,oblak
84,Regen::N,മഴ,déšť
85,Schnee::N,മഞ്ഞ്,sníh
86,Eis::N,ഐസ്,led
87,Frost::N,മൂടൽമഞ്ഞ്,mráz
88,Kälte::N,തണുപ്പ്,chlad
89,Hitze::N,ചൂട്,horko
90,Raureif::N,കോടമഞ്ഞ്,jinovatka
91,Regenbogen::N,മഴവില്ല്,duha
92,Donner::N,ഇടി,hrom
93,Strömung::N,പ്രവാഹം,proudění
94,Tropfen::N,തുള്ളി,kapka
95,Schaum::N,നുര,pěna
96,Schmutz::N,അഴുക്ക്,špína
97,See::N,തടാകം,jezero
98,Sumpf::N,ചതുപ്പുനിലം,močál
99,Sumpf::N,ചതുപ്പുനിലം,bažina
100,Moor::N,പാഴ്നിലം,bažina
101,Moor::N,പാഴ്നിലം,slatina
102,Wiese::N,പുൽത്തകിടി,louka
103,Wald::N,വനം,les
