,Concept_ID,xal,xal
0,Auge::N,нүдн,нүдн
1,Ohr::N,чикн,чикн
2,Nase::N,хамр,хамр
3,Mund::N,амн,амн
4,Zahn::N,шүдн,шүдн
5,Zunge::N,келн,келн
6,Lippe::N,урл,урл
7,Wange::N,халх,халх
8,Gesicht::N,нүр,нүр
9,Stirn::N,маңна,маңна
10,Haar::N,үсн,үсн
11,Schnurrbart::N,сахл,сахл
12,Bart::N,сахл,сахл
13,Bart::N,сахл,өргнә сахл
14,Bart::N,өргнә сахл,сахл
15,Bart::N,өргнә сахл,өргнә сахл
16,Kinn::N,өргн,өргн
17,Kiefer[Anatomie]::N,өргн,өргн
18,Kehle::N,хол,хол
19,Hals::N,күзүн,күзүн
20,Genick::N,гиҗг,гиҗг
21,Kopf::N,толһа,толһа
22,Rücken::N,нурһн,нурһн
23,Bauch::N,гесн,гесн
24,Nabel::N,киисн,киисн
25,Busen::N,көкн,көкн
26,Brust::N,чееҗ,чееҗ
27,Schulter::N,ээм,ээм
28,Arm::N,һар,һар
29,Ellenbogen::N,тоха,тоха
30,Hand::N,баһлцг,баһлцг
31,Handfläche::N,альхн,альхн
32,Finger::N,хурһн,хурһн
33,Finger::N,хурһн,һарин хурһн
34,Finger::N,һарин хурһн,хурһн
35,Finger::N,һарин хурһн,һарин хурһн
36,Fingernagel::N,хумсн,хумсн
37,Nagel[Anatomie]::N,хумсн,хумсн
38,Zeh::N,хурһн,хурһн
39,Zeh::N,хурһн,көлин хурһн
40,Zeh::N,көлин хурһн,хурһн
41,Zeh::N,көлин хурһн,көлин хурһн
42,Fuß::N,тавг,тавг
43,Ferse::N,өскә,өскә
44,Knie::N,өвдг,өвдг
45,Oberschenkel::N,һуй,һуй
46,Bein::N,көл,көл
47,Körper::N,махмуд,махмуд
48,Haut::N,арсн,арсн
49,Blut::N,цусн,цусн
50,Ader::N,судцн,судцн
51,Sehne::N,шүрүсн,шүрүсн
52,Knochen::N,ясн,ясн
53,Gehirn::N,экн,экн
54,Herz::N,зүркн,зүркн
55,Magen::N,гесн,гесн
56,Leber::N,элкн,элкн
57,Atem::N,әмсхл,әмсхл
58,Hunger::N,харһнлһн,харһнлһн
59,Träne::N,нульмсн,нульмсн
60,Geschmack::N,амтн,амтн
61,Geruch::N,үнр,үнр
62,Schlaf::N,нөр,нөр
63,Traum::N,зүүдн,зүүдн
64,Himmel::N,теңгр,теңгр
65,Sonne::N,нарн,нарн
66,Mond::N,сар,сар
67,Stern::N,одн,одн
68,Luft::N,аһар,аһар
69,Wind::N,салькн,салькн
70,Welle::N,дольган,дольган
71,Wasser::N,усн,усн
72,Stein::N,чолун,чолун
73,Boden::N,Һазр,Һазр
74,Erde::N,Һазр,Һазр
75,Staub::N,тоосн,тоосн
76,Rauch::N,утан,утан
77,Funke::N,очн,очн
78,Feuer::N,һал,һал
79,Licht::N,герл,герл
80,Schatten::N,сүүдр,сүүдр
81,Wetter::N,теңгр,теңгр
82,Nebel::N,будн,будн
83,Wolke::N,үүлн,үүлн
84,Regen::N,хур,хур
85,Schnee::N,цасн,цасн
86,Eis::N,мөсн,мөсн
87,Frost::N,киитн,киитн
88,Kälte::N,киитн,киитн
89,Hitze::N,халун,халун
90,Raureif::N,цаң,цаң
91,Raureif::N,цаң,кирү
92,Raureif::N,кирү,цаң
93,Raureif::N,кирү,кирү
94,Regenbogen::N,солңһ,солңһ
95,Donner::N,оһтрһун дун,оһтрһун дун
96,Strömung::N,урсхл,урсхл
97,Tropfen::N,дусал,дусал
98,Schaum::N,көөсн,көөсн
99,Schmutz::N,кир,кир
100,See::N,нур,нур
101,Sumpf::N,унул,унул
102,Moor::N,улм,улм
103,Wiese::N,хадлһн,хадлһн
104,Wald::N,ө-модн,ө-модн
105,Hügel::N,толһа,толһа
106,Anhöhe::N,хамр,хамр
107,Berg::N,уул,уул
108,Gipfel::N,ора,ора
109,Höhle::N,хадин көндә,хадин көндә
110,Abhang::N,ташу,ташу
111,Quelle::N,булг,булг
112,Bach::N,һооҗур,һооҗур
113,Fluss::N,һол,һол
114,Ufer::N,көвә,көвә
115,Küste::N,көвә,көвә
116,Küste::N,көвә,теңгсин көвә
117,Küste::N,теңгсин көвә,көвә
118,Küste::N,теңгсин көвә,теңгсин көвә
119,Festland::N,хүүрә һазр,хүүрә һазр
120,Meer::N,теңгс,теңгс
121,Bucht::N,цекә,цекә
122,Bucht::N,цекә,теңгсин цекә
123,Bucht::N,теңгсин цекә,цекә
124,Bucht::N,теңгсин цекә,теңгсин цекә
125,Insel::N,арл,арл
126,Blume::N,цецг,цецг
127,Gras::N,ноһан,ноһан
128,Wurzel::N,уңг,уңг
129,Baum::N,модн,модн
130,Stamm::N,шилв,шилв
131,Stamm::N,шилв,һол модн
132,Stamm::N,һол модн,шилв
133,Stamm::N,һол модн,һол модн
134,Rinde::N,көрсн,көрсн
135,Ast::N,ац,ац
136,Zweig::N,ац,ац
137,Blatt::N,хамтхасн,хамтхасн
138,Birke::N,хусм модн,хусм модн
139,Kiefer[Baum]::N,шар харһа,шар харһа
140,Weide[Baum]::N,удн,удн
141,Tanne::N,җөөлн цаһан модн,җөөлн цаһан модн
142,Horn::N,өвр,өвр
143,Feder::N,өрвлг,өрвлг
144,Fell::N,арсн,арсн
145,Flügel::N,җивр,җивр
146,Klaue::N,хумсн,хумсн
147,Kralle::N,тавг,тавг
148,Schwanz::N,сүл,сүл
149,Ei::N,өндгн,өндгн
150,Nest::N,үр,үр
151,Bau::N,нүкн,нүкн
152,Tier::N,мал,мал
153,Herde::N,сүрг мал,сүрг мал
154,Kuh::N,үкр,үкр
155,Bulle::N,бух,бух
156,Pferd::N,мөрн,мөрн
157,Schaf::N,хөн,хөн
158,Schwein::N,һаха,һаха
159,Hund::N,ноха,ноха
160,Katze::N,мис,мис
161,Bär::N,аю,аю
162,Eichhörnchen::N,кермн,кермн
163,Elch::N,хандһа,хандһа
